id,score,rationale,run_id
1101,1,Not seeing Martin for ages directly implies they have not met lately.,20260821T125948Z_8dbb5082
1102,7,Sending an application is something Person B is doing right now.,20260821T125948Z_8dbb5082
1103,7,Training with Lukas at the gym directly confirms exercising with him.,20260821T125948Z_8dbb5082
1104,7,The recent death of his grandfather confirms a death in his family.,20260821T125948Z_8dbb5082
1105,6,"A distance of about 1,000 km would ordinarily be considered very far.",20260821T125948Z_8dbb5082
1106,6,A six-hour drive is a long journey in ordinary terms.,20260821T125948Z_8dbb5082
1107,2,A delayed train indicates the journey is not proceeding entirely as planned.,20260821T125948Z_8dbb5082
1108,1,"If cereal is still left, they have not finished it.",20260821T125948Z_8dbb5082
1109,1,A deadline three months away is not next week.,20260821T125948Z_8dbb5082
1110,7,Streets that are always congested clearly have a lot of traffic.,20260821T125948Z_8dbb5082
1111,1,Being vegetarian normally means Megan does not eat meat.,20260821T125948Z_8dbb5082
1112,7,Having the flu means John is sick.,20260821T125948Z_8dbb5082
1113,7,Running every day directly confirms daily training.,20260821T125948Z_8dbb5082
1114,1,Having just awakened means Clara is no longer sleeping.,20260821T125948Z_8dbb5082
1115,1,A release next week rules out release today.,20260821T125948Z_8dbb5082
1116,7,Having used a drill before confirms prior experience.,20260821T125948Z_8dbb5082
1117,1,Celebrating tonight contradicts the party taking place tomorrow.,20260821T125948Z_8dbb5082
1118,7,Moving out tomorrow means leaving the flat very soon.,20260821T125948Z_8dbb5082
1119,6,"Always falling behind strongly suggests he was a slacker, though it is not a direct definition.",20260821T125948Z_8dbb5082
1120,7,Being famous for surfing confirms that the area is popular for something.,20260821T125948Z_8dbb5082
1121,1,A rough sea is not calm.,20260821T125948Z_8dbb5082
1122,1,An NGO is generally not a corporate company.,20260821T125948Z_8dbb5082
1123,7,Authoring many books directly establishes that he is a writer.,20260821T125948Z_8dbb5082
1124,1,Still analyzing the data means the work is not finished.,20260821T125948Z_8dbb5082
1125,3,"Endangered status suggests relatively few pandas remain, but does not directly quantify whether there are 'many.'",20260821T125948Z_8dbb5082
1126,7,Enrolling at a gym is equivalent to joining a fitness studio.,20260821T125948Z_8dbb5082
