id,score,rationale,run_id
1101,1,"Person B's answer 'I have not seen him for ages' clearly indicates they have not met Martin lately, strongly implying a 'no'.",20260824T093740Z_5937923c
1102,5,"'Sending out an application' suggests Person B is actively looking for a job, implying they are currently doing something related to job searching, which could be interpreted as a 'yes' to being busy.",20260824T093740Z_5937923c
1103,6,"'I train with him at the gym' strongly implies that Person B usually exercises with Lukas, indicating a 'yes'.",20260824T093740Z_5937923c
1104,7,'His grandfather passed away recently' is a clear 'yes' to the question about a death in his family.,20260824T093740Z_5937923c
1105,7,"'It is about 1000 Km away' confirms that Paris is far from the current location, a 'yes' to the question.",20260824T093740Z_5937923c
1106,7,"'It is a six-hour drive' confirms that it takes a long time to get to Munich, a 'yes'.",20260824T093740Z_5937923c
1107,2,"'My train has some delay' implies that the journey is not going as planned, suggesting a 'no'.",20260824T093740Z_5937923c
1108,1,"'There is still some left' implies they have not finished their cereal, a 'no'.",20260824T093740Z_5937923c
1109,1,"'It is not due for three months' clearly indicates the deadline is not next week, a 'no'.",20260824T093740Z_5937923c
1110,7,"'The streets are always congested with cars' strongly implies there is usually a lot of traffic, a 'yes'.",20260824T093740Z_5937923c
1111,1,"'She is vegetarian' clearly indicates Megan does not eat meat, a 'no'.",20260824T093740Z_5937923c
1112,7,"'He has the flu' confirms John is sick today, a 'yes'.",20260824T093740Z_5937923c
1113,7,"'She runs for hours every day' strongly implies Sonya trains daily, a 'yes'.",20260824T093740Z_5937923c
1114,1,"'She just woke up' implies Clara is no longer sleeping, a 'no'.",20260824T093740Z_5937923c
1115,1,"'It comes out next week' indicates the movie is not being released today, a 'no'.",20260824T093740Z_5937923c
1116,7,"'I have used one before' confirms Person A has worked with a drill, a 'yes'.",20260824T093740Z_5937923c
1117,1,"'I am celebrating tonight' implies the birthday party is not tomorrow, a 'no'.",20260824T093740Z_5937923c
1118,7,"'I am moving out tomorrow' confirms Person B is leaving their flat soon, a 'yes'.",20260824T093740Z_5937923c
1119,6,"'He was always falling behind' strongly implies he is a slacker, a 'yes'.",20260824T093740Z_5937923c
