id,score,rationale,run_id
1101,2,"The answer says they have not seen Martin for ages, which directly implies they have not met him lately. This is a clear negative answer.",20260820T143619Z_a1aca67a
1102,5,"Sending out an application suggests they are doing something right now, so it leans yes. It does not explicitly say what they are doing at this exact moment, but it is strongly relevant.",20260820T143619Z_a1aca67a
1103,6,"Training with Lukas at the gym strongly indicates they do exercise with him, at least regularly. It is not a literal 'usually' but it is very close to yes.",20260820T143619Z_a1aca67a
1104,7,Saying his grandfather passed away recently directly answers yes to there being a death in the family.,20260820T143619Z_a1aca67a
1105,7,Saying Paris is about 1000 km away clearly means it is very far from here.,20260820T143619Z_a1aca67a
1106,7,A six hour drive clearly indicates that it takes a long time to get to Munich.,20260820T143619Z_a1aca67a
1107,3,"Having some delay suggests the journey is not going perfectly as planned. It is a mild negative toward 'going as planned,' but not fully decisive.",20260820T143619Z_a1aca67a
1108,7,"If there is still some cereal left, then they have not finished it. This is a direct no.",20260820T143619Z_a1aca67a
1109,7,"If it is not due for three months, then the deadline is not next week. This clearly answers no.",20260820T143619Z_a1aca67a
1110,7,Being always congested with cars directly means there is usually a lot of traffic.,20260820T143619Z_a1aca67a
1111,7,Being vegetarian means she does not eat meat. This is a direct no.,20260820T143619Z_a1aca67a
1112,7,Having the flu clearly means John is sick today. This is a direct yes.,20260820T143619Z_a1aca67a
1113,7,Running for hours every day strongly implies daily training. This is a direct yes in practical terms.,20260820T143619Z_a1aca67a
1114,7,"If she just woke up, she is not still sleeping. This is a direct no.",20260820T143619Z_a1aca67a
1115,7,"If it comes out next week, it is not being released today. This is a direct no.",20260820T143619Z_a1aca67a
1116,7,Having used one before clearly indicates prior experience with a drill. This is a direct yes.,20260820T143619Z_a1aca67a
1117,5,"Celebrating tonight suggests the birthday party is happening tonight, which could be tomorrow if 'tomorrow' is relative, but the wording is ambiguous. It leans yes but not strongly.",20260820T143619Z_a1aca67a
1118,7,Moving out tomorrow means they are leaving the flat soon. This is a direct yes.,20260820T143619Z_a1aca67a
1119,6,"Always falling behind strongly suggests he is a slacker. It is not an exact definition, but it clearly points to yes.",20260820T143619Z_a1aca67a
1120,7,Being famous for surfing directly answers that the area is popular for something. This is a clear yes.,20260820T143619Z_a1aca67a
1121,7,"Quite rough is the opposite of calm, so this is a clear no.",20260820T143619Z_a1aca67a
1122,7,Working at an NGO means not working for a corporate company. This is a clear no.,20260820T143619Z_a1aca67a
1123,7,Having authored many successful books clearly means he is a writer. This is a direct yes.,20260820T143619Z_a1aca67a
1124,7,Still analyzing it means he is not finished working on the data. This is a direct no.,20260820T143619Z_a1aca67a
1125,7,Saying pandas are an endangered species clearly implies there are not many left. This is a strong yes.,20260820T143619Z_a1aca67a
1126,7,Being enrolled at the gym means they have joined a fitness studio/gym. This is a direct yes.,20260820T143619Z_a1aca67a
1127,7,"If the thesis is not complete yet, then they have not finished writing it. This is a direct no.",20260820T143619Z_a1aca67a
1128,6,"Saying the hair was way too long strongly suggests they used to have long hair. It is not perfectly literal, but clearly yes.",20260820T143619Z_a1aca67a
1129,2,"A business trip is not a vacation, so this indicates no. The answer directly contradicts the vacation framing.",20260820T143619Z_a1aca67a
1130,2,Needing a larger one means a one-room flat is not enough. This is a clear no.,20260820T143619Z_a1aca67a
1131,7,"If the deadline is tomorrow, then she has to hand in soon. This is a direct yes.",20260820T143619Z_a1aca67a
1132,7,Sleeping only four hours means the night was short. This is a direct yes.,20260820T143619Z_a1aca67a
1133,7,"If the offer had already expired, the flight was not still discounted. This is a clear no.",20260820T143619Z_a1aca67a
1134,7,Getting wounded means the cat is hurt. This is a direct yes.,20260820T143619Z_a1aca67a
1135,7,"If Mark is still missing, then we are not all here. This is a clear no.",20260820T143619Z_a1aca67a
1137,5,"Being Chinese implies coming from Asia, but it is not logically guaranteed in every possible sense. It strongly leans yes, though the wording uses nationality rather than location.",20260820T143619Z_a1aca67a
1138,5,"The line going dead suggests the call ended or they hung up, so it leans yes. It is indirect rather than explicit.",20260820T143619Z_a1aca67a
1139,5,"Having domestics suggests someone is taking care of the house. This is a reasonable yes, but phrased indirectly.",20260820T143619Z_a1aca67a
1140,7,Just opened directly means the bar has not been there for long. This is a clear no.,20260820T143619Z_a1aca67a
1141,6,"A house full of history books strongly suggests he owns many books, though it does not state ownership explicitly. It leans yes.",20260820T143619Z_a1aca67a
1143,7,Only a few guests over for dinner clearly means there is a small gathering. This is a direct yes.,20260820T143619Z_a1aca67a
1144,7,Having only one week off means they do not have two weeks of holiday. This is a direct no.,20260820T143619Z_a1aca67a
1145,7,Going to have a baby is a clear way of saying pregnant. This is a direct yes.,20260820T143619Z_a1aca67a
1147,7,Still owing the bank money means the debts have not been paid back. This is a direct no.,20260820T143619Z_a1aca67a
1148,7,Only had water means he did not drink a cocktail. This is a direct no.,20260820T143619Z_a1aca67a
1149,2,"Owning an orchard does not mean having a vegetable garden, so this points to no. The answer is clearly about a different kind of garden.",20260820T143619Z_a1aca67a
1150,7,Being 25 years old means the son is not underage. This is a direct no.,20260820T143619Z_a1aca67a
1151,7,Extremely expensive tuition means Harvard is not affordable. This is a direct no.,20260820T143619Z_a1aca67a
1152,7,A bank transfer moments ago means she has paid already. This is a direct yes.,20260820T143619Z_a1aca67a
1153,6,"Not being able to swim yet means they are not good at swimming. This is a strong no, though phrased from a skill-development perspective.",20260820T143619Z_a1aca67a
1154,7,Being healthy again means the cold is gone. This is a direct no.,20260820T143619Z_a1aca67a
