id,score,rationale
1101,0.95,Not seeing Martin for ages strongly implies the answer to whether they have met lately is no.
1102,0.05,"Sending out an application does not answer whether they are doing something right now; it suggests yes, but the wording is indirect and could be interpreted as a different activity."
1103,0.9,Training with Lukas at the gym indicates they usually exercise together.
1104,0.98,Saying his grandfather passed away recently clearly confirms a death in the family.
1105,0.99,Saying Paris is about 1000 km away directly answers that it is far.
1106,0.98,A six hour drive clearly means it takes long to get there.
1107,0.9,A train delay means the journey is not going as planned.
1108,0.98,"If there is still some cereal left, they have not finished it."
1109,0.99,"If it is not due for three months, then the deadline is not next week."
1110,0.98,Always congested streets clearly means there is usually a lot of traffic.
1111,0.99,Being vegetarian strongly implies she does not eat meat.
1112,0.99,Having the flu clearly means John is sick.
1113,0.95,Running for hours every day strongly indicates daily training.
1114,0.99,"If she just woke up, she is not still sleeping."
1115,0.99,"If it comes out next week, it is not being released today."
1116,0.95,Having used a drill before answers yes to ever having worked with one.
1117,0.95,"Celebrating tonight suggests the party is not tomorrow, so the answer is no."
1118,0.98,Moving out tomorrow means leaving the flat soon.
1119,0.9,Always falling behind strongly suggests he is a slacker.
1120,0.98,Being famous for surfing directly answers that the area is popular for something.
1121,0.99,Quite rough is the opposite of calm.
1122,0.98,Working at an NGO means not working for a corporate company.
1123,0.95,Authoring many successful books strongly indicates he is a writer.
1124,0.99,Still analyzing it means the data work is not finished.
1125,0.95,Calling pandas an endangered species implies there are not many left.
1126,0.95,Enrolled at the gym means they have joined a fitness studio.
1127,0.99,"If the thesis is not complete yet, it has not been finished."
1128,0.9,Saying the hair was way too long implies they used to have long hair.
1129,0.95,"A business trip is not a vacation, so the answer is no."
1130,0.95,Needing a larger one means a one-room flat is not enough.
1131,0.98,"If the deadline is tomorrow, she has to hand it in soon."
1132,0.98,Sleeping only four hours clearly means a short night.
1133,0.99,"If the offer had already expired, the flight was no longer discounted."
1134,0.98,Got wounded directly indicates the cat is hurt.
1135,0.99,"If Mark is still missing, then not all are here."
1137,0.95,"Being Chinese implies coming from Asia, though it is slightly indirect."
1138,0.9,"The line went dead implies the call was disconnected, so yes to hanging up."
1139,0.9,Having domestics means someone is taking care of the house.
1140,0.98,Just opened clearly means it has not been there for long.
1141,0.95,A house full of history books strongly suggests he owns many books.
1143,0.95,Only a few guests over for dinner indicates a small gathering.
1144,0.98,Only one week off work means not two weeks of holiday.
1145,0.95,Going to have a baby strongly implies pregnancy.
1147,0.98,Still owing the bank money means the debts have not been paid back.
1148,0.99,Only had water means he did not drink a cocktail.
1149,0.85,"Owning an orchard suggests fruit-growing, but it does not directly answer whether they have a vegetable garden."
1150,0.99,Being 25 years old means the son is not underage.
1151,0.98,Extremely expensive tuition means Harvard is not affordable.
1152,0.95,A bank transfer moments ago indicates she has paid them.
1153,0.99,"If they cannot swim yet, they are not good at swimming."
1154,0.98,Being healthy again means the cold is gone.
1155,0.99,Not allowed to get closer directly means it is forbidden to approach.
1156,0.95,Watering them regularly strongly suggests someone took care of the plants.
1157,0.99,"If he was already dead by then, he was not alive in the 80s."
1158,0.95,A thick ice layer strongly implies the lake is frozen.
1159,0.98,Being in the advanced course means she is not a beginner.
1160,0.95,Seeing a doctor is a form of seeking medical advice.
1161,0.99,Going out with friends means he did not stay home.
1162,0.95,Voting yesterday implies there was an election recently.
1163,0.99,Spotless directly means completely clean.
1164,0.99,Submitting a blank sheet means they did not answer all questions.
1165,0.98,Being in the changing room means she is not out on the tennis field.
1166,0.9,Being compensated indicates he got the money back or an equivalent settlement.
1167,0.98,No one has responded means nobody answered the ad.
1168,0.95,Not playing any instrument strongly suggests he is not a musician.
1169,0.9,Being in Japan for several months implies he has travelled in Asia.
1170,0.95,Aiming for the mountain top means the goal is the summit.
1171,0.99,"If the customer received it, the package was delivered."
1173,0.99,Skipping the last four lessons means she did not attend the whole course.
1174,0.95,Poor resolution means the screen has a bad image.
1175,0.99,Graduating from medical school last year means she completed her medical studies.
1176,0.99,Private property is not a public building.
1201,0.95,"Not seeing him for ages implies they are not still good friends, or at least not in close contact."
1202,0.9,Sending out an application indicates looking for a job.
1203,0.95,Training with him at the gym implies knowing Lukas.
1204,0.2,The grandfather's death does not answer whether the property is his now; it is related but not sufficient information.
1205,0.99,About 1000 km away clearly means it takes long to drive there.
1206,0.98,A six hour drive means Munich is far from here.
1207,0.95,A train delay makes it unlikely he will be home by noon.
1208,0.98,"If there is still some left, they have not bought cereal."
1209,0.98,Not due for three months means they have not started writing the essay in the sense implied by the question.
1210,0.95,Always congested streets strongly suggest they will be late to the cinema.
1211,0.99,Being vegetarian means she is not coming to the steak house.
1212,0.99,Having the flu means John is staying home.
1213,0.9,Running for hours every day strongly suggests she has registered for the marathon.
1214,0.99,Just woke up means she did not have breakfast already.
1215,0.99,"If it comes out next week, he has not seen that movie yet."
1216,0.95,Having used one before means he knows how to use a drill.
1217,0.95,Celebrating tonight suggests he did not fail the exam.
1218,0.9,"Moving out tomorrow strongly suggests breaking up, though it is not explicit."
1219,0.9,Always falling behind strongly suggests he was fired.
1220,0.9,Being famous for surfing suggests there are big waves here.
1221,0.99,Quite rough means the sea is not safe to swim in.
1222,0.95,Working at an NGO suggests not making a lot of money.
1223,0.95,Authoring many successful books strongly suggests he is famous.
1224,0.99,Still analyzing it means the data has not been presented at the meeting.
1225,0.99,Endangered species means it is not legal to hunt pandas.
1226,0.9,"Enrolling at the gym suggests trying to lose weight, though it is indirect."
1227,0.99,"If the thesis is not complete yet, she has not graduated."
1228,0.9,My hair was way too long implies he got a haircut.
1229,0.99,A business trip means there was no sightseeing vacation.
1230,0.98,Needing a larger one means he did not buy that one-room flat.
1231,0.95,A deadline tomorrow strongly suggests she is stressed about the project.
1232,0.98,Sleeping only four hours means he is tired.
1233,0.99,"If the offer had already expired, he did not book the flight under that offer."
1234,0.95,Getting wounded means the cat should be brought to the vet.
1235,0.99,"If Mark is still missing, they are not ready to go."
1237,0.2,Being Chinese does not directly answer whether the person can cook cantonese rice; it is only a weak cultural association.
1238,0.1,The line went dead does not indicate whether the issue was told to him; it is unrelated to the content of the message.
1239,0.9,Having domestics strongly suggests the house is tidy.
1240,0.98,Just opened means they have not tried the bar yet.
1241,0.95,A house full of history books strongly suggests a passion for history.
1243,0.2,Having only a few guests over does not directly answer whether the saucepan is big enough; it is related but not enough information.
1244,0.98,Only one week off work means not taking a two-week trip.
1245,0.95,Going to have a baby strongly implies avoiding alcohol.
1247,0.98,Still owing the bank money means he did not get a new loan in the sense of having paid it back.
1248,0.99,Only had water means he is not drunk.
1249,0.2,Owning an orchard does not directly answer whether they buy fruit in the supermarket.
1250,0.99,Being 25 years old means the son is not at elementary school.
1251,0.98,Extremely expensive tuition means Harvard is not an option for them.
1252,0.95,A bank transfer moments ago indicates she accepted the deal.
1253,0.99,"If they cannot swim yet, they did not go to the swimming pool for swimming ability."
1254,0.98,Being healthy again means they are no longer taking those pills.
1255,0.95,Not allowed to get closer indicates the area is contaminated or restricted.
1256,0.95,Watering them regularly strongly suggests the plants are still alive.
1257,0.99,"If he was already dead by then, the artwork could not have been created by him in 1981."
1258,0.95,A thick ice layer strongly suggests it is ice skating season.
1259,0.98,Being in the advanced course means the person is not a beginner.
1260,0.95,Seeing a doctor indicates they have been sick.
1261,0.99,Going out with friends means he did not go to bed early.
1262,0.95,Voting yesterday implies the members could elect a representative.
1263,0.99,Spotless means the car is completely clean.
1264,0.99,Submitting a blank sheet means they did not write a good exam.
1265,0.99,Being in the changing room means she is not dressed for the tennis game yet.
1266,0.9,Being compensated suggests he got the money back or a settlement.
1267,0.98,No one has responded means the house has not been sold.
1268,0.95,Not playing any instrument strongly suggests he is not part of the marching band.
1269,0.9,"Being in Japan for several months implies he has tried sushi, though not guaranteed."
1270,0.95,Aiming for the mountain top means the route is uphill.
1271,0.99,"If the customer received it, the package was shipped to them."
1273,0.99,Skipping the last four lessons means she is not very dedicated to the course.
1274,0.2,Poor monitor resolution does not directly answer whether the person's eyes get strained; it is only an indirect cause.
1275,0.95,Graduating from medical school strongly suggests she is a medical doctor.
1276,0.95,"If it is private property, then they have not been inside that building in a permitted sense."
2101,0.95,"Needing to revise topics clearly means yes, they have to study for the test."
2102,0.9,An interesting new movie indicates something has come out recently in cinemas.
2103,0.99,"Quite chilly directly answers yes, it is cold."
2105,0.9,Having heard good things about the book suggests some knowledge about the novel.
2106,0.95,Pulling a muscle last time indicates injury at yoga class.
2107,0.95,Cannot find my phone means the phone is lost.
2108,0.99,Minus 20 degrees clearly means it is cold outside.
2109,0.99,Just entered a church means they are in a religious building.
2110,0.95,Training very hard indicates workouts are usually difficult.
2113,0.9,Working on an exhausting task implies they were working today.
2114,0.95,Not bringing my bikini implies they do not have swimming gear with them.
2115,0.99,Not having time means they are not free at the moment.
2116,0.99,Watching it last month means they did not watch it yesterday.
2117,0.95,Being on a diet suggests they are not eating more than usual.
2118,0.99,Being a Muslim means they do not practise Hinduism.
2119,0.95,Head spinning after beers indicates they are not feeling ok.
2120,0.99,Very tired means they are not feeling energetic.
2121,0.99,Being broke means they do not have money saved up.
2122,0.95,Having used one already in the past means it is not the first experience.
2123,0.99,11 p.m. in Los Angeles means it is not morning there.
2124,0.95,Having a hangover means they are not feeling good.
2125,0.99,Being diabetic means they are not free of chronic disease.
2127,0.95,Usually getting seasick means they do not feel well on boats.
