id,score,rationale
1101,1,"B says they have not seen Martin for ages, which directly contradicts having met him lately. This is a clear no."
1102,7,B says they are sending out an application right now. That directly answers yes to doing something right now.
1103,6,"B says they train with Lukas at the gym, which strongly implies they usually exercise with him. It is not phrased with 'usually,' so very likely yes rather than absolute."
1104,7,B states that his grandfather passed away recently. That clearly means there was a death in his family.
1105,6,"B says Paris is about 1000 km away, which strongly suggests it is very far. The exact threshold for 'very far' is subjective, so very likely yes."
1106,6,"B says it is a six hour drive, which strongly suggests it takes long to get to Munich. This is effectively a yes."
1107,2,"B says the train has some delay, which suggests the journey is not going exactly as planned. It is not a total disaster, but likely no."
1108,1,"B says there is still some cereal left, so they have not finished it. That is definitely no."
1109,1,"B says the essay is not due for three months, so it is not due next week. Clear no."
1110,7,B says the streets are always congested with cars. That directly supports there usually being a lot of traffic.
1111,1,"B says Megan is vegetarian, which means she does not eat meat. Definitely no."
1112,7,B says John has the flu. That clearly means he is sick today.
1113,7,B says Sonya runs for hours every day. That directly indicates she trains daily.
1114,1,"B says Clara just woke up, so she is not still sleeping. Clear no."
1115,1,"B says the movie comes out next week, so it is not being released today. Definitely no."
1116,7,B says they have used a drill before. That directly answers yes to having ever worked with one.
1117,1,"B says they are celebrating tonight, not tomorrow. That means the birthday party does not take place tomorrow."
1118,7,"B says they are moving out tomorrow, which clearly means they are leaving the flat soon."
1119,6,"B says he was always falling behind, which strongly suggests laziness or being a slacker. It is an inference, so very likely yes."
1120,7,B says the region is famous for surfing. That directly means the area is popular for something.
1121,1,"B says the sea is quite rough, which is the opposite of calm. Definitely no."
1122,1,"B says they work at an NGO, not a corporate company. Clear no."
1123,7,B says he has authored many successful books. That clearly means he is a writer.
1124,1,"B says they are still analyzing the data, so they are not finished working on it. Definitely no."
1125,2,"B says pandas are an endangered species, which implies there are not many left. So the answer to 'are there many' is very likely no."
1126,7,"B says they have enrolled at the gym, which directly means they joined a fitness studio."
1127,1,B explicitly says the thesis is not complete yet. Therefore they have not finished writing it.
1128,7,"B says their hair was way too long, which clearly implies they used to have long hair. Definite yes."
1129,2,"B says it was a business trip, which suggests the trip was not for vacation. It does not deny going to Japan, only the purpose, so very likely no."
1130,1,"B says they need a larger flat, which means a one-room flat is not enough. Clear no."
1131,6,"B says the deadline is tomorrow, which strongly implies she has to hand in soon. Very likely yes."
1132,7,B says they slept only four hours. That clearly indicates a short night.
1133,1,"B says the offer had already expired, so the flight was not still discounted. Definitely no."
1134,7,B says the cat got wounded. That directly means it is hurt.
1135,1,"B says Mark is still missing, so not everyone is here. Clear no."
1137,7,"B says they are Chinese, which means they come from Asia. Definitely yes."
1138,4,"B says the line went dead, which could mean the call ended, but not necessarily that B intentionally hung up. This is ambiguous."
1139,6,"B says they have domestics, which strongly implies someone is taking care of the house. Very likely yes."
1140,1,"B says the bar has just opened, so it has not been there for long. Definitely no."
1141,7,"B says his house is full of history books, which clearly indicates he owns many books."
1143,6,"B says only a few guests are coming for dinner, which strongly suggests a small gathering. Very likely yes."
1144,1,"B says they only have one week off work, not two weeks. Clear no."
1145,7,"B says they are going to have a baby, which clearly implies pregnancy. Definitely yes."
1147,1,"B says they still owe the bank some money, so they have not paid back their debts. Definitely no."
1148,1,"B says he only had water, so he did not drink a cocktail tonight. Clear no."
1149,3,"B says they own an orchard, which is about fruit trees, not vegetables. That suggests they do not have a vegetable garden, though it is not impossible they have both."
1150,1,"B says the son is 25 years old, so he is not underage. Definitely no."
1151,1,"B says Harvard's tuition is extremely expensive, which implies it is not affordable. Clear no."
1152,7,B says she made a bank transfer a few moments ago. That clearly means she has paid already.
1153,1,"B says the kids cannot swim yet, so they are not good at swimming. Definitely no."
1154,1,"B says they are healthy again, so they do not still have a cold. Clear no."
1155,7,B says people are not allowed to get closer. That directly means it is forbidden to approach the area.
1156,7,B says they have watered the plants regularly. That clearly means someone took care of them.
1157,1,"B says he was already dead by then, so he was not still alive in the 80s. Definitely no."
1158,7,"B says the ice layer is quite thick, which clearly indicates the lake is frozen."
1159,1,"B says they are in the advanced course, not the beginners' class. Clear no."
1160,7,B says they have seen a doctor. That directly answers yes to having sought medical advice.
1161,1,"B says they went out with friends, so they did not stay home last night. Definitely no."
1162,7,"B says they voted yesterday, which clearly indicates there was an election recently."
1163,7,B says the car is spotless. That directly means it is completely clean.
1164,1,"B says they submitted a blank sheet, so they did not answer all questions. Definitely no."
1165,1,"B says she has just got into the changing room, so she is not out on the tennis field. Clear no."
1166,6,"B says he was compensated, which strongly suggests he got the money back or equivalent reimbursement. Very likely yes."
1167,1,B explicitly says no one has responded. Therefore nobody answered the house sale ad.
1168,1,"B says he does not play any instrument, so he is not a musician. Definitely no."
1169,7,"B says he has been in Japan for several months. Since Japan is in Asia, that clearly means he has travelled in Asia."
1170,7,"B says they are aiming for the mountain top, which directly means the summit is the goal."
1171,7,B says the customer received the package. That clearly means he got it.
1173,2,"B says she skipped the last four lessons, so she did not attend the whole course. Very likely no."
1174,7,"B says the monitor's resolution is really poor, which directly implies a bad image. Definitely yes."
1175,7,B says she graduated from medical school last year. That clearly means she completed her medical studies.
1176,1,"B says it is private property, so it is not a public building. Definitely no."
1201,3,"B says they have not seen Martin for ages, which suggests they may no longer be close friends. But not seeing someone does not definitively mean they are not still good friends, so somewhat likely no."
1202,6,"B says they are sending out an application, which strongly implies they are looking for a job. Very likely yes."
1203,7,"B says they train with Lukas at the gym, which clearly means they know him."
1204,4,"B mentions that his grandfather passed away recently, but that does not directly answer whether the property is his now. Inheritance is possible, but not certain."
1205,6,"B says Paris is about 1000 km away, which strongly suggests it takes long to drive there. Very likely yes."
1206,6,"B says Munich is a six hour drive away, which strongly implies it is far from here. Very likely yes."
1207,3,"B says the train has some delay, which suggests getting home by noon is less likely. But it does not make it impossible, so somewhat likely no."
