id,score,rationale,run_id
1101,1,"Person B's response ('I have not seen him for ages') directly indicates that they have not met Martin lately, answering 'no' to the question.",20260824T093740Z_5937923c
1102,7,"Person B's answer ('I am sending out an application') implies they are currently occupied, strongly suggesting a 'yes' to the question about doing something right now.",20260824T093740Z_5937923c
1103,7,"Person B's response ('I train with him at the gym') directly confirms that they usually exercise with Lukas, answering 'yes'.",20260824T093740Z_5937923c
1104,7,"Person B's answer ('His grandfather passed away recently') confirms that there was a death in his family, answering 'yes'.",20260824T093740Z_5937923c
1105,7,"Person B's response ('It is about 1000 Km away') implies that Paris is far from the current location, answering 'yes' to the question.",20260824T093740Z_5937923c
1106,7,"Person B's answer ('It is a six hour drive') suggests that it does take long to get to Munich, answering 'yes'.",20260824T093740Z_5937923c
1107,3,"Person B's response ('My train has some delay') implies the journey is not going entirely as planned, but it is somewhat ambiguous whether it is a definitive 'no'.",20260824T093740Z_5937923c
1108,1,"Person B's answer ('There is still some left') indicates that they have not finished their cereal, answering 'no'.",20260824T093740Z_5937923c
1109,1,"Person B's response ('It is not due for three months') clearly indicates the deadline is not next week, answering 'no'.",20260824T093740Z_5937923c
1110,7,"Person B's answer ('The streets are always congested with cars') confirms there is usually a lot of traffic, answering 'yes'.",20260824T093740Z_5937923c
1111,1,"Person B's response ('She is vegetarian') implies Megan does not eat meat, answering 'no'.",20260824T093740Z_5937923c
1112,7,"Person B's answer ('He has the flu') confirms that John is sick today, answering 'yes'.",20260824T093740Z_5937923c
1113,7,"Person B's response ('She runs for hours every day') strongly suggests Sonya trains daily, answering 'yes'.",20260824T093740Z_5937923c
1114,1,"Person B's answer ('She just woke up') implies Clara is no longer sleeping, answering 'no'.",20260824T093740Z_5937923c
1115,1,"Person B's response ('It comes out next week') indicates the movie is not being released today, answering 'no'.",20260824T093740Z_5937923c
1116,7,"Person B's answer ('I have used one before') confirms they have worked with a drill, answering 'yes'.",20260824T093740Z_5937923c
1117,1,"Person B's response ('I am celebrating tonight') implies the birthday party is not taking place tomorrow, answering 'no'.",20260824T093740Z_5937923c
1118,7,"Person B's answer ('I am moving out tomorrow') confirms they are leaving their flat soon, answering 'yes'.",20260824T093740Z_5937923c
1119,7,"Person B's response ('He was always falling behind') strongly suggests he is a slacker, answering 'yes'.",20260824T093740Z_5937923c
1120,7,"Person B's answer ('The region is famous for surfing') confirms the area is popular for surfing, answering 'yes'.",20260824T093740Z_5937923c
1121,1,"Person B's response ('It is quite rough') implies the sea is not calm, answering 'no'.",20260824T093740Z_5937923c
1122,1,"Person B's answer ('My job is at an NGO') implies they do not work for a corporate company, answering 'no'.",20260824T093740Z_5937923c
1123,7,"Person B's response ('He has authored many successful books') confirms he is a writer, answering 'yes'.",20260824T093740Z_5937923c
1124,1,"Person B's answer ('I am still analyzing it') implies they are not finished working on their data, answering 'no'.",20260824T093740Z_5937923c
1125,1,"Person B's response ('They are an endangered species') implies there are not many pandas left, answering 'no'.",20260824T093740Z_5937923c
1126,7,"Person B's answer ('I have enrolled at the gym') confirms they have joined a fitness studio, answering 'yes'.",20260824T093740Z_5937923c
1127,1,"Person B's response ('My thesis is not complete yet') clearly indicates they have not finished writing their thesis, answering 'no'.",20260824T093740Z_5937923c
1128,7,"Person B's answer ('My hair was way too long') confirms they used to have long hair, answering 'yes'.",20260824T093740Z_5937923c
1129,1,"Person B's response ('It was a business trip') implies they did not go to Japan for vacation, answering 'no'.",20260824T093740Z_5937923c
1130,1,"Person B's answer ('I need a larger one') implies a one-room flat is not enough, answering 'no'.",20260824T093740Z_5937923c
1131,7,"Person B's response ('The deadline is tomorrow') implies she has to hand in soon, answering 'yes'.",20260824T093740Z_5937923c
1132,7,"Person B's answer ('I slept only four hours') confirms they had a short night, answering 'yes'.",20260824T093740Z_5937923c
1133,1,"Person B's response ('The offer had already expired') implies the flight was no longer discounted, answering 'no'.",20260824T093740Z_5937923c
1134,7,"Person B's answer ('It got wounded') confirms the cat is hurt, answering 'yes'.",20260824T093740Z_5937923c
1135,1,"Person B's response ('Mark is still missing') implies not everyone is present, answering 'no'.",20260824T093740Z_5937923c
1137,7,"Person B's answer ('I am Chinese') confirms they come from Asia, answering 'yes'.",20260824T093740Z_5937923c
1138,4,Person B's response ('The line went dead') is ambiguous and does not clearly indicate whether they hung up or not.,20260824T093740Z_5937923c
1139,7,"Person B's answer ('They have domestics') confirms someone is taking care of their house, answering 'yes'.",20260824T093740Z_5937923c
1140,1,"Person B's response ('They have just opened') implies the bar has not been there for long, answering 'no'.",20260824T093740Z_5937923c
1141,7,"Person B's answer ('His house is full of history books') implies he owns many books, answering 'yes'.",20260824T093740Z_5937923c
1143,1,"Person B's response ('We have only few guests over for dinner') implies it is not a small gathering, answering 'no'.",20260824T093740Z_5937923c
1144,1,"Person B's answer ('I only have one week off work') implies they do not have two weeks of holiday, answering 'no'.",20260824T093740Z_5937923c
1145,7,"Person B's response ('I am going to have a baby') confirms they are pregnant, answering 'yes'.",20260824T093740Z_5937923c
1147,1,"Person B's answer ('I still owe the bank some money') implies they have not paid back their debts, answering 'no'.",20260824T093740Z_5937923c
1148,1,"Person B's response ('He only had water') implies he did not drink a cocktail, answering 'no'.",20260824T093740Z_5937923c
1149,1,"Person B's answer ('I own an orchard') implies they do not have a vegetable garden, answering 'no'.",20260824T093740Z_5937923c
1150,1,"Person B's response ('He is 25 years old') implies their son is not underage, answering 'no'.",20260824T093740Z_5937923c
1151,1,"Person B's answer ('Their tuition fee is extremely expensive') implies Harvard University is not affordable, answering 'no'.",20260824T093740Z_5937923c
1152,7,"Person B's response ('She made a bank transfer few moments ago') confirms she has paid, answering 'yes'.",20260824T093740Z_5937923c
1153,1,"Person B's answer ('They cannot swim yet') implies the kids are not good at swimming, answering 'no'.",20260824T093740Z_5937923c
