id,score,rationale,run_id
1101,1,"Person B states they have not seen Martin for ages, which directly implies a 'no' answer to having met him lately.",20260824T093740Z_5937923c
1102,7,"Person B specifies the task they are currently doing (sending an application), which is a clear 'yes'.",20260824T093740Z_5937923c
1103,7,"Person B confirms training with Lukas at the gym, directly answering 'yes'.",20260824T093740Z_5937923c
1104,7,"Person B states that the grandfather passed away, which confirms a death in the family.",20260824T093740Z_5937923c
1105,6,"Person B states it is 1000 km away, which implies a very likely 'yes' to it being far.",20260824T093740Z_5937923c
1106,6,"A six-hour drive is generally considered a long time to travel, strongly indicating 'yes'.",20260824T093740Z_5937923c
1107,2,"Having a train delay indicates that the journey is not going as planned, answering 'no'.",20260824T093740Z_5937923c
1108,1,"Person B states there is still cereal left, meaning they have not finished it.",20260824T093740Z_5937923c
1109,1,"Person B notes the essay is not due for three months, meaning the deadline is definitely not next week.",20260824T093740Z_5937923c
1110,7,"Person B states streets are always congested, which directly means there is a lot of traffic.",20260824T093740Z_5937923c
1111,1,"Vegetarians do not eat meat, so Person B's answer is a clear 'no'.",20260824T093740Z_5937923c
1112,7,"Having the flu means John is sick, answering 'yes'.",20260824T093740Z_5937923c
1113,7,Running for hours every day means Sonya trains daily.,20260824T093740Z_5937923c
1114,1,"Person B states she just woke up, meaning she is no longer sleeping.",20260824T093740Z_5937923c
1115,1,"Person B states the movie comes out next week, so it is not being released today.",20260824T093740Z_5937923c
1116,7,"Person B confirms having used a drill before, answering 'yes'.",20260824T093740Z_5937923c
1117,1,Celebrating tonight means the party is not taking place tomorrow.,20260824T093740Z_5937923c
1118,7,Moving out tomorrow implies leaving the flat soon.,20260824T093740Z_5937923c
1119,6,"Person B indicates he was always falling behind, strongly suggesting he is a slacker.",20260824T093740Z_5937923c
1120,7,Being famous for surfing confirms the area is popular for something.,20260824T093740Z_5937923c
1121,1,Describing the sea as rough directly contradicts it being calm.,20260824T093740Z_5937923c
1122,1,"An NGO is a non-governmental organization, which is distinct from a corporate company.",20260824T093740Z_5937923c
1123,7,Authoring many successful books means he is a writer.,20260824T093740Z_5937923c
1124,1,Still analyzing the data means Person B is not finished working on it.,20260824T093740Z_5937923c
1125,2,"Endangered species have low population counts, strongly implying 'no' to there being many left.",20260824T093740Z_5937923c
1126,7,Enrolling at a gym confirms joining a fitness studio.,20260824T093740Z_5937923c
1127,1,Person B explicitly states the thesis is not complete yet.,20260824T093740Z_5937923c
1128,7,"Person B agrees that their hair used to be way too long, answering 'yes'.",20260824T093740Z_5937923c
1129,1,"Person B clarifies that it was a business trip, not a vacation.",20260824T093740Z_5937923c
1130,1,Needing a larger flat indicates that a one-room flat is not enough.,20260824T093740Z_5937923c
1131,7,A deadline of tomorrow clearly implies having to hand it in soon.,20260824T093740Z_5937923c
1132,7,Only sleeping four hours qualifies as having a short night.,20260824T093740Z_5937923c
1133,1,An expired offer means the discount is no longer active.,20260824T093740Z_5937923c
1134,7,"Person B states the cat got wounded, confirming it is hurt.",20260824T093740Z_5937923c
1135,1,Mark still missing means not everyone is present.,20260824T093740Z_5937923c
