evaluator,evaluator_provider,evaluator_name,evaluator_type,direct,indirect,all
qwen/qwen3.8-2.4t-a95b,qwen,qwen3.8-2.4t-a95b,open,1.000,0.986,0.993
qwen/qwen3.8-27b,qwen,qwen3.8-27b,open,0.993,0.964,0.978
mistralai/mistral-large-2512,mistralai,mistral-large-2512,open,0.978,0.949,0.964
google/gemma-4-26b-a4b-it,google,gemma-4-26b-a4b-it,open,0.971,0.942,0.957
mistralai/ministral-14b-2512,mistralai,ministral-14b-2512,open,0.971,0.942,0.957
meta-llama/llama-4-maverick,meta-llama,llama-4-maverick,open,0.942,0.935,0.938
meta-llama/llama-3.3-70b-instruct,meta-llama,llama-3.3-70b-instruct,open,0.928,0.920,0.924
meta-llama/llama-4-scout,meta-llama,llama-4-scout,open,0.903,0.917,0.910
mistralai/mistral-small-2603,mistralai,mistral-small-2603,open,0.891,0.913,0.902
google/gemma-3-27b-it,google,gemma-3-27b-it,open,0.862,0.818,0.848
