id,score,rationale,run_id
1101,1,Not seeing him for ages implies they haven't met.,20260824T093740Z_5937923c
1102,7,Sending an application confirms doing something.,20260824T093740Z_5937923c
1103,6,Training together at the gym confirms usual exercise together.,20260824T093740Z_5937923c
1104,7,Grandfather passing confirms a death in family.,20260824T093740Z_5937923c
1105,6,1000km is indeed far.,20260824T093740Z_5937923c
1106,6,Six hour drive confirms it takes long.,20260824T093740Z_5937923c
1107,2,Train delay means journey not going as planned.,20260824T093740Z_5937923c
1108,2,Some cereal left means not finished.,20260824T093740Z_5937923c
1109,1,Deadline in three months contradicts next week.,20260824T093740Z_5937923c
1110,7,Always congested confirms usual traffic.,20260824T093740Z_5937923c
1111,1,Vegetarian means she doesn't eat meat.,20260824T093740Z_5937923c
1112,7,Flu confirms sickness.,20260824T093740Z_5937923c
1113,7,Running for hours daily confirms daily training.,20260824T093740Z_5937923c
1114,2,Just woke up means not still sleeping.,20260824T093740Z_5937923c
1115,1,Coming out next week means not released today.,20260824T093740Z_5937923c
1116,7,Used one before confirms experience.,20260824T093740Z_5937923c
1117,2,Celebrating tonight contradicts tomorrow.,20260824T093740Z_5937923c
1118,7,Moving out tomorrow confirms leaving soon.,20260824T093740Z_5937923c
1119,6,Falling behind implies a slacker.,20260824T093740Z_5937923c
1120,7,Famous for surfing confirms popularity.,20260824T093740Z_5937923c
1121,1,Rough sea contradicts calm.,20260824T093740Z_5937923c
1122,1,NGO job contradicts corporate.,20260824T093740Z_5937923c
1123,7,Authored many books confirms writer.,20260824T093740Z_5937923c
1124,1,Still analyzing means not finished.,20260824T093740Z_5937923c
1125,2,"Endangered implies few left, indirect no.",20260824T093740Z_5937923c
1126,7,Enrolled at gym confirms joining fitness studio.,20260824T093740Z_5937923c
1127,1,Thesis not complete means not finished.,20260824T093740Z_5937923c
1128,6,Hair being too long confirms past long hair.,20260824T093740Z_5937923c
1129,1,Business trip contradicts vacation.,20260824T093740Z_5937923c
1130,1,Needing larger flat means one room isn't enough.,20260824T093740Z_5937923c
1131,7,Deadline tomorrow confirms urgency to hand in.,20260824T093740Z_5937923c
1132,6,Only four hours sleep confirms a short night.,20260824T093740Z_5937923c
1133,1,Offer expired means no longer discounted.,20260824T093740Z_5937923c
1134,7,Wounded confirms cat is hurt.,20260824T093740Z_5937923c
1135,1,Mark missing means not everyone is here.,20260824T093740Z_5937923c
1137,7,Chinese confirms Asian origin.,20260824T093740Z_5937923c
1138,5,"Line going dead suggests call ended, loosely confirming hang up.",20260824T093740Z_5937923c
1139,7,Domestics confirm house is cared for.,20260824T093740Z_5937923c
1140,1,Just opened means not here for long.,20260824T093740Z_5937923c
1141,7,House full of books confirms owning many.,20260824T093740Z_5937923c
1143,6,Few guests confirms small gathering.,20260824T093740Z_5937923c
1144,1,One week off contradicts two weeks.,20260824T093740Z_5937923c
1145,7,Having a baby confirms pregnancy.,20260824T093740Z_5937923c
1147,1,Still owing money means debts not paid.,20260824T093740Z_5937923c
1148,1,Only water contradicts cocktail.,20260824T093740Z_5937923c
1149,2,"Orchard implies fruit trees, not vegetable garden.",20260824T093740Z_5937923c
1150,1,25 years old contradicts underage.,20260824T093740Z_5937923c
1151,1,Expensive tuition contradicts affordability.,20260824T093740Z_5937923c
1152,7,Bank transfer confirms payment.,20260824T093740Z_5937923c
1153,1,Cannot swim contradicts being good at swimming.,20260824T093740Z_5937923c
1154,1,Healthy again means cold is gone.,20260824T093740Z_5937923c
1155,7,Not allowed closer confirms restriction.,20260824T093740Z_5937923c
1156,7,Regular watering confirms care taken.,20260824T093740Z_5937923c
1157,1,Already dead contradicts being alive in 80s.,20260824T093740Z_5937923c
1158,7,Thick ice confirms frozen lake.,20260824T093740Z_5937923c
1159,1,Advanced course contradicts beginners class.,20260824T093740Z_5937923c
1160,7,Seeing doctor confirms seeking medical advice.,20260824T093740Z_5937923c
1161,1,Going out contradicts staying home.,20260824T093740Z_5937923c
1162,7,Voting confirms an election occurred.,20260824T093740Z_5937923c
1163,7,Spotless confirms completely clean.,20260824T093740Z_5937923c
1164,1,Blank sheet means questions not answered.,20260824T093740Z_5937923c
1165,2,In changing room means not yet on the field.,20260824T093740Z_5937923c
1166,6,Compensated implies money returned.,20260824T093740Z_5937923c
1167,1,No response means no one answered.,20260824T093740Z_5937923c
1168,1,Not playing instrument contradicts being a musician.,20260824T093740Z_5937923c
1169,7,Time in Japan confirms travel in Asia.,20260824T093740Z_5937923c
1170,7,Aiming for mountain top confirms summit goal.,20260824T093740Z_5937923c
1171,7,Receiving package confirms delivery.,20260824T093740Z_5937923c
1173,1,Skipping lessons contradicts full attendance.,20260824T093740Z_5937923c
1174,7,Poor resolution confirms bad image.,20260824T093740Z_5937923c
1175,7,Graduating confirms completed studies.,20260824T093740Z_5937923c
1176,1,Private property contradicts public building.,20260824T093740Z_5937923c
1201,2,Not seeing him for ages suggests weakened friendship.,20260824T093740Z_5937923c
1202,7,Sending application confirms job search.,20260824T093740Z_5937923c
1203,7,Training together confirms knowing Lukas.,20260824T093740Z_5937923c
1204,5,"Grandfather's death may imply inheritance, but not explicit.",20260824T093740Z_5937923c
1205,6,1000km confirms a long drive.,20260824T093740Z_5937923c
1206,6,Six hour drive confirms distance.,20260824T093740Z_5937923c
1207,2,Train delay suggests won't be home by noon.,20260824T093740Z_5937923c
1208,4,Cereal left doesn't directly confirm buying.,20260824T093740Z_5937923c
1209,3,"No urgency implied, possibly hasn't started.",20260824T093740Z_5937923c
1210,6,Congested streets imply likely lateness.,20260824T093740Z_5937923c
1211,2,Vegetarian implies unlikely to go to steak house.,20260824T093740Z_5937923c
1212,6,Flu implies staying home likely.,20260824T093740Z_5937923c
1213,4,Running daily doesn't confirm marathon registration.,20260824T093740Z_5937923c
1214,2,Just woke up implies no breakfast yet.,20260824T093740Z_5937923c
1215,1,Not yet released means hasn't been seen.,20260824T093740Z_5937923c
1216,7,Used before confirms knowledge of drill.,20260824T093740Z_5937923c
1217,2,"Celebrating implies success, not failure.",20260824T093740Z_5937923c
1218,4,Moving out could relate to breakup but not explicit.,20260824T093740Z_5937923c
1219,5,Falling behind suggests possible firing.,20260824T093740Z_5937923c
1220,6,Surfing fame implies big waves.,20260824T093740Z_5937923c
1221,2,Rough sea implies unsafe swimming.,20260824T093740Z_5937923c
1222,2,NGO job implies modest income.,20260824T093740Z_5937923c
1223,6,Successful books imply fame.,20260824T093740Z_5937923c
1224,1,Still analyzing means not presented yet.,20260824T093740Z_5937923c
1225,2,Endangered status implies illegal hunting.,20260824T093740Z_5937923c
1226,4,Gym enrollment doesn't confirm weight loss.,20260824T093740Z_5937923c
1227,1,Thesis incomplete means no graduation.,20260824T093740Z_5937923c
1228,5,Implies hair was cut after being too long.,20260824T093740Z_5937923c
1229,2,Business trip implies little time for sightseeing.,20260824T093740Z_5937923c
1230,1,Needing larger flat means didn't buy small one.,20260824T093740Z_5937923c
1231,6,Deadline tomorrow implies stress.,20260824T093740Z_5937923c
1232,6,Four hours sleep implies tiredness.,20260824T093740Z_5937923c
1233,2,Expired offer implies flight not booked.,20260824T093740Z_5937923c
1234,6,Wounded cat implies vet visit likely.,20260824T093740Z_5937923c
1235,1,Mark missing means not ready.,20260824T093740Z_5937923c
1237,5,Being Chinese implies likely ability to cook Cantonese rice.,20260824T093740Z_5937923c
1238,2,Line going dead suggests call cut before telling.,20260824T093740Z_5937923c
1239,5,Domestics imply house likely tidy.,20260824T093740Z_5937923c
1240,2,Just opened implies bar not yet tried.,20260824T093740Z_5937923c
1241,7,History books confirm passion for history.,20260824T093740Z_5937923c
1243,4,Few guests may or may not need big saucepan.,20260824T093740Z_5937923c
1244,1,One week off contradicts two-week trip.,20260824T093740Z_5937923c
1245,6,Pregnancy implies avoiding alcohol.,20260824T093740Z_5937923c
1247,3,"Owing money suggests financial need, ambiguous about new loan.",20260824T093740Z_5937923c
1248,1,Only water contradicts drinking.,20260824T093740Z_5937923c
1249,2,"Owning orchard implies growing own fruit, not buying.",20260824T093740Z_5937923c
1250,1,25 years old contradicts elementary school.,20260824T093740Z_5937923c
1251,2,Expensive tuition implies unlikely option.,20260824T093740Z_5937923c
1252,6,Bank transfer implies deal accepted.,20260824T093740Z_5937923c
1253,2,Cannot swim implies unlikely pool visit.,20260824T093740Z_5937923c
1254,2,Healthy again implies no longer taking pills.,20260824T093740Z_5937923c
1255,5,Restricted access suggests contamination likely.,20260824T093740Z_5937923c
