id,score,rationale,run_id
1101,1,"Person B says they have not seen Martin for ages, which directly implies they have not met him lately. This is a clear 'no' answer.",20260824T093740Z_5937923c
1102,7,"Person B says they are sending out an application, which is clearly doing something right now. Definite 'yes'.",20260824T093740Z_5937923c
1103,7,"Person B confirms they train with Lukas at the gym, directly answering yes to exercising with him.",20260824T093740Z_5937923c
1104,7,"Person B says his grandfather passed away recently, which directly confirms a death in the family.",20260824T093740Z_5937923c
1105,5,"1000 km is quite far, so the answer leans toward yes, but 'far' is subjective. The distance implies it is quite far, so somewhat likely yes.",20260824T093740Z_5937923c
1106,6,"A six-hour drive is a significant distance, implying it does take long to get to Munich. Very likely yes.",20260824T093740Z_5937923c
1107,2,"The train has some delay, suggesting the journey is not going as planned. Very likely no.",20260824T093740Z_5937923c
1108,2,"There is still some left, meaning they have not finished their cereal. Very likely no.",20260824T093740Z_5937923c
1109,1,"The deadline is not for three months, clearly indicating it is not next week. Definitely no.",20260824T093740Z_5937923c
1110,7,Streets always congested with cars directly confirms there is usually a lot of traffic. Definitely yes.,20260824T093740Z_5937923c
1111,1,"She is vegetarian, so she does not eat meat. Definitely no.",20260824T093740Z_5937923c
1112,7,Having the flu confirms John is sick today. Definitely yes.,20260824T093740Z_5937923c
1113,7,"She runs for hours every day, confirming she trains daily. Definitely yes.",20260824T093740Z_5937923c
1114,1,"She just woke up, meaning she is no longer sleeping. Definitely no.",20260824T093740Z_5937923c
1115,1,"It comes out next week, not today. Definitely no.",20260824T093740Z_5937923c
1116,7,Person B confirms they have used a drill before. Definitely yes.,20260824T093740Z_5937923c
1117,2,"The party is tonight, not tomorrow. Very likely no.",20260824T093740Z_5937923c
1118,6,Moving out tomorrow implies leaving the flat soon. Very likely yes.,20260824T093740Z_5937923c
1119,6,Always falling behind strongly implies he is a slacker. Very likely yes.,20260824T093740Z_5937923c
1120,7,"The region is famous for surfing, directly confirming it is popular for something. Definitely yes.",20260824T093740Z_5937923c
1121,1,"The sea is quite rough, meaning it is not calm. Definitely no.",20260824T093740Z_5937923c
1122,1,Working at an NGO is not a corporate company. Definitely no.,20260824T093740Z_5937923c
1123,7,Authoring many successful books confirms he is a writer. Definitely yes.,20260824T093740Z_5937923c
1124,1,Still analyzing data means not finished. Definitely no.,20260824T093740Z_5937923c
1125,1,Being an endangered species means there are not many left. Definitely no.,20260824T093740Z_5937923c
1126,7,Enrolling at the gym is equivalent to joining a fitness studio. Definitely yes.,20260824T093740Z_5937923c
1127,1,"The thesis is not complete yet, so not finished. Definitely no.",20260824T093740Z_5937923c
1128,7,Hair was way too long confirms they used to have long hair. Definitely yes.,20260824T093740Z_5937923c
1129,1,"It was a business trip, not a vacation. Definitely no.",20260824T093740Z_5937923c
1130,1,Needing a larger flat means a one-room flat is not enough. Definitely no.,20260824T093740Z_5937923c
1131,7,"The deadline is tomorrow, confirming she has to hand in soon. Definitely yes.",20260824T093740Z_5937923c
1132,7,Sleeping only four hours confirms it was a short night. Definitely yes.,20260824T093740Z_5937923c
1133,1,"The offer had already expired, meaning the flight was no longer discounted. Definitely no.",20260824T093740Z_5937923c
1134,7,Getting wounded confirms the cat is hurt. Definitely yes.,20260824T093740Z_5937923c
1135,1,"Mark is still missing, so not everyone is there. Definitely no.",20260824T093740Z_5937923c
1137,7,Being Chinese confirms coming from Asia. Definitely yes.,20260824T093740Z_5937923c
1138,4,"The line went dead could mean the call ended, but it is ambiguous whether Person B hung up or the connection was lost. Somewhat ambiguous.",20260824T093740Z_5937923c
1139,7,Having domestics (household staff) confirms someone is taking care of their house. Definitely yes.,20260824T093740Z_5937923c
1140,1,"They have just opened, meaning the bar has not been there for long. Definitely no.",20260824T093740Z_5937923c
1141,7,House full of history books confirms he owns many books. Definitely yes.,20260824T093740Z_5937923c
1143,7,Having only a few guests over for dinner confirms it is a small gathering. Definitely yes.,20260824T093740Z_5937923c
1144,1,Only one week off work means they do not have two weeks of holiday. Definitely no.,20260824T093740Z_5937923c
1145,7,Going to have a baby directly confirms pregnancy. Definitely yes.,20260824T093740Z_5937923c
1147,1,Still owing the bank money means debts have not been paid back. Definitely no.,20260824T093740Z_5937923c
1148,1,"He only had water, so he did not drink a cocktail. Definitely no.",20260824T093740Z_5937923c
1149,3,"An orchard grows fruit trees, not vegetables, so it is not a vegetable garden. Somewhat likely no, but there is slight ambiguity about whether an orchard could be considered a garden.",20260824T093740Z_5937923c
1150,1,"He is 25 years old, so he is not underage. Definitely no.",20260824T093740Z_5937923c
1151,1,Extremely expensive tuition means it is not affordable. Definitely no.,20260824T093740Z_5937923c
1152,7,Making a bank transfer confirms she has paid. Definitely yes.,20260824T093740Z_5937923c
1153,1,"They cannot swim yet, so they are not good at swimming. Definitely no.",20260824T093740Z_5937923c
1154,1,Being healthy again means the cold is gone. Definitely no.,20260824T093740Z_5937923c
1155,7,People not being allowed to get closer confirms it is forbidden to approach. Definitely yes.,20260824T093740Z_5937923c
1156,7,Watering them regularly confirms someone took care of the plants. Definitely yes.,20260824T093740Z_5937923c
1157,1,"He was already dead by then, so he was not alive in the 80s. Definitely no.",20260824T093740Z_5937923c
1158,7,A thick ice layer confirms the lake is frozen. Definitely yes.,20260824T093740Z_5937923c
1159,1,Being in the advanced course means not attending the beginners' class. Definitely no.,20260824T093740Z_5937923c
1160,7,Seeing a doctor confirms seeking medical advice. Definitely yes.,20260824T093740Z_5937923c
1161,1,Going out with friends means they did not stay home. Definitely no.,20260824T093740Z_5937923c
1162,7,They voted yesterday confirms there was a recent election. Definitely yes.,20260824T093740Z_5937923c
1163,7,Spotless means completely clean. Definitely yes.,20260824T093740Z_5937923c
1164,1,Submitting a blank sheet means they answered no questions. Definitely no.,20260824T093740Z_5937923c
1165,1,"She just got into the changing room, so she is not on the tennis field. Definitely no.",20260824T093740Z_5937923c
1166,7,Being compensated confirms he got money back. Definitely yes.,20260824T093740Z_5937923c
1167,1,No one has responded confirms no one answered the ad. Definitely no.,20260824T093740Z_5937923c
1168,1,Not playing any instrument strongly implies he is not a musician. Definitely no.,20260824T093740Z_5937923c
1169,7,Being in Japan for several months confirms he has travelled in Asia. Definitely yes.,20260824T093740Z_5937923c
1170,7,Aiming for the mountain top confirms the summit is the goal. Definitely yes.,20260824T093740Z_5937923c
1171,7,The customer received it confirms the package was delivered. Definitely yes.,20260824T093740Z_5937923c
1173,1,Skipping the last four lessons means she did not attend the whole course. Definitely no.,20260824T093740Z_5937923c
1174,7,Poor monitor resolution confirms a bad image on the screen. Definitely yes.,20260824T093740Z_5937923c
1175,7,Graduating from medical school confirms completing medical studies. Definitely yes.,20260824T093740Z_5937923c
1176,1,"It is private property, so it is not a public building. Definitely no.",20260824T093740Z_5937923c
1201,2,"Not seeing Martin for ages suggests the friendship may have faded, making it very likely no, though it does not definitively confirm they are no longer good friends.",20260824T093740Z_5937923c
1202,7,Sending out an application directly implies looking for a job. Definitely yes.,20260824T093740Z_5937923c
1203,7,Training with Lukas at the gym confirms knowing him. Definitely yes.,20260824T093740Z_5937923c
1204,5,"The grandfather passing away recently could imply inheritance, making it somewhat likely yes, but it is not certain.",20260824T093740Z_5937923c
1205,6,"1000 km is a long drive, implying it does take long. Very likely yes.",20260824T093740Z_5937923c
1206,7,A six-hour drive confirms Munich is far from here. Definitely yes.,20260824T093740Z_5937923c
1207,2,A train delay suggests being home by noon is unlikely. Very likely no.,20260824T093740Z_5937923c
1208,1,"There is still some left means they have not bought new cereal (or did not need to). Actually this implies they still have cereal, so they may not have needed to buy more. Definitely no.",20260824T093740Z_5937923c
1209,2,"Not due for three months suggests they probably have not started yet, but it is not certain. Very likely no.",20260824T093740Z_5937923c
1210,6,Streets always congested suggests they will likely be late. Very likely yes.,20260824T093740Z_5937923c
1211,1,Being vegetarian means she would not go to a steak house (or would be very unlikely to). Definitely no.,20260824T093740Z_5937923c
1212,6,Having the flu suggests he would stay home. Very likely yes.,20260824T093740Z_5937923c
1213,5,"Running for hours every day suggests she is serious about fitness and might have registered, but it does not confirm registration. Somewhat likely yes.",20260824T093740Z_5937923c
1214,1,Just waking up means she has not had breakfast yet. Definitely no.,20260824T093740Z_5937923c
1215,1,"It comes out next week, so it has not been seen yet. Definitely no.",20260824T093740Z_5937923c
