id,score,rationale,run_id
1101,2,"The reply says they have not seen Martin for ages, which strongly suggests no recent meeting.",20260821T125948Z_8dbb5082
1102,1,"They say they are sending out an application, which answers the present-time question by indicating they are doing that instead of the implied alternative. This is a direct yes to being busy, but not to the exact wording; still strongly affirmative overall.",20260821T125948Z_8dbb5082
1103,6,"Training with him at the gym indicates they do exercise together, which supports the question strongly.",20260821T125948Z_8dbb5082
1104,6,Saying the grandfather passed away recently is a clear yes to there being a death in the family.,20260821T125948Z_8dbb5082
1105,6,Saying Paris is about 1000 km away clearly indicates it is very far.,20260821T125948Z_8dbb5082
1106,6,A six hour drive implies it does take a long time to get there.,20260821T125948Z_8dbb5082
1107,2,"A delay in the train suggests the journey is not going as planned, so the answer leans no.",20260821T125948Z_8dbb5082
1108,2,Saying there is still some left means they have not finished their cereal.,20260821T125948Z_8dbb5082
1109,1,"If it is not due for three months, the deadline is definitely not next week.",20260821T125948Z_8dbb5082
1110,7,"The streets are always congested with cars, which is a very strong yes to there being a lot of traffic.",20260821T125948Z_8dbb5082
1111,7,Being vegetarian directly implies she does not eat meat.,20260821T125948Z_8dbb5082
1112,7,Having the flu clearly means he is sick.,20260821T125948Z_8dbb5082
1113,7,Running for hours every day strongly implies daily training.,20260821T125948Z_8dbb5082
1114,1,"She just woke up, so she is definitely not still sleeping.",20260821T125948Z_8dbb5082
1115,1,"If it comes out next week, it is not being released today.",20260821T125948Z_8dbb5082
1116,6,Having used a drill before indicates prior experience with one.,20260821T125948Z_8dbb5082
1117,2,"Celebrating tonight means the party is not tomorrow, so the answer is no.",20260821T125948Z_8dbb5082
1118,6,"Moving out tomorrow means leaving the flat soon, though the wording is slightly indirect.",20260821T125948Z_8dbb5082
1119,6,Always falling behind strongly suggests he is a slacker.,20260821T125948Z_8dbb5082
1120,7,Being famous for surfing directly answers that the area is popular for something.,20260821T125948Z_8dbb5082
1121,1,Quite rough is the opposite of calm.,20260821T125948Z_8dbb5082
1122,1,Working at an NGO means not working for a corporate company.,20260821T125948Z_8dbb5082
1123,6,Authoring many successful books strongly indicates he is a writer.,20260821T125948Z_8dbb5082
1124,1,Still analyzing it means the work is not finished.,20260821T125948Z_8dbb5082
1125,6,An endangered species implies there are not many pandas left.,20260821T125948Z_8dbb5082
1126,6,Enrolling at the gym strongly suggests joining a fitness studio.,20260821T125948Z_8dbb5082
1127,1,"If the thesis is not complete yet, it has not been finished.",20260821T125948Z_8dbb5082
1128,6,Saying the hair was way too long strongly suggests they used to have long hair.,20260821T125948Z_8dbb5082
1129,1,A business trip is not a vacation.,20260821T125948Z_8dbb5082
1130,1,Needing a larger one means a one-room flat is not enough.,20260821T125948Z_8dbb5082
1131,5,"A deadline tomorrow means it is due soon, but not necessarily exactly as asked; still likely yes to needing to hand it in soon.",20260821T125948Z_8dbb5082
1132,6,Sleeping only four hours indicates a short night.,20260821T125948Z_8dbb5082
1133,1,"If the offer had already expired, it was not still discounted.",20260821T125948Z_8dbb5082
1134,7,Got wounded clearly means the cat is hurt.,20260821T125948Z_8dbb5082
1135,2,Mark is still missing implies not everyone is here.,20260821T125948Z_8dbb5082
1137,5,"Being Chinese suggests coming from Asia, but not with absolute certainty because nationality and birthplace can differ. It is likely yes.",20260821T125948Z_8dbb5082
1138,2,"The line went dead suggests the call ended, so they did hang up.",20260821T125948Z_8dbb5082
1139,5,"Having domestics suggests someone takes care of the house, though the answer is indirect.",20260821T125948Z_8dbb5082
1140,2,They have just opened means the bar has not been there for long.,20260821T125948Z_8dbb5082
1141,7,A house full of history books strongly indicates he owns many books.,20260821T125948Z_8dbb5082
1143,6,Only a few guests over for dinner means there is a small gathering.,20260821T125948Z_8dbb5082
1144,2,Only one week off work means they do not have two weeks of holiday.,20260821T125948Z_8dbb5082
1145,6,Going to have a baby is a clear indirect yes to being pregnant.,20260821T125948Z_8dbb5082
