id,score,rationale,run_id
1101,1,"Person B explicitly states they have not seen Martin for ages, which directly answers 'no' to having met him lately.",20260824T093740Z_5937923c
1102,6,"By stating they are sending out an application, Person B confirms they are currently engaged in a task, strongly implying 'yes'.",20260824T093740Z_5937923c
1103,6,"Training with Lukas at the gym directly confirms that Person B usually exercises with him, answering 'yes'.",20260824T093740Z_5937923c
1104,7,"The grandfather passing away is a death in the family, definitively confirming the question with 'yes'.",20260824T093740Z_5937923c
1105,5,"Stating it is 1000 km away implies distance, but whether that counts as 'very far' depends on context (e.g., mode of transport). It leans toward yes but remains somewhat subjective.",20260824T093740Z_5937923c
1106,5,"A six-hour drive is generally considered long, suggesting 'yes', though personal tolerance for travel time makes it somewhat subjective.",20260824T093740Z_5937923c
1107,2,"A train delay indicates the journey is not going as planned, strongly leaning toward 'no'.",20260824T093740Z_5937923c
1108,2,"Having cereal left means they have not finished it, clearly answering 'no'.",20260824T093740Z_5937923c
1109,2,"Being due in three months contradicts the idea that the deadline is next week, answering 'no'.",20260824T093740Z_5937923c
1110,7,"Streets always being congested directly confirms there is usually a lot of traffic, answering 'definitely yes'.",20260824T093740Z_5937923c
1111,1,"Being vegetarian means she does not eat meat, definitively answering 'no'.",20260824T093740Z_5937923c
1112,7,"Having the flu is a sickness, confirming he is sick today with 'definitely yes'.",20260824T093740Z_5937923c
1113,7,"Running for hours every day confirms daily training, answering 'definitely yes'.",20260824T093740Z_5937923c
1114,2,"Just waking up means she is no longer sleeping, answering 'no'.",20260824T093740Z_5937923c
1115,2,"Coming out next week contradicts releasing today, answering 'no'.",20260824T093740Z_5937923c
1116,7,"Having used a drill before confirms past experience, answering 'definitely yes'.",20260824T093740Z_5937923c
1117,2,"Celebrating tonight contradicts the party taking place tomorrow, answering 'no'.",20260824T093740Z_5937923c
1118,7,"Moving out tomorrow confirms leaving the flat soon, answering 'definitely yes'.",20260824T093740Z_5937923c
1119,7,"Always falling behind is a clear indicator of slacking off, confirming he is a slacker with 'definitely yes'.",20260824T093740Z_5937923c
1120,7,"Being famous for surfing confirms the area is popular for something, answering 'definitely yes'.",20260824T093740Z_5937923c
1121,2,"Rough seas are the opposite of calm, answering 'no'.",20260824T093740Z_5937923c
1122,2,"Working at an NGO contradicts working for a corporate company, answering 'no'.",20260824T093740Z_5937923c
1123,7,"Authoring many successful books confirms he is a writer, answering 'definitely yes'.",20260824T093740Z_5937923c
1124,2,"Still analyzing the data means the work is not finished, answering 'no'.",20260824T093740Z_5937923c
1125,7,"Being an endangered species implies their numbers are low, confirming there are not many left, answering 'definitely yes'.",20260824T093740Z_5937923c
1126,7,"Enrolling at the gym is synonymous with joining a fitness studio, answering 'definitely yes'.",20260824T093740Z_5937923c
1127,2,"Thesis not complete yet means it is not finished, answering 'no'.",20260824T093740Z_5937923c
