id,score,rationale,run_id
1101,1,"Person B's statement 'I have not seen him for ages' is a direct and unambiguous negation of having met Martin lately, clearly indicating a definitive 'no'.",20260824T093740Z_5937923c
1102,6,"Person B confirms they are currently engaged in an activity ('sending out an application'), which directly affirms the question about doing something right now.",20260824T093740Z_5937923c
1103,6,"Stating 'I train with him at the gym' directly confirms that Person B usually exercises with Lukas, answering 'yes'.",20260824T093740Z_5937923c
1104,7,"A grandfather passing away is definitively a death in the family, strongly confirming the question with a 'definitely yes'.",20260824T093740Z_5937923c
1105,5,"Saying it is 1000 km away implies distance but doesn't explicitly state whether that counts as 'very far' without context, making it somewhat likely yes but dependent on perspective.",20260824T093740Z_5937923c
1106,6,"A six-hour drive is generally considered a long time, strongly implying that it does take long to get to Munich.",20260824T093740Z_5937923c
1107,2,"A train delay indicates the journey is not proceeding smoothly or as planned, leaning towards a 'no'.",20260824T093740Z_5937923c
1108,2,"If there is still cereal left, they have not finished it, clearly answering 'no'.",20260824T093740Z_5937923c
1109,1,"Stating the deadline is three months away directly contradicts it being next week, making it a definite 'no'.",20260824T093740Z_5937923c
1110,7,"'The streets are always congested with cars' strongly confirms that there is usually a lot of traffic, a definite 'yes'.",20260824T093740Z_5937923c
1111,1,"Being vegetarian means one does not eat meat, directly answering 'no'.",20260824T093740Z_5937923c
1112,7,"Having the flu is a clear illness, strongly confirming that John is sick today.",20260824T093740Z_5937923c
1113,7,"Running for hours every day directly confirms daily training, a definite 'yes'.",20260824T093740Z_5937923c
1114,2,"If she just woke up, she is no longer sleeping, answering 'no'.",20260824T093740Z_5937923c
1115,1,"Releasing next week directly contradicts releasing today, a definite 'no'.",20260824T093740Z_5937923c
1116,7,"Having used a drill before directly confirms past experience with one, a definite 'yes'.",20260824T093740Z_5937923c
1117,2,"Celebrating tonight contradicts the party taking place tomorrow, answering 'no'.",20260824T093740Z_5937923c
1118,6,"Moving out tomorrow implies leaving the flat very soon, strongly affirming the question.",20260824T093740Z_5937923c
1119,6,"Falling behind consistently suggests laziness or lack of effort, strongly supporting the label of 'slacker'.",20260824T093740Z_5937923c
1120,7,"Being famous for surfing directly confirms the area is popular for something, a definite 'yes'.",20260824T093740Z_5937923c
1121,1,"Rough seas are the opposite of calm, clearly answering 'no'.",20260824T093740Z_5937923c
1122,2,"Working at an NGO typically contrasts with working for a corporate company, leaning towards 'no'.",20260824T093740Z_5937923c
1123,7,"Authoring many successful books strongly confirms he is a writer, a definite 'yes'.",20260824T093740Z_5937923c
1124,2,"Still analyzing the data means the work is not finished, answering 'no'.",20260824T093740Z_5937923c
1125,7,"Being an endangered species directly implies there are few pandas left, strongly confirming the question.",20260824T093740Z_5937923c
1126,7,"Enrolling at the gym is synonymous with joining a fitness studio, a definite 'yes'.",20260824T093740Z_5937923c
1127,2,Not being complete yet directly answers 'no' to having finished writing it.,20260824T093740Z_5937923c
1128,5,"Saying hair was too long implies it was long, but doesn't explicitly confirm the current state or past length relative to 'used to have', making it somewhat ambiguous but likely yes.",20260824T093740Z_5937923c
1129,2,"A business trip contradicts going for vacation, answering 'no'.",20260824T093740Z_5937923c
1130,2,"Needing a larger one implies the one-room flat is not enough, answering 'no'.",20260824T093740Z_5937923c
1131,6,"A deadline tomorrow implies urgency, strongly suggesting she has to hand it in soon.",20260824T093740Z_5937923c
1132,7,"Sleeping only four hours directly confirms a short night, a definite 'yes'.",20260824T093740Z_5937923c
1133,2,"An expired offer means the discount is no longer available, answering 'no'.",20260824T093740Z_5937923c
1134,7,"Getting wounded directly confirms the cat is hurt, a definite 'yes'.",20260824T093740Z_5937923c
1135,2,"Mark being missing means everyone is not here, answering 'no'.",20260824T093740Z_5937923c
1137,7,"Being Chinese directly confirms coming from Asia, a definite 'yes'.",20260824T093740Z_5937923c
1138,6,"The line going dead functionally results in hanging up or losing connection, strongly implying the call ended.",20260824T093740Z_5937923c
1139,7,"Having domestics (housekeepers) directly confirms someone is taking care of the house, a definite 'yes'.",20260824T093740Z_5937923c
1140,2,"Just opening means it hasn't been there for long, answering 'no'.",20260824T093740Z_5937923c
1141,7,"A house full of history books strongly confirms he owns many books, a definite 'yes'.",20260824T093740Z_5937923c
1143,6,"Only a few guests over implies a small gathering, strongly affirming the question.",20260824T093740Z_5937923c
1144,2,"Having only one week off contradicts having two weeks, answering 'no'.",20260824T093740Z_5937923c
1145,6,"Going to have a baby implies pregnancy, strongly confirming the question.",20260824T093740Z_5937923c
1147,2,"Still owing money means debts are not paid back, answering 'no'.",20260824T093740Z_5937923c
1148,2,"Only having water means he did not drink a cocktail, answering 'no'.",20260824T093740Z_5937923c
1149,2,"Owning an orchard implies growing fruit trees, not necessarily a vegetable garden, leaning towards 'no'.",20260824T093740Z_5937923c
1150,1,"Being 25 years old directly contradicts being underage, a definite 'no'.",20260824T093740Z_5937923c
1151,2,"Extremely expensive tuition strongly implies Harvard is not affordable, answering 'no'.",20260824T093740Z_5937923c
1152,7,"Making a bank transfer moments ago confirms payment was made, a definite 'yes'.",20260824T093740Z_5937923c
1153,1,Cannot swim yet directly answers 'no' to being good at swimming.,20260824T093740Z_5937923c
1154,2,"Being healthy again means the cold is gone, answering 'no'.",20260824T093740Z_5937923c
1155,7,"People not being allowed to get closer directly confirms it is forbidden, a definite 'yes'.",20260824T093740Z_5937923c
1156,7,"Watering them regularly directly confirms someone took care of the plants, a definite 'yes'.",20260824T093740Z_5937923c
1157,2,"Being dead by the 80s directly contradicts being alive then, answering 'no'.",20260824T093740Z_5937923c
1158,7,"A thick ice layer directly confirms the lake is frozen, a definite 'yes'.",20260824T093740Z_5937923c
1159,2,"Being in an advanced course contradicts attending a beginners' class, answering 'no'.",20260824T093740Z_5937923c
1160,7,"Seeing a doctor directly confirms seeking medical advice, a definite 'yes'.",20260824T093740Z_5937923c
1161,2,"Going out with friends contradicts staying home, answering 'no'.",20260824T093740Z_5937923c
1162,7,"Voting yesterday directly confirms an election happened recently, a definite 'yes'.",20260824T093740Z_5937923c
1163,7,"Being spotless directly confirms the car is completely clean, a definite 'yes'.",20260824T093740Z_5937923c
1164,2,"Submitting a blank sheet means they did not answer any questions, answering 'no'.",20260824T093740Z_5937923c
1165,2,"Getting into the changing room means she is not yet on the tennis field, answering 'no'.",20260824T093740Z_5937923c
