evaluator,evaluator_provider,evaluator_name,evaluator_type,direct,indirect,all
human/human,human,human,none,1.000,1.000,1.000
google/gemini-3.7-flash,google,gemini-3.7-flash,closed,1.000,0.993,0.996
google/gemini-3.1-pro-preview,google,gemini-3.1-pro-preview,closed,1.000,0.993,0.996
google/gemini-3.6-flash,google,gemini-3.6-flash,closed,1.000,0.986,0.993
anthropic/claude-opus-5,anthropic,claude-opus-5,closed,1.000,0.986,0.993
qwen/qwen3.8-2.4t-a95b,qwen,qwen3.8-2.4t-a95b,open,1.000,0.986,0.993
openai/gpt-5.5,openai,gpt-5.5,closed,1.000,0.978,0.989
anthropic/claude-sonnet-5,anthropic,claude-sonnet-5,closed,0.993,0.986,0.989
google/gemini-2.5-pro,google,gemini-2.5-pro,closed,1.000,0.978,0.989
anthropic/claude-sonnet-4.6,anthropic,claude-sonnet-4.6,closed,0.993,0.986,0.989
openai/gpt-5.6-sol,openai,gpt-5.6-sol,closed,0.993,0.986,0.989
qwen/qwen3.7-max,qwen,qwen3.7-max,closed,1.000,0.971,0.986
qwen/qwen3.7-plus,qwen,qwen3.7-plus,closed,0.993,0.971,0.982
qwen/qwen3.8-27b,qwen,qwen3.8-27b,open,0.993,0.964,0.978
openai/gpt-5.4,openai,gpt-5.4,closed,0.993,0.957,0.975
anthropic/claude-opus-4.8,anthropic,claude-opus-4.8,closed,0.986,0.957,0.971
qwen/qwen3.8-max,qwen,qwen3.8-max,closed,1.000,0.935,0.967
openai/gpt-5.6-terra,openai,gpt-5.6-terra,closed,0.986,0.949,0.967
mistralai/mistral-large-2512,mistralai,mistral-large-2512,open,0.978,0.949,0.964
openai/gpt-5.6-luna,openai,gpt-5.6-luna,closed,0.986,0.935,0.960
google/gemma-4-26b-a4b-it,google,gemma-4-26b-a4b-it,open,0.971,0.942,0.957
mistralai/ministral-14b-2512,mistralai,ministral-14b-2512,open,0.971,0.942,0.957
anthropic/claude-haiku-4.5,anthropic,claude-haiku-4.5,closed,0.957,0.928,0.942
google/gemini-3.5-flash-lite,google,gemini-3.5-flash-lite,closed,0.935,0.949,0.942
meta-llama/llama-4-maverick,meta-llama,llama-4-maverick,open,0.942,0.935,0.938
openai/gpt-5.4-mini,openai,gpt-5.4-mini,closed,0.957,0.920,0.938
google/gemini-3.1-flash-lite,google,gemini-3.1-flash-lite,closed,0.964,0.906,0.935
meta-llama/llama-3.3-70b-instruct,meta-llama,llama-3.3-70b-instruct,open,0.928,0.920,0.924
meta-llama/llama-4-scout,meta-llama,llama-4-scout,open,0.903,0.917,0.910
mistralai/mistral-small-2603,mistralai,mistral-small-2603,open,0.891,0.913,0.902
google/gemma-3-27b-it,google,gemma-3-27b-it,open,0.862,0.818,0.848
openai/gpt-5.4-nano,openai,gpt-5.4-nano,closed,0.884,0.804,0.844
qwen/qwen3.7-flash,qwen,qwen3.7-flash,closed,0.942,0.725,0.833
