evaluator,CONDITION,response,SET,mean,sd,sem
anthropic/claude-haiku-4.5,direct,no,1.0,0.9714285714285714,0.1690308509457033,0.02857142857142857
anthropic/claude-haiku-4.5,direct,no,2.0,0.9411764705882353,0.23883257361061283,0.040959448460164194
anthropic/claude-haiku-4.5,direct,yes,1.0,0.9459459459459459,0.22924343513512566,0.03768738858261602
anthropic/claude-haiku-4.5,direct,yes,2.0,0.96875,0.17677669529663687,0.031249999999999997
anthropic/claude-haiku-4.5,indirect,no,1.0,0.9428571428571428,0.2355041079768028,0.03980745977252777
anthropic/claude-haiku-4.5,indirect,no,2.0,0.9375,0.24593468841898236,0.04347552147751577
anthropic/claude-haiku-4.5,indirect,yes,1.0,0.918918918918919,0.2767247306920301,0.04549326548811746
anthropic/claude-haiku-4.5,indirect,yes,2.0,0.9117647058823529,0.2879022412812366,0.049374827039089283
anthropic/claude-opus-4.8,direct,no,1.0,1.0,0.0,0.0
anthropic/claude-opus-4.8,direct,no,2.0,1.0,0.0,0.0
anthropic/claude-opus-4.8,direct,yes,1.0,0.9473684210526315,0.22629428592141426,0.036709780655942936
anthropic/claude-opus-4.8,direct,yes,2.0,1.0,0.0,0.0
anthropic/claude-opus-4.8,indirect,no,1.0,0.9714285714285714,0.1690308509457033,0.02857142857142857
anthropic/claude-opus-4.8,indirect,no,2.0,0.9166666666666666,0.2803059552906941,0.04671765921511568
anthropic/claude-opus-4.8,indirect,yes,1.0,0.9459459459459459,0.22924343513512566,0.03768738858261602
anthropic/claude-opus-4.8,indirect,yes,2.0,1.0,0.0,0.0
anthropic/claude-opus-5,direct,no,1.0,1.0,0.0,0.0
anthropic/claude-opus-5,direct,no,2.0,1.0,0.0,0.0
anthropic/claude-opus-5,direct,yes,1.0,1.0,0.0,0.0
anthropic/claude-opus-5,direct,yes,2.0,1.0,0.0,0.0
anthropic/claude-opus-5,indirect,no,1.0,1.0,0.0,0.0
anthropic/claude-opus-5,indirect,no,2.0,0.9428571428571428,0.2355041079768028,0.03980745977252777
anthropic/claude-opus-5,indirect,yes,1.0,1.0,0.0,0.0
anthropic/claude-opus-5,indirect,yes,2.0,1.0,0.0,0.0
anthropic/claude-sonnet-4.6,direct,no,1.0,1.0,0.0,0.0
anthropic/claude-sonnet-4.6,direct,no,2.0,1.0,0.0,0.0
anthropic/claude-sonnet-4.6,direct,yes,1.0,0.972972972972973,0.16439898730535726,0.027027027027027025
anthropic/claude-sonnet-4.6,direct,yes,2.0,1.0,0.0,0.0
anthropic/claude-sonnet-4.6,indirect,no,1.0,1.0,0.0,0.0
anthropic/claude-sonnet-4.6,indirect,no,2.0,0.9705882352941176,0.17149858514250882,0.029411764705882353
anthropic/claude-sonnet-4.6,indirect,yes,1.0,0.972972972972973,0.1643989873053573,0.027027027027027025
anthropic/claude-sonnet-4.6,indirect,yes,2.0,1.0,0.0,0.0
anthropic/claude-sonnet-5,direct,no,1.0,1.0,0.0,0.0
anthropic/claude-sonnet-5,direct,no,2.0,1.0,0.0,0.0
anthropic/claude-sonnet-5,direct,yes,1.0,0.972972972972973,0.16439898730535726,0.027027027027027025
anthropic/claude-sonnet-5,direct,yes,2.0,1.0,0.0,0.0
anthropic/claude-sonnet-5,indirect,no,1.0,0.972972972972973,0.16439898730535726,0.027027027027027025
anthropic/claude-sonnet-5,indirect,no,2.0,0.9705882352941176,0.17149858514250882,0.029411764705882353
anthropic/claude-sonnet-5,indirect,yes,1.0,1.0,0.0,0.0
anthropic/claude-sonnet-5,indirect,yes,2.0,1.0,0.0,0.0
google/gemini-2.5-pro,direct,no,1.0,1.0,0.0,0.0
