id,score,rationale,run_id
1101,1,Not seeing Martin for ages strongly implies that Person B has not met him lately.,20260821T125948Z_8dbb5082
1102,7,Sending out an application is something Person B is doing right now.,20260821T125948Z_8dbb5082
1103,7,"Training with Lukas at the gym directly confirms exercising with him, though frequency is not explicit.",20260821T125948Z_8dbb5082
1104,7,A grandfather passing away is a death in his family.,20260821T125948Z_8dbb5082
1105,6,A distance of about 1000 km strongly suggests Paris is far away.,20260821T125948Z_8dbb5082
1106,6,A six-hour drive strongly suggests that getting to Munich takes a long time.,20260821T125948Z_8dbb5082
1107,2,A train delay indicates the journey is not going exactly as planned.,20260821T125948Z_8dbb5082
1108,1,There being cereal left means they have not finished it.,20260821T125948Z_8dbb5082
1109,1,A deadline in three months contradicts it being next week.,20260821T125948Z_8dbb5082
1110,7,Always congested streets directly confirm that there is usually a lot of traffic.,20260821T125948Z_8dbb5082
1111,1,Being vegetarian strongly implies Megan does not eat meat.,20260821T125948Z_8dbb5082
1112,7,Having the flu directly confirms that John is sick.,20260821T125948Z_8dbb5082
1113,7,Running for hours every day strongly confirms daily training.,20260821T125948Z_8dbb5082
1114,1,Having just woken up means Clara is no longer sleeping.,20260821T125948Z_8dbb5082
1115,1,A release next week contradicts release today.,20260821T125948Z_8dbb5082
1116,7,Having used a drill before directly confirms previous experience with one.,20260821T125948Z_8dbb5082
1117,1,Celebrating tonight contradicts the party taking place tomorrow.,20260821T125948Z_8dbb5082
1118,7,Moving out tomorrow confirms that Person B will be leaving the flat soon.,20260821T125948Z_8dbb5082
1119,6,"Frequently falling behind suggests he is a slacker, though it is not an exact definition.",20260821T125948Z_8dbb5082
1120,7,The region being famous for surfing directly confirms its popularity for surfing.,20260821T125948Z_8dbb5082
1121,1,A rough sea contradicts the sea being calm.,20260821T125948Z_8dbb5082
1122,1,Working at an NGO indicates Person B does not work for a corporate company.,20260821T125948Z_8dbb5082
1123,7,Authoring many successful books directly supports that he is a writer.,20260821T125948Z_8dbb5082
1124,1,Still analyzing the data means the work is not finished.,20260821T125948Z_8dbb5082
1125,6,"Being endangered implies pandas are relatively few, though it does not give an exact population.",20260821T125948Z_8dbb5082
1126,7,Enrolling at the gym directly confirms joining a fitness studio.,20260821T125948Z_8dbb5082
1127,1,The thesis is explicitly not complete yet.,20260821T125948Z_8dbb5082
1128,7,Saying the hair was way too long strongly confirms that it used to be long.,20260821T125948Z_8dbb5082
1129,1,A business trip indicates the trip was not for vacation.,20260821T125948Z_8dbb5082
1130,1,Needing a larger flat means a one-room flat is not enough.,20260821T125948Z_8dbb5082
1131,7,A deadline tomorrow means she has to hand it in soon.,20260821T125948Z_8dbb5082
1132,7,Sleeping only four hours directly indicates a short night.,20260821T125948Z_8dbb5082
1133,1,An expired offer means the flight was no longer discounted.,20260821T125948Z_8dbb5082
1134,7,Getting wounded directly confirms that the cat is hurt.,20260821T125948Z_8dbb5082
1135,1,"Mark is still missing, so not everyone is present.",20260821T125948Z_8dbb5082
1137,7,Being Chinese strongly supports coming from Asia.,20260821T125948Z_8dbb5082
1138,5,"The line going dead may explain a disconnection, but it does not clearly establish that Person B deliberately hung up.",20260821T125948Z_8dbb5082
1139,6,"Having domestics strongly suggests someone takes care of the house, although the wording is somewhat vague.",20260821T125948Z_8dbb5082
1140,1,Just opening means the bar has not been there for long.,20260821T125948Z_8dbb5082
1141,7,A house full of books strongly confirms that he owns many books.,20260821T125948Z_8dbb5082
1143,7,Having only a few guests directly confirms a small gathering.,20260821T125948Z_8dbb5082
1144,1,Having only one week off contradicts having two weeks of holiday.,20260821T125948Z_8dbb5082
1145,7,Going to have a baby strongly implies that Person B is pregnant.,20260821T125948Z_8dbb5082
1147,1,Still owing money means the debts have not been fully paid back.,20260821T125948Z_8dbb5082
1148,1,Having only water means he did not drink a cocktail tonight.,20260821T125948Z_8dbb5082
1149,4,Owning an orchard does not establish whether Person B also has a vegetable garden.,20260821T125948Z_8dbb5082
1150,1,"At 25, the son is not underage.",20260821T125948Z_8dbb5082
1151,1,Extremely expensive tuition indicates Harvard is not affordable.,20260821T125948Z_8dbb5082
1152,6,"Making a bank transfer moments ago strongly suggests she has paid, though completion is not absolutely certain.",20260821T125948Z_8dbb5082
1153,1,"The children cannot swim, so they are not good at swimming.",20260821T125948Z_8dbb5082
1154,1,Being healthy again indicates that Person B no longer has a cold.,20260821T125948Z_8dbb5082
1155,7,People not being allowed closer directly confirms that approaching is forbidden.,20260821T125948Z_8dbb5082
1156,7,Regularly watering the plants directly confirms that someone took care of them.,20260821T125948Z_8dbb5082
1157,1,Being already dead by the 1980s means the artist was not alive then.,20260821T125948Z_8dbb5082
1158,7,A thick ice layer strongly confirms that the lake is frozen.,20260821T125948Z_8dbb5082
1159,1,Being in the advanced course means Person B is not attending the beginners' class.,20260821T125948Z_8dbb5082
1160,7,Seeing a doctor directly confirms seeking medical advice.,20260821T125948Z_8dbb5082
1161,1,Going out with friends means Person B did not stay home.,20260821T125948Z_8dbb5082
1162,7,Voting yesterday strongly indicates that an election took place recently.,20260821T125948Z_8dbb5082
1163,7,Spotless directly confirms that the car is completely clean.,20260821T125948Z_8dbb5082
1164,1,Submitting a blank sheet means they did not answer all the questions.,20260821T125948Z_8dbb5082
1165,1,Entering the changing room means she is not currently out on the tennis field.,20260821T125948Z_8dbb5082
1166,7,Being compensated directly indicates that he got the money back.,20260821T125948Z_8dbb5082
1167,1,No one responding means nobody has answered the house-sale advertisement.,20260821T125948Z_8dbb5082
1168,1,Not playing any instrument strongly implies he is not a musician.,20260821T125948Z_8dbb5082
1169,7,Spending several months in Japan directly confirms travel in Asia.,20260821T125948Z_8dbb5082
1170,7,Aiming for the mountain top directly supports that the summit is the goal.,20260821T125948Z_8dbb5082
1171,7,The customer receiving the package confirms that he got it.,20260821T125948Z_8dbb5082
1173,1,Skipping the last four lessons means she did not attend the whole course.,20260821T125948Z_8dbb5082
1174,7,Very poor monitor resolution directly supports the screen having a bad image.,20260821T125948Z_8dbb5082
1175,7,Graduating from medical school confirms completion of her medical studies.,20260821T125948Z_8dbb5082
1176,1,Private property contradicts the building being public.,20260821T125948Z_8dbb5082
1201,4,"Not seeing Martin for ages may suggest weakened friendship, but it does not determine whether they are still good friends.",20260821T125948Z_8dbb5082
1202,7,Sending out a job application strongly confirms that Person B is looking for a job.,20260821T125948Z_8dbb5082
1203,6,"Training with Lukas shows Person B knows him, though the relationship could be limited.",20260821T125948Z_8dbb5082
1204,4,The grandfather's death does not establish whether the property now belongs to him.,20260821T125948Z_8dbb5082
1205,6,A 1000 km distance strongly suggests driving to Paris takes a long time.,20260821T125948Z_8dbb5082
