id,score,rationale,run_id
1101,1,Saying they have not seen Martin for ages directly indicates they have not met him lately.,20260821T125948Z_8dbb5082
1102,7,"Sending out an application is an activity being done right now, so this answers yes.",20260821T125948Z_8dbb5082
1103,6,"Training with Lukas at the gym strongly suggests they exercise with him, though 'usually' is not stated explicitly.",20260821T125948Z_8dbb5082
1104,7,"A grandfather passing away is a death in the family, so this is a clear yes.",20260821T125948Z_8dbb5082
1105,7,A distance of about 1000 km clearly supports that Paris is very far from here.,20260821T125948Z_8dbb5082
1106,6,"A six-hour drive is generally a long trip, so this strongly implies yes, though 'long' is somewhat subjective.",20260821T125948Z_8dbb5082
1107,2,"A train delay means the journey is not fully going as planned, so the answer is very likely no.",20260821T125948Z_8dbb5082
1108,1,"If there is still cereal left, they have not finished it.",20260821T125948Z_8dbb5082
1109,1,"If the essay is not due for three months, the deadline is not next week.",20260821T125948Z_8dbb5082
1110,7,Streets always being congested with cars directly means there is usually a lot of traffic.,20260821T125948Z_8dbb5082
1111,1,Being vegetarian means Megan does not eat meat.,20260821T125948Z_8dbb5082
1112,7,Having the flu clearly means John is sick today.,20260821T125948Z_8dbb5082
1113,7,Running for hours every day directly supports that Sonya trains daily.,20260821T125948Z_8dbb5082
1114,1,"If Clara just woke up, she is no longer sleeping.",20260821T125948Z_8dbb5082
1115,1,"If the movie comes out next week, it is not being released today.",20260821T125948Z_8dbb5082
1116,7,Having used a drill before clearly means they have worked with one before.,20260821T125948Z_8dbb5082
1117,2,"Celebrating tonight suggests the party is not tomorrow, though it could be a separate celebration.",20260821T125948Z_8dbb5082
1118,7,Moving out tomorrow clearly means they are leaving the flat soon.,20260821T125948Z_8dbb5082
1119,6,"Always falling behind strongly suggests he may be a slacker, though it is an evaluative judgment.",20260821T125948Z_8dbb5082
1120,7,Being famous for surfing directly means the area is popular for something.,20260821T125948Z_8dbb5082
1121,1,The sea being quite rough directly contradicts it being calm.,20260821T125948Z_8dbb5082
1122,1,Working at an NGO indicates they do not work for a corporate company.,20260821T125948Z_8dbb5082
1123,7,Having authored many successful books clearly indicates he is a writer.,20260821T125948Z_8dbb5082
1124,1,Still analyzing the data means they are not finished working on it.,20260821T125948Z_8dbb5082
1125,2,"Being endangered strongly suggests there are not many pandas left, though 'many' is somewhat relative.",20260821T125948Z_8dbb5082
1126,7,Enrolling at the gym clearly means joining a fitness studio.,20260821T125948Z_8dbb5082
1127,1,Saying the thesis is not complete yet directly means it is not finished.,20260821T125948Z_8dbb5082
1128,7,Saying the hair was way too long clearly indicates they used to have long hair.,20260821T125948Z_8dbb5082
1129,1,"A business trip is not a vacation, so the answer is no.",20260821T125948Z_8dbb5082
1130,1,Needing a larger flat directly means a one-room flat is not enough.,20260821T125948Z_8dbb5082
1131,7,A deadline tomorrow clearly means she has to hand it in soon.,20260821T125948Z_8dbb5082
1132,7,Sleeping only four hours clearly means they had a short night.,20260821T125948Z_8dbb5082
1133,1,"If the offer had already expired, the flight was no longer discounted.",20260821T125948Z_8dbb5082
1134,7,Being wounded clearly means the cat is hurt.,20260821T125948Z_8dbb5082
1135,1,"If Mark is still missing, then not everyone is here.",20260821T125948Z_8dbb5082
1137,6,"Being Chinese strongly suggests coming from Asia, though it could refer to ethnicity rather than place of origin.",20260821T125948Z_8dbb5082
1138,3,"The line going dead suggests the call disconnected, but it does not clearly say whether Person B hung up intentionally.",20260821T125948Z_8dbb5082
1139,6,Having domestics strongly suggests someone is taking care of the house.,20260821T125948Z_8dbb5082
1140,1,"If the bar has just opened, it has not been there for long.",20260821T125948Z_8dbb5082
1141,7,A house full of history books clearly indicates he owns many books.,20260821T125948Z_8dbb5082
1143,7,Having only a few guests over for dinner directly fits a small gathering.,20260821T125948Z_8dbb5082
1144,1,Only having one week off means they do not have two weeks of holiday.,20260821T125948Z_8dbb5082
1145,7,Going to have a baby clearly indicates pregnancy in this context.,20260821T125948Z_8dbb5082
1147,1,Still owing the bank money means the debts have not been fully paid back.,20260821T125948Z_8dbb5082
1148,1,"If he only had water, he did not drink a cocktail.",20260821T125948Z_8dbb5082
1149,2,"An orchard is for fruit trees, not usually vegetables, so this is likely no.",20260821T125948Z_8dbb5082
1150,1,A 25-year-old son is not underage.,20260821T125948Z_8dbb5082
1151,1,Extremely expensive tuition strongly contradicts Harvard being affordable.,20260821T125948Z_8dbb5082
1152,7,Making a bank transfer a few moments ago means she has paid.,20260821T125948Z_8dbb5082
1153,1,"If the kids cannot swim yet, they are not good at swimming.",20260821T125948Z_8dbb5082
1154,1,Being healthy again means they no longer have a cold.,20260821T125948Z_8dbb5082
1155,7,People not being allowed to get closer directly means approaching the area is forbidden.,20260821T125948Z_8dbb5082
1156,7,Watering the plants regularly is taking care of them.,20260821T125948Z_8dbb5082
1157,1,"If he was already dead by then, he was not alive in the 80s.",20260821T125948Z_8dbb5082
1158,7,A thick ice layer clearly indicates the lake is frozen.,20260821T125948Z_8dbb5082
1159,1,Being in the advanced course means they are not attending the beginners' class.,20260821T125948Z_8dbb5082
1160,7,Seeing a doctor clearly means they sought medical advice.,20260821T125948Z_8dbb5082
1161,1,Going out with friends means they did not stay home.,20260821T125948Z_8dbb5082
1162,7,Voting yesterday clearly indicates there was a recent election.,20260821T125948Z_8dbb5082
1163,7,Spotless means completely clean.,20260821T125948Z_8dbb5082
1164,1,Submitting a blank sheet means they did not answer all questions.,20260821T125948Z_8dbb5082
1165,2,Being in the changing room suggests she is not out on the tennis field.,20260821T125948Z_8dbb5082
1166,7,Being compensated means he got money back or received recompense.,20260821T125948Z_8dbb5082
1167,1,No one responding directly means nobody answered the ad.,20260821T125948Z_8dbb5082
1168,2,"Not playing any instrument makes it very unlikely he is a musician, though singers can be musicians too.",20260821T125948Z_8dbb5082
1169,7,Being in Japan for several months clearly means he has traveled in Asia.,20260821T125948Z_8dbb5082
1170,7,Aiming for the mountain top directly means the summit is the goal.,20260821T125948Z_8dbb5082
1171,7,"If the customer received the package, they got it.",20260821T125948Z_8dbb5082
1173,1,Skipping the last four lessons means she did not attend the whole course.,20260821T125948Z_8dbb5082
1174,7,A really poor monitor resolution directly supports that the screen has a bad image.,20260821T125948Z_8dbb5082
1175,7,Graduating from medical school means she completed her medical studies.,20260821T125948Z_8dbb5082
1176,1,Private property is not a public building.,20260821T125948Z_8dbb5082
1201,3,"Not seeing Martin for ages suggests they may not still be good friends, but friendship can continue despite not meeting.",20260821T125948Z_8dbb5082
1202,7,Sending out an application clearly indicates looking for a job or opportunity.,20260821T125948Z_8dbb5082
1203,7,Training with Lukas at the gym clearly means Person B knows him.,20260821T125948Z_8dbb5082
1204,4,"The grandfather's death could be relevant to inheritance, but it does not establish whether the property is his now.",20260821T125948Z_8dbb5082
1205,7,A 1000 km distance clearly means it takes a long time to drive to Paris.,20260821T125948Z_8dbb5082
1206,6,"A six-hour drive strongly suggests Munich is far, though distance is somewhat subjective.",20260821T125948Z_8dbb5082
1207,3,"A train delay makes being home by noon less likely, but it does not specify the expected arrival time.",20260821T125948Z_8dbb5082
1208,3,"Saying there is still cereal left may imply they did not buy more, but it does not directly answer whether they bought cereal.",20260821T125948Z_8dbb5082
1209,3,"Saying it is not due for three months may imply they have not started, but it does not directly answer.",20260821T125948Z_8dbb5082
1210,5,"Congested streets suggest they may be late to the cinema, but lateness is not certain.",20260821T125948Z_8dbb5082
1211,3,"Megan being vegetarian makes attending a steak house less likely, but she could still come and eat something else.",20260821T125948Z_8dbb5082
1212,6,"Having the flu strongly suggests John is staying home, though it is not explicitly stated.",20260821T125948Z_8dbb5082
1213,5,"Running for hours every day suggests she may be marathon-oriented, but it does not confirm registration.",20260821T125948Z_8dbb5082
1214,2,"If Clara just woke up, she very likely has not had breakfast yet, though it is not impossible.",20260821T125948Z_8dbb5082
1215,1,"If the movie comes out next week, Person B cannot have seen it yet in ordinary circumstances.",20260821T125948Z_8dbb5082
1216,7,Having used a drill before clearly means they know how to use one.,20260821T125948Z_8dbb5082
1217,3,"Celebrating tonight suggests they probably did not fail, but the reason for celebrating is not specified.",20260821T125948Z_8dbb5082
1218,5,"Moving out tomorrow can suggest a breakup, but it could also be for another reason.",20260821T125948Z_8dbb5082
1219,5,"Always falling behind could be a reason for being fired, but it does not confirm that he was fired.",20260821T125948Z_8dbb5082
1220,6,"A region famous for surfing likely has big waves, though surfing can occur in varied conditions.",20260821T125948Z_8dbb5082
