id,score,rationale,run_id
1101,1,"Person B says they haven't seen him for ages, which directly answers 'no' to having met him lately.",20260821T125948Z_8dbb5082
1102,7,"Person B is currently sending an application, which confirms they are doing something right now.",20260821T125948Z_8dbb5082
1103,7,"Person B confirms they train with Lukas at the gym, answering 'yes' to the question of whether they usually exercise with him.",20260821T125948Z_8dbb5082
1104,7,Person B confirms a death in the family by stating his grandfather passed away.,20260821T125948Z_8dbb5082
1105,5,"While 1000km is a significant distance, the answer provides a specific distance rather than a simple yes/no, but it implies the distance is substantial (yes).",20260821T125948Z_8dbb5082
1106,5,"A six-hour drive is generally considered a long time, implying 'yes'.",20260821T125948Z_8dbb5082
1107,2,"Person B mentions a delay, which implies the journey is NOT going as planned.",20260821T125948Z_8dbb5082
1108,2,"Person B says there is still cereal left, implying they have not finished it.",20260821T125948Z_8dbb5082
1109,1,"Person B says it is not due for three months, which is a direct 'no' to it being due next week.",20260821T125948Z_8dbb5082
1110,7,"Person B says the streets are always congested, which confirms there is a lot of traffic.",20260821T125948Z_8dbb5082
1111,1,"Person B states she is vegetarian, which means she does not eat meat.",20260821T125948Z_8dbb5082
1112,7,"Person B confirms he has the flu, which means he is sick.",20260821T125948Z_8dbb5082
1113,7,"Person B says she runs every day, confirming she trains daily.",20260821T125948Z_8dbb5082
1114,1,"Person B says she just woke up, meaning she is no longer sleeping.",20260821T125948Z_8dbb5082
1115,1,"Person B says it comes out next week, not today.",20260821T125948Z_8dbb5082
1116,7,"Person B says they have used one before, confirming they have worked with a drill.",20260821T125948Z_8dbb5082
1117,1,"Person B says they are celebrating tonight, implying the party is not tomorrow.",20260821T125948Z_8dbb5082
1118,7,"Person B says they are moving out tomorrow, which implies they are leaving the flat soon.",20260821T125948Z_8dbb5082
1119,7,"Person B says he was always falling behind, which supports the characterization of a slacker.",20260821T125948Z_8dbb5082
1120,7,"Person B confirms the region is famous for surfing, answering 'yes' to the area being popular for something.",20260821T125948Z_8dbb5082
1121,1,"Person B says it is rough, which is the opposite of calm.",20260821T125948Z_8dbb5082
1122,1,"Person B says they work for an NGO, not a corporate company.",20260821T125948Z_8dbb5082
1123,7,"Person B says he has authored many books, confirming he is a writer.",20260821T125948Z_8dbb5082
1124,1,"Person B says they are still analyzing it, meaning they are not finished.",20260821T125948Z_8dbb5082
1125,7,Being an endangered species implies there are not many left.,20260821T125948Z_8dbb5082
1126,7,Enrolling at the gym confirms they have joined a fitness studio.,20260821T125948Z_8dbb5082
1127,1,Person B says it is not complete yet.,20260821T125948Z_8dbb5082
1128,7,"Person B confirms their hair was way too long, implying they did have long hair.",20260821T125948Z_8dbb5082
1129,1,"Person B says it was a business trip, not a vacation.",20260821T125948Z_8dbb5082
1130,1,"Person B says they need a larger one, implying a one-room flat is not enough.",20260821T125948Z_8dbb5082
1131,7,The deadline being tomorrow confirms she has to hand it in soon.,20260821T125948Z_8dbb5082
1132,7,Sleeping only four hours confirms it was a short night.,20260821T125948Z_8dbb5082
1133,1,"Person B says the offer expired, meaning the flight was not discounted.",20260821T125948Z_8dbb5082
1134,7,"Person B says it got wounded, confirming the cat is hurt.",20260821T125948Z_8dbb5082
1135,1,"Person B says Mark is missing, meaning not everyone is here.",20260821T125948Z_8dbb5082
1137,7,Being Chinese confirms they come from Asia.,20260821T125948Z_8dbb5082
1138,1,"The line going dead explains why the call ended, but doesn't confirm if they hung up; however, in context of a failed connection, it's a 'no' to a deliberate hang up.",20260821T125948Z_8dbb5082
1139,7,Having domestics implies someone is taking care of the house.,20260821T125948Z_8dbb5082
1140,1,"They have just opened, so the bar has not been there for long.",20260821T125948Z_8dbb5082
1141,7,A house full of history books implies he owns many books.,20260821T125948Z_8dbb5082
1143,7,Having only a few guests confirms it is a small gathering.,20260821T125948Z_8dbb5082
1144,1,"Person B says they only have one week, not two.",20260821T125948Z_8dbb5082
1145,7,Going to have a baby is a confirmation of being pregnant.,20260821T125948Z_8dbb5082
1147,1,"Person B says they still owe money, meaning they haven't paid back debts.",20260821T125948Z_8dbb5082
1148,1,"Person B says he only had water, not a cocktail.",20260821T125948Z_8dbb5082
1149,1,"An orchard is for fruit trees, not a vegetable garden.",20260821T125948Z_8dbb5082
1150,1,25 years old is not underage.,20260821T125948Z_8dbb5082
1151,1,Extremely expensive means it is not affordable.,20260821T125948Z_8dbb5082
1152,7,Making a bank transfer confirms she has paid.,20260821T125948Z_8dbb5082
1153,1,"They cannot swim yet, so they are not good at it.",20260821T125948Z_8dbb5082
1154,1,Being healthy again means they no longer have a cold.,20260821T125948Z_8dbb5082
1155,7,People not being allowed to get closer confirms it is forbidden.,20260821T125948Z_8dbb5082
1156,7,Watering them regularly confirms someone took care of them.,20260821T125948Z_8dbb5082
1157,1,Being dead by then means he was not alive in the 80s.,20260821T125948Z_8dbb5082
1158,7,A thick ice layer implies the lake is frozen.,20260821T125948Z_8dbb5082
1159,1,Being in an advanced course means they are not in the beginners' class.,20260821T125948Z_8dbb5082
1160,7,Seeing a doctor confirms they sought medical advice.,20260821T125948Z_8dbb5082
1161,1,Going out with friends means they did not stay home.,20260821T125948Z_8dbb5082
1162,7,Voting yesterday confirms there was an election recently.,20260821T125948Z_8dbb5082
1163,7,Spotless means completely clean.,20260821T125948Z_8dbb5082
1164,1,A blank sheet means they did not answer the questions.,20260821T125948Z_8dbb5082
1165,1,Being in the changing room means she is not on the field.,20260821T125948Z_8dbb5082
1166,7,Being compensated is a way of getting money back.,20260821T125948Z_8dbb5082
1167,1,No one responding means no one answered the ad.,20260821T125948Z_8dbb5082
1168,1,Not playing any instrument means he is not a musician.,20260821T125948Z_8dbb5082
1169,7,Being in Japan for months confirms he has travelled in Asia.,20260821T125948Z_8dbb5082
1170,7,Aiming for the mountain top confirms the goal is the summit.,20260821T125948Z_8dbb5082
1171,7,Receiving the package confirms the customer got it.,20260821T125948Z_8dbb5082
1173,1,Skipping lessons means she did not attend the whole course.,20260821T125948Z_8dbb5082
1174,7,Poor resolution confirms a bad image.,20260821T125948Z_8dbb5082
1175,7,Graduating from medical school confirms she completed her studies.,20260821T125948Z_8dbb5082
1176,1,Private property is the opposite of a public building.,20260821T125948Z_8dbb5082
1201,4,"Not seeing someone for ages doesn't necessarily mean you aren't friends, but it doesn't confirm it either; it's ambiguous.",20260821T125948Z_8dbb5082
1202,7,Sending an application confirms they are looking for a job.,20260821T125948Z_8dbb5082
1203,7,Training with him confirms they know him.,20260821T125948Z_8dbb5082
1204,4,The death of a grandfather doesn't directly answer if it is his property now; it's an indirect/ambiguous link.,20260821T125948Z_8dbb5082
1205,5,"1000km is a long distance, implying 'yes' to it taking long.",20260821T125948Z_8dbb5082
1206,5,"A six hour drive is a long time, implying 'yes'.",20260821T125948Z_8dbb5082
1207,2,A train delay implies they will likely not be home by noon.,20260821T125948Z_8dbb5082
1208,4,"Saying 'there is still some left' is ambiguous; it could mean they bought it and have some, or they haven't bought more because they have some.",20260821T125948Z_8dbb5082
1209,1,"Not due for three months means they haven't necessarily started, and it's not due next week.",20260821T125948Z_8dbb5082
1210,4,"Congested streets might cause lateness, but it's not a direct 'yes' or 'no'.",20260821T125948Z_8dbb5082
1211,1,Being vegetarian means she won't eat at a steak house.,20260821T125948Z_8dbb5082
1212,7,Having the flu confirms he is sick.,20260821T125948Z_8dbb5082
1213,4,"Running every day shows fitness, but doesn't explicitly confirm registration for a specific marathon.",20260821T125948Z_8dbb5082
1214,1,Just waking up means she hasn't had breakfast yet.,20260821T125948Z_8dbb5082
1215,1,Coming out next week means it's not being released today.,20260821T125948Z_8dbb5082
1216,7,Having used one before confirms knowledge of how to use a drill.,20260821T125948Z_8dbb5082
1217,4,Celebrating tonight is unrelated to whether they failed an exam; it's ambiguous.,20260821T125948Z_8dbb5082
1218,4,"Moving out tomorrow is related to leaving a flat, but doesn't directly answer if they are breaking up with him.",20260821T125948Z_8dbb5082
1219,7,Falling behind supports the idea of being a slacker.,20260821T125948Z_8dbb5082
1220,7,"Surfing is a popular activity, confirming the area is popular for something.",20260821T125948Z_8dbb5082
1221,1,Rough seas are not safe for swimming.,20260821T125948Z_8dbb5082
1222,1,An NGO is not a corporate company.,20260821T125948Z_8dbb5082
1223,7,Authoring books confirms he is a writer/famous.,20260821T125948Z_8dbb5082
1224,1,Still analyzing means not finished.,20260821T125948Z_8dbb5082
1225,4,"Being endangered doesn't directly answer if it's legal, though it's a strong hint.",20260821T125948Z_8dbb5082
1226,4,"Enrolling at a gym is a way to lose weight, but doesn't confirm if they have already lost weight.",20260821T125948Z_8dbb5082
