id,score,rationale,run_id
1101,1,"Person B says they haven't seen Martin for ages, which directly answers 'no' to having met him lately.",20260824T093740Z_5937923c
1102,7,"Person B is actively sending out an application, which is a clear 'yes' to doing something right now.",20260824T093740Z_5937923c
1103,7,"Training with Lukas at the gym strongly implies they usually exercise together, a clear 'yes'.",20260824T093740Z_5937923c
1104,7,"A grandfather passing away recently confirms there was a death in the family, a clear 'yes'.",20260824T093740Z_5937923c
1105,5,"1000 km is a moderate distance; whether it's 'very far' is somewhat subjective, but it leans toward yes.",20260824T093740Z_5937923c
1106,7,"A six-hour drive is a long time, clearly answering 'yes' to whether it takes long.",20260824T093740Z_5937923c
1107,2,"A train delay means the journey is not going as planned, strongly indicating 'no'.",20260824T093740Z_5937923c
1108,2,"If there is still some cereal left, they have not finished it, strongly indicating 'no'.",20260824T093740Z_5937923c
1109,1,"Not due for three months clearly means the deadline is not next week, a definite 'no'.",20260824T093740Z_5937923c
1110,7,"Streets always congested with cars clearly means there is usually a lot of traffic, a definite 'yes'.",20260824T093740Z_5937923c
1111,1,"Being vegetarian means Megan does not eat meat, a definite 'no'.",20260824T093740Z_5937923c
1112,7,"Having the flu means John is sick, a definite 'yes'.",20260824T093740Z_5937923c
1113,7,"Running for hours every day clearly indicates Sonya trains daily, a definite 'yes'.",20260824T093740Z_5937923c
1114,1,"If she just woke up, she is no longer sleeping, a definite 'no'.",20260824T093740Z_5937923c
1115,1,"Coming out next week means it is not being released today, a definite 'no'.",20260824T093740Z_5937923c
1116,7,Having used a drill before clearly answers 'yes' to having worked with one.,20260824T093740Z_5937923c
1117,1,"Celebrating tonight means the party is not tomorrow, a definite 'no'.",20260824T093740Z_5937923c
1118,7,"Moving out tomorrow means leaving the flat soon, a definite 'yes'.",20260824T093740Z_5937923c
1119,7,"Always falling behind strongly supports that he is a slacker, a definite 'yes'.",20260824T093740Z_5937923c
1120,7,"Being famous for surfing clearly indicates the area is popular for something, a definite 'yes'.",20260824T093740Z_5937923c
1121,1,"If the sea is quite rough, it is not calm, a definite 'no'.",20260824T093740Z_5937923c
