id,score,rationale,run_id
1101,1,"B says they have not seen Martin for ages, which directly answers no to having met him lately.",20260824T093740Z_5937923c
1102,7,"B explicitly states an activity they are doing right now, so the answer is definitely yes.",20260824T093740Z_5937923c
1103,6,"Training with Lukas at the gym strongly implies exercising with him, though usually is not explicitly confirmed.",20260824T093740Z_5937923c
1104,7,"B directly states that his grandfather passed away, confirming a death in the family.",20260824T093740Z_5937923c
1105,6,"A distance of about 1000 km strongly suggests Paris is far, though far can be context dependent.",20260824T093740Z_5937923c
1106,6,A six hour drive strongly implies that getting to Munich takes a long time.,20260824T093740Z_5937923c
1107,2,"A train delay indicates the journey is not going as planned, though the delay may be minor.",20260824T093740Z_5937923c
1108,1,"If there is still cereal left, they have not finished it, so the answer is definitely no.",20260824T093740Z_5937923c
1109,1,"B says the essay is not due for three months, which rules out next week.",20260824T093740Z_5937923c
1110,7,"B says the streets are always congested, directly confirming a lot of traffic.",20260824T093740Z_5937923c
1111,1,"Being vegetarian means Megan does not eat meat, so the answer is definitely no.",20260824T093740Z_5937923c
1112,7,Having the flu directly confirms that John is sick.,20260824T093740Z_5937923c
1113,7,Running for hours every day strongly confirms daily training.,20260824T093740Z_5937923c
1114,1,"If Clara just woke up, she is no longer sleeping.",20260824T093740Z_5937923c
1115,1,"B says the movie comes out next week, so it is not being released today.",20260824T093740Z_5937923c
1116,7,"B explicitly says they have used a drill before, confirming experience.",20260824T093740Z_5937923c
1117,2,"Celebrating tonight strongly suggests the party is not tomorrow, but it is not explicitly stated.",20260824T093740Z_5937923c
1118,7,Moving out tomorrow directly confirms leaving the flat soon.,20260824T093740Z_5937923c
1119,6,"Always falling behind strongly suggests he is a slacker, though it is not a direct label.",20260824T093740Z_5937923c
1120,7,"B says the region is famous for surfing, confirming that the area is popular for something.",20260824T093740Z_5937923c
1121,1,"B says the sea is rough, which directly contradicts calm.",20260824T093740Z_5937923c
1122,1,Working at an NGO rather than a corporate company strongly answers no.,20260824T093740Z_5937923c
1123,7,Authoring many successful books directly supports that he is a writer.,20260824T093740Z_5937923c
1124,1,"B is still analyzing the data, so they are not finished.",20260824T093740Z_5937923c
1125,2,"Being endangered strongly implies there are not many pandas left, though no exact number is given.",20260824T093740Z_5937923c
1126,7,Enrolling at the gym directly confirms joining a fitness studio.,20260824T093740Z_5937923c
1127,1,B explicitly says the thesis is not complete yet.,20260824T093740Z_5937923c
1128,7,"B says their hair was way too long, confirming they used to have long hair.",20260824T093740Z_5937923c
1129,1,"B says it was a business trip, not a vacation.",20260824T093740Z_5937923c
1130,1,Needing a larger flat means a one room flat is not enough.,20260824T093740Z_5937923c
1131,7,A deadline tomorrow directly confirms that she has to hand in soon.,20260824T093740Z_5937923c
1132,7,Sleeping only four hours directly confirms a short night.,20260824T093740Z_5937923c
1133,1,"If the offer had expired, the flight was no longer discounted.",20260824T093740Z_5937923c
1134,7,"B says the cat got wounded, confirming it is hurt.",20260824T093740Z_5937923c
1135,1,"Mark is still missing, so not everyone is here.",20260824T093740Z_5937923c
1137,7,Being Chinese strongly supports coming from Asia in this context.,20260824T093740Z_5937923c
1138,3,"The line going dead suggests the call ended, but it does not clearly say whether B hung up.",20260824T093740Z_5937923c
1139,6,"Having domestics strongly implies someone takes care of the house, though it is not explicit.",20260824T093740Z_5937923c
1140,1,"B says they have just opened, so the bar has not been there long.",20260824T093740Z_5937923c
1141,7,A house full of history books strongly confirms owning many books.,20260824T093740Z_5937923c
1143,6,Having only a few guests over for dinner strongly suggests a small gathering.,20260824T093740Z_5937923c
1144,1,"B only has one week off, not two weeks of holiday.",20260824T093740Z_5937923c
1145,6,"Going to have a baby strongly implies pregnancy, though it is not explicitly stated.",20260824T093740Z_5937923c
1147,1,Still owing the bank money means debts have not been fully paid back.,20260824T093740Z_5937923c
1148,1,"B says he only had water, so he did not drink a cocktail.",20260824T093740Z_5937923c
1149,2,"Owning an orchard suggests fruit trees rather than a vegetable garden, so likely no.",20260824T093740Z_5937923c
1150,1,A 25 year old son is not underage.,20260824T093740Z_5937923c
1151,1,Extremely expensive tuition strongly means Harvard is not affordable.,20260824T093740Z_5937923c
1152,7,Making a bank transfer moments ago strongly confirms she has paid.,20260824T093740Z_5937923c
1153,1,"If they cannot swim yet, they are not good at swimming.",20260824T093740Z_5937923c
1154,1,"B says they are healthy again, so they no longer have a cold.",20260824T093740Z_5937923c
1155,7,People not being allowed to get closer directly confirms it is forbidden to approach.,20260824T093740Z_5937923c
1156,7,Watering the plants regularly confirms someone took care of them.,20260824T093740Z_5937923c
1157,1,"B says he was already dead by then, so he was not alive in the 80s.",20260824T093740Z_5937923c
1158,7,A thick ice layer confirms the lake is frozen.,20260824T093740Z_5937923c
1159,1,Being in the advanced course means B is not attending the beginners class.,20260824T093740Z_5937923c
1160,7,Seeing a doctor confirms seeking medical advice.,20260824T093740Z_5937923c
1161,1,Going out with friends means B did not stay home.,20260824T093740Z_5937923c
1162,7,Voting yesterday confirms there was an election recently.,20260824T093740Z_5937923c
1163,7,Spotless directly confirms the car is completely clean.,20260824T093740Z_5937923c
1164,1,Submitting a blank sheet means they did not answer the questions.,20260824T093740Z_5937923c
1165,2,Just getting into the changing room suggests she is not currently on the tennis field.,20260824T093740Z_5937923c
1166,6,"Being compensated strongly suggests he got money back, though it is not explicit.",20260824T093740Z_5937923c
1167,1,No one responding directly answers no.,20260824T093740Z_5937923c
1168,2,"Not playing any instrument strongly suggests he is not a musician, though he could sing.",20260824T093740Z_5937923c
1169,7,Being in Japan for months confirms travelling in Asia.,20260824T093740Z_5937923c
1170,7,Aiming for the mountain top directly confirms the summit is the goal.,20260824T093740Z_5937923c
1171,7,The customer receiving the package confirms he got it.,20260824T093740Z_5937923c
