id,score,rationale,run_id
1101,1,"B says he has not seen Martin for ages, which directly answers no.",20260824T093740Z_5937923c
1102,7,"B states a current activity, so the answer is yes.",20260824T093740Z_5937923c
1103,7,"B says he trains with Lukas, which implies habitual exercise together.",20260824T093740Z_5937923c
1104,7,"B mentions a recent death in the family, so the answer is yes.",20260824T093740Z_5937923c
1105,6,A distance of about 1000 km strongly suggests Paris is very far.,20260824T093740Z_5937923c
1106,6,A six hour drive strongly suggests the trip takes long.,20260824T093740Z_5937923c
1107,1,A train delay means the journey is not going as planned.,20260824T093740Z_5937923c
1108,1,Cereal still being left means they have not finished it.,20260824T093740Z_5937923c
1109,1,A deadline three months away means it is not next week.,20260824T093740Z_5937923c
1110,7,Always congested streets directly imply a lot of traffic.,20260824T093740Z_5937923c
1111,1,Being vegetarian directly implies Megan does not eat meat.,20260824T093740Z_5937923c
1112,7,Having the flu directly implies John is sick.,20260824T093740Z_5937923c
1113,7,Running for hours every day directly implies daily training.,20260824T093740Z_5937923c
1114,1,Just waking up means Clara is not still sleeping.,20260824T093740Z_5937923c
1115,1,A release next week means it is not released today.,20260824T093740Z_5937923c
1116,7,Having used a drill before directly answers yes.,20260824T093740Z_5937923c
1117,1,Celebrating tonight means the party is not tomorrow.,20260824T093740Z_5937923c
1118,7,Moving out tomorrow directly implies leaving the flat soon.,20260824T093740Z_5937923c
1119,5,"Always falling behind suggests he is a slacker, but it is not a direct label.",20260824T093740Z_5937923c
1120,7,Being famous for surfing directly answers yes.,20260824T093740Z_5937923c
1121,1,A rough sea directly implies it is not calm.,20260824T093740Z_5937923c
1122,1,Working at an NGO directly implies not a corporate company.,20260824T093740Z_5937923c
1123,7,Authoring many successful books directly implies he is a writer.,20260824T093740Z_5937923c
1124,1,Still analyzing the data means the work is not finished.,20260824T093740Z_5937923c
1125,2,Endangered status strongly suggests there are not many pandas left.,20260824T093740Z_5937923c
1126,7,Enrolling at the gym directly implies joining a fitness studio.,20260824T093740Z_5937923c
1127,1,The thesis not being complete directly answers no.,20260824T093740Z_5937923c
1128,6,Saying the hair was way too long strongly implies it used to be long.,20260824T093740Z_5937923c
1129,1,A business trip directly implies it was not a vacation.,20260824T093740Z_5937923c
1130,1,Needing a larger flat directly implies a one room flat is not enough.,20260824T093740Z_5937923c
1131,7,A deadline tomorrow directly implies she has to hand it in soon.,20260824T093740Z_5937923c
1132,7,Sleeping only four hours directly implies a short night.,20260824T093740Z_5937923c
1133,1,An expired offer directly implies the flight was not still discounted.,20260824T093740Z_5937923c
1134,7,Being wounded directly implies the cat is hurt.,20260824T093740Z_5937923c
1135,1,Mark being missing directly implies not everyone is here.,20260824T093740Z_5937923c
1137,7,Being Chinese directly implies coming from Asia.,20260824T093740Z_5937923c
1138,4,"The line going dead does not clearly say whether B hung up, so it is ambiguous.",20260824T093740Z_5937923c
1139,7,Having domestics directly implies someone is taking care of the house.,20260824T093740Z_5937923c
1140,1,Just opening directly implies the bar has not been there for long.,20260824T093740Z_5937923c
1141,7,A house full of history books directly implies he owns many books.,20260824T093740Z_5937923c
1143,7,Having only few guests directly implies a small gathering.,20260824T093740Z_5937923c
1144,1,Having only one week off directly implies not two weeks of holiday.,20260824T093740Z_5937923c
1145,7,Going to have a baby directly implies pregnancy.,20260824T093740Z_5937923c
1147,1,Still owing the bank directly implies debts have not been paid back.,20260824T093740Z_5937923c
1148,1,Only having water directly implies he did not drink a cocktail.,20260824T093740Z_5937923c
1149,3,"Owning an orchard suggests not having a vegetable garden, but it is not explicit.",20260824T093740Z_5937923c
1150,1,Being 25 years old directly implies not underage.,20260824T093740Z_5937923c
1151,1,Extremely expensive tuition directly implies Harvard is not affordable.,20260824T093740Z_5937923c
1152,7,A recent bank transfer directly implies she has paid.,20260824T093740Z_5937923c
1153,1,Not being able to swim directly implies the kids are not good at swimming.,20260824T093740Z_5937923c
1154,1,Being healthy again directly implies the cold is gone.,20260824T093740Z_5937923c
1155,7,People not being allowed closer directly implies approaching is forbidden.,20260824T093740Z_5937923c
1156,7,Watering the plants regularly directly implies someone took care of them.,20260824T093740Z_5937923c
1157,1,Being already dead by then directly implies he was not alive in the 80s.,20260824T093740Z_5937923c
1158,7,A thick ice layer directly implies the lake is frozen.,20260824T093740Z_5937923c
1159,1,Being in the advanced course directly implies not attending the beginners class.,20260824T093740Z_5937923c
1160,7,Seeing a doctor directly implies seeking medical advice.,20260824T093740Z_5937923c
1161,1,Going out with friends directly implies not staying home.,20260824T093740Z_5937923c
1162,7,Voting yesterday directly implies there was an election recently.,20260824T093740Z_5937923c
1163,7,Being spotless directly implies the car is completely clean.,20260824T093740Z_5937923c
1164,1,Submitting a blank sheet directly implies they did not answer all questions.,20260824T093740Z_5937923c
1165,1,Being in the changing room directly implies she is not out on the tennis field.,20260824T093740Z_5937923c
1166,7,Being compensated directly implies he got the money back.,20260824T093740Z_5937923c
1167,1,No one responding directly implies no one answered the ad.,20260824T093740Z_5937923c
1168,1,Not playing any instrument directly implies he is not a musician.,20260824T093740Z_5937923c
1169,7,Being in Japan for several months directly implies he has travelled in Asia.,20260824T093740Z_5937923c
1170,7,Aiming for the mountain top directly implies the goal is the summit.,20260824T093740Z_5937923c
1171,7,The customer receiving it directly implies he got the package.,20260824T093740Z_5937923c
1173,1,Skipping lessons directly implies she did not attend the whole course.,20260824T093740Z_5937923c
1174,7,Poor resolution directly implies the screen has a bad image.,20260824T093740Z_5937923c
1175,7,Graduating from medical school directly implies she completed her medical studies.,20260824T093740Z_5937923c
1176,1,Private property directly implies it is not a public building.,20260824T093740Z_5937923c
1201,3,"Not seeing him for ages suggests they are not still good friends, but it is not explicit.",20260824T093740Z_5937923c
1202,7,Sending out an application directly implies looking for a job.,20260824T093740Z_5937923c
1203,7,Training with him directly implies knowing Lukas.,20260824T093740Z_5937923c
1204,4,A grandfather dying does not clearly establish whether the property is now his.,20260824T093740Z_5937923c
1205,6,A distance of about 1000 km strongly suggests driving to Paris takes long.,20260824T093740Z_5937923c
1206,6,A six hour drive strongly suggests Munich is far.,20260824T093740Z_5937923c
1207,3,"A train delay suggests he may not be home by noon, but it is not certain.",20260824T093740Z_5937923c
1208,5,"Cereal still being left suggests cereal has been bought, but it is not explicit.",20260824T093740Z_5937923c
1209,3,"The essay not being due suggests it may not have been started, but it is not explicit.",20260824T093740Z_5937923c
1210,5,Always congested streets strongly suggest they will be late.,20260824T093740Z_5937923c
1211,3,"Being vegetarian suggests Megan may not come to a steak house, but it is not explicit.",20260824T093740Z_5937923c
1212,6,Having the flu strongly suggests John is staying home.,20260824T093740Z_5937923c
1213,4,Running daily does not clearly establish whether Sonya registered for the marathon.,20260824T093740Z_5937923c
1214,1,Just waking up directly implies Clara has not had breakfast.,20260824T093740Z_5937923c
1215,1,The movie coming out next week directly implies it has not been seen.,20260824T093740Z_5937923c
1216,7,Having used a drill before directly implies knowing how to use one.,20260824T093740Z_5937923c
1217,2,Celebrating tonight strongly suggests the exam was not failed.,20260824T093740Z_5937923c
1218,4,Moving out tomorrow does not clearly establish whether a breakup is happening.,20260824T093740Z_5937923c
1219,4,Always falling behind does not clearly establish whether he was fired.,20260824T093740Z_5937923c
1220,6,Being famous for surfing strongly suggests there are big waves.,20260824T093740Z_5937923c
1221,2,A rough sea strongly suggests it is not safe to swim.,20260824T093740Z_5937923c
1222,3,"Working at an NGO suggests not making a lot of money, but it is not explicit.",20260824T093740Z_5937923c
1223,6,Authoring many successful books strongly suggests he is famous.,20260824T093740Z_5937923c
1224,1,Still analyzing the data directly implies the data was not presented.,20260824T093740Z_5937923c
1225,2,Endangered status strongly suggests hunting pandas is not legal.,20260824T093740Z_5937923c
1226,4,Enrolling at the gym does not clearly establish whether weight has been lost.,20260824T093740Z_5937923c
1227,1,The thesis not being complete directly implies not graduated.,20260824T093740Z_5937923c
1228,3,"Saying the hair was way too long suggests it has not been cut, but it is not explicit.",20260824T093740Z_5937923c
1229,3,"A business trip suggests there was no time for sightseeing, but it is not explicit.",20260824T093740Z_5937923c
1230,1,Needing a larger flat directly implies the one room flat was not bought.,20260824T093740Z_5937923c
1231,5,A deadline tomorrow strongly suggests she is stressed about the project.,20260824T093740Z_5937923c
1232,6,Sleeping only four hours strongly suggests tiredness.,20260824T093740Z_5937923c
1233,1,An expired offer directly implies the flight was not booked.,20260824T093740Z_5937923c
1234,6,A wounded cat strongly suggests it is being brought to the vet.,20260824T093740Z_5937923c
1235,1,Mark being missing directly implies they are not ready to go.,20260824T093740Z_5937923c
1237,4,Being Chinese does not clearly establish whether he can cook Cantonese rice.,20260824T093740Z_5937923c
1238,2,The line going dead strongly suggests the issue was not told.,20260824T093740Z_5937923c
1239,6,Having domestics strongly suggests the house is tidy.,20260824T093740Z_5937923c
1240,3,"The bar just opening suggests it has not been tried yet, but it is not explicit.",20260824T093740Z_5937923c
1241,6,A house full of history books strongly suggests a passion for history.,20260824T093740Z_5937923c
1243,5,Having only few guests strongly suggests the saucepan is big enough.,20260824T093740Z_5937923c
1244,1,Having only one week off directly implies not taking a two week trip.,20260824T093740Z_5937923c
1245,6,Going to have a baby strongly suggests avoiding alcohol.,20260824T093740Z_5937923c
1247,4,Still owing the bank does not clearly establish whether a new loan was taken.,20260824T093740Z_5937923c
1248,1,Only having water directly implies he is not drunk.,20260824T093740Z_5937923c
1249,3,"Owning an orchard suggests not buying fruit in the supermarket, but it is not explicit.",20260824T093740Z_5937923c
1250,1,Being 25 years old directly implies not being at elementary school.,20260824T093740Z_5937923c
1251,3,"Expensive tuition suggests Harvard may not be an option, but it is not explicit.",20260824T093740Z_5937923c
1252,6,A recent bank transfer strongly suggests she accepted the deal.,20260824T093740Z_5937923c
1253,2,Not being able to swim strongly suggests the kids did not go to the pool.,20260824T093740Z_5937923c
1254,1,Being healthy again directly implies the pills are no longer needed.,20260824T093740Z_5937923c
1255,5,People not being allowed closer strongly suggests the area is contaminated.,20260824T093740Z_5937923c
1256,5,Watering the plants regularly strongly suggests they are still alive.,20260824T093740Z_5937923c
1257,1,Being already dead by then directly implies he did not create the artwork in 1981.,20260824T093740Z_5937923c
1258,6,A thick ice layer strongly suggests it is ice skating season.,20260824T093740Z_5937923c
