id,score,rationale,run_id
1101,1,Not seeing him for ages directly implies not having met him lately.,20260824T093740Z_5937923c
1102,7,"Sending out an application is an activity, confirming they are doing something.",20260824T093740Z_5937923c
1103,6,Training with him at the gym implies regular exercise together.,20260824T093740Z_5937923c
1104,7,Grandfather passing away recently confirms a death in the family.,20260824T093740Z_5937923c
1105,6,"1000 km is quite far, implying yes.",20260824T093740Z_5937923c
1106,6,"A six hour drive is a long time, implying yes.",20260824T093740Z_5937923c
1107,2,Train delay implies the journey is not going as planned.,20260824T093740Z_5937923c
1108,2,Some cereal left implies they have not finished it.,20260824T093740Z_5937923c
1109,1,Not due for three months directly contradicts next week.,20260824T093740Z_5937923c
1110,7,Streets always congested confirms heavy traffic.,20260824T093740Z_5937923c
1111,1,Being vegetarian means she does not eat meat.,20260824T093740Z_5937923c
1112,7,Having the flu confirms being sick.,20260824T093740Z_5937923c
1113,7,Running for hours every day confirms daily training.,20260824T093740Z_5937923c
1114,1,Just woke up means she is no longer sleeping.,20260824T093740Z_5937923c
1115,1,Coming out next week contradicts today's release.,20260824T093740Z_5937923c
1116,7,Having used one before confirms experience with a drill.,20260824T093740Z_5937923c
1117,2,"Celebrating tonight suggests the party is today, not tomorrow, though possibly multiple days.",20260824T093740Z_5937923c
1118,7,Moving out tomorrow confirms leaving soon.,20260824T093740Z_5937923c
1119,6,"Always falling behind suggests slacker, though could be for other reasons.",20260824T093740Z_5937923c
1120,7,Famous for surfing confirms the area is popular for something.,20260824T093740Z_5937923c
1121,1,Quite rough is the opposite of calm.,20260824T093740Z_5937923c
1122,2,An NGO is generally not a corporate company.,20260824T093740Z_5937923c
1123,7,Authoring many books confirms being a writer.,20260824T093740Z_5937923c
1124,1,Still analyzing means not finished.,20260824T093740Z_5937923c
1125,2,Endangered species implies few pandas remain.,20260824T093740Z_5937923c
1126,7,Enrolling at the gym is joining a fitness studio.,20260824T093740Z_5937923c
1127,1,Explicitly not complete.,20260824T093740Z_5937923c
1128,6,Saying hair was way too long confirms having had long hair.,20260824T093740Z_5937923c
1129,2,A business trip implies not a vacation.,20260824T093740Z_5937923c
1130,1,Needing a larger one means one room is not enough.,20260824T093740Z_5937923c
1131,7,Deadline tomorrow confirms handing in soon.,20260824T093740Z_5937923c
1132,7,Sleeping only four hours confirms a short night.,20260824T093740Z_5937923c
1133,1,Offer expired means it was not discounted anymore.,20260824T093740Z_5937923c
1134,7,Wounded means hurt.,20260824T093740Z_5937923c
1135,1,Mark missing means not everyone is here.,20260824T093740Z_5937923c
1137,6,"Chinese implies coming from Asia, assuming origin.",20260824T093740Z_5937923c
1138,4,"The line going dead is ambiguous—it suggests the call ended without the speaker hanging up, but doesn't clearly answer whether they hung up; slightly leans no.",20260824T093740Z_5937923c
1139,7,Having domestic help confirms someone takes care of the house.,20260824T093740Z_5937923c
1140,1,Just opened means not here for long.,20260824T093740Z_5937923c
1141,7,House full of history books confirms owning many books.,20260824T093740Z_5937923c
1143,7,Only few guests confirms a small gathering.,20260824T093740Z_5937923c
1144,1,Only one week off contradicts two weeks.,20260824T093740Z_5937923c
1145,7,Going to have a baby confirms pregnancy.,20260824T093740Z_5937923c
1147,2,Still owing money means debts not fully paid.,20260824T093740Z_5937923c
1148,1,Only water means no cocktail.,20260824T093740Z_5937923c
1149,4,"An orchard is fruit trees, not a vegetable garden; leans no but related.",20260824T093740Z_5937923c
1150,1,25 years old is not underage.,20260824T093740Z_5937923c
1151,1,Extremely expensive tuition means not affordable.,20260824T093740Z_5937923c
1152,7,Bank transfer just made confirms payment.,20260824T093740Z_5937923c
1153,1,Cannot swim means not good at swimming.,20260824T093740Z_5937923c
1154,1,Healthy again means the cold is gone.,20260824T093740Z_5937923c
1155,7,Not allowed to get closer confirms it is forbidden.,20260824T093740Z_5937923c
1156,7,Watering them regularly confirms care.,20260824T093740Z_5937923c
1157,1,Already dead by then means not alive.,20260824T093740Z_5937923c
1158,7,Thick ice layer confirms the lake is frozen.,20260824T093740Z_5937923c
1159,1,Advanced course is not the beginners' class.,20260824T093740Z_5937923c
1160,7,Seeing a doctor is seeking medical advice.,20260824T093740Z_5937923c
1161,1,Going out means not staying home.,20260824T093740Z_5937923c
1162,7,Voting yesterday confirms a recent election.,20260824T093740Z_5937923c
1163,7,Spotless means completely clean.,20260824T093740Z_5937923c
1164,1,Blank sheet means no questions answered.,20260824T093740Z_5937923c
1165,2,Just entered the changing room means she is not on the field.,20260824T093740Z_5937923c
1166,6,"Being compensated implies he got money back, though not necessarily the same amount.",20260824T093740Z_5937923c
1167,1,No one responded is explicit no.,20260824T093740Z_5937923c
1168,2,"Not playing an instrument strongly suggests not a musician, though singers exist.",20260824T093740Z_5937923c
1169,7,Being in Japan for months confirms travel in Asia.,20260824T093740Z_5937923c
1170,7,Mountain top equals summit.,20260824T093740Z_5937923c
1171,7,Received it confirms getting the package.,20260824T093740Z_5937923c
1173,1,Skipping the last four lessons means she did not attend the whole course.,20260824T093740Z_5937923c
1174,6,Poor resolution implies a bad image.,20260824T093740Z_5937923c
1175,7,Graduating from medical school confirms completion.,20260824T093740Z_5937923c
1176,1,Private property is not a public building.,20260824T093740Z_5937923c
1201,2,"Not seeing him for ages suggests the friendship has faded, though friendship could persist.",20260824T093740Z_5937923c
1202,6,Sending out an application strongly suggests job searching.,20260824T093740Z_5937923c
1203,7,Training with him confirms knowing him.,20260824T093740Z_5937923c
1204,5,"Grandfather's death suggests possible inheritance, but it's an indirect implication.",20260824T093740Z_5937923c
1205,6,1000 km implies a long drive.,20260824T093740Z_5937923c
1206,6,A six hour drive is far.,20260824T093740Z_5937923c
1207,2,Train delay suggests not home by noon.,20260824T093740Z_5937923c
1208,3,"Some cereal left implies no need to buy, suggesting they haven't bought it, though ambiguous.",20260824T093740Z_5937923c
1209,2,Saying it's not due for three months implies they haven't started.,20260824T093740Z_5937923c
1210,6,Always congested streets implies likely late.,20260824T093740Z_5937923c
1211,2,"Being vegetarian suggests she won't come to a steak house, though she could still come.",20260824T093740Z_5937923c
1212,6,Having the flu implies staying home.,20260824T093740Z_5937923c
