id,score,rationale
1101,0.1,"B says he has not seen Martin for ages, which strongly implies he has not met him lately."
1102,0.1,"Sending out an application does not indicate doing something else right now in a direct yes sense; it suggests being occupied, but not clearly affirmative to the exact question."
1103,0.9,Training with Lukas at the gym strongly supports that they usually exercise together.
1104,0.9,Saying his grandfather passed away recently clearly indicates a death in the family.
1105,0.9,Being about 1000 km away strongly implies Paris is very far from here.
1106,0.9,A six hour drive indicates it takes a long time to get to Munich.
1107,0.1,A train delay means the journey is not going as planned.
1108,0.1,"If there is still some left, they have not finished their cereal."
1109,0.1,"If it is not due for three months, the deadline is not next week."
1110,0.9,Always congested with cars clearly means there is usually a lot of traffic.
1111,0.1,Being vegetarian strongly implies she does not eat meat.
1112,0.9,Having the flu means he is sick.
1113,0.9,Running for hours every day strongly supports that she trains daily.
1114,0.1,"If she just woke up, she is not still sleeping."
1115,0.1,Coming out next week means it is not being released today.
1116,0.9,Having used one before clearly answers yes to ever having worked with a drill.
1117,0.1,Celebrating tonight suggests the party is not tomorrow.
1118,0.9,Moving out tomorrow means leaving the flat soon.
1119,0.9,Always falling behind strongly suggests he is a slacker.
1120,0.9,Being famous for surfing indicates the area is popular for something.
1121,0.1,Quite rough is the opposite of calm.
1122,0.1,Working at an NGO means not working for a corporate company.
1123,0.9,Authoring many successful books strongly indicates he is a writer.
1124,0.1,Still analyzing it means he is not finished working on the data.
1125,0.9,An endangered species implies there are not many pandas left.
1126,0.9,Enrolled at the gym clearly means she has joined a fitness studio.
1127,0.1,"If the thesis is not complete yet, it has not been finished."
1128,0.9,Saying the hair was way too long strongly supports that it used to be long.
1129,0.1,A business trip is not a vacation.
1130,0.1,Needing a larger one implies a one-room flat is not enough.
1131,0.9,"If the deadline is tomorrow, she has to hand it in soon."
1132,0.9,Sleeping only four hours indicates a short night.
1133,0.1,"If the offer had already expired, the flight was not still discounted."
1134,0.9,Got wounded clearly means the cat is hurt.
1135,0.1,"If Mark is still missing, then not all are here."
1137,0.7,"Being Chinese suggests coming from Asia, though it is not logically guaranteed because nationality and origin can differ."
1138,0.5,"The line went dead suggests the call ended, but it is not a direct explicit answer to whether the person hung up."
1139,0.7,"Having domestics implies someone is taking care of the house, though the wording is a bit indirect."
1140,0.9,Just opened clearly means it has not been there for long.
1141,0.9,A house full of history books strongly suggests he owns many books.
1143,0.9,Only a few guests over for dinner indicates a small gathering.
1144,0.1,Only one week off work means they do not have two weeks of holiday.
1145,0.9,Going to have a baby strongly implies pregnancy.
1147,0.1,Still owing the bank money means debts have not been paid back.
1148,0.1,Only had water means he did not drink a cocktail.
1149,0.1,An orchard is not a vegetable garden.
1150,0.1,Being 25 years old means he is not underage.
1151,0.1,Extremely expensive tuition means it is not affordable.
1152,0.9,A bank transfer moments ago strongly indicates she has paid them.
1153,0.1,"If they cannot swim yet, they are not good at swimming."
1154,0.9,Being healthy again means the cold is gone.
1155,0.9,Not allowed to get closer clearly means it is forbidden to approach.
1156,0.9,Watered them regularly strongly suggests someone took care of the plants.
1157,0.1,"If he was already dead by then, he was not alive in the 80s."
1158,0.9,A thick ice layer strongly implies the lake is frozen.
1159,0.1,Being in the advanced course means she is not a beginner.
1160,0.9,Seeing a doctor is a clear form of seeking medical advice.
1161,0.1,Going out with friends means he did not stay home.
1162,0.9,Voting yesterday strongly indicates there was an election recently.
1163,0.9,Spotless means completely clean.
1164,0.1,Submitting a blank sheet means they did not answer the questions.
1165,0.1,Just got into the changing room means she is not out on the tennis field.
1166,0.9,Being compensated means he got the money back in effect.
1167,0.1,No one has responded means nobody answered the ad.
1168,0.1,Not playing any instrument means he is not a musician.
1169,0.7,"Being in Japan for several months implies he has travelled in Asia, though the answer is indirect and not fully exhaustive."
1170,0.9,Aiming for the mountain top clearly means the goal is the summit.
1171,0.9,"If the customer received it, the package got to him."
1173,0.1,Skipping the last four lessons means she did not attend the whole course.
1174,0.9,A really poor resolution indicates a bad image.
1175,0.9,Graduating from medical school last year means she completed her medical studies.
1176,0.1,Private property is not a public building.
1201,0.1,"Not seeing him for ages suggests they are not still good friends, or at least not in close contact."
1202,0.7,"Sending out an application suggests looking for a job, though it is not perfectly explicit."
1203,0.7,"Training with him at the gym implies knowing him, but it is not a direct statement of acquaintance."
1204,0.5,"The grandfather's death may relate to property ownership, but the answer does not directly confirm whether it is his property now."
1205,0.9,Being about 1000 km away clearly means it takes long to drive to Paris.
1206,0.9,A six hour drive clearly means Munich is far from here.
1207,0.1,A train delay suggests he will not be home by noon.
1208,0.1,"If there is still some left, they have not bought cereal."
1209,0.1,"If it is not due for three months, they have not started writing the essay in the sense implied by the question."
1210,0.9,Always congested with cars strongly suggests they will be late to the cinema.
1211,0.1,Being vegetarian strongly implies she is not coming to the steak house.
1212,0.9,Having the flu strongly suggests he is staying home.
1213,0.9,Running for hours every day strongly suggests she has registered for the marathon.
1214,0.1,Just waking up means she did not already have breakfast.
1215,0.1,"If it comes out next week, he has not seen the movie yet."
1216,0.9,Having used one before clearly indicates he knows how to use a drill.
1217,0.1,Celebrating tonight suggests he did not fail the exam.
1218,0.1,Moving out tomorrow suggests he is not breaking up with him in the direct sense.
1219,0.7,"Always falling behind suggests he was fired, but it is not certain."
1220,0.7,"Being famous for surfing suggests there are big waves, though it is indirect."
1221,0.1,Quite rough means the sea is not safe to swim in.
1222,0.1,Working at an NGO does not suggest making a lot of money; usually it implies the opposite.
1223,0.7,"Authoring many successful books suggests he is famous, though not guaranteed."
1224,0.1,Still analyzing it means he did not present the data at the meeting.
1225,0.9,Endangered species means it is not legal to hunt pandas.
1226,0.7,"Enrolling at the gym suggests trying to lose weight, but it is not explicit."
1227,0.1,"If the thesis is not complete yet, she has not graduated."
1228,0.1,Saying the hair was way too long suggests he did not get it cut.
1229,0.1,A business trip means it was not for sightseeing/vacation.
1230,0.1,Needing a larger one implies he did not buy the one-room flat.
1231,0.7,"A deadline tomorrow suggests she is stressed about the project, though not explicitly stated."
1232,0.9,Sleeping only four hours clearly indicates tiredness.
1233,0.1,"If the offer had already expired, he likely did not book the flight under that offer."
1234,0.9,Getting wounded means the cat is hurt.
1235,0.1,"If Mark is still missing, they are not all ready to go."
1237,0.7,"Being Chinese suggests ability to cook cantonese rice, but it is not guaranteed."
1238,0.1,The line went dead means he likely did not tell him about the issue.
1239,0.7,"Having domestics suggests the house is tidy, though not certain."
1240,0.1,Just opened means they have not tried the bar yet.
1241,0.7,"A house full of history books suggests a passion for history, but it is indirect."
1243,0.1,Only a few guests over for dinner suggests the saucepan is not big enough for a large gathering.
1244,0.1,Only one week off work means they will not take a two-week trip.
1245,0.9,Going to have a baby strongly implies avoiding alcohol.
1247,0.1,Still owing the bank money means he did not get a new loan in the sense of having extra money settled.
1248,0.1,Only had water means he is not drunk.
1249,0.1,Owning an orchard is not the same as buying fruit in the supermarket.
1250,0.1,Being 25 years old means he is not at elementary school age.
1251,0.1,Extremely expensive tuition means Harvard is not an affordable option.
1252,0.9,A bank transfer moments ago strongly indicates she accepted the deal.
1253,0.1,"If they cannot swim yet, they did not go to the swimming pool for swimming in the intended sense."
1254,0.9,Being healthy again means she is no longer taking those pills.
1255,0.9,Not allowed to get closer clearly means the area is contaminated or restricted.
1256,0.9,Watered them regularly strongly suggests the plants are still alive.
1257,0.1,"If he was already dead by then, the artwork was not created by him in 1981."
1258,0.9,A thick ice layer strongly indicates it is ice skating season.
1259,0.1,Being in the advanced course means she is not a beginner.
1260,0.7,"Seeing a doctor suggests he has been sick, though it is not explicit."
1261,0.1,Going out with friends means he did not go to bed early.
1262,0.9,Voting yesterday clearly indicates there was an election recently.
1263,0.9,Spotless means the car is completely clean.
1264,0.1,Submitting a blank sheet means they did not write a good exam.
1265,0.1,Being in the changing room means she is not dressed for the tennis game yet.
1266,0.9,Being compensated means he got the money back or equivalent compensation.
1267,0.1,No one has responded means the house has not been sold.
1268,0.1,Not playing any instrument means he is not part of a marching band.
1269,0.7,"Being in Japan for several months suggests he has tried sushi, but it is not certain."
1270,0.9,Aiming for the mountain top clearly means the route is uphill.
1271,0.9,"If the customer received it, the package was shipped to him."
1273,0.1,Skipping the last four lessons means she is not very dedicated to the course.
1274,0.7,"A poor monitor resolution can strain the eyes, so this suggests yes, but indirectly."
1275,0.9,Graduating from medical school means she is a medical doctor.
1276,0.1,"If it is private property, he has not been inside in the sense of having legitimate access."
2101,0.9,"Needing to revise topics clearly means yes, study is needed."
2102,0.9,An interesting new movie indicates something has come out recently in cinemas.
2103,0.9,Quite chilly clearly means it is cold.
2105,0.7,"Heard good things about the book suggests some knowledge about the novel, though indirect."
2106,0.9,Pulling a muscle last time clearly indicates injury at yoga class.
2107,0.9,Cannot find my phone strongly implies the phone is lost.
2108,0.9,Minus 20 degrees clearly means it is cold outside.
2109,0.9,Having just entered a church clearly means they are in a religious building.
2110,0.9,Training very hard strongly suggests workouts are difficult.
2113,0.7,"Working on an exhausting task suggests he was working today, though not explicitly."
2114,0.1,Not bringing a bikini suggests he does not have swimming gear with him.
2115,0.1,Not having time means he is not free at the moment.
2116,0.1,Watching it last month means he did not watch it yesterday.
2117,0.9,Being on a diet strongly suggests eating less than usual.
2118,0.1,Being a Muslim means she does not practise Hinduism.
2119,0.9,Head spinning after beers indicates he is not feeling ok.
2120,0.1,Very tired means he is not feeling energetic.
2121,0.1,Being broke means they do not have money saved up.
2122,0.9,Having used one already in the past clearly means yes.
2123,0.1,11 p.m. means it is not morning in Los Angeles.
2124,0.1,Having a hangover means he is not feeling good.
2125,0.1,Being diabetic means he is not free of chronic disease.
2127,0.1,Usually getting seasick means he does not feel well on boats.
2128,0.9,"If the toothache is gone, the teeth are no longer hurting."
2129,0.7,Several bus stops before destination suggests there are many stations on the way.
2130,0.9,Should not staple them clearly means he is not allowed to staple the documents.
2131,0.9,Very light means the luggage does not weigh much.
2132,0.9,"Having to get up at 5 am clearly means yes, early wake-up is needed."
2134,0.1,French being the native language means Spanish is not the mother tongue.
2135,0.9,Does not work means the remote is unusable.
2136,0.9,Wolves being very common here clearly means there are wild animals in the region.
2137,0.1,Only having cacti means there are no trees in the garden.
2138,0.9,Needing it for travelling clearly means the passport is necessary for taking the plane.
2139,0.1,Having a sandwich means they did not bring pie for lunch.
2140,0.9,Having to go out soon means the kids are about to leave.
2141,0.9,Starving clearly means already hungry.
2144,0.9,"Drinking tea all the time clearly means yes, often consuming hot drinks."
2145,0.9,Too much light in here means the room is very bright.
2146,0.1,Being abroad then means he will not stay in town till Friday.
2147,0.9,Having a soup clearly means he is eating something.
2148,0.9,Just started pouring means it is raining already.
2149,0.1,Not drinking means he does not consume alcohol.
2150,0.1,A dishwasher in the kitchen means not everything was taken away from the flat.
2151,0.1,Giving away the racket ages ago means he does not still have tennis equipment.
2152,0.1,Not eating spicy dishes means he does not consume all types of food.
2153,0.9,Living right next to you clearly means they are neighbors.
2155,0.1,Understanding everything now means she is not still confused.
2156,0.9,Chest hurts a lot clearly indicates pain in the upper body.
2157,0.1,Being in the middle of summer means it is not winter there.
2159,0.9,Cutting a finger while cooking clearly means he got hurt.
2160,0.9,Dust all over the floor clearly means the living room is dirty.
2161,0.1,Having brought mine means she has not left her toothpaste at home.
2162,0.9,Chapped lips indicate damage from the wind.
2163,0.1,Working early tomorrow morning means she is not doing the afternoon shift tomorrow.
2164,0.1,Planning to eat at a restaurant means she is not going to have dinner at home.
2165,0.9,They have grown a lot recently clearly means the hedges are taller than last time.
2166,0.9,Lunch is now ready clearly means cooking has been finished.
2167,0.9,"Very complicated homework clearly means yes, it is difficult."
2168,0.1,Not sure where to go yet means they have not decided on a destination.
2169,0.1,Smoking cigars only means he does not smoke cigarettes.
2170,0.1,Usually typing on a laptop means he is not writing on paper.
2171,0.1,"If the stove was not delivered yet, the kitchen is still incomplete."
2172,0.9,Cars get stolen regularly here clearly means car theft occurs often.
2173,0.1,A wardrobe completely full of clothes means there is no room left.
2174,0.9,Laundry piling up clearly means there is a lot to wash.
2175,0.9,Being able to have a relaxed breakfast implies taking some time for breakfast.
2201,0.9,Needing to revise topics strongly supports studying together.
2202,0.9,An interesting new movie strongly supports going to the cinema.
2203,0.9,Quite chilly strongly suggests closing the window.
2205,0.7,"Heard good things about the book suggests willingness to borrow it, but not directly."
2206,0.9,Pulling a muscle last time strongly supports skipping yoga class.
2207,0.1,Cannot find my phone means he does not want to use the offered phone.
2208,0.9,Minus 20 degrees clearly means a coat is needed.
2209,0.9,Entering a church clearly supports turning off phones.
2210,0.9,Training very hard strongly suggests wanting a protein shake.
2213,0.1,Working on an exhausting task suggests not taking a break from work.
2214,0.1,Not bringing a bikini suggests not going to the lake.
2215,0.1,Not having time means she is not coming to the talk.
2216,0.1,Watching it last month means they should not watch Titanic tonight.
2217,0.1,Being on a diet suggests skipping dessert.
2218,0.1,Being Muslim means he does not want pork.
2219,0.1,Having a spinning head after beers means he does not want another beer.
2220,0.1,Being very tired means they should not go out.
2221,0.1,Being broke means they should not go on a trip.
2222,0.7,"Having used one already in the past suggests he does not need help with the chain saw, but it is indirect."
2223,0.1,11 p.m. means it is not a good time to go to the cinema.
2224,0.1,Having a hangover means they should not have drinks.
2225,0.1,Being diabetic suggests not wanting cake.
2227,0.1,Usually getting seasick means she should not join a sea cruise.
2228,0.1,"If the toothache is gone, painkillers are not needed."
2229,0.1,Having several bus stops before destination means she does not need the seat.
2230,0.1,Should not staple them means she does not need the stapler.
2231,0.9,Very light luggage means help is not needed.
2232,0.9,"Having to get up at 5 am clearly means yes, set the alarm."
2234,0.1,French being the native language means checking French spelling is unnecessary.
2235,0.9,It does not work clearly means the remote needs batteries changed.
2236,0.9,Wolves being very common here clearly means lock up the cattle.
2237,0.1,Only having cacti means watering the plants is unnecessary.
2238,0.9,Needing it for travelling clearly means pack the passport.
2239,0.1,Having a sandwich means she does not want food.
2240,0.9,Having to go out soon clearly means wake up the kids.
2241,0.9,"Starving clearly means yes, offer biscuits."
