id,score,rationale,run_id
1101,1,"Person B explicitly states not having seen Martin for ages, which directly negates having met him lately.",20260824T093740Z_5937923c
1102,7,"Person B specifies the exact task they are engaged in right now, directly confirming they are doing something.",20260824T093740Z_5937923c
1103,7,"Person B confirms training with Lukas at the gym, indicating they do exercise with him.",20260824T093740Z_5937923c
1104,7,"Person B states that his grandfather passed away recently, directly answering yes to there being a death in the family.",20260824T093740Z_5937923c
1105,6,"A distance of 1000 km is generally considered very far in everyday contexts, indicating an affirmative answer.",20260824T093740Z_5937923c
1106,6,"A six-hour drive is typically regarded as taking a long time, suggesting a 'yes'.",20260824T093740Z_5937923c
1107,2,A train delay implies that the journey is not going strictly according to plan.,20260824T093740Z_5937923c
1108,1,Having cereal left means they have not finished it.,20260824T093740Z_5937923c
1109,1,"Person B states it is not due for three months, which rules out next week.",20260824T093740Z_5937923c
1110,7,Saying the streets are always congested with cars directly confirms that there is usually a lot of traffic.,20260824T093740Z_5937923c
1111,1,Being a vegetarian means she does not eat meat.,20260824T093740Z_5937923c
1112,7,Having the flu directly confirms that John is sick.,20260824T093740Z_5937923c
1113,7,Running for hours every day affirms that she trains daily.,20260824T093740Z_5937923c
1114,1,"If she just woke up, she is no longer sleeping.",20260824T093740Z_5937923c
1115,1,Coming out next week directly contradicts being released today.,20260824T093740Z_5937923c
1116,7,Having used a drill before confirms having worked with one.,20260824T093740Z_5937923c
1117,1,Celebrating tonight implies it does not take place tomorrow.,20260824T093740Z_5937923c
1118,7,Moving out tomorrow directly confirms leaving soon.,20260824T093740Z_5937923c
1119,6,Always falling behind is strong evidence in support of being considered a slacker.,20260824T093740Z_5937923c
1120,7,Being famous for surfing confirms that the area is popular for something.,20260824T093740Z_5937923c
1121,1,Describing the sea as 'quite rough' directly opposes it being calm.,20260824T093740Z_5937923c
1122,1,An NGO (non-governmental organization) is non-profit and not a corporate company.,20260824T093740Z_5937923c
1123,7,Authoring many successful books directly confirms that he is a writer.,20260824T093740Z_5937923c
1124,1,Still analyzing the data means the person is not finished working on it.,20260824T093740Z_5937923c
1125,1,"Being an endangered species means their population is low, not high.",20260824T093740Z_5937923c
1126,7,Enrolling at the gym is synonymous with joining a fitness studio.,20260824T093740Z_5937923c
1127,1,Stating that the thesis is not complete directly means it is not finished.,20260824T093740Z_5937923c
1128,7,Person B confirms their hair was previously way too long.,20260824T093740Z_5937923c
1129,1,Clarifying that it was a business trip directly negates going for a vacation.,20260824T093740Z_5937923c
1130,1,Needing a larger one indicates that a one-room flat is not enough.,20260824T093740Z_5937923c
1131,7,A deadline of tomorrow confirms that it must be handed in soon.,20260824T093740Z_5937923c
1132,7,Four hours of sleep is considered a short night.,20260824T093740Z_5937923c
1133,1,An expired offer means the discount was no longer available.,20260824T093740Z_5937923c
1134,7,Getting wounded means the cat is hurt.,20260824T093740Z_5937923c
1135,1,"If Mark is missing, not everyone is present.",20260824T093740Z_5937923c
1137,7,"China is an Asian country, so being Chinese confirms coming from Asia.",20260824T093740Z_5937923c
1138,1,Stating that the line went dead clarifies that the call dropped unintentionally rather than Person B hanging up.,20260824T093740Z_5937923c
1139,7,Employing domestic staff indicates someone is taking care of their house.,20260824T093740Z_5937923c
1140,1,Having just opened means it has not been there for long.,20260824T093740Z_5937923c
1141,7,Having a house full of books confirms owning many books.,20260824T093740Z_5937923c
1143,7,Having only a few guests over for dinner describes a small gathering.,20260824T093740Z_5937923c
1144,1,Having only one week off explicitly rules out having two weeks.,20260824T093740Z_5937923c
1145,7,Going to have a baby confirms pregnancy.,20260824T093740Z_5937923c
1147,1,Still owing the bank money means debts have not been fully paid back.,20260824T093740Z_5937923c
1148,1,Only having water indicates he did not drink a cocktail.,20260824T093740Z_5937923c
1149,2,"An orchard is for fruit trees, not a vegetable garden, implying 'no'.",20260824T093740Z_5937923c
1150,1,"At 25 years old, a person is legally an adult, not underage.",20260824T093740Z_5937923c
1151,1,Extremely expensive tuition implies it is not affordable.,20260824T093740Z_5937923c
1152,7,Making a bank transfer moments ago indicates that payment has been made.,20260824T093740Z_5937923c
1153,1,Not knowing how to swim yet means they are not good at swimming.,20260824T093740Z_5937923c
1154,1,Being healthy again means no longer having a cold.,20260824T093740Z_5937923c
1155,7,Not being allowed to get closer confirms that approaching is forbidden.,20260824T093740Z_5937923c
1156,7,Watering them regularly confirms someone took care of them.,20260824T093740Z_5937923c
1157,1,Being already dead by then means the artist was not alive in the 80s.,20260824T093740Z_5937923c
1158,7,A thick layer of ice confirms that the lake is frozen.,20260824T093740Z_5937923c
1159,1,Being in the advanced course directly contradicts attending the beginners' class.,20260824T093740Z_5937923c
1160,7,Seeing a doctor means medical advice was sought.,20260824T093740Z_5937923c
1161,1,Going out with friends indicates not staying home.,20260824T093740Z_5937923c
1162,7,Voting yesterday confirms there was an election recently.,20260824T093740Z_5937923c
1163,7,'Spotless' means completely clean.,20260824T093740Z_5937923c
1164,1,Submitting a blank sheet means no questions were answered.,20260824T093740Z_5937923c
1165,1,Being in the changing room means she is not currently out on the tennis court/field.,20260824T093740Z_5937923c
1166,7,Being compensated implies he recovered the money or received a payout.,20260824T093740Z_5937923c
1167,1,No one responding directly means no one answered the ad.,20260824T093740Z_5937923c
1168,2,"Not playing any instrument strongly suggests he is not an instrumental musician (though singing/producing exists, it strongly leans no).",20260824T093740Z_5937923c
1169,7,"Japan is in Asia, so living there for months confirms travelling in Asia.",20260824T093740Z_5937923c
1170,7,"Mountain top is synonymous with summit, confirming the goal.",20260824T093740Z_5937923c
1171,7,The customer receiving it confirms they got the package.,20260824T093740Z_5937923c
1173,1,Skipping the last four lessons means she did not attend the whole course.,20260824T093740Z_5937923c
1174,7,Poor resolution implies a bad image quality.,20260824T093740Z_5937923c
1175,7,Graduating from medical school means she completed her medical studies.,20260824T093740Z_5937923c
1176,1,Private property directly contradicts being a public building.,20260824T093740Z_5937923c
