id,score,rationale,run_id
1101,2,"Person B says they have not seen Martin for ages, which strongly implies they have not met him lately. It is not a literal 'no', but it is a clear negative answer.",20260824T093740Z_5937923c
1102,7,"Person B explicitly states they are sending out an application, which is something they are doing right now. This is a definite yes.",20260824T093740Z_5937923c
1103,6,"Training with Lukas at the gym supports the idea that they usually exercise with him, though 'train' is slightly more specific than 'exercise'.",20260824T093740Z_5937923c
1104,7,"Person B says his grandfather passed away recently, which directly confirms there was a death in his family.",20260824T093740Z_5937923c
1105,6,"Being about 1000 km away strongly suggests Paris is far, although the judgment of 'very far' is somewhat subjective.",20260824T093740Z_5937923c
1106,6,"A six hour drive generally indicates that getting to Munich takes a long time, so the answer is very likely yes.",20260824T093740Z_5937923c
1107,2,A delayed train suggests the journey is not going as planned. This is a strong implicit no.,20260824T093740Z_5937923c
1108,2,"If there is still some cereal left, then they have not finished it. This strongly implies no.",20260824T093740Z_5937923c
1109,2,"If the essay is not due for three months, then the deadline is not next week. This strongly implies no.",20260824T093740Z_5937923c
1110,7,Streets always congested with cars directly indicates that there is usually a lot of traffic.,20260824T093740Z_5937923c
1111,2,"Being vegetarian strongly implies Megan does not eat meat, though it does not explicitly mention meat.",20260824T093740Z_5937923c
1112,7,Having the flu directly supports that John is sick today.,20260824T093740Z_5937923c
1113,7,Running for hours every day directly supports that Sonya trains daily.,20260824T093740Z_5937923c
1114,2,"If Clara just woke up, she is no longer sleeping, so the answer is very likely no.",20260824T093740Z_5937923c
1115,2,"If the movie comes out next week, it is not being released today. This is a strong no.",20260824T093740Z_5937923c
1116,7,Having used a drill before directly confirms experience working with one.,20260824T093740Z_5937923c
1117,2,"Celebrating tonight implies the party is not tomorrow, so the answer is very likely no.",20260824T093740Z_5937923c
1118,7,Moving out tomorrow directly confirms leaving the flat soon.,20260824T093740Z_5937923c
1119,6,"Always falling behind supports calling him a slacker, though it is somewhat indirect and evaluative.",20260824T093740Z_5937923c
1120,7,The region being famous for surfing directly answers that the area is popular for something.,20260824T093740Z_5937923c
1121,2,"If the sea is quite rough, it is not calm, so this is very likely no.",20260824T093740Z_5937923c
1122,2,"Working at an NGO strongly implies not working for a corporate company, though NGO status can vary.",20260824T093740Z_5937923c
1123,7,Authoring many successful books directly supports that he is a writer.,20260824T093740Z_5937923c
1124,2,Still analyzing the data implies they are not finished working on it.,20260824T093740Z_5937923c
1125,2,"Pandas being an endangered species implies that not many are left, so the answer is likely no.",20260824T093740Z_5937923c
1126,7,Enrolling at the gym directly confirms joining a fitness studio.,20260824T093740Z_5937923c
1127,1,"Person B explicitly says the thesis is not complete yet, which is definitely no.",20260824T093740Z_5937923c
1128,6,"Saying their hair was way too long implies they used to have long hair, though it does not explicitly confirm it.",20260824T093740Z_5937923c
1129,2,"If it was a business trip, then it was not a vacation. This strongly implies no.",20260824T093740Z_5937923c
1130,2,Needing a larger flat implies a one room flat is not enough.,20260824T093740Z_5937923c
1131,7,"If the deadline is tomorrow, she has to hand it in soon.",20260824T093740Z_5937923c
1132,7,Sleeping only four hours directly supports having had a short night.,20260824T093740Z_5937923c
1133,2,"If the offer had already expired, the flight was no longer discounted.",20260824T093740Z_5937923c
1134,7,Getting wounded directly confirms the cat is hurt.,20260824T093740Z_5937923c
