id,score,rationale,run_id
1101,5,"Person A asks whether B has met Martin lately. Person B responds that they have not seen him for ages, which directly indicates they have not met him recently. That is a clear “no” with high confidence.",20260821T125948Z_8dbb5082
1102,6,"Person A asks if B is doing something right now. Person B answers that they are sending out an application, which is an explicit statement about current activity. This strongly supports “yes”.",20260821T125948Z_8dbb5082
1103,6,"Person A asks whether B usually exercises with Lukas. Person B states they train with him at the gym, indicating regular exercise together. That is very likely a “yes.”",20260821T125948Z_8dbb5082
1104,6,Person A asks if there was a death in his family. Person B confirms that his grandfather passed away recently. This is a direct “yes”.,20260821T125948Z_8dbb5082
1105,6,"Person A asks if Paris is very far from here. Person B replies it is about 1000 km away, which clearly implies it is far. That strongly indicates “yes”.",20260821T125948Z_8dbb5082
1106,6,"Person A asks whether it takes long to get to Munich. Person B says it is a six hour drive, which indicates it takes a long time. This is very likely “yes.”",20260821T125948Z_8dbb5082
1107,5,"Person A asks if the journey is going as planned. Person B says the train has some delay, which suggests it is not going exactly as planned. That corresponds to a likely “no” rather than a yes, but the question is phrased for “yes/no” ambiguity; overall this leans toward “no”.",20260821T125948Z_8dbb5082
1108,2,"Person A asks whether they have finished their cereal. Person B says there is still some left, meaning they have not finished. That is very likely “no.”",20260821T125948Z_8dbb5082
1109,2,"Person A asks if the essay deadline is next week. Person B says it is not due for three months, contradicting next week. This strongly indicates “no.”",20260821T125948Z_8dbb5082
1110,6,"Person A asks if there is usually a lot of traffic. Person B says the streets are always congested with cars. That is a clear confirmation of lots of traffic, so “yes”.",20260821T125948Z_8dbb5082
1111,2,"Person A asks if Megan eats meat. Person B says she is vegetarian, implying she does not eat meat. That is very likely “no.”",20260821T125948Z_8dbb5082
1112,6,Person A asks if John is sick today. Person B states he has the flu. That is a direct “yes.”,20260821T125948Z_8dbb5082
1113,6,"Person A asks if Sonya trains daily. Person B says she runs for hours every day, which directly confirms daily training. Strong “yes.”",20260821T125948Z_8dbb5082
