id,score,rationale,run_id
1101,2,Not seeing him for ages strongly suggests he has not met Martin lately.,20260824T093740Z_5937923c
1102,7,"Sending out an application is a current activity, so it directly answers yes.",20260824T093740Z_5937923c
1103,7,Training with him at the gym directly confirms exercising with Lukas.,20260824T093740Z_5937923c
1104,7,A grandfather passing away is a death in the family.,20260824T093740Z_5937923c
1105,6,"1000 km is a large distance, so it strongly implies Paris is very far.",20260824T093740Z_5937923c
1106,6,"A six hour drive is generally long, so it strongly implies yes.",20260824T093740Z_5937923c
1107,2,A delay means the journey is not proceeding exactly as planned.,20260824T093740Z_5937923c
1108,7,"If cereal is still left, they have not finished it.",20260824T093740Z_5937923c
1109,7,Being due in three months directly contradicts next week.,20260824T093740Z_5937923c
1110,7,Always congested streets directly confirm a lot of traffic.,20260824T093740Z_5937923c
1111,7,Being vegetarian directly means she does not eat meat.,20260824T093740Z_5937923c
1112,7,Having the flu directly confirms he is sick.,20260824T093740Z_5937923c
1113,7,Running for hours every day directly confirms daily training.,20260824T093740Z_5937923c
1114,7,Just waking up directly means she is not still sleeping.,20260824T093740Z_5937923c
1115,7,Coming out next week directly contradicts release today.,20260824T093740Z_5937923c
1116,7,Having used a drill before directly confirms experience with one.,20260824T093740Z_5937923c
1117,7,Celebrating tonight directly contradicts the party being tomorrow.,20260824T093740Z_5937923c
1118,7,Moving out tomorrow directly confirms leaving the flat soon.,20260824T093740Z_5937923c
1119,6,"Falling behind supports the idea of being a slacker, though not explicitly.",20260824T093740Z_5937923c
1120,7,Being famous for surfing directly confirms the area is popular for something.,20260824T093740Z_5937923c
1121,7,A rough sea directly contradicts it being calm.,20260824T093740Z_5937923c
1122,7,Working at an NGO directly contradicts working for a corporate company.,20260824T093740Z_5937923c
1123,7,Authoring many books directly confirms he is a writer.,20260824T093740Z_5937923c
1124,7,Still analyzing the data directly means the work is not finished.,20260824T093740Z_5937923c
1125,6,Endangered status implies the population is not large.,20260824T093740Z_5937923c
1126,7,Enrolling at the gym directly confirms joining a fitness studio.,20260824T093740Z_5937923c
1127,7,The thesis not being complete directly means it is not finished.,20260824T093740Z_5937923c
1128,6,Saying the hair was way too long implies it was long.,20260824T093740Z_5937923c
1129,7,A business trip directly contradicts a vacation.,20260824T093740Z_5937923c
1130,7,Needing a larger flat directly means a one room flat is not enough.,20260824T093740Z_5937923c
1131,7,A deadline tomorrow directly confirms it is soon.,20260824T093740Z_5937923c
1132,7,Sleeping only four hours directly confirms a short night.,20260824T093740Z_5937923c
1133,7,An expired offer directly means the discount is no longer available.,20260824T093740Z_5937923c
1134,7,Being wounded directly confirms the cat is hurt.,20260824T093740Z_5937923c
1135,7,Mark being missing directly means not everyone is here.,20260824T093740Z_5937923c
1137,7,Being Chinese directly confirms coming from Asia.,20260824T093740Z_5937923c
1138,4,The line going dead does not clearly say whether B hung up.,20260824T093740Z_5937923c
1139,7,Having domestics directly confirms someone is taking care of the house.,20260824T093740Z_5937923c
1140,7,Just opening directly contradicts being there for long.,20260824T093740Z_5937923c
1141,7,A house full of history books directly confirms owning many books.,20260824T093740Z_5937923c
1143,6,Only few guests suggests a small gathering.,20260824T093740Z_5937923c
