evaluator,evaluator_provider,evaluator_name,mean,sd,sem
anthropic/claude-haiku-4.5,anthropic,claude-haiku-4.5,0.9420289855072463,0.23411313324285174,0.01409195463201153
anthropic/claude-opus-4.8,anthropic,claude-opus-4.8,0.9710144927536232,0.1680705040590134,0.01011665550484978
anthropic/claude-opus-5,anthropic,claude-opus-5,0.9927536231884058,0.0849707382012251,0.005114637402841021
anthropic/claude-sonnet-4.6,anthropic,claude-sonnet-4.6,0.9891304347826086,0.10387739809021063,0.006252684592710029
anthropic/claude-sonnet-5,anthropic,claude-sonnet-5,0.9891304347826086,0.10387739809021063,0.006252684592710029
google/gemini-2.5-pro,google,gemini-2.5-pro,0.9891304347826086,0.10387739809021065,0.006252684592710031
google/gemini-3.1-flash-lite,google,gemini-3.1-flash-lite,0.9347826086956522,0.24735757670018557,0.014889176444140215
google/gemini-3.1-pro-preview,google,gemini-3.1-pro-preview,0.9963768115942029,0.0601929265428846,0.0036231884057971015
google/gemini-3.5-flash-lite,google,gemini-3.5-flash-lite,0.9420289855072463,0.2341131332428517,0.014091954632011528
google/gemini-3.6-flash,google,gemini-3.6-flash,0.9927536231884058,0.08497073820122508,0.00511463740284102
google/gemini-3.7-flash,google,gemini-3.7-flash,0.9963768115942029,0.0601929265428846,0.0036231884057971015
google/gemma-3-27b-it,google,gemma-3-27b-it,0.8480392156862745,0.35986598276045806,0.025195658428931827
google/gemma-4-26b-a4b-it,google,gemma-4-26b-a4b-it,0.9565217391304348,0.20430156738209965,0.012297509238026912
human/human,human,human,1.0,0.0,0.0
meta-llama/llama-3.3-70b-instruct,meta-llama,llama-3.3-70b-instruct,0.9239130434782609,0.2656188240388743,0.015988374363779354
meta-llama/llama-4-maverick,meta-llama,llama-4-maverick,0.9384057971014492,0.24085377344864917,0.01449769349277111
meta-llama/llama-4-scout,meta-llama,llama-4-scout,0.9097222222222222,0.28757958933488337,0.023964965777906945
mistralai/ministral-14b-2512,mistralai,ministral-14b-2512,0.9565217391304348,0.20430156738209965,0.012297509238026912
mistralai/mistral-large-2512,mistralai,mistral-large-2512,0.9637681159420289,0.1872060717684736,0.011268481326341713
mistralai/mistral-small-2603,mistralai,mistral-small-2603,0.9021739130434783,0.2976190099755293,0.017914559205223075
openai/gpt-5.4,openai,gpt-5.4,0.9746376811594203,0.15750860026292288,0.009480903605498692
openai/gpt-5.4-mini,openai,gpt-5.4-mini,0.9384057971014492,0.2408537734486492,0.014497693492771111
openai/gpt-5.4-nano,openai,gpt-5.4-nano,0.8442028985507246,0.3633216688364641,0.02186939452371153
openai/gpt-5.5,openai,gpt-5.5,0.9891304347826086,0.10387739809021063,0.006252684592710029
openai/gpt-5.6-luna,openai,gpt-5.6-luna,0.9601449275362319,0.1959739704691653,0.011796246808767903
openai/gpt-5.6-sol,openai,gpt-5.6-sol,0.9891304347826086,0.10387739809021063,0.006252684592710029
openai/gpt-5.6-terra,openai,gpt-5.6-terra,0.967391304347826,0.1779327936367644,0.010710295576948003
qwen/qwen3.7-flash,qwen,qwen3.7-flash,0.8333333333333334,0.37335497772755005,0.022473328748774737
qwen/qwen3.7-max,qwen,qwen3.7-max,0.9855072463768116,0.11972740227863457,0.007206742730528245
qwen/qwen3.7-plus,qwen,qwen3.7-plus,0.9818840579710145,0.13361301365381595,0.008042558316037582
qwen/qwen3.8-2.4t-a95b,qwen,qwen3.8-2.4t-a95b,0.9927536231884058,0.08497073820122508,0.00511463740284102
qwen/qwen3.8-27b,qwen,qwen3.8-27b,0.9782608695652174,0.14609542606730222,0.008793911249520552
qwen/qwen3.8-max,qwen,qwen3.8-max,0.967391304347826,0.1779327936367644,0.010710295576948003
