id,score,rationale
1101,0.0,The answer explicitly says they have not seen Martin for ages. That directly answers the question about meeting him lately with no.
1102,1.0,The answer states the person is currently sending out an application. That clearly means they are doing something right now.
1103,0.9,"Saying 'I train with him at the gym' strongly implies they do exercise with Lukas. It does not explicitly say 'usually,' but it strongly supports yes."
1104,1.0,The answer says his grandfather passed away recently. That is a clear yes to there having been a death in his family.
1105,0.8,"Being about 1000 km away strongly suggests Paris is very far from here. 'Very far' is somewhat subjective, but the implication is clearly yes."
1106,1.0,A six hour drive clearly indicates it takes a long time to get to Munich. This strongly supports yes.
1107,0.2,"The train having some delay suggests the journey is not going exactly as planned. It is not a total disaster, but it points toward no."
1108,0.0,"If there is still some cereal left, then they have not finished it. That is a clear no."
1109,0.0,"The answer says the essay is not due for three months, which directly contradicts 'next week.' Clear no."
1110,1.0,Saying the streets are always congested with cars directly indicates there is usually a lot of traffic. Clear yes.
1111,0.0,Being vegetarian means Megan does not eat meat. That is a definite no.
1112,1.0,Having the flu clearly means John is sick today. Definite yes.
1113,1.0,Running for hours every day directly supports that Sonya trains daily. Clear yes.
1114,0.0,"If she just woke up, then she is no longer still sleeping. Clear no."
1115,0.0,"If the movie comes out next week, then it is not being released today. Clear no."
1116,1.0,Saying 'I have used one before' directly confirms prior experience with a drill. Clear yes.
1117,0.0,Celebrating tonight means the party is not tomorrow. Clear no.
1118,1.0,Moving out tomorrow clearly means the person is leaving the flat soon. Strong yes.
1119,0.9,"Always falling behind strongly suggests he is a slacker. It is an inference rather than a direct label, but it strongly supports yes."
1120,1.0,Being famous for surfing means the area is popular for something. Clear yes.
1121,0.0,Saying the sea is quite rough directly contradicts it being calm. Clear no.
1122,0.0,Working at an NGO means not working for a corporate company. Clear no.
1123,1.0,Having authored many successful books clearly means he is a writer. Definite yes.
1124,0.0,Still analyzing the data means the work is not finished yet. Clear no.
1125,0.2,"Being endangered suggests there are not many pandas left. The question asks whether there are many left, so this points toward no."
1126,1.0,Enrolling at the gym directly indicates joining a fitness studio. Clear yes.
1127,0.0,Saying the thesis is not complete yet directly means it has not been finished. Clear no.
1128,1.0,Saying the hair was way too long clearly implies they used to have long hair. Yes.
1129,1.0,"Calling it a business trip still confirms that the person did go to Japan. The purpose differs, but the yes/no question is about going there."
1130,0.0,Saying 'I need a larger one' directly implies a one-room flat is not enough. Clear no.
1131,1.0,"If the deadline is tomorrow, then she does have to hand in soon. Clear yes."
1132,1.0,Sleeping only four hours strongly indicates a short night. Clear yes.
1133,0.0,"If the offer had already expired, the flight was no longer discounted. Clear no."
1134,1.0,Getting wounded means the cat is hurt. Clear yes.
1135,0.0,"If Mark is still missing, then not everyone is here. Clear no."
1137,1.0,Being Chinese means the person comes from Asia. Clear yes.
1138,0.7,"If the line went dead, the call ended, which suggests it may have been hung up. However, it could also have disconnected for another reason, so only somewhat yes."
1139,0.8,Having domestics strongly suggests someone is taking care of the house. It is implied rather than stated directly.
1140,0.0,"If they have just opened, the bar has not been there for long. Clear no."
1141,1.0,A house full of history books strongly indicates he owns many books. Clear yes.
1143,0.9,Having only a few guests over for dinner strongly implies a small gathering. Strong yes.
1144,0.0,Having only one week off directly contradicts having two weeks of holiday. Clear no.
1145,1.0,Saying 'I am going to have a baby' clearly implies pregnancy. Definite yes.
1147,0.0,Still owing the bank money means the debts have not all been paid back. Clear no.
1148,0.0,"If he only had water, then he did not drink a cocktail tonight. Clear no."
1149,0.2,"Owning an orchard means having fruit trees, not necessarily a vegetable garden. This leans no."
1150,0.0,Being 25 years old means the son is not underage. Clear no.
1151,0.0,Extremely expensive tuition directly suggests Harvard is not affordable. Clear no.
1152,1.0,Making a bank transfer a few moments ago means she has paid. Clear yes.
1153,0.0,"If they cannot swim yet, they are not good at swimming. Clear no."
1154,0.0,Being healthy again means the person no longer has a cold. Clear no.
1155,1.0,"If people are not allowed to get closer, then approaching the area is forbidden. Clear yes."
1156,1.0,Watering them regularly directly confirms someone took care of the plants. Clear yes.
1157,0.0,"If he was already dead by then, he was not still alive in the 80s. Clear no."
1158,1.0,A quite thick ice layer clearly indicates the lake is frozen. Yes.
1159,0.0,Being in the advanced course means not attending the beginners' class. Clear no.
1160,1.0,Having seen a doctor directly confirms seeking medical advice. Clear yes.
1161,0.0,Going out with friends means the person did not stay home last night. Clear no.
1162,1.0,"If they voted yesterday, there was an election recently. Clear yes."
1163,1.0,Spotless directly means completely clean. Clear yes.
1164,0.0,Submitting a blank sheet means they did not answer all questions. Clear no.
1165,0.0,"If she has just got into the changing room, she is not out on the tennis field. Clear no."
1166,1.0,Being compensated means he got the money back in some form. Strong yes.
1167,0.0,No one has responded means nobody answered the house sale ad. Clear no.
1168,0.0,Not playing any instrument strongly indicates he is not a musician. Clear no.
1169,1.0,Being in Japan for several months clearly counts as having travelled in Asia. Yes.
1170,1.0,Aiming for the mountain top directly means the summit is the goal. Clear yes.
1171,1.0,"If the customer received it, then he got his package. Clear yes."
1173,0.2,Skipping the last four lessons means she did not attend the whole course. Strongly no.
1174,1.0,Really poor monitor resolution directly indicates a bad image. Clear yes.
1175,1.0,Graduating from medical school last year clearly means she completed her medical studies. Yes.
1176,0.0,Private property directly contradicts being a public building. Clear no.
1201,0.2,"Not having seen Martin for ages suggests they may not still be good friends, but it does not prove it. So this leans no, with uncertainty."
1202,0.9,Sending out an application strongly suggests the person is looking for a job. Strong yes.
1203,1.0,Training with Lukas at the gym clearly means the person knows Lukas. Definite yes.
1204,0.5,His grandfather passing away recently does not tell us whether the property is now his. The answer is largely irrelevant to the ownership question.
1205,0.8,"A distance of about 1000 km strongly suggests it takes long to drive there. Strong yes, though not explicit about time."
1206,0.9,A six hour drive strongly implies Munich is far from here. Strong yes.
1207,0.3,"A train delay suggests getting home by noon is less likely, but it does not make it impossible. So it leans no."
1208,0.3,"Saying there is still some cereal left suggests there may be no need to buy more, but it does not directly answer whether cereal has already been bought. Slightly no."
1209,0.5,Saying the essay is not due for three months does not reveal whether writing has started. The answer is not directly responsive.
1210,0.8,Always-congested streets strongly suggest there is a risk of being late to the cinema. This supports yes.
1211,0.7,"Being vegetarian makes going to a steak house less likely, but not impossible. So it somewhat suggests no."
1212,0.8,"Having the flu strongly suggests John is staying home, though it is not explicitly stated. Likely yes."
1213,0.6,"Running for hours every day suggests Sonya is serious about fitness and may have registered for the marathon, but it does not directly say so. Slight lean yes."
1214,0.2,"If Clara just woke up, she probably has not had breakfast already. Strongly no."
1215,0.0,"If the movie comes out next week, then it has not been seen yet. Clear no."
1216,1.0,Having used a drill before directly means knowing how to use one. Clear yes.
1217,0.2,"Celebrating tonight suggests the exam likely was not failed. It strongly leans no, though not absolutely certain."
1218,0.7,"Moving out tomorrow suggests a breakup is likely, but moving out can happen for other reasons too. Somewhat yes."
1219,0.7,"Always falling behind could be a reason for being fired, but it does not directly say he was fired. Somewhat yes."
1220,0.8,"A region famous for surfing likely has big waves. Strong yes, though indirect."
1221,0.1,"If the sea is quite rough, it is probably not safe to swim there. Very likely no."
1222,0.4,"Working at an NGO may suggest not making a lot of money, but it is not certain. Slight lean no."
1223,0.8,"Authoring many successful books strongly suggests he is famous. Strong yes, though not explicit."
1224,0.0,Still analyzing the data means it was not presented at the meeting yet. Clear no.
1225,0.2,"Being an endangered species suggests hunting pandas is likely not legal, but the answer does not state the law directly. Strong lean no."
1226,0.6,"Enrolling at the gym suggests an effort to lose weight, but it does not confirm weight loss already happened. Slightly yes."
1227,0.0,"If the thesis is not complete yet, then graduation has not happened. Clear no."
1228,0.5,"Saying the hair was way too long suggests a haircut may have been needed, but does not confirm one happened. Unclear."
1229,0.4,"A business trip leaves less time for sightseeing, but it does not rule it out. Slight lean no."
1230,0.1,Saying 'I need a larger one' strongly suggests they did not buy that one-room flat. Very likely no.
1231,0.9,A deadline tomorrow strongly suggests she is stressed about the project. Strong yes.
1232,0.9,Sleeping only four hours strongly implies being tired. Strong yes.
1233,0.3,"If the offer had already expired, he may not have booked the flight, but it is not impossible he booked at a different price. Leans no."
1234,0.8,"If the cat got wounded, bringing it to the vet is likely. Strong yes, though not explicit."
1235,0.0,"If Mark is still missing, then the group is not ready to go. Clear no."
1237,0.6,"Being Chinese may suggest familiarity with Cantonese cuisine, but it does not guarantee the ability to cook Cantonese rice. Slight lean yes."
1238,0.3,The line going dead suggests the person may not have managed to tell him about the issue. It leans no but is not certain.
1239,0.8,Having domestics strongly suggests the house is kept tidy. Strong yes.
1240,0.1,"If the bar has just opened, the person likely has not tried it yet. Very likely no."
1241,0.9,A house full of history books strongly indicates a passion for history. Strong yes.
1243,0.6,"Only a few guests suggests a smaller saucepan may be enough, but the size of the saucepan is not directly addressed. Slight lean yes."
1244,0.0,Having only one week off means a two-week trip is not possible. Clear no.
1245,0.8,"Being pregnant strongly suggests avoiding alcohol. Strong yes, though not explicitly stated."
1247,0.3,"Still owing the bank money suggests existing debt rather than a new loan, but it does not directly answer whether a new loan was obtained. Leans no."
1248,0.1,"If he only had water, he is very unlikely to be drunk. Strong no."
1249,0.2,"Owning an orchard suggests access to fruit at home, making supermarket fruit purchases less likely, but not impossible. Leans no."
1250,0.0,A 25-year-old son is clearly not at elementary school. Definite no.
1251,0.3,"Extremely expensive tuition suggests Harvard may not be a realistic option, but it does not make it impossible. Leans no."
1252,1.0,Making a bank transfer strongly indicates she accepted the deal and paid. Clear yes.
1253,0.2,"If the kids cannot swim yet, they likely did not go to the swimming pool, though they could still have gone without swimming. Strong lean no."
1254,0.1,Being healthy again strongly suggests the person is no longer taking those pills. Very likely no.
1255,0.7,"If people are not allowed to get closer, contamination is a plausible reason, but not the only one. Somewhat yes."
1256,0.8,"Regular watering strongly suggests the plants are still alive, though it is not guaranteed. Strong yes."
1257,0.0,"If he was already dead by 1981, he could not have created the artwork then. Clear no."
1258,0.9,A thick ice layer strongly suggests it is ice skating season. Strong yes.
1259,0.0,Being in the advanced course directly means not being a beginner. Clear no.
1260,0.7,"Seeing a doctor suggests the person has been sick, though it could be for another reason. Somewhat yes."
1261,0.0,Going out with friends means the person did not go to bed early. Clear no.
1262,1.0,"If they voted yesterday, then members can elect a representative. Clear yes."
1263,1.0,"If the car is spotless, it is back from the car wash or otherwise cleaned. This strongly supports yes."
1264,0.0,Submitting a blank sheet means they did not write a good exam. Clear no.
1265,0.7,Having just got into the changing room suggests she is getting dressed for the tennis game. Somewhat yes.
1266,1.0,Being compensated strongly implies the lawsuit was settled in his favor. Clear yes.
1267,0.0,"If no one has responded, the house has not been sold. Clear no."
1268,0.0,Not playing any instrument means he is not part of a marching band. Clear no.
1269,0.8,"Spending several months in Japan makes it very likely he has tried sushi. Strong yes, though not explicit."
1270,0.7,"Aiming for the mountain top suggests the route involves going uphill, though not necessarily the whole way. Somewhat yes."
1271,1.0,"If the customer received the package, it must have been shipped to him. Clear yes."
1273,0.2,Skipping the last four lessons suggests she is not very dedicated to the course. Strong lean no.
1274,0.7,"Poor monitor resolution can strain the eyes, so this somewhat supports yes, though it is indirect."
1275,0.8,"Graduating from medical school strongly suggests she is a medical doctor, though licensing details are not mentioned. Strong yes."
1276,0.4,"Calling it private property suggests access may be restricted, but it does not tell us whether the person has ever been inside. Slight lean no due to irrelevance."
2101,1.0,Needing to revise some topics directly means the person has to study for the test. Clear yes.
2102,1.0,Mentioning an interesting new movie directly indicates something has recently come out in cinemas. Clear yes.
2103,0.9,Saying it is quite chilly strongly implies it is cold in the village. Strong yes.
2105,0.8,Having heard good things about the book means the person knows something about the novel. Strong yes.
2106,1.0,Pulling a muscle at yoga class clearly means the person got injured there. Yes.
2107,1.0,Not being able to find the phone strongly indicates it is lost. Clear yes.
2108,1.0,Minus 20 degrees is definitely cold outside. Clear yes.
2109,1.0,Entering a church means they are in a religious building. Clear yes.
2110,0.9,Training very hard strongly suggests the workouts are usually difficult. Strong yes.
2113,1.0,Having been working on an exhausting task directly confirms the person was working today. Clear yes.
2114,0.2,"Not bringing a bikini suggests they do not have swimming gear with them, though other gear is possible. Strong lean no."
2115,0.0,Saying 'I do not have time' directly means they are not free at the moment. Clear no.
2116,0.0,Watching Titanic last month means not watching it yesterday. Clear no.
2117,0.1,Being on a diet strongly suggests not eating more than usual. Very likely no.
2118,0.0,Being Muslim directly contradicts practising Hinduism. Clear no.
2119,0.2,A spinning head after many beers suggests not feeling okay. Strong lean no.
2120,0.0,Being very tired directly contradicts feeling energetic. Clear no.
2121,0.0,Being broke means there is no money saved up available. Clear no.
2122,0.0,Having used one in the past means it is not the first experience. Clear no.
2123,0.0,"If it is 11 p.m. in Los Angeles, then it is not morning there. Clear no."
2124,0.1,Having a hangover strongly suggests not feeling good. Very likely no.
2125,0.0,Being diabetic means not being free of chronic disease. Clear no.
2127,0.0,Usually getting seasick means not feeling well on boats. Clear no.
2128,0.0,"If the toothache is gone, the teeth are not still hurting. Clear no."
2129,1.0,Having several bus stops before the destination directly means there are many stations on the way. Clear yes.
2130,0.0,Saying 'I should not staple them' directly means stapling is not allowed. Clear no.
2131,0.0,"If the luggage is very light, it does not weigh much. Clear no."
2132,1.0,Having to get up at 5 a.m. clearly means waking up early tomorrow is necessary. Yes.
2134,0.0,French being the native language means Spanish is not the mother tongue. Clear no.
2135,1.0,Saying the remote does not work directly means it is still unusable. Clear yes.
2136,1.0,"If wolves are very common there, then there are wild animals in the region. Clear yes."
2137,0.2,Having only cacti suggests there are no trees in the garden. Strong lean no.
2138,1.0,Saying 'we need it for travelling' directly confirms the passport is necessary. Clear yes.
2139,0.0,Having a sandwich means not having brought pie for lunch. Clear no.
2140,1.0,Having to go out soon means the kids are about to leave. Clear yes.
2141,1.0,Being starving directly means already hungry. Clear yes.
2144,1.0,Drinking tea all the time clearly means often consuming hot drinks. Yes.
2145,1.0,Having too much light in the room directly means it is very bright. Clear yes.
2146,0.0,Being abroad on Friday means not staying in town till then. Clear no.
2147,1.0,Having a soup directly means eating something. Clear yes.
2148,1.0,"If it just started pouring, then it is raining already. Clear yes."
2149,0.0,Saying 'I do not drink' directly means the person does not consume alcohol. Clear no.
2150,0.0,"If there is still a dishwasher in the kitchen, then not everything was taken away from the flat. Clear no."
2151,0.0,Giving away the racket ages ago means not still having tennis equipment. Clear no.
2152,0.2,Not eating spicy dishes means not consuming all types of food. Strong lean no.
2153,1.0,Living right next to someone directly means being neighbours. Clear yes.
2155,0.0,Understanding everything now means not still being confused. Clear no.
2156,1.0,Chest pain clearly means pain in the upper body. Yes.
2157,0.0,Being in the middle of summer directly contradicts it being winter. Clear no.
2159,1.0,Cutting a finger while cooking clearly means getting hurt. Yes.
2160,1.0,Dust all over the floor indicates the living room is dirty. Clear yes.
2161,0.0,Having brought the toothpaste means it was not left at home. Clear no.
2162,1.0,Chapped lips directly indicate they were damaged by the wind. Clear yes.
2163,0.0,Working early tomorrow morning means not doing the afternoon shift. Clear no.
2164,0.0,Planning to eat at a restaurant means not having dinner at home. Clear no.
2165,1.0,Having grown a lot recently directly means the hedges are taller than before. Clear yes.
2166,1.0,"If lunch is now ready, cooking has been finished. Clear yes."
2167,1.0,A very complicated math exercise clearly counts as difficult homework. Yes.
2168,0.0,Not being sure where to go yet means no destination has been decided. Clear no.
2169,0.3,Smoking cigars only suggests not smoking cigarettes specifically. So this leans no.
2170,0.0,Usually typing directly on a laptop means not writing on paper. Clear no.
2171,1.0,"If the new stove was not delivered yet, the kitchen is still incomplete. Clear yes."
2172,1.0,Cars getting stolen regularly directly means car theft occurs often. Clear yes.
2173,0.0,A completely full wardrobe means there is no room left. Clear no.
2174,1.0,Dirty laundry piling up clearly means there is a lot to wash. Yes.
2175,1.0,Being able to have a relaxed breakfast means taking some time for breakfast today. Clear yes.
2201,0.7,"Needing to revise topics suggests openness to studying, but it does not explicitly accept studying together. Somewhat yes."
2202,0.8,Mentioning an interesting new movie suggests going to the cinema is appealing. Strong yes.
2203,0.9,"If it is quite chilly, that strongly supports closing the window. Strong yes."
2205,0.7,Saying they have heard good things about the book suggests interest in borrowing it. Somewhat yes.
2206,0.8,Having pulled a muscle last time suggests skipping yoga class is a good idea. Strong yes.
2207,0.9,Not being able to find their phone strongly suggests they want to use yours. Strong yes.
2208,1.0,"At minus 20 degrees, needing a coat is obvious. Clear yes."
2209,0.9,Having just entered a church strongly suggests turning off phones is appropriate. Strong yes.
2210,0.7,Training very hard suggests a protein shake would be welcome or useful. Somewhat yes.
2213,0.8,Working on an exhausting task suggests taking a break would be desirable. Strong yes.
2214,0.3,"Not bringing a bikini suggests reluctance to go to the lake, though it does not absolutely rule it out. Leans no."
2215,0.0,Not having time directly means not coming to the talk. Clear no.
2216,0.3,"Having watched Titanic last month suggests less interest in watching it tonight, but not an outright refusal. Leans no."
2217,0.2,Being on a diet suggests not wanting dessert. Strong lean no.
2218,0.1,Being Muslim strongly suggests not wanting pork. Very likely no.
2219,0.1,Head spinning after all those beers strongly suggests not wanting another beer. Very likely no.
2220,0.2,Being very tired suggests not wanting to go out. Strong lean no.
2221,0.1,Being broke strongly suggests not wanting or not being able to go on a trip. Very likely no.
2222,0.2,Having used a chain saw before suggests help may not be needed. Strong lean no.
2223,0.1,"If it is 11 p.m., going to the cinema now is unlikely. Very likely no."
2224,0.2,Having a hangover suggests not wanting drinks. Strong lean no.
2225,0.2,"Being diabetic suggests refusing cake, though some diabetics may still eat some. Strong lean no."
2227,0.1,Usually getting seasick strongly suggests not joining a sea cruise. Very likely no.
2228,0.0,"If the toothache is gone, painkillers are not wanted. Clear no."
2229,0.2,Having several stops before the destination suggests they may prefer to keep the seat. Strong lean no.
2230,0.0,"If the documents should not be stapled, then the stapler is not wanted. Clear no."
2231,0.1,"If the luggage is very light, help is probably not needed. Very likely no."
2232,1.0,Having to get up at 5 a.m. clearly supports setting the alarm clock. Yes.
2234,0.1,"If French is their native language, they likely do not need help checking French spelling. Very likely no."
2235,0.8,"If the remote does not work, changing the batteries is a sensible thing to do. Strong yes."
2236,0.9,Wolves being very common strongly supports locking up the cattle. Strong yes.
2237,0.3,"Having only cacti suggests watering may not be necessary, though cacti still need some water. Leans no."
2238,1.0,"If the passport is needed for travelling, then it should be packed. Clear yes."
2239,0.3,"Already having a sandwich suggests they may not want more food, though they still could. Leans no."
2240,0.9,"If the kids have to go out soon, waking them up makes sense. Strong yes."
2241,1.0,Being starving clearly means biscuits would be welcome. Clear yes.
2244,0.8,Drinking tea all the time strongly suggests they would like to use a kettle. Strong yes.
2245,1.0,Having too much light in the room directly supports turning down the dimmer. Clear yes.
2246,0.0,Being abroad that Friday means not coming to the party. Clear no.
2247,0.9,Having soup strongly suggests wanting a spoon. Strong yes.
2248,1.0,"If it just started pouring, an umbrella is clearly wanted. Yes."
2249,0.0,Saying 'I do not drink' directly means no wine is wanted. Clear no.
2250,0.3,"Mentioning a dishwasher suggests hand-washing dishes may not be necessary, but it does not directly reject the offer. Leans no."
2251,0.1,Giving away the racket strongly suggests not wanting to play tennis. Very likely no.
2252,0.2,Not eating spicy dishes suggests not wanting Mexican food. Strong lean no.
