id,score,rationale,run_id
1101,2,Not seeing Martin for ages strongly implies that B has not met him lately.,20260821T125948Z_8dbb5082
1102,7,Sending an application is something B is doing right now.,20260821T125948Z_8dbb5082
1103,6,"Training with Lukas at the gym supports a yes, though it does not explicitly establish frequency.",20260821T125948Z_8dbb5082
1104,7,A recently deceased grandfather confirms a death in his family.,20260821T125948Z_8dbb5082
1105,6,A distance of 1000 km strongly suggests Paris is far away.,20260821T125948Z_8dbb5082
1106,6,A six-hour drive indicates that Munich takes a long time to reach.,20260821T125948Z_8dbb5082
1107,2,A train delay indicates the journey is not going exactly as planned.,20260821T125948Z_8dbb5082
1108,1,"Some cereal remains, so they have not finished it.",20260821T125948Z_8dbb5082
1109,1,A deadline in three months means it is not next week.,20260821T125948Z_8dbb5082
1110,7,Always congested streets directly support that there is usually a lot of traffic.,20260821T125948Z_8dbb5082
1111,1,A vegetarian person does not eat meat.,20260821T125948Z_8dbb5082
1112,7,Having the flu confirms that John is sick.,20260821T125948Z_8dbb5082
1113,6,Running for hours every day strongly suggests daily training.,20260821T125948Z_8dbb5082
1114,1,Just waking up indicates Clara is no longer sleeping.,20260821T125948Z_8dbb5082
1115,1,"The movie comes out next week, not today.",20260821T125948Z_8dbb5082
1116,7,Having used a drill before directly confirms prior experience.,20260821T125948Z_8dbb5082
1117,1,Celebrating tonight contradicts a party taking place tomorrow.,20260821T125948Z_8dbb5082
1118,6,Moving out tomorrow indicates B will be leaving the flat soon.,20260821T125948Z_8dbb5082
1119,6,Frequently falling behind supports the characterization of a slacker.,20260821T125948Z_8dbb5082
1120,7,Being famous for surfing confirms the area is popular for surfing.,20260821T125948Z_8dbb5082
1121,1,Rough seas indicate that the sea is not calm.,20260821T125948Z_8dbb5082
1122,1,Working at an NGO indicates B does not work for a corporate company.,20260821T125948Z_8dbb5082
1123,7,Authoring many successful books strongly confirms that he is a writer.,20260821T125948Z_8dbb5082
1124,1,Still analyzing the data means B is not finished.,20260821T125948Z_8dbb5082
1125,5,"Being endangered suggests relatively few pandas remain, but does not directly quantify whether many are left.",20260821T125948Z_8dbb5082
1126,7,Enrolling at the gym confirms joining a fitness studio.,20260821T125948Z_8dbb5082
1127,1,The thesis is explicitly not complete yet.,20260821T125948Z_8dbb5082
1128,7,Saying the hair was way too long supports having long hair previously.,20260821T125948Z_8dbb5082
1129,1,A business trip contradicts going to Japan for vacation.,20260821T125948Z_8dbb5082
1130,1,Needing a larger flat means a one-room flat is not enough.,20260821T125948Z_8dbb5082
1131,7,A deadline tomorrow means she has to hand it in soon.,20260821T125948Z_8dbb5082
1132,7,Sleeping only four hours clearly indicates a short night.,20260821T125948Z_8dbb5082
1133,1,"The discount offer had expired, so the flight was no longer discounted.",20260821T125948Z_8dbb5082
1134,7,Getting wounded confirms that the cat is hurt.,20260821T125948Z_8dbb5082
1135,1,"Mark is still missing, so not everyone is present.",20260821T125948Z_8dbb5082
1137,7,Being Chinese supports coming from Asia.,20260821T125948Z_8dbb5082
