evaluator,evaluator_provider,evaluator_name,evaluator_type,direct,indirect,all
qwen/qwen3.7-max,qwen,qwen3.7-max,closed,3.985,3.932,3.959
google/gemini-3.1-flash-lite,google,gemini-3.1-flash-lite,closed,3.941,3.844,3.892
qwen/qwen3.7-plus,qwen,qwen3.7-plus,closed,3.946,3.787,3.867
google/gemini-3.5-flash-lite,google,gemini-3.5-flash-lite,closed,3.877,3.821,3.849
google/gemini-3.1-pro-preview,google,gemini-3.1-pro-preview,closed,3.958,3.607,3.782
google/gemini-2.5-pro,google,gemini-2.5-pro,closed,3.943,3.507,3.725
anthropic/claude-sonnet-4.6,anthropic,claude-sonnet-4.6,closed,3.879,3.472,3.676
google/gemini-3.7-flash,google,gemini-3.7-flash,closed,3.909,3.442,3.675
google/gemini-3.6-flash,google,gemini-3.6-flash,closed,3.919,3.355,3.637
openai/gpt-5.6-terra,openai,gpt-5.6-terra,closed,3.889,3.179,3.534
openai/gpt-5.6-sol,openai,gpt-5.6-sol,closed,3.799,3.016,3.407
anthropic/claude-sonnet-5,anthropic,claude-sonnet-5,closed,3.750,3.062,3.406
openai/gpt-5.4,openai,gpt-5.4,closed,3.762,3.047,3.405
openai/gpt-5.5,openai,gpt-5.5,closed,3.827,2.976,3.401
anthropic/claude-opus-5,anthropic,claude-opus-5,closed,3.733,3.063,3.398
anthropic/claude-opus-4.8,anthropic,claude-opus-4.8,closed,3.461,3.268,3.365
openai/gpt-5.4-mini,openai,gpt-5.4-mini,closed,3.318,3.236,3.277
qwen/qwen3.7-flash,qwen,qwen3.7-flash,closed,3.448,3.011,3.229
anthropic/claude-haiku-4.5,anthropic,claude-haiku-4.5,closed,3.306,3.123,3.214
qwen/qwen3.8-max,qwen,qwen3.8-max,closed,3.541,2.861,3.201
openai/gpt-5.6-luna,openai,gpt-5.6-luna,closed,3.540,2.816,3.178
openai/gpt-5.4-nano,openai,gpt-5.4-nano,closed,2.404,2.255,2.329
