id,rationale,score,run_id
1101,"Person B says they haven't seen him for ages, which directly answers 'no' to having met him lately.",1,20260824T093740Z_5937923c
1102,"Person B is currently sending an application, which answers 'yes' to doing something right now.",7,20260824T093740Z_5937923c
1103,"Person B confirms they train with him at the gym, answering 'yes' to the question of whether they usually exercise with him.",7,20260824T093740Z_5937923c
1104,"Person B confirms a death occurred (grandfather passed away), answering 'yes' to the question.",7,20260824T093740Z_5937923c
1105,"Person B provides a distance, which serves as an answer to the question of whether it is far (implying 'yes' or at least providing the scale).",6,20260824T093740Z_5937923c
1106,"Person B provides the duration of the drive, answering 'yes' to the implication that it takes a significant amount of time.",6,20260824T093740Z_5937923c
1107,"Person B mentions a delay, which implies the journey is not going as planned, answering 'no'.",2,20260824T093740Z_5937923c
1108,"Person B says there is still cereal left, answering 'no' to whether they have finished it.",1,20260824T093740Z_5937923c
1109,"Person B says it is not due for three months, answering 'no' to it being due next week.",1,20260824T093740Z_5937923c
1110,"Person B says streets are always congested, answering 'yes' to whether there is usually a lot of traffic.",7,20260824T093740Z_5937923c
1111,"Person B says she is vegetarian, answering 'no' to whether she eats meat.",1,20260824T093740Z_5937923c
1112,"Person B confirms he has the flu, answering 'yes' to whether he is sick.",7,20260824T093740Z_5937923c
1113,"Person B says she runs every day, answering 'yes' to whether she trains daily.",7,20260824T093740Z_5937923c
1114,"Person B says she just woke up, answering 'no' to whether she is still sleeping.",1,20260824T093740Z_5937923c
1115,"Person B says it comes out next week, answering 'no' to whether it is released today.",1,20260824T093740Z_5937923c
1116,"Person B says they have used one before, answering 'yes' to having worked with a drill.",7,20260824T093740Z_5937923c
1117,"Person B says they are celebrating tonight, implying the party is not tomorrow, answering 'no'.",2,20260824T093740Z_5937923c
1118,"Person B says they are moving tomorrow, answering 'yes' to leaving the flat soon.",7,20260824T093740Z_5937923c
1119,"Person B says he was always falling behind, which supports the characterization of a slacker, answering 'yes'.",6,20260824T093740Z_5937923c
1120,"Person B says the region is famous for surfing, answering 'yes' to whether the area is popular for something.",7,20260824T093740Z_5937923c
1121,"Person B says it is quite rough, answering 'no' to whether the sea is calm.",1,20260824T093740Z_5937923c
1122,"Person B says they work at an NGO, answering 'no' to working for a corporate company.",1,20260824T093740Z_5937923c
1123,"Person B says he has authored many books, answering 'yes' to whether he is a writer.",7,20260824T093740Z_5937923c
1124,"Person B says they are still analyzing it, answering 'no' to being finished.",1,20260824T093740Z_5937923c
1125,"Person B says they are an endangered species, which answers 'yes' to whether there are many left (in the context of conservation concern, though technically 'many' is a quantity, the answer confirms the status of the population).",5,20260824T093740Z_5937923c
1126,"Person B says they enrolled at the gym, answering 'yes' to joining a fitness studio.",7,20260824T093740Z_5937923c
1127,"Person B says it is not complete yet, answering 'no' to whether they have finished.",1,20260824T093740Z_5937923c
1128,"Person B says their hair was way too long, answering 'yes' to whether they used to have long hair.",7,20260824T093740Z_5937923c
1129,"Person B says it was a business trip, answering 'no' to it being a vacation.",1,20260824T093740Z_5937923c
1130,"Person B says they need a larger one, answering 'no' to whether a one room flat is enough.",1,20260824T093740Z_5937923c
1131,"Person B says the deadline is tomorrow, answering 'yes' to whether she has to hand it in soon.",7,20260824T093740Z_5937923c
1132,"Person B says they slept only four hours, answering 'yes' to having a short night.",7,20260824T093740Z_5937923c
1133,"Person B says the offer expired, answering 'no' to whether the flight was still discounted.",1,20260824T093740Z_5937923c
1134,"Person B says it got wounded, answering 'yes' to whether the cat is hurt.",7,20260824T093740Z_5937923c
1135,"Person B says Mark is missing, answering 'no' to whether we are all here.",1,20260824T093740Z_5937923c
1137,"Person B says they are Chinese, answering 'yes' to coming from Asia.",7,20260824T093740Z_5937923c
1138,"Person B says the line went dead, which explains why they hung up, answering 'yes' to whether they hung up (or at least addressing the action).",5,20260824T093740Z_5937923c
1139,"Person B says they have domestics, answering 'yes' to someone taking care of the house.",7,20260824T093740Z_5937923c
1140,"Person B says they have just opened, answering 'no' to whether the bar has been there for long.",1,20260824T093740Z_5937923c
1141,"Person B says the house is full of history books, answering 'yes' to whether he owns many books.",7,20260824T093740Z_5937923c
1143,"Person B says they have only a few guests, answering 'yes' to whether it is a small gathering.",7,20260824T093740Z_5937923c
1144,"Person B says they only have one week off, answering 'no' to having two weeks of holiday.",1,20260824T093740Z_5937923c
