id,score,rationale,run_id
1101,1,"B says they have not seen Martin for ages, which directly contradicts having met him lately. This is a clear no.",20260821T125948Z_8dbb5082
1102,7,"B says they are sending out an application right now, which directly answers that they are doing something now. This is definitely yes.",20260821T125948Z_8dbb5082
1103,6,"Training with Lukas at the gym strongly implies they usually exercise with him. It does not explicitly say 'usually,' but it is very likely yes.",20260821T125948Z_8dbb5082
1104,7,"B states that his grandfather passed away recently, which is clearly a death in his family. This directly supports yes.",20260821T125948Z_8dbb5082
1105,5,"Saying Paris is about 1000 km away suggests it is far from here. 'Very far' is somewhat subjective, so this is a somewhat likely yes rather than certain.",20260821T125948Z_8dbb5082
1106,6,A six-hour drive strongly suggests it takes a long time to get to Munich. This is very likely yes.,20260821T125948Z_8dbb5082
1107,2,"A train delay suggests the journey is not going exactly as planned. It is not a total failure, but it points toward no.",20260821T125948Z_8dbb5082
1108,1,"B says there is still some cereal left, so they have not finished it. This is definitely no.",20260821T125948Z_8dbb5082
1109,1,"If the essay is not due for three months, then the deadline is not next week. This is clearly no.",20260821T125948Z_8dbb5082
1110,7,"B says the streets are always congested with cars, which directly indicates there is usually a lot of traffic. Definitely yes.",20260821T125948Z_8dbb5082
1111,1,Being vegetarian means she does not eat meat. This directly answers no.,20260821T125948Z_8dbb5082
1112,7,Having the flu means John is sick today. This is a direct yes.,20260821T125948Z_8dbb5082
1113,7,"B says she runs for hours every day, which directly supports that Sonya trains daily. Definitely yes.",20260821T125948Z_8dbb5082
1114,1,"If Clara just woke up, she is not still sleeping. This is definitely no.",20260821T125948Z_8dbb5082
1115,1,"If the movie comes out next week, then it is not being released today. Clear no.",20260821T125948Z_8dbb5082
1116,7,"B says they have used a drill before, which directly means they have worked with one. Definitely yes.",20260821T125948Z_8dbb5082
1117,1,Celebrating tonight means the party is not tomorrow. This is definitely no.,20260821T125948Z_8dbb5082
1118,6,Moving out tomorrow strongly implies leaving the flat soon. This is very likely yes.,20260821T125948Z_8dbb5082
1119,6,"Always falling behind strongly suggests he is a slacker. It is an evaluative term, but the implication is strongly yes.",20260821T125948Z_8dbb5082
1120,7,"If the region is famous for surfing, then the area is clearly popular for something. Definitely yes.",20260821T125948Z_8dbb5082
1121,1,"B says the sea is quite rough, which is the opposite of calm. Definitely no.",20260821T125948Z_8dbb5082
1122,1,Working at an NGO means not working for a corporate company. This is clearly no.,20260821T125948Z_8dbb5082
1123,7,Having authored many successful books directly implies he is a writer. Definitely yes.,20260821T125948Z_8dbb5082
1124,1,Still analyzing the data means the work is not finished yet. Definitely no.,20260821T125948Z_8dbb5082
1125,6,Being an endangered species strongly suggests there are not many pandas left. This is very likely yes.,20260821T125948Z_8dbb5082
1126,7,Enrolling at the gym directly means joining a fitness studio. Definitely yes.,20260821T125948Z_8dbb5082
1127,1,Saying the thesis is not complete yet directly means it has not been finished. Definitely no.,20260821T125948Z_8dbb5082
1128,7,"B says their hair was way too long, which clearly indicates they used to have long hair. Definitely yes.",20260821T125948Z_8dbb5082
1129,7,"Calling it a business trip still confirms they did go to Japan. The trip purpose differs, but the travel happened. Definitely yes.",20260821T125948Z_8dbb5082
1130,1,"If B needs a larger flat, then a one-room flat is not enough. Definitely no.",20260821T125948Z_8dbb5082
1131,6,A deadline tomorrow strongly implies she has to hand in soon. Very likely yes.,20260821T125948Z_8dbb5082
1132,7,Sleeping only four hours clearly indicates a short night. Definitely yes.,20260821T125948Z_8dbb5082
1133,1,"If the offer had already expired, the flight was not still discounted. Definitely no.",20260821T125948Z_8dbb5082
1134,7,Getting wounded means the cat is hurt. This directly supports yes.,20260821T125948Z_8dbb5082
1135,1,"If Mark is still missing, then not everyone is here. Definitely no.",20260821T125948Z_8dbb5082
