id,score,rationale,run_id
1101,1,"The reply says he has not seen Martin for ages, which strongly implies he has not met him lately. This is a clear no.",20260821T125948Z_8dbb5082
1102,5,"Saying 'I am sending out an application' suggests they are busy right now, so it likely answers yes to doing something right now. It is not perfectly explicit, so it is somewhat likely yes.",20260821T125948Z_8dbb5082
1103,6,'I train with him at the gym' directly supports exercising with Lukas usually. It is very likely yes.,20260821T125948Z_8dbb5082
1104,6,'His grandfather passed away recently' clearly indicates a death in the family. Very likely yes.,20260821T125948Z_8dbb5082
1105,6,Saying Paris is about 1000 km away directly answers that it is very far. Very likely yes.,20260821T125948Z_8dbb5082
1106,6,A six hour drive clearly indicates it takes a long time to get to Munich. Very likely yes.,20260821T125948Z_8dbb5082
1107,3,"Having 'some delay' suggests the journey is not going as planned, but the question is about the whole journey and the wording is indirect. Somewhat likely no.",20260821T125948Z_8dbb5082
1108,1,'There is still some left' clearly means they have not finished their cereal. Definitely no.,20260821T125948Z_8dbb5082
1109,1,"If it is not due for three months, then the deadline is not next week. Definitely no.",20260821T125948Z_8dbb5082
1110,6,'The streets are always congested with cars' directly supports that there is usually a lot of traffic. Very likely yes.,20260821T125948Z_8dbb5082
1111,1,Being vegetarian means she does not eat meat. Definitely no.,20260821T125948Z_8dbb5082
1112,6,Having the flu clearly indicates he is sick. Very likely yes.,20260821T125948Z_8dbb5082
1113,6,Running for hours every day strongly implies daily training. Very likely yes.,20260821T125948Z_8dbb5082
1114,1,"If she just woke up, she is not still sleeping. Definitely no.",20260821T125948Z_8dbb5082
1115,1,"If it comes out next week, it is not being released today. Definitely no.",20260821T125948Z_8dbb5082
1116,5,"Having used a drill before suggests past experience, which answers yes to ever having worked with one. Somewhat likely yes because 'worked with' is a bit broader than 'used'.",20260821T125948Z_8dbb5082
1117,1,"If the party is tonight, it is not taking place tomorrow. Definitely no.",20260821T125948Z_8dbb5082
1118,6,Moving out tomorrow clearly means leaving the flat soon. Very likely yes.,20260821T125948Z_8dbb5082
1119,5,"Always falling behind suggests he is a slacker, but it is indirect and not fully definitive. Somewhat likely yes.",20260821T125948Z_8dbb5082
1120,6,Being famous for surfing directly answers that the area is popular for something. Very likely yes.,20260821T125948Z_8dbb5082
1121,1,"If the sea is quite rough, it is not calm. Definitely no.",20260821T125948Z_8dbb5082
1122,1,Working at an NGO is not working for a corporate company. Definitely no.,20260821T125948Z_8dbb5082
1123,6,Authoring many successful books strongly indicates he is a writer. Very likely yes.,20260821T125948Z_8dbb5082
1124,1,Still analyzing the data means they are not finished working on it. Definitely no.,20260821T125948Z_8dbb5082
1125,5,"Calling pandas an endangered species strongly suggests there are not many left, but it does not literally quantify how many. Somewhat likely yes.",20260821T125948Z_8dbb5082
1126,5,Enrolling at the gym suggests joining a fitness studio. Somewhat likely yes.,20260821T125948Z_8dbb5082
1127,1,"If the thesis is not complete yet, it has not been finished. Definitely no.",20260821T125948Z_8dbb5082
1128,5,Saying the hair was way too long suggests they used to have long hair. Somewhat likely yes because it is an indirect clue.,20260821T125948Z_8dbb5082
1129,1,A business trip is not a vacation. Definitely no.,20260821T125948Z_8dbb5082
1130,1,Needing a larger one means a one-room flat is not enough. Definitely no.,20260821T125948Z_8dbb5082
1131,6,"If the deadline is tomorrow, it is soon to hand in. Very likely yes.",20260821T125948Z_8dbb5082
1132,6,Sleeping only four hours strongly implies a short night. Very likely yes.,20260821T125948Z_8dbb5082
1133,1,"If the offer had already expired, the flight was not still discounted. Definitely no.",20260821T125948Z_8dbb5082
1134,6,"If it got wounded, the cat is hurt. Very likely yes.",20260821T125948Z_8dbb5082
1135,1,"If Mark is still missing, then we are not all here. Definitely no.",20260821T125948Z_8dbb5082
1137,5,"Being Chinese implies coming from Asia, but China is a specific country within Asia, so it is not phrased as a direct yes. Somewhat likely yes.",20260821T125948Z_8dbb5082
1138,5,"The line went dead indicates the call ended, which fits hanging up. Somewhat likely yes.",20260821T125948Z_8dbb5082
1139,5,"Having domestics suggests someone is taking care of the house, though the wording is a bit nonstandard. Somewhat likely yes.",20260821T125948Z_8dbb5082
1140,1,Just opened means it has not been there for long. Definitely no.,20260821T125948Z_8dbb5082
1141,6,A house full of history books strongly suggests he owns many books. Very likely yes.,20260821T125948Z_8dbb5082
1143,6,Only a few guests over for dinner means there is a small gathering. Very likely yes.,20260821T125948Z_8dbb5082
1144,1,Only one week off work means they do not have two weeks of holiday. Definitely no.,20260821T125948Z_8dbb5082
1145,7,Going to have a baby is a clear affirmative indicator of pregnancy. Definitely yes.,20260821T125948Z_8dbb5082
1147,1,Still owing the bank money means debts have not been paid back. Definitely no.,20260821T125948Z_8dbb5082
1148,1,Only had water means he did not drink a cocktail. Definitely no.,20260821T125948Z_8dbb5082
1149,2,"Having an orchard does not imply having a vegetable garden, so the answer leans no. It is not perfectly direct, but likely no.",20260821T125948Z_8dbb5082
1150,1,Being 25 years old means he is not underage. Definitely no.,20260821T125948Z_8dbb5082
1151,1,Extremely expensive tuition means Harvard is not affordable. Definitely no.,20260821T125948Z_8dbb5082
