id,score,rationale,run_id
1101,1,Not seeing him for ages implies not met lately.,20260824T093740Z_5937923c
1102,6,Sending an application implies doing something now.,20260824T093740Z_5937923c
1103,6,Training at the gym implies exercising with Lukas.,20260824T093740Z_5937923c
1104,7,Grandfather passed away confirms a death.,20260824T093740Z_5937923c
1105,6,1000 km is far.,20260824T093740Z_5937923c
1106,6,Six hour drive is long.,20260824T093740Z_5937923c
1107,2,Train delay suggests journey not as planned.,20260824T093740Z_5937923c
1108,2,Still some left means not finished.,20260824T093740Z_5937923c
1109,1,"Not due for three months, not next week.",20260824T093740Z_5937923c
1110,6,Always congested confirms lots of traffic.,20260824T093740Z_5937923c
1111,1,Vegetarian means no meat.,20260824T093740Z_5937923c
1112,6,Flu implies sick.,20260824T093740Z_5937923c
1113,6,Runs for hours every day implies daily training.,20260824T093740Z_5937923c
1114,1,Just woke up means not still sleeping.,20260824T093740Z_5937923c
1115,1,"Comes out next week, not today.",20260824T093740Z_5937923c
1116,6,Used one before means yes.,20260824T093740Z_5937923c
1117,2,Celebrating tonight suggests not tomorrow.,20260824T093740Z_5937923c
1118,6,Moving out tomorrow implies leaving soon.,20260824T093740Z_5937923c
1119,6,Always falling behind suggests slacker.,20260824T093740Z_5937923c
1120,6,Famous for surfing confirms popular for something.,20260824T093740Z_5937923c
1121,1,Quite rough means not calm.,20260824T093740Z_5937923c
1122,1,NGO is not a corporate company.,20260824T093740Z_5937923c
1123,6,Authored books implies writer.,20260824T093740Z_5937923c
1124,1,Still analyzing means not finished.,20260824T093740Z_5937923c
1125,6,Endangered species implies not many left.,20260824T093740Z_5937923c
1126,6,Enrolled at gym implies joined fitness studio.,20260824T093740Z_5937923c
1127,1,Not complete means not finished.,20260824T093740Z_5937923c
1128,6,Hair was way too long confirms long hair.,20260824T093740Z_5937923c
1129,1,Business trip means not vacation.,20260824T093740Z_5937923c
1130,1,Needs larger means one room not enough.,20260824T093740Z_5937923c
1131,6,Deadline tomorrow means hand in soon.,20260824T093740Z_5937923c
1132,6,Only four hours means short night.,20260824T093740Z_5937923c
1133,1,Offer expired means not discounted.,20260824T093740Z_5937923c
1134,6,Got wounded means hurt.,20260824T093740Z_5937923c
1135,1,Mark missing means not all here.,20260824T093740Z_5937923c
1137,6,Chinese means from Asia.,20260824T093740Z_5937923c
1138,5,"Line went dead suggests call ended, ambiguous but leans yes.",20260824T093740Z_5937923c
