id,score,rationale,run_id
1101,1,Not seeing Martin for ages implies not meeting lately.,20260824T093740Z_5937923c
1102,7,Sending an application is doing something right now.,20260824T093740Z_5937923c
1103,6,Training with him implies usually exercising together.,20260824T093740Z_5937923c
1104,7,Grandfather passing away confirms a death in the family.,20260824T093740Z_5937923c
1105,6,1000 km away strongly implies very far.,20260824T093740Z_5937923c
1106,6,A six hour drive strongly implies a long trip.,20260824T093740Z_5937923c
1107,2,A train delay suggests the journey is not going as planned.,20260824T093740Z_5937923c
1108,1,Some cereal left means they have not finished.,20260824T093740Z_5937923c
1109,1,Due in three months means not next week.,20260824T093740Z_5937923c
1110,7,Always congested means usually a lot of traffic.,20260824T093740Z_5937923c
1111,1,Being vegetarian implies not eating meat.,20260824T093740Z_5937923c
1112,7,Having the flu means sick.,20260824T093740Z_5937923c
1113,6,Running every day strongly implies daily training.,20260824T093740Z_5937923c
1114,1,Just waking up means no longer sleeping.,20260824T093740Z_5937923c
1115,1,Coming out next week means not released today.,20260824T093740Z_5937923c
1116,7,Having used a drill before confirms experience.,20260824T093740Z_5937923c
1117,1,Celebrating tonight implies the party is not tomorrow.,20260824T093740Z_5937923c
1118,7,Moving out tomorrow confirms leaving soon.,20260824T093740Z_5937923c
1119,6,Always falling behind suggests being a slacker.,20260824T093740Z_5937923c
1120,7,Famous for surfing confirms the area is popular.,20260824T093740Z_5937923c
1121,1,Rough sea is not calm.,20260824T093740Z_5937923c
1122,1,Working at an NGO contradicts working for a corporate company.,20260824T093740Z_5937923c
1123,7,Authoring books implies being a writer.,20260824T093740Z_5937923c
1124,1,Still analyzing means not finished.,20260824T093740Z_5937923c
1125,2,Endangered species implies few pandas remain.,20260824T093740Z_5937923c
1126,7,Enrolling at the gym confirms joining a fitness studio.,20260824T093740Z_5937923c
1127,1,Thesis not complete means not finished.,20260824T093740Z_5937923c
1128,7,Hair being way too long confirms it used to be long.,20260824T093740Z_5937923c
1129,1,A business trip contradicts a vacation.,20260824T093740Z_5937923c
1130,1,Needing a larger one means the one room flat is not enough.,20260824T093740Z_5937923c
1131,7,Deadline tomorrow means she must hand in soon.,20260824T093740Z_5937923c
1132,7,Four hours of sleep implies a short night.,20260824T093740Z_5937923c
1133,1,Expired offer means not still discounted.,20260824T093740Z_5937923c
1134,7,Getting wounded confirms the cat is hurt.,20260824T093740Z_5937923c
1135,1,Mark missing means not everyone is here.,20260824T093740Z_5937923c
1137,7,Being Chinese implies coming from Asia.,20260824T093740Z_5937923c
1138,2,Line going dead suggests not intentionally hanging up.,20260824T093740Z_5937923c
1139,6,Having domestics implies someone takes care of the house.,20260824T093740Z_5937923c
1140,1,Just opened means not here for long.,20260824T093740Z_5937923c
1141,7,House full of books implies owning many books.,20260824T093740Z_5937923c
1143,7,Only few guests implies a small gathering.,20260824T093740Z_5937923c
1144,1,Only one week off contradicts two weeks of holiday.,20260824T093740Z_5937923c
1145,6,Going to have a baby strongly implies pregnancy.,20260824T093740Z_5937923c
1147,1,Still owing money means debts are not fully paid.,20260824T093740Z_5937923c
1148,1,Only water means no cocktail.,20260824T093740Z_5937923c
1149,2,Owning an orchard suggests not a vegetable garden.,20260824T093740Z_5937923c
1150,1,25 years old means not underage.,20260824T093740Z_5937923c
1151,1,Extremely expensive means not affordable.,20260824T093740Z_5937923c
1152,7,A bank transfer confirms payment.,20260824T093740Z_5937923c
1153,1,Cannot swim means not good at swimming.,20260824T093740Z_5937923c
1154,1,Healthy again means no longer has a cold.,20260824T093740Z_5937923c
1155,7,Not allowed to get closer confirms forbidden.,20260824T093740Z_5937923c
1156,7,Watering regularly confirms someone took care of the plants.,20260824T093740Z_5937923c
1157,1,Already dead means not alive in the 80s.,20260824T093740Z_5937923c
1158,7,Thick ice implies the lake is frozen.,20260824T093740Z_5937923c
1159,1,Advanced course means not the beginners class.,20260824T093740Z_5937923c
1160,7,Seeing a doctor confirms seeking medical advice.,20260824T093740Z_5937923c
1161,1,Going out contradicts staying home.,20260824T093740Z_5937923c
1162,7,Voting yesterday confirms a recent election.,20260824T093740Z_5937923c
1163,7,Spotless confirms completely clean.,20260824T093740Z_5937923c
1164,1,A blank sheet means no questions were answered.,20260824T093740Z_5937923c
1165,1,Being in the changing room implies not on the tennis field.,20260824T093740Z_5937923c
1166,6,Being compensated strongly implies getting money back.,20260824T093740Z_5937923c
1167,1,No one responded means no answers.,20260824T093740Z_5937923c
1168,1,Not playing any instrument strongly implies not a musician.,20260824T093740Z_5937923c
1169,7,Being in Japan confirms travel in Asia.,20260824T093740Z_5937923c
1170,7,Aiming for the mountain top confirms the summit is the goal.,20260824T093740Z_5937923c
1171,7,Customer received it confirms the package arrived.,20260824T093740Z_5937923c
1173,1,Skipping lessons means not attending the whole course.,20260824T093740Z_5937923c
1174,7,Poor resolution confirms a bad image.,20260824T093740Z_5937923c
1175,7,Graduating from medical school confirms completed studies.,20260824T093740Z_5937923c
1176,1,Private property contradicts a public building.,20260824T093740Z_5937923c
