id,score,rationale,run_id
1101,2,No; B says Martin has not been seen for ages.,20260821T125948Z_8dbb5082
1102,7,Yes; sending an application is something B is doing now.,20260821T125948Z_8dbb5082
1103,7,Yes; B explicitly trains with Lukas at the gym.,20260821T125948Z_8dbb5082
1104,7,Yes; B confirms that his grandfather died.,20260821T125948Z_8dbb5082
1105,6,Yes; 1000 km generally indicates Paris is far away.,20260821T125948Z_8dbb5082
1106,6,Yes; a six-hour drive indicates a long journey.,20260821T125948Z_8dbb5082
1107,2,Likely no; the delay indicates the journey is not going as planned.,20260821T125948Z_8dbb5082
1108,1,Definitely no; some cereal remains.,20260821T125948Z_8dbb5082
1109,1,Definitely no; the essay is not due for three months.,20260821T125948Z_8dbb5082
1110,7,Yes; streets that are always congested indicate frequent heavy traffic.,20260821T125948Z_8dbb5082
1111,1,Definitely no; a vegetarian does not eat meat.,20260821T125948Z_8dbb5082
1112,7,Yes; having the flu means John is sick.,20260821T125948Z_8dbb5082
1113,6,Likely yes; running for hours every day indicates daily training.,20260821T125948Z_8dbb5082
1114,1,Definitely no; Clara has just woken up.,20260821T125948Z_8dbb5082
1115,1,Definitely no; the movie comes out next week.,20260821T125948Z_8dbb5082
1116,7,Yes; B says they have used a drill before.,20260821T125948Z_8dbb5082
1117,1,"Definitely no; the celebration is tonight, not tomorrow.",20260821T125948Z_8dbb5082
1118,6,Likely yes; moving out tomorrow means leaving the flat soon.,20260821T125948Z_8dbb5082
1119,5,"Somewhat yes; repeatedly falling behind suggests slackness, though it is not explicit.",20260821T125948Z_8dbb5082
1120,7,Yes; the region is explicitly famous for surfing.,20260821T125948Z_8dbb5082
1121,1,Definitely no; the sea is described as rough.,20260821T125948Z_8dbb5082
1122,1,Definitely no; B works at an NGO rather than a corporate company.,20260821T125948Z_8dbb5082
1123,7,Yes; authoring many books establishes that he is a writer.,20260821T125948Z_8dbb5082
1124,1,Definitely no; B is still analyzing the data.,20260821T125948Z_8dbb5082
1125,3,"Likely no; being endangered suggests relatively few pandas remain, though it does not give a precise count.",20260821T125948Z_8dbb5082
1126,7,Yes; enrolling at the gym confirms joining a fitness studio.,20260821T125948Z_8dbb5082
1127,1,Definitely no; the thesis is not complete.,20260821T125948Z_8dbb5082
1128,7,Yes; B says their hair was previously very long.,20260821T125948Z_8dbb5082
1129,1,Definitely no; B identifies it as a business trip.,20260821T125948Z_8dbb5082
1130,1,Definitely no; B needs a larger flat.,20260821T125948Z_8dbb5082
1131,7,Yes; a deadline tomorrow means submission is soon.,20260821T125948Z_8dbb5082
1132,7,Yes; sleeping only four hours indicates a short night.,20260821T125948Z_8dbb5082
