id,score,rationale,run_id
1101,1,"""Not seen him for ages"" directly denies a recent meeting.",20260824T093740Z_5937923c
1102,7,"Sending out an application is an activity, confirming they're doing something.",20260824T093740Z_5937923c
1103,6,"Training with him at the gym implies regular joint exercise, though 'usually' isn't explicit.",20260824T093740Z_5937923c
1104,7,Grandfather's recent passing directly confirms a death in the family.,20260824T093740Z_5937923c
1105,6,1000 km is generally considered very far.,20260824T093740Z_5937923c
1106,6,A six hour drive is a long trip.,20260824T093740Z_5937923c
1107,2,"Train delay indicates the journey is not going as planned, though a delay is minor.",20260824T093740Z_5937923c
1108,2,Some cereal being left means they haven't finished it.,20260824T093740Z_5937923c
1109,1,Three months away directly contradicts next week.,20260824T093740Z_5937923c
1110,7,Streets always congested confirms heavy traffic.,20260824T093740Z_5937923c
1111,1,Being vegetarian means she doesn't eat meat.,20260824T093740Z_5937923c
1112,7,Having the flu confirms being sick.,20260824T093740Z_5937923c
1113,7,Running for hours every day confirms daily training.,20260824T093740Z_5937923c
1114,1,Just woke up means she is no longer sleeping.,20260824T093740Z_5937923c
1115,1,Coming out next week denies release today.,20260824T093740Z_5937923c
1116,7,Having used one before directly confirms experience.,20260824T093740Z_5937923c
1117,2,"Celebrating tonight implies the party is today, not tomorrow, though a party could span both.",20260824T093740Z_5937923c
1118,7,Moving out tomorrow confirms leaving soon.,20260824T093740Z_5937923c
1119,6,"Always falling behind supports the characterization of a slacker, though falling behind can have other causes.",20260824T093740Z_5937923c
1120,7,Being famous for surfing confirms popularity for something.,20260824T093740Z_5937923c
1121,1,Quite rough is the opposite of calm.,20260824T093740Z_5937923c
1122,1,An NGO is not a corporate company.,20260824T093740Z_5937923c
1123,7,Authoring many books confirms being a writer.,20260824T093740Z_5937923c
1124,1,Still analyzing means not finished.,20260824T093740Z_5937923c
1125,2,"Endangered species implies few remain, though 'endangered' does not literally give a number.",20260824T093740Z_5937923c
1126,7,Enrolling at the gym equals joining a fitness studio.,20260824T093740Z_5937923c
1127,1,Explicit statement that the thesis isn't complete.,20260824T093740Z_5937923c
1128,7,Saying hair was way too long confirms having had long hair.,20260824T093740Z_5937923c
1129,1,A business trip contradicts a vacation.,20260824T093740Z_5937923c
1130,1,Needing a larger one means one room is not enough.,20260824T093740Z_5937923c
1131,7,Deadline tomorrow means she must hand in very soon.,20260824T093740Z_5937923c
1132,7,Only four hours of sleep confirms a short night.,20260824T093740Z_5937923c
1133,1,Offer expired means no discount remained.,20260824T093740Z_5937923c
1134,7,Wounded means hurt.,20260824T093740Z_5937923c
1135,1,Mark missing means not everyone is present.,20260824T093740Z_5937923c
1137,7,"China is in Asia, so being Chinese affirms coming from Asia.",20260824T093740Z_5937923c
1138,3,"The line going dead suggests the call was cut off, likely not by B hanging up, but it's somewhat indirect.",20260824T093740Z_5937923c
1139,7,Having domestic help confirms someone takes care of the house.,20260824T093740Z_5937923c
1140,1,Just opened means it has not been there long.,20260824T093740Z_5937923c
1141,7,A house full of history books confirms owning many books.,20260824T093740Z_5937923c
1143,6,Only a few guests for dinner indicates a small gathering.,20260824T093740Z_5937923c
1144,1,Only one week off contradicts two weeks.,20260824T093740Z_5937923c
1145,7,Going to have a baby confirms pregnancy.,20260824T093740Z_5937923c
1147,2,"Still owing money means debts are not fully paid, though some may have been paid.",20260824T093740Z_5937923c
1148,1,Only water means no cocktail.,20260824T093740Z_5937923c
1149,3,"An orchard is fruit trees rather than a vegetable garden, implying no, though it's a garden of sorts.",20260824T093740Z_5937923c
1150,1,"25 years old is an adult, not underage.",20260824T093740Z_5937923c
1151,1,Extremely expensive tuition means not affordable.,20260824T093740Z_5937923c
1152,7,A bank transfer moments ago confirms payment.,20260824T093740Z_5937923c
1153,1,Cannot swim means not good at swimming.,20260824T093740Z_5937923c
1154,1,Being healthy again means the cold is gone.,20260824T093740Z_5937923c
1155,7,Not allowed to get closer confirms the prohibition.,20260824T093740Z_5937923c
1156,7,Regular watering confirms someone cared for the plants.,20260824T093740Z_5937923c
1157,1,Already dead by then means not alive.,20260824T093740Z_5937923c
1158,7,A thick ice layer confirms the lake is frozen.,20260824T093740Z_5937923c
1159,1,Being in the advanced course means not in the beginners' class.,20260824T093740Z_5937923c
1160,7,Seeing a doctor is seeking medical advice.,20260824T093740Z_5937923c
1161,1,Going out contradicts staying home.,20260824T093740Z_5937923c
1162,7,Voting yesterday confirms a recent election.,20260824T093740Z_5937923c
1163,7,Spotless means completely clean.,20260824T093740Z_5937923c
1164,1,A blank sheet means no questions were answered.,20260824T093740Z_5937923c
1165,2,"Just entering the changing room implies she's not on the field yet, though she is heading there.",20260824T093740Z_5937923c
1166,6,"Being compensated implies he received money back, though compensation may differ from the exact amount.",20260824T093740Z_5937923c
1167,1,No one responded is an explicit no.,20260824T093740Z_5937923c
1168,2,"Not playing an instrument strongly suggests he's not a musician, though singers/producers are musicians too.",20260824T093740Z_5937923c
1169,7,"Japan is in Asia, so months there confirms travel in Asia.",20260824T093740Z_5937923c
1170,7,Mountain top equals the summit.,20260824T093740Z_5937923c
1171,7,The customer received it is a direct yes.,20260824T093740Z_5937923c
1173,1,Skipping the last four lessons means she didn't attend the whole course.,20260824T093740Z_5937923c
1174,6,Poor resolution implies a bad image.,20260824T093740Z_5937923c
1175,7,Graduating from medical school confirms completion of studies.,20260824T093740Z_5937923c
1176,1,Private property contradicts a public building.,20260824T093740Z_5937923c
1201,2,"Not seeing him for ages suggests the friendship has faded, though old friends can remain friends.",20260824T093740Z_5937923c
1202,6,"Sending out an application strongly suggests job searching, though it could be for something else.",20260824T093740Z_5937923c
1203,7,Training with him regularly means B knows him.,20260824T093740Z_5937923c
1204,5,"The grandfather's death suggests inheritance, so likely yes, but it's inferential.",20260824T093740Z_5937923c
1205,6,1000 km implies a long drive.,20260824T093740Z_5937923c
1206,6,A six hour drive counts as far.,20260824T093740Z_5937923c
1207,2,"Train delay suggests they won't be home by noon, though delay length is unknown.",20260824T093740Z_5937923c
1208,5,"Some cereal left implies there's cereal, likely bought previously, but doesn't confirm a new purchase; leaning yes as 'no need'.",20260824T093740Z_5937923c
1209,2,Saying it's not due for three months implies they haven't started yet.,20260824T093740Z_5937923c
1210,6,Always congested streets suggests they will likely be late.,20260824T093740Z_5937923c
1211,2,"Being vegetarian suggests she won't come to a steak house, though vegetarians sometimes join.",20260824T093740Z_5937923c
1212,6,Having the flu implies he's staying home.,20260824T093740Z_5937923c
1213,5,"Running for hours daily suggests marathon training and likely registration, but doesn't confirm it.",20260824T093740Z_5937923c
1214,2,Just waking up implies she hasn't eaten breakfast yet.,20260824T093740Z_5937923c
1215,1,Not yet released means B cannot have seen it.,20260824T093740Z_5937923c
1216,6,Prior use implies knowing how to use it.,20260824T093740Z_5937923c
1217,2,"Celebrating suggests good news, so likely not a failure.",20260824T093740Z_5937923c
1218,6,"Moving out tomorrow strongly implies a breakup, though not certain.",20260824T093740Z_5937923c
1219,6,"Always falling behind supports being fired, though indirect.",20260824T093740Z_5937923c
1220,6,Famous for surfing implies good waves.,20260824T093740Z_5937923c
1221,2,A rough sea suggests it's unsafe for swimming.,20260824T093740Z_5937923c
1222,2,"NGO jobs typically pay modestly, implying no.",20260824T093740Z_5937923c
1223,6,Many successful books implies fame.,20260824T093740Z_5937923c
1224,1,Still analyzing implies no presentation was made.,20260824T093740Z_5937923c
1225,2,Endangered status implies hunting is illegal.,20260824T093740Z_5937923c
1226,4,"Enrolling at a gym doesn't answer whether weight was lost; it could suggest an effort just begun, so it's ambiguous.",20260824T093740Z_5937923c
1227,1,An incomplete thesis means not graduated.,20260824T093740Z_5937923c
1228,6,Saying hair was way too long implies a cut happened.,20260824T093740Z_5937923c
1229,2,"A business trip implies little time for sightseeing, though some is possible.",20260824T093740Z_5937923c
1230,1,Needing a larger place implies they did not buy it.,20260824T093740Z_5937923c
1231,6,A deadline tomorrow implies stress.,20260824T093740Z_5937923c
1232,6,Only four hours of sleep implies tiredness.,20260824T093740Z_5937923c
1233,3,"The offer expiring suggests he may not have booked, but he could have booked at full price; leans no.",20260824T093740Z_5937923c
1234,6,A wound implies a vet visit is needed.,20260824T093740Z_5937923c
1235,1,Mark missing means they're not ready.,20260824T093740Z_5937923c
1237,6,"Being Chinese suggests ability to cook Cantonese rice, though not guaranteed.",20260824T093740Z_5937923c
1238,2,"The line going dead implies the conversation was cut short, so likely not told.",20260824T093740Z_5937923c
1239,7,Having domestic help explains and confirms the constant tidiness.,20260824T093740Z_5937923c
1240,2,Having just opened implies B hasn't tried it yet.,20260824T093740Z_5937923c
1241,6,A house full of history books implies a passion for history.,20260824T093740Z_5937923c
1243,6,Few guests implies the saucepan is big enough.,20260824T093740Z_5937923c
1244,2,Only one week off implies no two-week trip.,20260824T093740Z_5937923c
1245,6,Pregnancy implies avoiding alcohol.,20260824T093740Z_5937923c
1247,4,"Still owing money doesn't specify whether the debt is new or old, making it ambiguous.",20260824T093740Z_5937923c
1248,1,Only water means he's not drunk.,20260824T093740Z_5937923c
1249,3,"Owning an orchard suggests fruit comes from home, implying no, though supermarket purchases could still happen.",20260824T093740Z_5937923c
1250,1,25 years old rules out elementary school.,20260824T093740Z_5937923c
1251,2,"Extremely expensive tuition suggests it's not an option, though scholarships exist.",20260824T093740Z_5937923c
1252,6,A bank transfer indicates acceptance of the deal.,20260824T093740Z_5937923c
1253,3,"Not being able to swim suggests they didn't go, though non-swimmers can visit pools; leans no.",20260824T093740Z_5937923c
1254,2,Being healthy again implies the pills are no longer needed.,20260824T093740Z_5937923c
1255,5,A ban on approaching hints at contamination but could have other reasons.,20260824T093740Z_5937923c
1256,6,Regular watering implies the plants are alive.,20260824T093740Z_5937923c
1257,1,Being dead by 1981 means he couldn't have created it.,20260824T093740Z_5937923c
1258,6,Thick ice implies skating season.,20260824T093740Z_5937923c
1259,1,Being in the advanced course means not a beginner.,20260824T093740Z_5937923c
1260,6,Seeing a doctor implies illness.,20260824T093740Z_5937923c
1261,2,"Going out with friends suggests a late night, implying no.",20260824T093740Z_5937923c
1262,6,Having voted yesterday demonstrates that members can elect a representative.,20260824T093740Z_5937923c
1263,6,Being spotless implies it came back from the wash.,20260824T093740Z_5937923c
1264,1,A blank sheet means the exam was not good.,20260824T093740Z_5937923c
1265,2,Just entering the changing room implies she isn't dressed yet.,20260824T093740Z_5937923c
1266,6,Compensation implies a settlement.,20260824T093740Z_5937923c
1267,1,No one responded means the house wasn't sold.,20260824T093740Z_5937923c
1268,1,Not playing an instrument rules out being in the marching band.,20260824T093740Z_5937923c
1269,6,Months in Japan strongly implies he has tried sushi.,20260824T093740Z_5937923c
1270,5,"Aiming for the summit suggests mostly uphill, but not necessarily the whole way.",20260824T093740Z_5937923c
1271,7,Receiving the package entails it was shipped.,20260824T093740Z_5937923c
1273,1,Skipping four lessons indicates a lack of dedication.,20260824T093740Z_5937923c
1274,6,Poor monitor resolution implies eye strain.,20260824T093740Z_5937923c
1275,6,"Graduating medical school implies she is a doctor, though licensing/residency nuances exist.",20260824T093740Z_5937923c
1276,2,Private property implies B likely hasn't been inside.,20260824T093740Z_5937923c
2101,7,Needing to revise topics confirms studying is required.,20260824T093740Z_5937923c
2102,7,An interesting new movie confirms something came out recently.,20260824T093740Z_5937923c
2103,6,"Chilly means fairly cold, affirming with slight hedging.",20260824T093740Z_5937923c
2105,7,Having heard good things confirms knowing something about it.,20260824T093740Z_5937923c
2106,6,A pulled muscle counts as an injury.,20260824T093740Z_5937923c
2107,6,"Not being able to find the phone implies it's lost, though possibly just misplaced.",20260824T093740Z_5937923c
2108,7,Minus 20 degrees is definitively cold.,20260824T093740Z_5937923c
2109,7,A church is a religious building.,20260824T093740Z_5937923c
2110,6,Training very hard implies difficult workouts.,20260824T093740Z_5937923c
2113,7,Working on an exhausting task confirms working today.,20260824T093740Z_5937923c
2114,1,Not bringing a bikini means no swimming gear.,20260824T093740Z_5937923c
2115,1,Not having time means not free.,20260824T093740Z_5937923c
2116,1,Watching it last month contradicts yesterday.,20260824T093740Z_5937923c
2117,1,"Being on a diet implies eating less, not more.",20260824T093740Z_5937923c
2118,1,Being Muslim contradicts practicing Hinduism.,20260824T093740Z_5937923c
2119,2,A spinning head from beers indicates not feeling okay.,20260824T093740Z_5937923c
2120,1,Being very tired contradicts feeling energetic.,20260824T093740Z_5937923c
2121,1,Being broke means no savings.,20260824T093740Z_5937923c
2122,1,Having used one before means it's not the first experience.,20260824T093740Z_5937923c
2123,1,"11 p.m. is night, not morning.",20260824T093740Z_5937923c
2124,1,A hangover means not feeling good.,20260824T093740Z_5937923c
2125,1,Being diabetic is a chronic disease.,20260824T093740Z_5937923c
2127,2,Getting seasick indicates not feeling well on boats.,20260824T093740Z_5937923c
2128,1,The toothache being gone means no pain.,20260824T093740Z_5937923c
2129,6,Several bus stops before the destination indicates many stations.,20260824T093740Z_5937923c
2130,2,"'Should not staple them' suggests it's not permitted, though it's phrased as advice rather than prohibition.",20260824T093740Z_5937923c
2131,1,Very light means it doesn't weigh much.,20260824T093740Z_5937923c
2132,7,Getting up at 5 am is early.,20260824T093740Z_5937923c
2134,1,French being native means Spanish is not.,20260824T093740Z_5937923c
2135,7,'It does not work' confirms it's still unusable.,20260824T093740Z_5937923c
2136,7,Common wolves confirm wild animals.,20260824T093740Z_5937923c
2137,2,"Only cacti implies no trees, though some cacti can be tree-like.",20260824T093740Z_5937923c
2138,6,"Needing it for travelling affirms necessity, though 'travelling' is broader than flying.",20260824T093740Z_5937923c
2139,1,A sandwich instead of pie means no pie.,20260824T093740Z_5937923c
2140,7,Having to go out soon confirms they're about to leave.,20260824T093740Z_5937923c
2141,7,Starving is an emphatic yes to being hungry.,20260824T093740Z_5937923c
2144,7,Drinking tea all the time confirms frequent hot drinks.,20260824T093740Z_5937923c
2145,7,Too much light confirms the room is bright.,20260824T093740Z_5937923c
2146,1,Being abroad then means not staying in town.,20260824T093740Z_5937923c
2147,6,"Having soup confirms consuming food, though soup is arguably drunk.",20260824T093740Z_5937923c
2148,7,Just started pouring confirms it's raining.,20260824T093740Z_5937923c
2149,1,'I do not drink' is a direct no.,20260824T093740Z_5937923c
2150,1,A dishwasher remaining shows not everything was taken.,20260824T093740Z_5937923c
2151,1,Having given away the racket means no equipment.,20260824T093740Z_5937923c
2152,2,Not eating spicy dishes means not all types of food.,20260824T093740Z_5937923c
2153,7,Living right next door confirms being neighbours.,20260824T093740Z_5937923c
2155,1,Understanding everything means no longer confused.,20260824T093740Z_5937923c
2156,7,Chest pain is upper body pain.,20260824T093740Z_5937923c
2157,1,Mid-summer contradicts winter.,20260824T093740Z_5937923c
2159,7,Cutting a finger confirms getting hurt.,20260824T093740Z_5937923c
2160,7,Dust all over the floor confirms dirtiness.,20260824T093740Z_5937923c
2161,1,Having brought their own toothpaste means it wasn't left home.,20260824T093740Z_5937923c
2162,7,Chapped lips confirm damage.,20260824T093740Z_5937923c
2163,2,Working early tomorrow morning conflicts with an afternoon shift.,20260824T093740Z_5937923c
2164,1,Planning to eat at a restaurant means not at home.,20260824T093740Z_5937923c
2165,7,Having grown a lot recently confirms they are taller.,20260824T093740Z_5937923c
2166,7,Lunch being ready confirms cooking is finished.,20260824T093740Z_5937923c
2167,7,A very complicated math exercise confirms difficult homework.,20260824T093740Z_5937923c
2168,1,Not sure where to go means no decision.,20260824T093740Z_5937923c
2169,1,Cigars only means no cigarettes.,20260824T093740Z_5937923c
2170,2,"Typing on a laptop implies not writing on paper, though 'usually' leaves slight room.",20260824T093740Z_5937923c
2171,7,The stove not delivered confirms the kitchen is incomplete.,20260824T093740Z_5937923c
2172,7,Cars stolen regularly confirms frequent theft.,20260824T093740Z_5937923c
2173,1,Completely full means no room.,20260824T093740Z_5937923c
2174,7,Laundry piling up confirms there's a lot to wash.,20260824T093740Z_5937923c
2175,6,Being able to have a relaxed breakfast implies taking time for it.,20260824T093740Z_5937923c
2201,6,Mentioning needing to revise topics signals willingness to study together.,20260824T093740Z_5937923c
2202,6,Pointing out an interesting new movie signals agreement to go.,20260824T093740Z_5937923c
2203,6,"Saying it's chilly implies yes, close the window.",20260824T093740Z_5937923c
2205,6,Having heard good things implies interest in borrowing it.,20260824T093740Z_5937923c
2206,6,A pulled muscle supports skipping the class.,20260824T093740Z_5937923c
