id,score,rationale
1101,2,"Person A asks whether they have met Martin lately. Person B replies they have not seen him for ages, which directly indicates “no” to meeting lately."
1102,7,"Person A asks if Person B is doing something right now. Person B answers they are sending out an application, which is clearly an ongoing action."
1103,7,"Person A asks if they usually exercise with Lukas. Person B says they train with him at the gym, confirming the usual pattern."
1104,7,"Person A asks whether there was a death in his family. Person B states that his grandfather passed away recently, which is a direct “yes.”"
1105,7,"Person A asks if Paris is very far from here. Person B gives a distance (~1000 km), supporting that it is indeed far."
1106,6,"Person A asks if it takes long to get to Munich. Person B says it is a six hour drive, which strongly implies it takes a long time."
1107,2,"Person A asks if the journey is going as planned. Person B says the train has some delay, indicating it is not going as planned."
1108,2,"Person A asks if they have finished their cereal. Person B says there is still some left, so the answer is “no.”"
1109,2,"Person A asks if the essay deadline is next week. Person B says it is not due for three months, which contradicts next week."
1110,7,"Person A asks if there is usually a lot of traffic. Person B says the streets are always congested, confirming “yes.”"
1111,7,"Person A asks if Megan eats meat. Person B says she is vegetarian, implying she does not eat meat."
1112,7,"Person A asks if John is sick today. Person B says he has the flu, which is a clear “yes.”"
1113,7,"Person A asks if Sonya trains daily. Person B says she runs for hours every day, confirming daily training."
1114,2,"Person A asks if Clara is still sleeping. Person B says she just woke up, so she is not still sleeping."
1115,2,"Person A asks if the movie will be released today. Person B says it comes out next week, so the answer is “no.”"
1116,5,"Person A asks if they have ever worked with a drill. Person B says they have used one before, which supports “yes,” though it’s not phrased as a direct “yes” to the exact question."
1117,2,"Person A asks if the birthday party takes place tomorrow. Person B says they are celebrating tonight, so it is not tomorrow."
1118,7,"Person A asks if they are leaving their flat soon. Person B says they are moving out tomorrow, which indicates it is soon."
1119,6,"Person A asks if he is a slacker. Person B says he was always falling behind, which strongly suggests laziness/poor effort."
1120,6,"Person A asks if this area is popular for something. Person B says the region is famous for surfing, indicating popularity for that activity."
1121,2,"Person A asks if the sea is calm these days. Person B says it is quite rough, so “no.”"
1122,2,"Person A asks if they work for a corporate company. Person B says their job is at an NGO, which is not corporate."
1123,7,"Person A asks if he is a writer. Person B says he has authored many successful books, confirming he is a writer."
1124,2,"Person A asks if they are finished working on their data. Person B says they are still analyzing it, so not finished."
1125,7,"Person A asks if there are many pandas left. Person B says they are an endangered species, implying few remain."
1126,7,"Person A asks if they have joined a fitness studio. Person B says they enrolled at the gym, confirming “yes.”"
1127,2,"Person A asks if they have finished writing their thesis. Person B says the thesis is not complete yet, so “no.”"
1128,5,"Person A asks if they used to have long hair. Person B says their hair was way too long, which supports “yes.”"
1129,2,"Person A asks if they went to Japan for vacation. Person B says it was a business trip, so not a vacation."
1130,2,"Person A asks if a one-room flat is enough. Person B says they need a larger one, so “no.”"
1131,7,"Person A asks if she has to hand in soon. Person B says the deadline is tomorrow, which is soon."
1132,6,"Person A asks if they had a short night. Person B says they slept only four hours, strongly indicating a short night."
1133,2,"Person A asks if the flight was still discounted. Person B says the offer had already expired, so “no.”"
1134,7,"Person A asks if their cat is hurt. Person B says it got wounded, confirming “yes.”"
1135,2,"Person A asks if they are all here. Person B says Mark is still missing, so not all are present."
1137,7,"Person A asks if they come from Asia. Person B says they are Chinese, which is in Asia."
1138,7,"Person A asks if they hung up. Person B says the line went dead, which indicates the call ended/hung up."
1139,5,"Person A asks if someone is taking care of their house. Person B says they have domestics, implying household help is provided."
1140,2,"Person A asks if that bar has been here for long. Person B says they have just opened, so it has not been long."
1141,6,"Person A asks if he owns many books. Person B says the house is full of history books, strongly implying many books."
1143,5,"Person A asks if there is a small gathering tonight. Person B says they have only few guests over for dinner, which supports a small gathering."
1144,2,"Person A asks if they have two weeks of holiday. Person B says they only have one week off work, so “no.”"
1145,7,"Person A asks if they are pregnant. Person B says they are going to have a baby, confirming pregnancy."
1147,2,"Person A asks if they have paid back their debts. Person B says they still owe the bank money, so not paid back."
1148,2,"Person A asks if he drank a cocktail tonight. Person B says he only had water, so “no.”"
1149,2,"Person A asks if they have a vegetable garden. Person B says they own an orchard, which does not confirm a vegetable garden."
1150,2,"Person A asks if their son is underage. Person B says he is 25 years old, so “no.”"
1151,2,"Person A asks if Harvard University is affordable. Person B says tuition is extremely expensive, so “no.”"
1152,7,"Person A asks if she has paid us yet. Person B says she made a bank transfer moments ago, indicating payment has occurred."
1153,2,"Person A asks if the kids are good at swimming. Person B says they cannot swim yet, so “no.”"
1154,2,"Person A asks if they still have a cold. Person B says they are healthy again, so “no.”"
1155,7,"Person A asks if it is forbidden to approach this area. Person B says people are not allowed to get closer, confirming restriction."
1156,5,"Person A asks if someone took care of the plants. Person B says they watered them regularly, which indicates they did take care."
1157,2,"Person A asks if the artist was still alive in the 80s. Person B says he was already dead by then, so “no.”"
1158,6,"Person A asks if the lake is frozen. Person B says the ice layer is quite thick, strongly implying it is frozen."
1159,2,"Person A asks if they are attending the beginners' class. Person B says they are in the advanced course, so not beginners."
1160,7,"Person A asks if they have sought medical advice. Person B says they have seen a doctor, confirming medical advice."
1161,2,"Person A asks if they stayed home last night. Person B says they went out with friends, so “no.”"
1162,5,"Person A asks if there was an election recently. Person B says they voted yesterday, which implies an election occurred, though it doesn’t explicitly say “election”."
1163,7,"Person A asks if the car is completely clean. Person B says it is spotless, confirming “yes.”"
1164,2,"Person A asks if they answered all questions. Person B says they submitted a blank sheet, indicating they did not answer."
1165,2,"Person A asks if she is out on the tennis field. Person B says she just got into the changing room, so she is not out on the field."
1166,6,"Person A asks if he got the money back. Person B says he was compensated, which strongly suggests he received money back."
1167,2,"Person A asks if anyone answered the house sale ad. Person B says no one has responded, so “no.”"
1168,2,"Person A asks if he is a musician. Person B says he does not play any instrument, so “no.”"
1169,7,"Person A asks if he has travelled in Asia. Person B says he has been in Japan for several months, confirming travel in Asia."
1170,5,"Person A asks if their goal is the summit. Person B says they are aiming for the mountain top, which is essentially the summit."
1171,7,"Person A asks if the customer got his package. Person B says the customer received it, confirming “yes.”"
1173,2,"Person A asks if she attended the whole singing course. Person B says she skipped the last four lessons, so “no.”"
1174,5,"Person A asks if the screen has a bad image. Person B says the monitor resolution is really poor, indicating a bad image."
1175,7,"Person A asks if she has completed her medical studies. Person B says she graduated from medical school last year, confirming completion."
1176,2,"Person A asks if it is a public building. Person B says it is a private property, so “no.”"
1201,2,"Person A asks if they are still good friends with Martin. Person B says they have not seen him for ages, which suggests they are not currently close."
1202,7,"Person A asks if they are looking for a job. Person B says they are sending out an application, confirming job seeking."
1203,7,"Person A asks if they know Lukas. Person B says they train with him at the gym, indicating they know him."
1204,2,"Person A asks if this is his property now. Person B talks about his grandfather passing away, which is unrelated to property ownership."
1205,6,"Person A asks if it takes long to drive to Paris. Person B says it is about 1000 km away, which implies a long drive."
1206,6,"Person A asks if Munich is far from here. Person B says it is a six hour drive, indicating it is far."
1207,2,"Person A asks if they will be home by noon. Person B says the train has some delay, which makes arriving by noon unlikely."
1208,2,"Person A asks if they have bought cereal. Person B says there is still some left, which does not confirm buying cereal."
1209,2,"Person A asks if they have started writing their essay. Person B says it is not due for three months, which is about deadline, not starting."
1210,7,"Person A asks if we will be late to the cinema. Person B says streets are always congested, implying likely delay/late arrival."
1211,2,"Person A asks if Megan is coming to the steak house. Person B says she is vegetarian, which suggests she likely will not go to a steak house."
1212,7,"Person A asks if John is staying home. Person B says he has the flu, which strongly implies he is staying home."
1213,7,"Person A asks if Sonya registered for the marathon. Person B says she runs for hours every day, which supports running but not explicitly registration; still likely “yes” to marathon participation."
1214,2,"Person A asks if Clara had breakfast already. Person B says she just woke up, so she likely hasn’t had breakfast yet."
1215,2,"Person A asks if they have seen that movie. Person B says it comes out next week, so they have not seen it yet."
1216,5,"Person A asks if they know how to use a drill. Person B says they have used one before, suggesting they do know."
1217,2,"Person A asks if they have failed the exam. Person B says they are celebrating tonight, which contradicts failing."
1218,2,"Person A asks if they are breaking up with him. Person B says they are moving out tomorrow, which is not necessarily a breakup; ambiguous but not a clear “yes.”"
1219,2,"Person A asks if he was fired. Person B says he was always falling behind, which could be performance issues but does not explicitly say fired; likely “no” to being fired."
1220,6,"Person A asks if there are big waves here. Person B says the region is famous for surfing, which implies waves but not explicitly big; somewhat likely yes."
1221,2,"Person A asks if the sea is safe to swim here. Person B says it is quite rough, implying it is not safe."
1222,2,"Person A asks if they make a lot of money. Person B says their job is at an NGO, which does not confirm high income; likely “no.”"
1223,7,"Person A asks if he is famous. Person B says he authored many successful books, indicating fame."
1224,2,"Person A asks if they presented their data at the meeting. Person B says they are still analyzing it, so they have not presented yet."
1225,2,"Person A asks if it is legal to hunt pandas. Person B says pandas are endangered, which strongly implies it is not legal."
1226,2,"Person A asks if they have lost some weight. Person B says they enrolled at the gym, which is not evidence of weight loss yet."
1227,2,"Person A asks if they have graduated. Person B says their thesis is not complete yet, so not graduated."
1228,5,"Person A asks if they got their hair cut. Person B says their hair was way too long, which suggests they may need a cut but does not explicitly say they got it cut; somewhat ambiguous."
1229,2,"Person A asks if they had time for sightseeing. Person B says it was a business trip, which suggests limited time for sightseeing; likely “no.”"
1230,2,"Person A asks if they bought that one-room flat. Person B says they need a larger one, contradicting that they bought it."
1231,2,"Person A asks if she is stressed about the project. Person B says the deadline is tomorrow, which could cause stress but does not explicitly confirm she is stressed; ambiguous but leaning “no.”"
1232,6,"Person A asks if they are tired. Person B says they slept only four hours, which strongly indicates tiredness."
1233,2,"Person A asks if he booked the flight. Person B says the offer had already expired, which does not confirm booking; likely “no.”"
1234,7,"Person A asks if they are bringing their cat to the vet. Person B says it got wounded, which strongly implies vet care."
1235,2,"Person A asks if we are ready to go. Person B says Mark is still missing, so not ready."
1237,2,"Person A asks if they can cook Cantonese rice. Person B says they are Chinese, which does not answer cooking ability; irrelevant/ambiguous."
1238,7,"Person A asks if they told him about that issue. Person B says the line went dead, which indicates they couldn’t communicate; not a “yes.”"
1239,5,"Person A asks if their house is always tidy. Person B says they have domestics, which suggests tidiness but does not directly state the house is tidy; somewhat likely yes."
1240,2,"Person A asks if they have tried that bar yet. Person B says they have just opened, which doesn’t confirm trying; likely “no.”"
1241,6,"Person A asks if he has a passion for history. Person B says his house is full of history books, indicating strong interest."
1243,2,"Person A asks if the saucepan is big enough. Person B talks about having only few guests over for dinner, which is unrelated to saucepan size; ambiguous/irrelevant."
1244,2,"Person A asks if they will take a two-week trip. Person B says they only have one week off work, so “no.”"
1245,2,"Person A asks if they are avoiding drinking alcohol. Person B says they are going to have a baby, which does not directly address alcohol avoidance; ambiguous but not “yes.”"
1247,2,"Person A asks if they did you get a new loan. Person B says they still owe the bank money, which does not confirm a new loan; likely “no.”"
1248,2,"Person A asks if he is drunk. Person B says he only had water, so “no.”"
1249,5,"Person A asks if they buy fruit in the supermarket. Person B says they own an orchard, which suggests they may not need to buy supermarket fruit; somewhat likely “no.”"
1250,2,"Person A asks if their son is at elementary school. Person B says he is 25 years old, so “no.”"
1251,2,"Person A asks if Harvard University is an option for you. Person B says tuition is extremely expensive, implying it is not a feasible option; likely “no.”"
1252,7,"Person A asks if she accepted our deal. Person B says she made a bank transfer moments ago, which strongly indicates acceptance/payment."
1253,2,"Person A asks if the kids went to the swimming pool. Person B says they cannot swim yet, which implies they likely did not go; “no.”"
1254,2,"Person A asks if they are still taking these pills. Person B says they are healthy again, suggesting they are not still taking them; likely “no.”"
1255,2,"Person A asks if this area is contaminated. Person B says people are not allowed to get closer, which could indicate contamination, but it’s not explicit; ambiguous but leaning “no” to contamination claim."
1256,7,"Person A asks if the plants are still alive. Person B says they watered them regularly, which supports that they are alive."
1257,2,"Person A asks if the artwork was created by him in 1981. Person B says he was already dead by then, so “no.”"
1258,6,"Person A asks if it is ice skating season. Person B says the ice layer is quite thick, which suggests conditions for skating; likely yes."
1259,2,"Person A asks if they are a beginner. Person B says they are in the advanced course, so “no.”"
1260,5,"Person A asks if they have been sick. Person B says they have seen a doctor, which implies illness but doesn’t guarantee they were sick; somewhat likely yes."
1261,2,"Person A asks if they went to bed early last night. Person B says they went out with friends, which suggests they did not go to bed early; likely “no.”"
1262,7,"Person A asks if members can elect a representative. Person B says they voted yesterday, which indicates election/selection occurred; “yes.”"
1263,7,"Person A asks if the car is back from the car wash. Person B says it is spotless, strongly implying it has been washed and returned."
1264,2,"Person A asks if they have written a good exam. Person B says they submitted a blank sheet, so “no.”"
1265,2,"Person A asks if she is dressed for the tennis game. Person B says she just got into the changing room, so she is not yet dressed; likely “no.”"
1266,6,"Person A asks if he settled the lawsuit. Person B says he was compensated, which suggests settlement; likely yes."
1267,2,"Person A asks if they have sold that house. Person B says no one has responded, indicating it is not sold; “no.”"
1268,2,"Person A asks if he is part of the marching band. Person B says he does not play any instrument, so “no.”"
1269,7,"Person A asks if he has ever tried sushi. Person B says he has been in Japan for several months, which doesn’t directly confirm trying sushi; ambiguous but somewhat likely yes."
1270,5,"Person A asks if their whole way is going uphill. Person B says they are aiming for the mountain top, which relates to destination rather than uphill travel; somewhat ambiguous but leaning yes to “mountain top” goal."
1271,7,"Person A asks if the package was shipped to the customer. Person B says the customer received it, which implies it was shipped and delivered; “yes.”"
1273,2,"Person A asks if she is very dedicated to that singing course. Person B says she skipped the last four lessons, indicating not very dedicated; “no.”"
1274,5,"Person A asks if their eyes get strained sometimes. Person B says the monitor resolution is really poor, which could cause strain; somewhat likely yes but not explicit."
1275,7,"Person A asks if she is a medical doctor. Person B says she graduated from medical school last year, which supports being a doctor."
1276,2,"Person A asks if they have ever been inside that building. Person B says it is a private property, which does not answer whether they have been inside; ambiguous/irrelevant."
2101,5,"Person A asks if they have to study for the test. Person B says they need to revise some topics, which implies studying is required; somewhat likely yes."
2102,5,"Person A asks if anything came out in the cinemas recently. Person B says there is an interesting new movie, which suggests yes, though not explicitly “came out.”"
2103,5,"Person A asks if it is cold in your village. Person B says it is quite chilly, which indicates cold; somewhat likely yes."
2105,5,"Person A asks if they know anything about this novel. Person B says they have heard good things about that book, which indicates some knowledge; somewhat likely yes."
2106,5,"Person A asks if they got injured at yoga class. Person B says they pulled a muscle last time, which suggests injury occurred; somewhat likely yes."
2107,7,"Person A asks if they have lost their phone. Person B says they cannot find my phone, confirming loss."
2108,7,"Person A asks if it is cold outside. Person B says it is minus 20 degrees, clearly “yes.”"
2109,5,"Person A asks if they are in a religious building. Person B says they just entered a church, which is religious; somewhat likely yes."
2110,5,"Person A asks if workouts are usually difficult. Person B says they are training very hard, implying difficulty; somewhat likely yes."
2113,5,"Person A asks if they were working today. Person B says they have been working on an exhausting task, which indicates yes."
2114,2,"Person A asks if they have swimming gear with them. Person B says they did not bring their bikini, so likely no."
2115,2,"Person A asks if they are free at the moment. Person B says they do not have time, so “no.”"
2116,2,"Person A asks if they watched Titanic yesterday. Person B says they watched it last month, so “no.”"
2117,2,"Person A asks if they are eating more than usual. Person B says they are on a diet, implying not eating more; “no.”"
2118,2,"Person A asks if they practise Hinduism. Person B says they are actually a Muslim, so “no.”"
2119,5,"Person A asks if they are feeling ok. Person B says their head is spinning after beers, indicating not ok; somewhat likely no."
2120,2,"Person A asks if they are feeling energetic today. Person B says they are very tired, so “no.”"
2121,2,"Person A asks if they have any money saved up. Person B says they are broke at the moment, so “no.”"
2122,5,"Person A asks if it is their first experience with a chain saw. Person B says they have used one already in the past, implying not first; somewhat likely no."
2123,2,"Person A asks if it is morning in Los Angeles. Person B says it is 11 p.m., so not morning; “no.”"
2124,2,"Person A asks if they are feeling good. Person B says they have a hangover, so “no.”"
2125,2,"Person A asks if they are free of any chronic disease. Person B says they are diabetic, so “no.”"
2127,2,"Person A asks if they feel well on boats. Person B says they usually get seasick, so “no.”"
2128,2,"Person A asks if their teeth are still hurting. Person B says the toothache is gone, so “no.”"
2129,5,"Person A asks if there are many stations on your way. Person B says they have several bus stops, which suggests multiple stops; somewhat likely yes."
2130,2,"Person A asks if they are allowed to staple their documents. Person B says they should not staple them, so “no.”"
2131,5,"Person A asks if luggage weighs much. Person B says it is very light, implying not much; somewhat likely no."
2132,7,"Person A asks if we need to wake up early tomorrow. Person B says they have to get up at 5 am, confirming early wake-up."
2134,2,"Person A asks if Spanish is their mother tongue. Person B says French is their native language, so “no.”"
2135,7,"Person A asks if the remote is still unusable. Person B says it does not work, confirming unusable."
2136,7,"Person A asks if there are wild animals in this region. Person B says wolves are very common here, confirming yes."
2137,2,"Person A asks if there are trees in your garden. Person B says they only have cacti, so “no.”"
2138,7,"Person A asks if the passport is necessary for taking the plane. Person B says they need it for travelling, confirming yes."
2139,2,"Person A asks if they brought some pie for lunch. Person B says they have got a sandwich, so “no.”"
2140,5,"Person A asks if the kids are about to leave. Person B says they have to go out soon, which indicates they are about to leave; somewhat likely yes."
2141,7,"Person A asks if they are already hungry. Person B says they are starving right now, confirming hunger."
2144,7,"Person A asks if they often consume hot drinks. Person B says they drink tea all the time, confirming yes."
2145,2,"Person A asks if the room is very bright. Person B says there is too much light in here, which actually confirms it is very bright; so “yes.”"
2146,2,"Person A asks if they will stay in town till Friday. Person B says they will be abroad then, so “no.”"
2147,7,"Person A asks if they are eating something. Person B says they are having a soup, confirming yes."
2148,7,"Person A asks if it is raining already. Person B says it just started pouring, confirming rain."
2149,2,"Person A asks if they consume alcohol. Person B says they do not drink, so “no.”"
2150,2,"Person A asks if everything was taken away from the flat. Person B says there is a dishwasher in the kitchen, so not everything was taken away."
2151,2,"Person A asks if they still have tennis equipment. Person B says they gave away their racket ages ago, so “no.”"
2152,2,"Person A asks if they consume all types of food. Person B says they do not eat spicy dishes, so “no.”"
2153,7,"Person A asks if they are neighbours. Person B says they live right next to you, confirming yes."
2155,5,"Person A asks if they are still confused about it. Person B says they understand everything now, indicating not confused; somewhat likely no."
2156,7,"Person A asks if they feel pain in their upper body. Person B says their chest hurts a lot, confirming pain."
2157,2,"Person A asks if it is winter there. Person B says they are in the middle of summer, so “no.”"
2159,7,"Person A asks if they got hurt. Person B says they cut their finger while cooking, confirming injury."
2160,5,"Person A asks if the living room is dirty. Person B says there is dust all over the floor, indicating dirt; somewhat likely yes."
2161,5,"Person A asks if they left their toothpaste at home. Person B says they brought theirs, so likely “no,” though it’s a direct contradiction."
2162,7,"Person A asks if their lips got damaged with this wind. Person B says their lips are all chapped, confirming damage."
2163,5,"Person A asks if they are doing the afternoon shift tomorrow. Person B says they are working early tomorrow morning, so likely “no.”"
2164,2,"Person A asks if they are going to have dinner at home. Person B says they plan to eat at a restaurant, so “no.”"
2165,7,"Person A asks if the hedges are taller than last time. Person B says they have grown a lot recently, confirming yes."
2166,7,"Person A asks if they have finished cooking. Person B says lunch is now ready, indicating cooking is done."
2167,7,"Person A asks if they have difficult homework. Person B says their math exercise is very complicated, confirming difficulty."
2168,2,"Person A asks if they have decided on a destination. Person B says they are not sure where to go yet, so “no.”"
2169,5,"Person A asks if they smoke cigarettes. Person B says they smoke cigars only, so likely “no” to cigarettes; somewhat likely no."
2170,2,"Person A asks if they are writing on paper. Person B says they usually type on a laptop, so “no.”"
2171,2,"Person A asks if the kitchen is still incomplete. Person B says the new stove was not delivered yet, which suggests incompleteness; likely yes."
2172,7,"Person A asks if car theft occurs often. Person B says cars get stolen regularly here, confirming yes."
2173,2,"Person A asks if they still have room in their wardrobe. Person B says it is completely full, so “no.”"
2174,7,"Person A asks if there is a lot of laundry to wash. Person B says dirty laundry is piling up, confirming yes."
