id,score
1101,0.02
1102,0.98
1103,0.95
1104,0.98
1105,0.9
1106,0.9
1107,0.3
1108,0.05
1109,0.02
1110,0.98
1111,0.01
1112,0.98
1113,0.99
1114,0.05
1115,0.02
1116,0.98
1117,0.02
1118,0.95
1119,0.9
1120,0.95
1121,0.02
1122,0.02
1123,0.98
1124,0.05
1125,0.85
1126,0.98
1127,0.01
1128,0.97
1129,0.15
1130,0.02
1131,0.95
1132,0.98
1133,0.02
1134,0.98
1135,0.02
1137,0.99
1138,0.2
1139,0.98
1140,0.02
1141,0.98
1143,0.92
1144,0.02
1145,0.99
1147,0.02
1148,0.01
1149,0.2
1150,0.01
1151,0.05
1152,0.99
1153,0.01
1154,0.01
1155,0.99
1156,0.98
1157,0.01
1158,0.99
1159,0.02
1160,0.98
1161,0.01
1162,0.99
1163,0.99
1164,0.01
1165,0.1
1166,0.98
1167,0.01
1168,0.01
1169,0.98
1170,0.99
1171,0.99
1173,0.1
1174,0.98
1175,0.99
1176,0.01
2101,0.98
2102,0.98
2103,0.98
2105,0.98
2106,0.98
2107,0.99
2108,0.99
2109,0.99
2110,0.95
2113,0.98
2114,0.02
2115,0.01
2116,0.02
2117,0.05
2118,0.01
2119,0.1
2120,0.01
2121,0.01
2122,0.02
2123,0.01
2124,0.01
2125,0.01
2127,0.01
2128,0.01
2129,0.98
2130,0.01
2131,0.02
2132,0.99
2134,0.01
2135,0.01
2136,0.99
2137,0.01
2138,0.99
2139,0.02
2140,0.98
2141,0.99
2144,0.99
2145,0.99
2146,0.01
2147,0.99
2148,0.99
2149,0.01
2150,0.02
2151,0.01
2152,0.2
2153,0.99
2155,0.01
2156,0.99
2157,0.01
2159,0.99
2160,0.99
2161,0.01
2162,0.99
2163,0.02
2164,0.01
2165,0.99
2166,0.99
2167,0.98
2168,0.01
2169,0.15
2170,0.01
2171,0.98
2172,0.99
2173,0.01
2174,0.99
2175,0.95
1201,0.15
1202,0.98
1203,0.99
1204,0.5
1205,0.9
1206,0.9
1207,0.3
1208,0.2
1209,0.5
1210,0.9
1211,0.3
1212,0.7
1213,0.6
1214,0.05
1215,0.01
1216,0.98
1217,0.02
1218,0.8
1219,0.7
1220,0.85
1221,0.02
1222,0.3
1223,0.95
1224,0.01
1225,0.75
1226,0.6
1227,0.01
1228,0.6
1229,0.2
1230,0.01
1231,0.95
1232,0.98
1233,0.2
1234,0.8
1235,0.01
1237,0.6
1238,0.2
1239,0.8
1240,0.02
1241,0.98
1243,0.3
1244,0.01
1245,0.95
1247,0.2
1248,0.05
1249,0.6
1250,0.01
1251,0.2
1252,0.99
1253,0.01
1254,0.01
1255,0.8
1256,0.9
1257,0.01
1258,0.95
1259,0.01
1260,0.7
1261,0.01
1262,0.99
1263,0.99
1264,0.01
1265,0.2
1266,0.98
1267,0.01
1268,0.01
1269,0.8
1270,0.7
1271,0.99
1273,0.01
1274,0.6
1275,0.98
1276,0.1
2201,0.9
2202,0.9
2203,0.95
2205,0.7
2206,0.8
2207,0.95
2208,0.99
2209,0.9
2210,0.7
2213,0.2
2214,0.2
2215,0.01
2216,0.2
2217,0.05
2218,0.02
2219,0.01
2220,0.05
2221,0.05
2222,0.02
2223,0.01
2224,0.1
2225,0.05
2227,0.05
2228,0.01
2229,0.3
2230,0.01
2231,0.01
2232,0.95
2234,0.01
2235,0.8
2236,0.95
2237,0.2
2238,0.99
2239,0.1
2240,0.9
2241,0.99
2244,0.7
2245,0.98
2246,0.01
2247,0.8
2248,0.99
2249,0.01
2250,0.2
2251,0.01
2252,0.05
2253,0.01
2255,0.01
2256,0.95
2257,0.01
2259,0.95
2260,0.98
2261,0.01
2262,0.98
2263,0.05
2264,0.01
2265,0.95
2266,0.95
2267,0.7
2268,0.01
2269,0.05
2270,0.01
2271,0.9
2272,0.95
2273,0.01
2274,0.98
2275,0.8
