id,rationale,score,run_id
1101,"Person B says they have not seen Martin for ages, which directly implies they have not met him lately.",1,20260824T093740Z_5937923c
1102,"Person B states they are sending out an application, which is something they are doing right now.",7,20260824T093740Z_5937923c
1103,Training with Lukas at the gym supports that they usually exercise with him.,7,20260824T093740Z_5937923c
1104,A grandfather passing away confirms there was a death in his family.,7,20260824T093740Z_5937923c
1105,"About 1000 km away generally indicates that Paris is far, so this supports yes.",6,20260824T093740Z_5937923c
1106,"A six-hour drive is typically considered long, so the answer supports yes.",6,20260824T093740Z_5937923c
1107,A train delay indicates the journey is not going as planned.,1,20260824T093740Z_5937923c
1108,"If there is still some cereal left, they have not finished it.",1,20260824T093740Z_5937923c
1109,Not being due for three months means the deadline is not next week.,1,20260824T093740Z_5937923c
1110,Streets always congested with cars strongly implies there is usually a lot of traffic.,7,20260824T093740Z_5937923c
1111,Being vegetarian implies Megan does not eat meat.,1,20260824T093740Z_5937923c
1112,Having the flu means John is sick today.,7,20260824T093740Z_5937923c
1113,Running for hours every day supports that Sonya trains daily.,7,20260824T093740Z_5937923c
1114,"If she just woke up, she is no longer sleeping.",1,20260824T093740Z_5937923c
1115,"If the movie comes out next week, it is not being released today.",1,20260824T093740Z_5937923c
1116,Having used a drill before answers yes to having worked with a drill.,7,20260824T093740Z_5937923c
1117,Celebrating tonight implies the party is not tomorrow.,1,20260824T093740Z_5937923c
1118,Moving out tomorrow confirms they are leaving the flat soon.,7,20260824T093740Z_5937923c
1119,Always falling behind supports the idea that he is a slacker.,6,20260824T093740Z_5937923c
1120,Being famous for surfing confirms the area is popular for something.,7,20260824T093740Z_5937923c
1121,"If the sea is quite rough, it is not calm.",1,20260824T093740Z_5937923c
1122,Working at an NGO means not working for a corporate company.,1,20260824T093740Z_5937923c
1123,Authoring many successful books strongly implies he is a writer.,7,20260824T093740Z_5937923c
1124,Still analyzing the data means they are not finished working on it.,1,20260824T093740Z_5937923c
1125,Being an endangered species suggests there are not many pandas left.,2,20260824T093740Z_5937923c
1126,Enrolling at the gym confirms joining a fitness studio.,7,20260824T093740Z_5937923c
1127,The thesis not being complete yet means it has not been finished.,1,20260824T093740Z_5937923c
1128,Saying the hair was way too long suggests they used to have long hair.,6,20260824T093740Z_5937923c
1129,"If it was a business trip, it was not a vacation.",1,20260824T093740Z_5937923c
1130,Needing a larger flat means a one-room flat is not enough.,1,20260824T093740Z_5937923c
1131,A deadline tomorrow implies she has to hand it in soon.,7,20260824T093740Z_5937923c
1132,Sleeping only four hours supports having had a short night.,7,20260824T093740Z_5937923c
1133,"If the offer had expired, the flight was no longer discounted.",1,20260824T093740Z_5937923c
1134,Getting wounded confirms the cat is hurt.,7,20260824T093740Z_5937923c
1135,Mark still missing means not everyone is here.,1,20260824T093740Z_5937923c
1137,Being Chinese supports coming from Asia.,7,20260824T093740Z_5937923c
1138,"The line going dead suggests the call ended, but it does not clearly state who hung up, so it is somewhat likely yes.",5,20260824T093740Z_5937923c
1139,Having domestics implies someone is taking care of their house.,7,20260824T093740Z_5937923c
1140,"If they just opened, the bar has not been there for long.",1,20260824T093740Z_5937923c
1141,A house full of history books supports owning many books.,7,20260824T093740Z_5937923c
1143,Only a few guests over for dinner supports that there is a small gathering.,7,20260824T093740Z_5937923c
1144,Having only one week off means they do not have two weeks of holiday.,1,20260824T093740Z_5937923c
1145,Going to have a baby strongly implies being pregnant.,7,20260824T093740Z_5937923c
1147,Still owing the bank money means debts have not been fully paid back.,1,20260824T093740Z_5937923c
1148,"If he only had water, he did not drink a cocktail.",1,20260824T093740Z_5937923c
1149,"Owning an orchard does not confirm a vegetable garden and may suggest otherwise, but it is not fully decisive.",3,20260824T093740Z_5937923c
1150,A 25-year-old son is not underage.,1,20260824T093740Z_5937923c
1151,Extremely expensive tuition means Harvard is not affordable.,1,20260824T093740Z_5937923c
1152,Making a bank transfer a few moments ago supports that she has paid.,7,20260824T093740Z_5937923c
1153,"If they cannot swim yet, they are not good at swimming.",1,20260824T093740Z_5937923c
1154,Being healthy again means the cold is gone.,1,20260824T093740Z_5937923c
1155,People not being allowed to get closer confirms it is forbidden to approach.,7,20260824T093740Z_5937923c
1156,Watering the plants regularly shows someone took care of them.,7,20260824T093740Z_5937923c
1157,"If he was already dead by the 80s, he was not alive then.",1,20260824T093740Z_5937923c
1158,A thick ice layer supports that the lake is frozen.,7,20260824T093740Z_5937923c
