id,score,rationale,run_id
1101,1,"Person B explicitly states they have not seen Martin for a long time, which strongly implies a 'no' to meeting him lately.",20260824T093740Z_5937923c
1102,5,"Sending out an application implies active job-seeking behavior, which could be interpreted as 'yes' to being engaged in job-related activities right now.",20260824T093740Z_5937923c
1103,6,Training with Lukas at the gym strongly implies a 'yes' to exercising with him.,20260824T093740Z_5937923c
1104,7,The statement 'His grandfather passed away recently' is a clear 'yes' to a death in his family.,20260824T093740Z_5937923c
1105,7,"The distance of 1000 km confirms that Paris is very far from the current location, a clear 'yes'.",20260824T093740Z_5937923c
1106,7,"A six-hour drive strongly implies that Munich is far from the current location, a clear 'yes'.",20260824T093740Z_5937923c
1107,2,"A delayed train implies the journey is not going as planned, which is a 'no' to the question.",20260824T093740Z_5937923c
1108,1,"'There is still some left' implies they have not finished the cereal, a clear 'no'.",20260824T093740Z_5937923c
1109,1,"The essay is not due for three months, which is a clear 'no' to it being due next week.",20260824T093740Z_5937923c
1110,7,'The streets are always congested with cars' is a clear 'yes' to there being a lot of traffic.,20260824T093740Z_5937923c
1111,1,"Megan being vegetarian implies she does not eat meat, a clear 'no'.",20260824T093740Z_5937923c
1112,7,"Having the flu strongly implies John is sick today, a clear 'yes'.",20260824T093740Z_5937923c
1113,7,"Running for hours every day strongly implies Sonya trains daily, a clear 'yes'.",20260824T093740Z_5937923c
1114,1,"Clara just waking up implies she was sleeping, a clear 'no' to still sleeping.",20260824T093740Z_5937923c
1115,1,"The movie coming out next week implies it is not being released today, a clear 'no'.",20260824T093740Z_5937923c
1116,6,"'I have used one before' strongly implies Person B has experience with a drill, a 'yes'.",20260824T093740Z_5937923c
1117,1,"Celebrating tonight implies the birthday party is not tomorrow, a clear 'no'.",20260824T093740Z_5937923c
1118,7,Moving out tomorrow is a clear 'yes' to leaving the flat soon.,20260824T093740Z_5937923c
1119,6,"'He was always falling behind' strongly implies he is a slacker, a 'yes'.",20260824T093740Z_5937923c
1120,7,"The region being famous for surfing implies it is popular for that, a clear 'yes'.",20260824T093740Z_5937923c
1121,1,"'It is quite rough' implies the sea is not calm, a clear 'no'.",20260824T093740Z_5937923c
1122,1,"Working at an NGO implies not working for a corporate company, a clear 'no'.",20260824T093740Z_5937923c
1123,7,"Authoring many successful books strongly implies he is a writer, a clear 'yes'.",20260824T093740Z_5937923c
1124,1,"Still analyzing data implies not finished working on it, a clear 'no'.",20260824T093740Z_5937923c
1125,1,"Pandas being endangered implies there are not many left, a 'no' to abundance.",20260824T093740Z_5937923c
1126,6,"Enrolling at the gym strongly implies joining a fitness studio, a 'yes'.",20260824T093740Z_5937923c
1127,1,'My thesis is not complete yet' is a clear 'no' to having finished writing it.,20260824T093740Z_5937923c
1128,7,"'My hair was way too long' implies they used to have long hair, a clear 'yes'.",20260824T093740Z_5937923c
1129,1,"It being a business trip implies not a vacation, a clear 'no'.",20260824T093740Z_5937923c
1130,1,"Needing a larger flat implies a one-room flat is not enough, a clear 'no'.",20260824T093740Z_5937923c
1131,7,"The deadline being tomorrow implies she has to hand in soon, a clear 'yes'.",20260824T093740Z_5937923c
1132,7,"Sleeping only four hours implies a short night, a clear 'yes'.",20260824T093740Z_5937923c
1133,1,"The offer having expired implies the flight was not discounted, a clear 'no'.",20260824T093740Z_5937923c
1134,7,"'It got wounded' implies the cat is hurt, a clear 'yes'.",20260824T093740Z_5937923c
1135,1,"Mark being missing implies not everyone is present, a clear 'no'.",20260824T093740Z_5937923c
1137,7,"Being Chinese strongly implies coming from Asia, a clear 'yes'.",20260824T093740Z_5937923c
1138,7,"'The line went dead' implies hanging up, a clear 'yes'.",20260824T093740Z_5937923c
1139,7,"Having domestics implies someone is taking care of their house, a clear 'yes'.",20260824T093740Z_5937923c
1140,1,"The bar having just opened implies it has not been there for long, a clear 'no'.",20260824T093740Z_5937923c
1141,7,"The house being full of history books implies owning many books, a clear 'yes'.",20260824T093740Z_5937923c
1143,1,"Having only a few guests implies it is not a large gathering, a clear 'no'.",20260824T093740Z_5937923c
1144,1,"Having only one week off implies not having two weeks, a clear 'no'.",20260824T093740Z_5937923c
1145,7,'I am going to have a baby' is a clear 'yes' to being pregnant.,20260824T093740Z_5937923c
1147,1,"Still owing money implies debts have not been paid back, a clear 'no'.",20260824T093740Z_5937923c
1148,1,"Only having water implies not drinking a cocktail, a clear 'no'.",20260824T093740Z_5937923c
1149,1,"Owning an orchard implies not having a vegetable garden, a clear 'no'.",20260824T093740Z_5937923c
1150,1,"Being 25 years old implies the son is not underage, a clear 'no'.",20260824T093740Z_5937923c
1151,1,"The tuition fee being expensive implies Harvard is not affordable, a clear 'no'.",20260824T093740Z_5937923c
1152,7,"Making a bank transfer implies she has paid, a clear 'yes'.",20260824T093740Z_5937923c
1153,1,"Not being able to swim implies they are not good at it, a clear 'no'.",20260824T093740Z_5937923c
1154,1,"Being healthy again implies not still having a cold, a clear 'no'.",20260824T093740Z_5937923c
1155,7,"People not being allowed to get closer implies it is forbidden, a clear 'yes'.",20260824T093740Z_5937923c
1156,7,"Watering the plants regularly implies someone is taking care of them, a clear 'yes'.",20260824T093740Z_5937923c
1157,1,"Being dead by then implies the artist was not alive in the 80s, a clear 'no'.",20260824T093740Z_5937923c
1158,7,"The ice layer being thick implies the lake is frozen, a clear 'yes'.",20260824T093740Z_5937923c
1159,1,"Being in the advanced course implies not a beginner, a clear 'no'.",20260824T093740Z_5937923c
1160,7,"Having seen a doctor implies seeking medical advice, a clear 'yes'.",20260824T093740Z_5937923c
1161,1,"Going out with friends implies not staying home, a clear 'no'.",20260824T093740Z_5937923c
1162,7,"Voting yesterday implies there was a recent election, a clear 'yes'.",20260824T093740Z_5937923c
1163,7,"The car being spotless implies it is clean, a clear 'yes'.",20260824T093740Z_5937923c
1164,1,"Submitting a blank sheet implies not answering all questions, a clear 'no'.",20260824T093740Z_5937923c
1165,1,"Getting into the changing room implies not being on the tennis field, a clear 'no'.",20260824T093740Z_5937923c
1166,7,"Being compensated implies getting the money back, a clear 'yes'.",20260824T093740Z_5937923c
1167,1,"No one responding implies the house has not been sold, a clear 'no'.",20260824T093740Z_5937923c
1168,1,"Not playing any instrument implies not being a musician, a clear 'no'.",20260824T093740Z_5937923c
1169,7,"Having been in Japan implies traveling in Asia, a clear 'yes'.",20260824T093740Z_5937923c
1170,7,"Aiming for the mountain top implies the summit is the goal, a clear 'yes'.",20260824T093740Z_5937923c
1171,7,"The customer receiving it implies the package was shipped, a clear 'yes'.",20260824T093740Z_5937923c
1173,1,"Skipping lessons implies not attending the whole course, a clear 'no'.",20260824T093740Z_5937923c
1174,7,"Poor resolution implies a bad image, a clear 'yes'.",20260824T093740Z_5937923c
1175,7,"Graduating from medical school implies completing medical studies, a clear 'yes'.",20260824T093740Z_5937923c
1176,1,"It being private property implies it is not public, a clear 'no'.",20260824T093740Z_5937923c
1201,1,"Not seeing Martin for ages implies they are no longer good friends, a clear 'no'.",20260824T093740Z_5937923c
1202,7,"Sending out an application implies looking for a job, a clear 'yes'.",20260824T093740Z_5937923c
1203,7,"Training with Lukas implies knowing him, a clear 'yes'.",20260824T093740Z_5937923c
1204,4,"The grandfather passing away does not directly answer if it is his property now, ambiguous.",20260824T093740Z_5937923c
1205,7,"1000 km implies it takes long to drive to Paris, a clear 'yes'.",20260824T093740Z_5937923c
1206,7,"A six-hour drive implies Munich is far, a clear 'yes'.",20260824T093740Z_5937923c
1207,1,"A delayed train implies not being home by noon, a clear 'no'.",20260824T093740Z_5937923c
1208,1,"There being some left implies not buying more cereal, a clear 'no'.",20260824T093740Z_5937923c
1209,1,"The essay not being due for three months implies not starting yet, a clear 'no'.",20260824T093740Z_5937923c
1210,7,"Congested streets imply being late to the cinema, a clear 'yes'.",20260824T093740Z_5937923c
1211,1,"Being vegetarian implies not coming to a steakhouse, a clear 'no'.",20260824T093740Z_5937923c
1212,7,"Having the flu implies staying home, a clear 'yes'.",20260824T093740Z_5937923c
1213,5,"Running for hours every day suggests a likelihood of registering for a marathon, somewhat 'yes'.",20260824T093740Z_5937923c
1214,1,"Just waking up implies not having breakfast yet, a clear 'no'.",20260824T093740Z_5937923c
1215,1,"The movie coming out next week implies not having seen it, a clear 'no'.",20260824T093740Z_5937923c
1216,7,"Using a drill before implies knowing how to use it, a clear 'yes'.",20260824T093740Z_5937923c
