id,score,rationale,run_id
1101,2,Not seeing for ages implies not meeting lately.,20260824T093740Z_5937923c
1102,6,Sending an application means doing something now.,20260824T093740Z_5937923c
1103,6,Training at the gym implies exercising with Lukas.,20260824T093740Z_5937923c
1104,7,Grandfather passing away confirms a death.,20260824T093740Z_5937923c
1105,5,1000km could be considered far.,20260824T093740Z_5937923c
1106,6,Six hour drive is long.,20260824T093740Z_5937923c
1107,2,Train delay means journey not going as planned.,20260824T093740Z_5937923c
1108,2,Still some left means not finished.,20260824T093740Z_5937923c
1109,1,Not due for three months contradicts next week.,20260824T093740Z_5937923c
1110,6,Always congested implies lots of traffic.,20260824T093740Z_5937923c
1111,1,Vegetarian means no meat.,20260824T093740Z_5937923c
1112,6,Having flu means sick.,20260824T093740Z_5937923c
1113,6,Runs for hours every day implies daily training.,20260824T093740Z_5937923c
1114,2,Just woke up means not still sleeping.,20260824T093740Z_5937923c
1115,1,Comes out next week contradicts today.,20260824T093740Z_5937923c
1116,6,Used one before means yes.,20260824T093740Z_5937923c
1117,2,Celebrating tonight means not tomorrow.,20260824T093740Z_5937923c
1118,6,Moving out tomorrow means leaving soon.,20260824T093740Z_5937923c
1119,6,Always falling behind implies slacker.,20260824T093740Z_5937923c
1120,6,Famous for surfing confirms popular for something.,20260824T093740Z_5937923c
1121,1,Quite rough means not calm.,20260824T093740Z_5937923c
1122,2,NGO is not corporate.,20260824T093740Z_5937923c
1123,7,Authored many books means writer.,20260824T093740Z_5937923c
1124,1,Still analyzing means not finished.,20260824T093740Z_5937923c
1125,6,Endangered implies not many left.,20260824T093740Z_5937923c
1126,6,Enrolled at gym means joined fitness studio.,20260824T093740Z_5937923c
1127,1,Not complete means not finished.,20260824T093740Z_5937923c
1128,6,Too long implies used to have long hair.,20260824T093740Z_5937923c
1129,1,Business trip not vacation.,20260824T093740Z_5937923c
1130,1,Needs larger means one room not enough.,20260824T093740Z_5937923c
1131,6,Deadline tomorrow means hand in soon.,20260824T093740Z_5937923c
1132,6,Only four hours means short night.,20260824T093740Z_5937923c
1133,1,Offer expired means not discounted.,20260824T093740Z_5937923c
1134,6,Got wounded means hurt.,20260824T093740Z_5937923c
1135,1,Mark missing means not all here.,20260824T093740Z_5937923c
1137,6,Chinese means from Asia.,20260824T093740Z_5937923c
1138,4,Line went dead is ambiguous about hanging up.,20260824T093740Z_5937923c
1139,6,Having domestics means someone takes care.,20260824T093740Z_5937923c
1140,1,Just opened means not here for long.,20260824T093740Z_5937923c
1141,6,House full of books means owns many.,20260824T093740Z_5937923c
1143,6,Only few guests means small gathering.,20260824T093740Z_5937923c
1144,1,Only one week means not two.,20260824T093740Z_5937923c
1145,7,Going to have baby means pregnant.,20260824T093740Z_5937923c
1147,1,Still owe money means not paid back.,20260824T093740Z_5937923c
1148,1,Only had water means no cocktail.,20260824T093740Z_5937923c
1149,4,"Orchard is fruit trees, not vegetable garden.",20260824T093740Z_5937923c
1150,1,25 years old means not underage.,20260824T093740Z_5937923c
1151,1,Extremely expensive means not affordable.,20260824T093740Z_5937923c
1152,6,Bank transfer means paid.,20260824T093740Z_5937923c
1153,1,Cannot swim means not good.,20260824T093740Z_5937923c
1154,1,Healthy again means no cold.,20260824T093740Z_5937923c
1155,6,Not allowed closer means forbidden.,20260824T093740Z_5937923c
1156,6,Watered regularly means took care.,20260824T093740Z_5937923c
1157,1,Already dead means not alive in 80s.,20260824T093740Z_5937923c
1158,6,Thick ice implies frozen.,20260824T093740Z_5937923c
1159,1,Advanced course not beginners.,20260824T093740Z_5937923c
1160,6,Seen a doctor means sought advice.,20260824T093740Z_5937923c
1161,1,Went out means not stayed home.,20260824T093740Z_5937923c
1162,6,Voted yesterday means election happened.,20260824T093740Z_5937923c
1163,7,Spotless means completely clean.,20260824T093740Z_5937923c
1164,1,Blank sheet means didn't answer.,20260824T093740Z_5937923c
1165,2,In changing room means not on field.,20260824T093740Z_5937923c
1166,6,Compensated implies got money back.,20260824T093740Z_5937923c
1167,1,No one responded means no answer.,20260824T093740Z_5937923c
1168,1,Plays no instrument means not musician.,20260824T093740Z_5937923c
1169,6,Japan is in Asia.,20260824T093740Z_5937923c
1170,7,Mountain top is summit.,20260824T093740Z_5937923c
1171,7,Received it means got package.,20260824T093740Z_5937923c
1173,1,Skipped lessons means didn't attend whole.,20260824T093740Z_5937923c
1174,6,Poor resolution means bad image.,20260824T093740Z_5937923c
1175,6,Graduated medical school means completed.,20260824T093740Z_5937923c
1176,1,Private property means not public.,20260824T093740Z_5937923c
1201,2,Not seen for ages suggests not still good friends.,20260824T093740Z_5937923c
1202,6,Sending application means looking for job.,20260824T093740Z_5937923c
1203,6,Training with him means knows Lukas.,20260824T093740Z_5937923c
1204,5,Grandfather passing may imply inheritance but indirect.,20260824T093740Z_5937923c
1205,6,1000km implies long drive.,20260824T093740Z_5937923c
1206,6,Six hour drive means far.,20260824T093740Z_5937923c
1207,2,Train delay suggests not home by noon.,20260824T093740Z_5937923c
1208,6,Some left implies bought cereal.,20260824T093740Z_5937923c
1209,2,Not due for months implies not started.,20260824T093740Z_5937923c
1210,5,Congested streets suggest possibly late.,20260824T093740Z_5937923c
1211,1,Vegetarian implies not coming to steakhouse.,20260824T093740Z_5937923c
1212,6,Flu implies staying home.,20260824T093740Z_5937923c
1213,5,Runs a lot suggests possibly registered.,20260824T093740Z_5937923c
1214,1,Just woke up means no breakfast yet.,20260824T093740Z_5937923c
1215,1,Comes out next week means not seen.,20260824T093740Z_5937923c
1216,6,Used one before means knows how.,20260824T093740Z_5937923c
1217,2,Celebrating suggests didn't fail.,20260824T093740Z_5937923c
1218,5,Moving out suggests breaking up but indirect.,20260824T093740Z_5937923c
1219,5,Falling behind suggests possibly fired.,20260824T093740Z_5937923c
1220,6,Famous for surfing means big waves.,20260824T093740Z_5937923c
1221,1,Rough sea means not safe.,20260824T093740Z_5937923c
1222,2,NGO suggests not much money.,20260824T093740Z_5937923c
1223,6,Successful books implies famous.,20260824T093740Z_5937923c
1224,1,Still analyzing means didn't present.,20260824T093740Z_5937923c
1225,1,Endangered implies illegal to hunt.,20260824T093740Z_5937923c
1226,5,Enrolled gym suggests maybe lost weight.,20260824T093740Z_5937923c
1227,1,Thesis not complete means not graduated.,20260824T093740Z_5937923c
1228,4,Was too long is ambiguous about getting cut.,20260824T093740Z_5937923c
1229,1,Business trip means no sightseeing.,20260824T093740Z_5937923c
1230,1,Needs larger means didn't buy.,20260824T093740Z_5937923c
