id,score,rationale
1101,2,Not seeing Martin for ages strongly implies the answer is no to having met him lately.
1102,2,"Sending out an application suggests job searching, not doing something else right now, so it is likely no."
1103,7,Training with him at the gym directly answers yes to usually exercising with Lukas.
1104,7,Saying his grandfather passed away recently clearly indicates a death in the family.
1105,7,Saying Paris is about 1000 km away directly answers that it is very far.
1106,7,A six hour drive clearly means it takes long to get to Munich.
1107,2,"A train delay suggests the journey is not going as planned, so likely no."
1108,2,"If there is still some cereal left, they have not finished it."
1109,1,"If it is not due for three months, the deadline is definitely not next week."
1110,7,Always congested with cars directly supports that there is usually a lot of traffic.
1111,7,Being vegetarian means she does not eat meat.
1112,7,Having the flu clearly means John is sick.
1113,7,Running for hours every day strongly indicates daily training.
1114,1,"If she just woke up, she is not still sleeping."
1115,2,"If it comes out next week, it is not being released today."
1116,7,Having used one before directly answers yes to ever working with a drill.
1117,2,"Celebrating tonight suggests the party is tonight, not tomorrow."
1118,7,Moving out tomorrow means leaving the flat soon.
1119,6,"Always falling behind strongly suggests he is a slacker, though it is slightly inferential rather than explicit."
1120,7,Being famous for surfing directly answers that the area is popular for something.
1121,1,Quite rough is the opposite of calm.
1122,2,Working at an NGO indicates not working for a corporate company.
1123,7,Authoring many successful books directly indicates he is a writer.
1124,2,Still analyzing it means the data work is not finished.
1125,5,"An endangered species implies there are few left, so yes, but it is not a direct count."
1126,7,Enrolled at the gym clearly means they joined a fitness studio.
1127,1,"If the thesis is not complete yet, it has not been finished."
1128,6,"Saying the hair was way too long strongly suggests they used to have long hair, though it is phrased indirectly."
1129,2,"A business trip is not a vacation, so likely no."
1130,2,Needing a larger one implies a one-room flat is not enough.
1131,7,"If the deadline is tomorrow, she has to hand it in soon."
1132,7,Sleeping only four hours clearly means a short night.
1133,1,"If the offer had already expired, the flight was not still discounted."
1134,7,Got wounded directly means the cat is hurt.
1135,2,"If Mark is still missing, then not all of us are here."
1137,5,"Being Chinese suggests coming from Asia, but it is not logically guaranteed because nationality and origin can differ."
1138,4,"The line went dead suggests the call ended, but it does not clearly confirm whether the person hung up."
1139,5,"Having domestics suggests someone takes care of the house, but it is somewhat indirect."
1140,2,Just opened means it has not been there for long.
1141,7,A house full of history books strongly indicates he owns many books.
1143,7,Only few guests over for dinner directly means there is a small gathering.
1144,2,Only one week off work means they do not have two weeks of holiday.
1145,7,Going to have a baby is a clear yes to being pregnant.
1147,2,Still owing the bank money means the debts have not been paid back.
1148,1,Only had water means he did not drink a cocktail.
1149,2,Owning an orchard does not imply having a vegetable garden.
1150,1,Being 25 years old means he is not underage.
1151,2,Extremely expensive tuition means Harvard is not affordable.
1152,7,A bank transfer a few moments ago clearly means she paid already.
1153,1,Cannot swim yet means they are not good at swimming.
1154,7,Being healthy again means the cold is gone.
1155,7,Not allowed to get closer directly means it is forbidden to approach.
1156,7,Watered them regularly clearly indicates someone took care of the plants.
1157,1,Already dead by then means he was not alive in the 80s.
1158,6,"A thick ice layer strongly suggests the lake is frozen, though it is slightly inferential."
1159,1,Being in the advanced course means she is not a beginner.
1160,7,Seeing a doctor directly answers yes to having sought medical advice.
1161,1,Going out with friends means they did not stay home.
1162,7,Voting yesterday clearly indicates there was an election recently.
1163,7,Spotless directly means completely clean.
1164,1,Submitting a blank sheet means they did not answer the questions.
1165,1,Being in the changing room means she is not out on the tennis field.
1166,5,"Being compensated suggests he got the money back, but compensation could be in another form, so it is not fully certain."
1167,1,No one has responded means nobody answered the ad.
1168,1,Not playing any instrument means he is not a musician in the usual sense.
1169,5,"Being in Japan for several months implies travel in Asia, but it is not a perfect direct yes to the broader question."
1170,7,Aiming for the mountain top directly means the goal is the summit.
1171,7,The customer received it directly answers yes.
1173,1,Skipping the last four lessons means she did not attend the whole course.
1174,6,"A really poor resolution strongly suggests a bad image, though it is somewhat indirect."
1175,7,Graduating from medical school last year clearly means she completed her medical studies.
1176,1,Private property means it is not a public building.
1201,2,"Not seeing him for ages suggests they are not still good friends, or at least not in close contact."
1202,5,"Sending out an application suggests job searching, so yes, but indirectly."
1203,5,"Training with him at the gym implies knowing Lukas, though it is not an explicit yes."
1204,4,His grandfather passed away recently does not clearly answer whether this is his property now; it is related but ambiguous.
1205,7,1000 km away directly means it takes long to drive to Paris.
1206,7,A six hour drive directly means Munich is far.
1207,2,A train delay suggests he will not be home by noon.
1208,2,"If there is still some left, they have not bought cereal or at least not finished it; likely no to having bought it."
1209,1,"If it is not due for three months, they have not started writing because the question asks about starting now; the answer points away from yes."
1210,5,"Congested streets suggest they may be late to the cinema, but it is not a direct yes."
1211,1,"Being vegetarian means she is unlikely to come to a steak house, so no."
1212,7,Having the flu clearly means John is staying home.
1213,5,"Running for hours every day suggests marathon training, but it is not explicit registration."
1214,1,Just woke up means she did not have breakfast already.
1215,2,"If it comes out next week, then no, they have not seen it yet."
1216,7,Having used one before directly answers yes to knowing how to use a drill.
1217,2,Celebrating tonight suggests the exam was not failed.
1218,5,"Moving out tomorrow suggests breaking up, but it is not a direct confirmation."
1219,5,"Always falling behind suggests he may have been fired, but it is only an inference."
1220,5,"Being famous for surfing suggests big waves, but it is indirect."
1221,2,Quite rough implies the sea is not safe to swim in.
1222,2,An NGO job usually does not mean making a lot of money.
1223,6,"Having authored many successful books strongly suggests he is famous, though fame is not stated outright."
1224,1,Still analyzing it means the data has not been presented at the meeting.
1225,1,Endangered species means hunting pandas is not legal.
1226,5,"Enrolling at the gym suggests trying to lose weight, but it is not a direct yes."
1227,1,"If the thesis is not complete yet, she has not graduated."
1228,2,Saying the hair was way too long suggests no haircut happened; it points away from yes.
1229,1,A business trip means it was not for sightseeing vacation.
1230,1,Needing a larger one means they did not buy that one-room flat.
1231,5,"A deadline tomorrow suggests she is likely stressed, but it is not explicit."
1232,6,Sleeping only four hours strongly suggests being tired.
1233,1,"If the offer had already expired, he did not book the flight under that discount."
1234,7,Got wounded directly means the cat should be taken to the vet.
1235,1,"If Mark is still missing, we are not all ready to go."
1237,5,"Being Chinese suggests ability to cook cantonese rice, but it is not guaranteed."
1238,4,The line went dead does not clearly answer whether the issue was told to him; it is ambiguous.
1239,5,"Having domestics suggests the house is tidy, but it is indirect."
1240,2,They have just opened means the bar has not been tried yet.
1241,6,A house full of history books strongly suggests a passion for history.
1243,2,"Only few guests over for dinner suggests the saucepan may be big enough, but the answer is not directly about size and is weakly related."
1244,2,Only one week off work means they will not take a two-week trip.
1245,7,Going to have a baby clearly means she is pregnant.
1247,2,Still owing the bank money means no new loan has been paid off; it does not support getting a new loan.
1248,1,Only had water means he is not drunk.
1249,2,Owning an orchard does not mean buying fruit in the supermarket.
1250,1,Being 25 years old means he is not at elementary school age.
1251,2,Extremely expensive tuition means Harvard is not an affordable option.
1252,7,A bank transfer a few moments ago clearly means she accepted the deal.
1253,1,Cannot swim yet means the kids did not go to the swimming pool for swimming ability; it points to no.
1254,7,Being healthy again means she is no longer taking those pills.
1255,7,Not allowed to get closer directly means the area is contaminated or restricted.
1256,7,Watered them regularly clearly means the plants are still alive.
1257,1,Already dead by then means the artwork could not have been created by him in 1981.
1258,6,A thick ice layer strongly suggests it is ice skating season.
1259,1,Being in the advanced course means they are not a beginner.
