id,score,rationale
1101,0.95,"Person B says they have not seen Martin for ages, which directly answers the question about whether they have met him lately. This is a clear negative response to “met lately.”"
1102,0.95,"Person B responds “I am sending out an application,” which indicates they are doing something right now. That directly answers the present-activity question."
1103,0.95,"Person B says they train with Lukas at the gym, which answers whether they usually exercise with him. It is a direct affirmative."
1104,0.95,Person B confirms there was a death: “His grandfather passed away recently.” This directly answers the question about a death in his family.
1105,0.95,"Person B states Paris is about 1000 km away, which directly answers whether Paris is very far from here. This is clearly affirmative."
1106,0.95,"Person B says it is a six hour drive, which directly answers whether it takes long to get to Munich. Strong yes."
1107,0.9,"Person B says the train has some delay, which indicates the journey is not going as planned. This is a clear negative to the “as planned” part."
1108,0.95,"Person B says there is still some cereal left, directly answering whether they have finished it. That is a clear no."
1109,0.95,"Person B says it is not due for three months, directly answering whether the deadline is next week. This is a clear no."
1110,0.95,"Person B says the streets are always congested, directly answering whether there is usually a lot of traffic. Strong yes."
1111,0.95,"Person B says Megan is vegetarian, which directly answers whether she eats meat. That is a clear no."
1112,0.95,"Person B says John has the flu, directly answering whether he is sick today. Strong yes."
1113,0.95,"Person B says she runs for hours every day, directly answering whether Sonya trains daily. Strong yes."
1114,0.95,"Person B says she just woke up, directly answering whether Clara is still sleeping. That is a clear no."
1115,0.95,"Person B says it comes out next week, directly answering whether the movie is released today. Clear no."
1116,0.95,"Person B says they have used a drill before, directly answering whether they have ever worked with one. Strong yes."
1117,0.95,"Person B says they are celebrating tonight, which directly answers whether the party takes place tomorrow. That is a clear no."
1118,0.95,"Person B says they are moving out tomorrow, which directly answers whether they are leaving soon. It implies not immediately but soon; still a clear yes to “soon.”"
1119,0.9,"Person B says he was always falling behind, which implies he is a slacker. This is a strong yes to the characterization."
1120,0.95,"Person B says the region is famous for surfing, directly answering whether the area is popular for something. Strong yes."
1121,0.95,"Person B says it is quite rough, directly answering whether the sea is calm. Clear no."
1122,0.95,"Person B says their job is at an NGO, directly answering whether they work for a corporate company. That is a clear no."
1123,0.95,"Person B says he has authored many successful books, directly answering whether he is a writer. Strong yes."
1124,0.95,"Person B says they are still analyzing the data, directly answering whether they are finished working on it. Clear no."
1125,0.9,"Person B says pandas are an endangered species, which answers the question about how many are left in the world in a qualitative way. It supports the idea that few remain, so likely yes."
1126,0.95,"Person B says they have enrolled at the gym, directly answering whether they joined a fitness studio. Strong yes."
1127,0.95,"Person B says the thesis is not complete yet, directly answering whether they have finished writing it. Clear no."
1128,0.95,"Person B says their hair was way too long, directly answering whether they used to have long hair. Strong yes."
1129,0.9,"Person B says it was a business trip, directly answering whether they went to Japan for vacation. That is a clear no to vacation."
1130,0.95,"Person B says they need a larger one, directly answering whether a one-room flat is enough. Clear no."
1131,0.95,"Person B says the deadline is tomorrow, directly answering whether she has to hand in soon. Strong yes."
1132,0.95,"Person B says they slept only four hours, directly answering whether they had a short night. Strong yes."
1133,0.95,"Person B says the offer had already expired, directly answering whether the flight was still discounted. Clear no."
1134,0.95,"Person B says the cat got wounded, directly answering whether the cat is hurt. Strong yes."
1135,0.95,"Person B says Mark is still missing, directly answering whether all are here. Clear no."
1137,0.95,"Person B says they are Chinese, which directly answers whether they come from Asia. Strong yes."
1138,0.95,"Person B says the line went dead, directly answering whether they hung up. Strong yes."
1139,0.9,"Person B says they have domestics, which implies someone is taking care of their house. Likely yes."
1140,0.95,"Person B says they have just opened, directly answering whether the bar has been here for long. Clear no."
1141,0.95,"Person B says the house is full of history books, directly answering whether he owns many books. Strong yes."
1143,0.95,"Person B says they have only few guests over for dinner, directly answering whether there is a small gathering tonight. Strong yes."
1144,0.95,"Person B says they only have one week off work, directly answering whether they have two weeks of holiday. Clear no."
1145,0.95,"Person B says they are going to have a baby, directly answering whether they are pregnant. Strong yes."
1147,0.95,"Person B says they still owe the bank money, directly answering whether they have paid back debts. Clear no."
1148,0.95,"Person B says he only had water, directly answering whether he drank a cocktail. Clear no."
1149,0.9,"Person B says they own an orchard, which is related to having fruit-growing land; it does not explicitly say vegetable garden but implies some garden. Moderately likely yes."
1150,0.95,"Person B says he is 25 years old, directly answering whether the son is underage. Clear no."
1151,0.95,"Person B says tuition is extremely expensive, directly answering whether Harvard is affordable. Clear no."
1152,0.95,"Person B says she made a bank transfer moments ago, directly answering whether she has paid. Strong yes."
1153,0.95,"Person B says they cannot swim yet, directly answering whether kids are good at swimming. Clear no."
1154,0.95,"Person B says they are healthy again, directly answering whether they still have a cold. Clear no."
1155,0.95,"Person B says people are not allowed to get closer, directly answering whether it is forbidden to approach. Strong yes."
1156,0.95,"Person B says they watered the plants regularly, directly answering whether someone took care of the plants. Strong yes."
1157,0.95,"Person B says he was already dead by then, directly answering whether the artist was still alive in the 80s. Clear no."
1158,0.95,"Person B says the ice layer is quite thick, directly answering whether the lake is frozen. Strong yes."
1159,0.95,"Person B says they are in the advanced course, directly answering whether they are attending the beginners' class. Clear no."
1160,0.95,"Person B says they have seen a doctor, directly answering whether they have sought medical advice. Strong yes."
1161,0.95,"Person B says they went out with friends, directly answering whether they stayed home. Clear no."
1162,0.95,"Person B says they voted yesterday, directly answering whether there was an election recently. Strong yes."
1163,0.95,"Person B says it is spotless, directly answering whether the car is completely clean. Strong yes."
1164,0.95,"Person B says they submitted a blank sheet, directly answering whether they answered all questions. Clear no."
1165,0.95,"Person B says she just got into the changing room, directly answering whether she is out on the tennis field. Clear no."
1166,0.95,"Person B says he was compensated, directly answering whether he got the money back. Strong yes."
1167,0.95,"Person B says no one has responded, directly answering whether anyone answered the house sale ad. Clear no."
1168,0.95,"Person B says he does not play any instrument, directly answering whether he is a musician. Clear no."
1169,0.95,"Person B says he has been in Japan for several months, directly answering whether he has travelled in Asia. Strong yes."
1170,0.9,"Person B says they are aiming for the mountain top, which is essentially the summit. Likely yes."
1171,0.95,"Person B says the customer received it, directly answering whether the customer got his package. Strong yes."
1173,0.95,"Person B says she skipped the last four lessons, directly answering whether she attended the whole course. Clear no."
1174,0.95,"Person B says the monitor resolution is really poor, directly answering whether the screen has a bad image. Strong yes."
1175,0.95,"Person B says she graduated from medical school last year, directly answering whether she completed medical studies. Strong yes."
1176,0.95,"Person B says it is a private property, directly answering whether it is a public building. Clear no."
1201,0.95,"Person B says they have not seen him for ages, directly answering whether they are still good friends with Martin. Strong negative."
1202,0.95,"Person B says they are sending out an application, directly answering whether they are looking for a job. Strong yes."
1203,0.95,"Person B says they train with Lukas at the gym, directly answering whether they know Lukas. Strong yes."
1204,0.95,"Person B says his grandfather passed away recently, directly answering whether this is his property now (mismatch). However, it does not answer property; it answers death. So it is irrelevant/incorrect."
1205,0.95,"Person B says it is about 1000 km away, directly answering whether it takes long to drive to Paris. Strong yes."
1206,0.95,"Person B says it is a six hour drive, directly answering whether Munich is far from here. Strong yes."
1207,0.9,"Person B says the train has some delay, which implies they may not be home by noon. Likely no to “by noon.”"
1208,0.95,"Person B says there is still some left, directly answering whether they have bought cereal. That is a clear no."
1209,0.95,"Person B says it is not due for three months, directly answering whether they have started writing their essay. It does not explicitly say started; it answers due date. So it is somewhat mismatched but still indicates not next week; unclear."
1210,0.95,"Person B says streets are always congested, directly answering whether they will be late to the cinema. Strong yes."
1211,0.95,"Person B says she is vegetarian, directly answering whether Megan is coming to the steak house. Clear no."
1212,0.95,"Person B says he has the flu, directly answering whether John is staying home. Likely yes (sick implies staying home)."
1213,0.95,"Person B says she runs for hours every day, directly answering whether Sonya registered for the marathon. It does not mention registration; it answers training. Somewhat unclear but suggests yes to marathon participation. Moderate yes."
1214,0.95,"Person B says she just woke up, directly answering whether Clara had breakfast already. Clear no."
1215,0.95,"Person B says it comes out next week, directly answering whether they have seen that movie. Clear no."
1216,0.95,"Person B says they have used one before, directly answering whether they know how to use a drill. Strong yes."
1217,0.2,"Person A asks if they have failed the exam, but Person B says they are celebrating tonight, which implies they passed. So the answer is likely no to failing."
1218,0.95,"Person B says they are moving out tomorrow, directly answering whether they are breaking up with him. It implies a breakup. Likely yes."
1219,0.9,"Person B says he was always falling behind, which supports the idea he was a slacker. Strong yes."
1220,0.95,"Person B says the region is famous for surfing, which answers whether there are big waves here. Strong yes."
1221,0.95,"Person B says it is quite rough, directly answering whether the sea is safe to swim. Clear no."
1222,0.95,"Person B says their job is at an NGO, directly answering whether they make a lot of money. It does not directly address money; but implies not corporate. Still, it’s not a direct answer. Unclear."
1223,0.95,"Person B says he authored many successful books, directly answering whether he is famous. Strong yes."
1224,0.95,"Person B says they are still analyzing it, directly answering whether they presented their data at the meeting. Clear no."
1225,0.95,"Person B says pandas are an endangered species, which implies it is not legal to hunt them. Strong yes to illegality."
