id,score,rationale,run_id
1101,1,"Person B explicitly states they haven't seen Martin for ages, which directly means 'no' to meeting him lately.",20260824T093740Z_5937923c
1102,7,"Person B describes the specific action they are currently doing, which confirms they are doing something.",20260824T093740Z_5937923c
1103,7,"Person B confirms they train with Lukas, which is synonymous with exercising with him.",20260824T093740Z_5937923c
1104,7,"Person B confirms that his grandfather died, which means there was a death in the family.",20260824T093740Z_5937923c
1105,6,"1000 Km is generally considered a far distance, implying a 'yes', though 'very far' is slightly subjective.",20260824T093740Z_5937923c
1106,6,"A six-hour drive is typically considered a long time, implying a 'yes'.",20260824T093740Z_5937923c
1107,2,"A delay means the journey is not going exactly as planned, implying a 'no'.",20260824T093740Z_5937923c
1108,1,"If there is still some left, they have not finished it.",20260824T093740Z_5937923c
1109,1,"Person B explicitly states the deadline is in three months, not next week.",20260824T093740Z_5937923c
1110,7,'Congested with cars' is synonymous with a lot of traffic.,20260824T093740Z_5937923c
1111,1,"Vegetarians do not eat meat, so the answer is a clear 'no'.",20260824T093740Z_5937923c
1112,7,Having the flu means John is sick.,20260824T093740Z_5937923c
1113,7,Running every day confirms she trains daily.,20260824T093740Z_5937923c
1114,1,"If she just woke up, she is no longer sleeping.",20260824T093740Z_5937923c
1115,1,"Person B states the release is next week, which means it is not today.",20260824T093740Z_5937923c
1116,7,"Person B confirms they have used a drill before, which means they have worked with one.",20260824T093740Z_5937923c
1117,1,"Person B states the celebration is tonight, not tomorrow.",20260824T093740Z_5937923c
1118,7,Moving out tomorrow confirms they are leaving the flat soon.,20260824T093740Z_5937923c
1119,6,"Falling behind is a characteristic of a slacker, strongly implying a 'yes'.",20260824T093740Z_5937923c
1120,7,Being famous for surfing confirms the area is popular for something.,20260824T093740Z_5937923c
1121,1,"'Rough' is the opposite of 'calm', meaning the sea is not calm.",20260824T093740Z_5937923c
1122,1,An NGO (Non-Governmental Organization) is typically not a corporate company.,20260824T093740Z_5937923c
1123,7,Authoring books is the definition of being a writer.,20260824T093740Z_5937923c
1124,1,Still analyzing means the work is not finished.,20260824T093740Z_5937923c
1125,1,"Endangered species have very few individuals left, implying there are not many pandas.",20260824T093740Z_5937923c
1126,7,Enrolling at a gym is synonymous with joining a fitness studio.,20260824T093740Z_5937923c
1127,1,Person B explicitly states the thesis is not complete.,20260824T093740Z_5937923c
1128,7,Person B confirms their hair was long in the past.,20260824T093740Z_5937923c
1129,1,A business trip is not a vacation.,20260824T093740Z_5937923c
1130,1,Needing a larger flat means a one-room flat is not enough.,20260824T093740Z_5937923c
1131,7,A deadline of tomorrow means she has to hand it in very soon.,20260824T093740Z_5937923c
1132,7,Sleeping only four hours constitutes a short night.,20260824T093740Z_5937923c
1133,1,"If the offer expired, the flight is no longer discounted.",20260824T093740Z_5937923c
1134,7,Being wounded is synonymous with being hurt.,20260824T093740Z_5937923c
1135,1,"If someone is missing, not everyone is there.",20260824T093740Z_5937923c
1137,7,"China is in Asia, so being Chinese means coming from Asia.",20260824T093740Z_5937923c
1138,2,"'The line went dead' implies the connection dropped, rather than the person actively hanging up, though it's slightly ambiguous.",20260824T093740Z_5937923c
1139,7,Having domestics (domestic workers) means someone is taking care of the house.,20260824T093740Z_5937923c
1140,1,Just opening means it hasn't been there for long.,20260824T093740Z_5937923c
1141,7,A house full of books means he owns many books.,20260824T093740Z_5937923c
1143,7,A few guests for dinner constitutes a small gathering.,20260824T093740Z_5937923c
1144,1,"Person B explicitly states they have one week, not two.",20260824T093740Z_5937923c
1145,7,Going to have a baby means she is pregnant.,20260824T093740Z_5937923c
1147,1,Still owing money means the debts are not fully paid back.,20260824T093740Z_5937923c
1148,1,Having only water means he did not drink a cocktail.,20260824T093740Z_5937923c
1149,2,"An orchard is for fruit trees, not vegetables, implying they don't have a vegetable garden.",20260824T093740Z_5937923c
1150,1,25 years old is well above the legal age of majority everywhere.,20260824T093740Z_5937923c
1151,1,Extremely expensive is the opposite of affordable.,20260824T093740Z_5937923c
1152,7,Making a bank transfer means she has paid.,20260824T093740Z_5937923c
1153,1,"If they cannot swim, they are not good at it.",20260824T093740Z_5937923c
1154,1,Being healthy again means the cold is gone.,20260824T093740Z_5937923c
1155,7,Not being allowed to get closer means it is forbidden to approach.,20260824T093740Z_5937923c
1156,7,Watering them regularly means someone took care of them.,20260824T093740Z_5937923c
1157,1,Being already dead means he was not alive.,20260824T093740Z_5937923c
1158,7,A thick ice layer means the lake is frozen.,20260824T093740Z_5937923c
1159,1,Being in the advanced course means they are not in the beginners' class.,20260824T093740Z_5937923c
1160,7,Seeing a doctor is seeking medical advice.,20260824T093740Z_5937923c
1161,1,Going out means they did not stay home.,20260824T093740Z_5937923c
1162,7,Voting yesterday means there was an election recently.,20260824T093740Z_5937923c
1163,7,Spotless means completely clean.,20260824T093740Z_5937923c
1164,1,A blank sheet means no questions were answered.,20260824T093740Z_5937923c
1165,1,Being in the changing room means she is not out on the field.,20260824T093740Z_5937923c
1166,7,Being compensated means he got the money back.,20260824T093740Z_5937923c
1167,1,No one responding means no one answered the ad.,20260824T093740Z_5937923c
1168,1,Not playing any instrument strongly implies he is not a musician.,20260824T093740Z_5937923c
1169,7,"Japan is in Asia, so being there means he has travelled in Asia.",20260824T093740Z_5937923c
