id,score,rationale,run_id
1101,2,Saying he has not seen Martin for ages strongly implies they have not met lately.,20260821T125948Z_8dbb5082
1102,7,Sending an application is clearly something being done right now.,20260821T125948Z_8dbb5082
1103,6,"Training with Lukas at the gym supports a yes, though it does not explicitly establish that this is usual.",20260821T125948Z_8dbb5082
1104,7,A grandfather’s recent death is clearly a death in the family.,20260821T125948Z_8dbb5082
1105,6,A distance of 1000 km strongly supports that Paris is very far away.,20260821T125948Z_8dbb5082
1106,6,A six-hour drive strongly implies that getting to Munich takes a long time.,20260821T125948Z_8dbb5082
1107,2,A train delay suggests the journey is not going exactly as planned.,20260821T125948Z_8dbb5082
1108,2,"If some cereal remains, they have not finished it.",20260821T125948Z_8dbb5082
1109,1,A deadline in three months directly contradicts it being next week.,20260821T125948Z_8dbb5082
1110,7,Always-congested streets clearly indicate that there is usually a lot of traffic.,20260821T125948Z_8dbb5082
1111,1,A vegetarian does not eat meat.,20260821T125948Z_8dbb5082
1112,7,Having the flu clearly means John is sick.,20260821T125948Z_8dbb5082
1113,6,Running for hours every day strongly supports daily training.,20260821T125948Z_8dbb5082
1114,1,Just waking up indicates Clara is no longer sleeping.,20260821T125948Z_8dbb5082
1115,1,A release next week directly means it is not released today.,20260821T125948Z_8dbb5082
1116,7,Having used a drill before directly answers yes.,20260821T125948Z_8dbb5082
1117,1,Celebrating tonight means the party is not tomorrow.,20260821T125948Z_8dbb5082
1118,7,Moving out tomorrow clearly means leaving the flat soon.,20260821T125948Z_8dbb5082
1119,5,"Frequently falling behind suggests slacker-like behavior, but the label is somewhat subjective.",20260821T125948Z_8dbb5082
1120,7,Being famous for surfing directly indicates the area is popular for surfing.,20260821T125948Z_8dbb5082
1121,1,A rough sea is the opposite of a calm sea.,20260821T125948Z_8dbb5082
1122,1,Working at an NGO indicates the job is not at a corporate company.,20260821T125948Z_8dbb5082
1123,7,Authoring many successful books strongly supports that he is a writer.,20260821T125948Z_8dbb5082
1124,1,Still analyzing the data means the work is not finished.,20260821T125948Z_8dbb5082
1125,3,"Being endangered suggests relatively few pandas remain, though it does not give an exact population.",20260821T125948Z_8dbb5082
1126,7,Enrolling at the gym directly supports having joined a fitness studio.,20260821T125948Z_8dbb5082
1127,1,The thesis is explicitly not complete.,20260821T125948Z_8dbb5082
1128,7,Saying the hair was way too long supports that it used to be long.,20260821T125948Z_8dbb5082
1129,1,A business trip directly contradicts going to Japan for vacation.,20260821T125948Z_8dbb5082
1130,1,Needing a larger flat means a one-room flat is not enough.,20260821T125948Z_8dbb5082
1131,7,A deadline tomorrow means she has to hand it in soon.,20260821T125948Z_8dbb5082
1132,7,Sleeping only four hours clearly indicates a short night.,20260821T125948Z_8dbb5082
1133,1,"The discount offer had expired, so the flight was no longer discounted.",20260821T125948Z_8dbb5082
1134,7,Getting wounded clearly means the cat is hurt.,20260821T125948Z_8dbb5082
1135,1,"Mark is still missing, so everyone is not present.",20260821T125948Z_8dbb5082
1137,6,"Being Chinese strongly implies coming from Asia, though nationality and origin are not identical.",20260821T125948Z_8dbb5082
1138,5,"A dead line means the call ended, but it does not establish whether the person intentionally hung up.",20260821T125948Z_8dbb5082
1139,6,Having domestic staff strongly suggests someone is taking care of the house.,20260821T125948Z_8dbb5082
1140,1,Just opening means the bar has not been there for long.,20260821T125948Z_8dbb5082
1141,6,A house full of history books strongly suggests he owns many books.,20260821T125948Z_8dbb5082
1143,6,Only a few guests supports the idea of a small gathering.,20260821T125948Z_8dbb5082
1144,1,Having only one week off contradicts having two weeks of holiday.,20260821T125948Z_8dbb5082
1145,7,Going to have a baby clearly implies pregnancy.,20260821T125948Z_8dbb5082
1147,1,Still owing money means the debts have not been fully paid back.,20260821T125948Z_8dbb5082
1148,1,Having only water means he did not drink a cocktail.,20260821T125948Z_8dbb5082
1149,1,An orchard is not a vegetable garden.,20260821T125948Z_8dbb5082
1150,1,"At 25, the son is not underage.",20260821T125948Z_8dbb5082
1151,1,Extremely expensive tuition indicates Harvard is not affordable.,20260821T125948Z_8dbb5082
1152,6,Making a bank transfer moments ago strongly suggests she has paid.,20260821T125948Z_8dbb5082
1153,1,"If the kids cannot swim, they are not good at swimming.",20260821T125948Z_8dbb5082
1154,1,Being healthy again means the cold is no longer present.,20260821T125948Z_8dbb5082
1155,7,Not being allowed to get closer directly confirms that approaching is forbidden.,20260821T125948Z_8dbb5082
1156,7,Regularly watering the plants directly indicates someone took care of them.,20260821T125948Z_8dbb5082
1157,1,Being already dead by the 1980s means the artist was not alive then.,20260821T125948Z_8dbb5082
1158,7,A thick ice layer strongly indicates that the lake is frozen.,20260821T125948Z_8dbb5082
1159,1,Being in the advanced course means the person is not attending the beginners’ class.,20260821T125948Z_8dbb5082
1160,7,Seeing a doctor directly indicates seeking medical advice.,20260821T125948Z_8dbb5082
1161,1,Going out with friends means the person did not stay home.,20260821T125948Z_8dbb5082
1162,7,Voting yesterday strongly indicates that an election recently took place.,20260821T125948Z_8dbb5082
1163,7,Spotless directly means completely clean.,20260821T125948Z_8dbb5082
1164,1,Submitting a blank sheet means the questions were not answered.,20260821T125948Z_8dbb5082
1165,1,Being in the changing room means she is not currently out on the tennis field.,20260821T125948Z_8dbb5082
1166,7,Being compensated strongly indicates that he got the money back.,20260821T125948Z_8dbb5082
1167,1,No one responding means nobody answered the ad.,20260821T125948Z_8dbb5082
1168,1,Not playing any instrument strongly indicates he is not a musician.,20260821T125948Z_8dbb5082
1169,6,Spending several months in Japan supports having traveled in Asia.,20260821T125948Z_8dbb5082
1170,7,Aiming for the mountain top directly supports the summit as the goal.,20260821T125948Z_8dbb5082
1171,7,The customer receiving the package directly confirms delivery.,20260821T125948Z_8dbb5082
1173,1,Skipping the last four lessons means she did not attend the whole course.,20260821T125948Z_8dbb5082
1174,6,Very poor monitor resolution supports the presence of a bad image.,20260821T125948Z_8dbb5082
1175,7,Graduating from medical school clearly indicates completing the medical studies.,20260821T125948Z_8dbb5082
1176,1,Private property directly contradicts being a public building.,20260821T125948Z_8dbb5082
1201,3,"Not seeing Martin for ages may indicate weakened friendship, but it does not directly answer whether they are still friends.",20260821T125948Z_8dbb5082
1202,6,Sending out a job application strongly suggests looking for a job.,20260821T125948Z_8dbb5082
1203,6,"Training with Lukas indicates that the speaker knows him, though the relationship is not explicitly stated.",20260821T125948Z_8dbb5082
1204,4,The grandfather’s death does not establish who currently owns the property.,20260821T125948Z_8dbb5082
1205,6,A distance of 1000 km strongly suggests a long drive to Paris.,20260821T125948Z_8dbb5082
1206,6,A six-hour drive strongly indicates that Munich is far away.,20260821T125948Z_8dbb5082
1207,3,"A delayed train makes arriving home by noon less likely, but the exact arrival time is unknown.",20260821T125948Z_8dbb5082
1208,5,"Some cereal being left suggests cereal was bought, but it does not explicitly say who bought it or when.",20260821T125948Z_8dbb5082
1209,4,A distant deadline does not answer whether essay writing has started.,20260821T125948Z_8dbb5082
1210,5,"Congested streets make being late plausible, but lateness is not certain.",20260821T125948Z_8dbb5082
1211,1,A vegetarian is very unlikely to attend a steak house for steak.,20260821T125948Z_8dbb5082
1212,5,"Having the flu makes staying home likely, though it does not state the plan directly.",20260821T125948Z_8dbb5082
1213,4,Running daily does not establish whether Sonya registered for the marathon.,20260821T125948Z_8dbb5082
1214,3,"Just waking up suggests she may not have eaten breakfast yet, but this is not explicit.",20260821T125948Z_8dbb5082
1215,1,A movie released next week has not yet been seen as a released movie.,20260821T125948Z_8dbb5082
1216,7,Having used a drill before directly supports knowing how to use one.,20260821T125948Z_8dbb5082
1217,4,Celebrating tonight does not establish whether the exam was failed.,20260821T125948Z_8dbb5082
1218,5,"Moving out tomorrow may imply ending the relationship, but it could have another explanation.",20260821T125948Z_8dbb5082
1219,5,"Repeatedly falling behind could have led to being fired, but the answer does not state that.",20260821T125948Z_8dbb5082
1220,4,Surfing popularity does not directly establish that there are big waves.,20260821T125948Z_8dbb5082
1221,1,A rough sea suggests it is not safe or suitable for swimming.,20260821T125948Z_8dbb5082
1222,3,"Working at an NGO may imply lower earnings, but it does not determine whether the person makes a lot of money.",20260821T125948Z_8dbb5082
1223,6,Many successful books strongly suggest that he is famous.,20260821T125948Z_8dbb5082
1224,1,Still analyzing the data implies it was not yet presented.,20260821T125948Z_8dbb5082
1225,3,"Endangered status suggests hunting may be prohibited, but legality is not explicitly stated.",20260821T125948Z_8dbb5082
1226,4,Enrolling at a gym does not indicate whether the person has lost weight.,20260821T125948Z_8dbb5082
