evaluator,evaluator_provider,evaluator_name,evaluator_type,CONDITION,response,SET,mean,sd,sem
anthropic/claude-haiku-4.5,anthropic,claude-haiku-4.5,closed,direct,no,1,0.9714285714285714,0.1690308509457033,0.02857142857142857
anthropic/claude-haiku-4.5,anthropic,claude-haiku-4.5,closed,direct,no,2,0.9411764705882353,0.23883257361061283,0.040959448460164194
anthropic/claude-haiku-4.5,anthropic,claude-haiku-4.5,closed,direct,yes,1,0.9459459459459459,0.22924343513512566,0.03768738858261602
anthropic/claude-haiku-4.5,anthropic,claude-haiku-4.5,closed,direct,yes,2,0.96875,0.17677669529663687,0.031249999999999997
anthropic/claude-haiku-4.5,anthropic,claude-haiku-4.5,closed,indirect,no,1,0.9428571428571428,0.2355041079768028,0.03980745977252777
anthropic/claude-haiku-4.5,anthropic,claude-haiku-4.5,closed,indirect,no,2,0.9375,0.24593468841898236,0.04347552147751577
anthropic/claude-haiku-4.5,anthropic,claude-haiku-4.5,closed,indirect,yes,1,0.918918918918919,0.2767247306920301,0.04549326548811746
anthropic/claude-haiku-4.5,anthropic,claude-haiku-4.5,closed,indirect,yes,2,0.9117647058823529,0.2879022412812366,0.049374827039089283
anthropic/claude-opus-4.8,anthropic,claude-opus-4.8,closed,direct,no,1,1.0,0.0,0.0
anthropic/claude-opus-4.8,anthropic,claude-opus-4.8,closed,direct,no,2,1.0,0.0,0.0
anthropic/claude-opus-4.8,anthropic,claude-opus-4.8,closed,direct,yes,1,0.9473684210526315,0.22629428592141426,0.036709780655942936
anthropic/claude-opus-4.8,anthropic,claude-opus-4.8,closed,direct,yes,2,1.0,0.0,0.0
anthropic/claude-opus-4.8,anthropic,claude-opus-4.8,closed,indirect,no,1,0.9714285714285714,0.1690308509457033,0.02857142857142857
anthropic/claude-opus-4.8,anthropic,claude-opus-4.8,closed,indirect,no,2,0.9166666666666666,0.2803059552906941,0.04671765921511568
anthropic/claude-opus-4.8,anthropic,claude-opus-4.8,closed,indirect,yes,1,0.9459459459459459,0.22924343513512566,0.03768738858261602
anthropic/claude-opus-4.8,anthropic,claude-opus-4.8,closed,indirect,yes,2,1.0,0.0,0.0
anthropic/claude-opus-5,anthropic,claude-opus-5,closed,direct,no,1,1.0,0.0,0.0
anthropic/claude-opus-5,anthropic,claude-opus-5,closed,direct,no,2,1.0,0.0,0.0
anthropic/claude-opus-5,anthropic,claude-opus-5,closed,direct,yes,1,1.0,0.0,0.0
anthropic/claude-opus-5,anthropic,claude-opus-5,closed,direct,yes,2,1.0,0.0,0.0
anthropic/claude-opus-5,anthropic,claude-opus-5,closed,indirect,no,1,1.0,0.0,0.0
anthropic/claude-opus-5,anthropic,claude-opus-5,closed,indirect,no,2,0.9428571428571428,0.2355041079768028,0.03980745977252777
anthropic/claude-opus-5,anthropic,claude-opus-5,closed,indirect,yes,1,1.0,0.0,0.0
anthropic/claude-opus-5,anthropic,claude-opus-5,closed,indirect,yes,2,1.0,0.0,0.0
anthropic/claude-sonnet-4.6,anthropic,claude-sonnet-4.6,closed,direct,no,1,1.0,0.0,0.0
anthropic/claude-sonnet-4.6,anthropic,claude-sonnet-4.6,closed,direct,no,2,1.0,0.0,0.0
anthropic/claude-sonnet-4.6,anthropic,claude-sonnet-4.6,closed,direct,yes,1,0.972972972972973,0.16439898730535726,0.027027027027027025
anthropic/claude-sonnet-4.6,anthropic,claude-sonnet-4.6,closed,direct,yes,2,1.0,0.0,0.0
anthropic/claude-sonnet-4.6,anthropic,claude-sonnet-4.6,closed,indirect,no,1,1.0,0.0,0.0
anthropic/claude-sonnet-4.6,anthropic,claude-sonnet-4.6,closed,indirect,no,2,0.9705882352941176,0.17149858514250882,0.029411764705882353
anthropic/claude-sonnet-4.6,anthropic,claude-sonnet-4.6,closed,indirect,yes,1,0.972972972972973,0.1643989873053573,0.027027027027027025
anthropic/claude-sonnet-4.6,anthropic,claude-sonnet-4.6,closed,indirect,yes,2,1.0,0.0,0.0
anthropic/claude-sonnet-5,anthropic,claude-sonnet-5,closed,direct,no,1,1.0,0.0,0.0
anthropic/claude-sonnet-5,anthropic,claude-sonnet-5,closed,direct,no,2,1.0,0.0,0.0
anthropic/claude-sonnet-5,anthropic,claude-sonnet-5,closed,direct,yes,1,0.972972972972973,0.16439898730535726,0.027027027027027025
anthropic/claude-sonnet-5,anthropic,claude-sonnet-5,closed,direct,yes,2,1.0,0.0,0.0
anthropic/claude-sonnet-5,anthropic,claude-sonnet-5,closed,indirect,no,1,0.972972972972973,0.16439898730535726,0.027027027027027025
anthropic/claude-sonnet-5,anthropic,claude-sonnet-5,closed,indirect,no,2,0.9705882352941176,0.17149858514250882,0.029411764705882353
anthropic/claude-sonnet-5,anthropic,claude-sonnet-5,closed,indirect,yes,1,1.0,0.0,0.0
anthropic/claude-sonnet-5,anthropic,claude-sonnet-5,closed,indirect,yes,2,1.0,0.0,0.0
google/gemini-2.5-pro,google,gemini-2.5-pro,closed,direct,no,1,1.0,0.0,0.0
google/gemini-2.5-pro,google,gemini-2.5-pro,closed,direct,no,2,1.0,0.0,0.0
google/gemini-2.5-pro,google,gemini-2.5-pro,closed,direct,yes,1,1.0,0.0,0.0
google/gemini-2.5-pro,google,gemini-2.5-pro,closed,direct,yes,2,1.0,0.0,0.0
google/gemini-2.5-pro,google,gemini-2.5-pro,closed,indirect,no,1,1.0,0.0,0.0
google/gemini-2.5-pro,google,gemini-2.5-pro,closed,indirect,no,2,0.9166666666666666,0.2803059552906941,0.04671765921511568
google/gemini-2.5-pro,google,gemini-2.5-pro,closed,indirect,yes,1,1.0,0.0,0.0
google/gemini-2.5-pro,google,gemini-2.5-pro,closed,indirect,yes,2,1.0,0.0,0.0
google/gemini-3.1-flash-lite,google,gemini-3.1-flash-lite,closed,direct,no,1,1.0,0.0,0.0
google/gemini-3.1-flash-lite,google,gemini-3.1-flash-lite,closed,direct,no,2,1.0,0.0,0.0
google/gemini-3.1-flash-lite,google,gemini-3.1-flash-lite,closed,direct,yes,1,0.9473684210526315,0.22629428592141426,0.036709780655942936
google/gemini-3.1-flash-lite,google,gemini-3.1-flash-lite,closed,direct,yes,2,0.9166666666666666,0.2803059552906941,0.04671765921511568
google/gemini-3.1-flash-lite,google,gemini-3.1-flash-lite,closed,indirect,no,1,0.8571428571428571,0.35416880166057313,0.05464943254828613
google/gemini-3.1-flash-lite,google,gemini-3.1-flash-lite,closed,indirect,no,2,0.8421052631578947,0.369537021476632,0.05994682078436835
google/gemini-3.1-flash-lite,google,gemini-3.1-flash-lite,closed,indirect,yes,1,1.0,0.0,0.0
google/gemini-3.1-flash-lite,google,gemini-3.1-flash-lite,closed,indirect,yes,2,0.9642857142857143,0.1889822365046136,0.03571428571428571
google/gemini-3.1-pro-preview,google,gemini-3.1-pro-preview,closed,direct,no,1,1.0,0.0,0.0
google/gemini-3.1-pro-preview,google,gemini-3.1-pro-preview,closed,direct,no,2,1.0,0.0,0.0
google/gemini-3.1-pro-preview,google,gemini-3.1-pro-preview,closed,direct,yes,1,1.0,0.0,0.0
google/gemini-3.1-pro-preview,google,gemini-3.1-pro-preview,closed,direct,yes,2,1.0,0.0,0.0
google/gemini-3.1-pro-preview,google,gemini-3.1-pro-preview,closed,indirect,no,1,0.972972972972973,0.16439898730535726,0.027027027027027025
google/gemini-3.1-pro-preview,google,gemini-3.1-pro-preview,closed,indirect,no,2,1.0,0.0,0.0
google/gemini-3.1-pro-preview,google,gemini-3.1-pro-preview,closed,indirect,yes,1,1.0,0.0,0.0
google/gemini-3.1-pro-preview,google,gemini-3.1-pro-preview,closed,indirect,yes,2,1.0,0.0,0.0
google/gemini-3.5-flash-lite,google,gemini-3.5-flash-lite,closed,direct,no,1,1.0,0.0,0.0
google/gemini-3.5-flash-lite,google,gemini-3.5-flash-lite,closed,direct,no,2,1.0,0.0,0.0
google/gemini-3.5-flash-lite,google,gemini-3.5-flash-lite,closed,direct,yes,1,0.9473684210526315,0.22629428592141426,0.036709780655942936
google/gemini-3.5-flash-lite,google,gemini-3.5-flash-lite,closed,direct,yes,2,0.825,0.3848076442547927,0.06084343084444759
google/gemini-3.5-flash-lite,google,gemini-3.5-flash-lite,closed,indirect,no,1,0.972972972972973,0.16439898730535726,0.027027027027027025
google/gemini-3.5-flash-lite,google,gemini-3.5-flash-lite,closed,indirect,no,2,0.9090909090909091,0.2919371040605711,0.050819726761358854
google/gemini-3.5-flash-lite,google,gemini-3.5-flash-lite,closed,indirect,yes,1,1.0,0.0,0.0
google/gemini-3.5-flash-lite,google,gemini-3.5-flash-lite,closed,indirect,yes,2,0.9090909090909091,0.2919371040605711,0.05081972676135886
google/gemini-3.6-flash,google,gemini-3.6-flash,closed,direct,no,1,1.0,0.0,0.0
google/gemini-3.6-flash,google,gemini-3.6-flash,closed,direct,no,2,1.0,0.0,0.0
google/gemini-3.6-flash,google,gemini-3.6-flash,closed,direct,yes,1,1.0,0.0,0.0
google/gemini-3.6-flash,google,gemini-3.6-flash,closed,direct,yes,2,1.0,0.0,0.0
google/gemini-3.6-flash,google,gemini-3.6-flash,closed,indirect,no,1,0.972972972972973,0.16439898730535726,0.027027027027027025
google/gemini-3.6-flash,google,gemini-3.6-flash,closed,indirect,no,2,0.9705882352941176,0.17149858514250882,0.029411764705882353
google/gemini-3.6-flash,google,gemini-3.6-flash,closed,indirect,yes,1,1.0,0.0,0.0
google/gemini-3.6-flash,google,gemini-3.6-flash,closed,indirect,yes,2,1.0,0.0,0.0
google/gemini-3.7-flash,google,gemini-3.7-flash,closed,direct,no,1,1.0,0.0,0.0
google/gemini-3.7-flash,google,gemini-3.7-flash,closed,direct,no,2,1.0,0.0,0.0
google/gemini-3.7-flash,google,gemini-3.7-flash,closed,direct,yes,1,1.0,0.0,0.0
google/gemini-3.7-flash,google,gemini-3.7-flash,closed,direct,yes,2,1.0,0.0,0.0
google/gemini-3.7-flash,google,gemini-3.7-flash,closed,indirect,no,1,0.972972972972973,0.16439898730535726,0.027027027027027025
google/gemini-3.7-flash,google,gemini-3.7-flash,closed,indirect,no,2,1.0,0.0,0.0
google/gemini-3.7-flash,google,gemini-3.7-flash,closed,indirect,yes,1,1.0,0.0,0.0
google/gemini-3.7-flash,google,gemini-3.7-flash,closed,indirect,yes,2,1.0,0.0,0.0
google/gemma-3-27b-it,google,gemma-3-27b-it,open,direct,no,1,0.868421052631579,0.3425699874501045,0.05557219020090343
google/gemma-3-27b-it,google,gemma-3-27b-it,open,direct,no,2,0.8235294117647058,0.38695299497594743,0.06636189115503131
google/gemma-3-27b-it,google,gemma-3-27b-it,open,direct,yes,1,0.9117647058823529,0.28790224128123665,0.049374827039089283
google/gemma-3-27b-it,google,gemma-3-27b-it,open,direct,yes,2,0.84375,0.36890203262847354,0.06521328221627366
google/gemma-3-27b-it,google,gemma-3-27b-it,open,indirect,no,2,0.8181818181818182,0.39167472590032004,0.06818181818181818
google/gemma-3-27b-it,google,gemma-3-27b-it,open,indirect,yes,2,0.8181818181818182,0.39167472590032004,0.06818181818181818
google/gemma-4-26b-a4b-it,google,gemma-4-26b-a4b-it,open,direct,no,1,1.0,0.0,0.0
google/gemma-4-26b-a4b-it,google,gemma-4-26b-a4b-it,open,direct,no,2,0.9411764705882353,0.23883257361061286,0.0409594484601642
google/gemma-4-26b-a4b-it,google,gemma-4-26b-a4b-it,open,direct,yes,1,0.972972972972973,0.16439898730535726,0.027027027027027025
google/gemma-4-26b-a4b-it,google,gemma-4-26b-a4b-it,open,direct,yes,2,0.96875,0.17677669529663687,0.031249999999999997
google/gemma-4-26b-a4b-it,google,gemma-4-26b-a4b-it,open,indirect,no,1,0.9722222222222222,0.16666666666666666,0.027777777777777776
google/gemma-4-26b-a4b-it,google,gemma-4-26b-a4b-it,open,indirect,no,2,0.8857142857142857,0.32280285109067564,0.05456364060755606
google/gemma-4-26b-a4b-it,google,gemma-4-26b-a4b-it,open,indirect,yes,1,0.9722222222222222,0.16666666666666666,0.027777777777777776
google/gemma-4-26b-a4b-it,google,gemma-4-26b-a4b-it,open,indirect,yes,2,0.9354838709677419,0.24973103811470743,0.044853018526052064
human/human,human,human,none,direct,no,1,1.0,0.0,0.0
human/human,human,human,none,direct,no,2,1.0,0.0,0.0
human/human,human,human,none,direct,yes,1,1.0,0.0,0.0
human/human,human,human,none,direct,yes,2,1.0,0.0,0.0
human/human,human,human,none,indirect,no,1,1.0,0.0,0.0
human/human,human,human,none,indirect,no,2,1.0,0.0,0.0
human/human,human,human,none,indirect,yes,1,1.0,0.0,0.0
human/human,human,human,none,indirect,yes,2,1.0,0.0,0.0
meta-llama/llama-3.3-70b-instruct,meta-llama,llama-3.3-70b-instruct,open,direct,no,1,1.0,0.0,0.0
meta-llama/llama-3.3-70b-instruct,meta-llama,llama-3.3-70b-instruct,open,direct,no,2,0.9642857142857143,0.1889822365046136,0.03571428571428571
meta-llama/llama-3.3-70b-instruct,meta-llama,llama-3.3-70b-instruct,open,direct,yes,1,0.9230769230769231,0.26995276239950855,0.04322703745761665
meta-llama/llama-3.3-70b-instruct,meta-llama,llama-3.3-70b-instruct,open,direct,yes,2,0.8421052631578947,0.369537021476632,0.05994682078436835
meta-llama/llama-3.3-70b-instruct,meta-llama,llama-3.3-70b-instruct,open,indirect,no,1,1.0,0.0,0.0
meta-llama/llama-3.3-70b-instruct,meta-llama,llama-3.3-70b-instruct,open,indirect,no,2,0.9259259259259259,0.26688025634181184,0.051361129280113806
meta-llama/llama-3.3-70b-instruct,meta-llama,llama-3.3-70b-instruct,open,indirect,yes,1,0.972972972972973,0.16439898730535726,0.027027027027027025
meta-llama/llama-3.3-70b-instruct,meta-llama,llama-3.3-70b-instruct,open,indirect,yes,2,0.7948717948717948,0.4090738692453054,0.06550424345215437
meta-llama/llama-4-maverick,meta-llama,llama-4-maverick,open,direct,no,1,0.96875,0.17677669529663687,0.031249999999999997
meta-llama/llama-4-maverick,meta-llama,llama-4-maverick,open,direct,no,2,1.0,0.0,0.0
meta-llama/llama-4-maverick,meta-llama,llama-4-maverick,open,direct,yes,1,0.875,0.33493206352854177,0.05295740910852021
meta-llama/llama-4-maverick,meta-llama,llama-4-maverick,open,direct,yes,2,0.9428571428571428,0.23550410797680274,0.03980745977252777
meta-llama/llama-4-maverick,meta-llama,llama-4-maverick,open,indirect,no,1,0.9428571428571428,0.2355041079768028,0.03980745977252777
meta-llama/llama-4-maverick,meta-llama,llama-4-maverick,open,indirect,no,2,0.9142857142857143,0.28402864099869063,0.04800960288096035
meta-llama/llama-4-maverick,meta-llama,llama-4-maverick,open,indirect,yes,1,0.918918918918919,0.2767247306920301,0.04549326548811746
meta-llama/llama-4-maverick,meta-llama,llama-4-maverick,open,indirect,yes,2,0.967741935483871,0.1796053020267749,0.03225806451612903
