evaluator,evaluator_provider,evaluator_name,evaluator_type,direct,indirect,all
qwen/qwen3.7-max,qwen,qwen3.7-max,closed,3.985,3.932,3.959
mistralai/mistral-large-2512,mistralai,mistral-large-2512,open,3.930,3.886,3.908
google/gemini-3.1-flash-lite,google,gemini-3.1-flash-lite,closed,3.941,3.844,3.892
qwen/qwen3.7-plus,qwen,qwen3.7-plus,closed,3.946,3.787,3.867
google/gemini-3.5-flash-lite,google,gemini-3.5-flash-lite,closed,3.877,3.821,3.849
google/gemini-3.1-pro-preview,google,gemini-3.1-pro-preview,closed,3.958,3.607,3.782
meta-llama/llama-4-scout,meta-llama,llama-4-scout,open,3.701,3.806,3.753
google/gemini-2.5-pro,google,gemini-2.5-pro,closed,3.943,3.507,3.725
anthropic/claude-sonnet-4.6,anthropic,claude-sonnet-4.6,closed,3.879,3.472,3.676
google/gemini-3.7-flash,google,gemini-3.7-flash,closed,3.909,3.442,3.675
mistralai/mistral-small-2603,mistralai,mistral-small-2603,open,3.716,3.589,3.652
google/gemini-3.6-flash,google,gemini-3.6-flash,closed,3.919,3.355,3.637
mistralai/ministral-14b-2512,mistralai,ministral-14b-2512,open,3.640,3.570,3.605
meta-llama/llama-3.3-70b-instruct,meta-llama,llama-3.3-70b-instruct,open,3.674,3.526,3.600
google/gemma-4-26b-a4b-it,google,gemma-4-26b-a4b-it,open,3.739,3.457,3.598
openai/gpt-5.6-terra,openai,gpt-5.6-terra,closed,3.889,3.179,3.534
meta-llama/llama-4-maverick,meta-llama,llama-4-maverick,open,3.637,3.233,3.435
openai/gpt-5.6-sol,openai,gpt-5.6-sol,closed,3.799,3.016,3.407
anthropic/claude-sonnet-5,anthropic,claude-sonnet-5,closed,3.750,3.062,3.406
openai/gpt-5.4,openai,gpt-5.4,closed,3.762,3.047,3.405
openai/gpt-5.5,openai,gpt-5.5,closed,3.827,2.976,3.401
anthropic/claude-opus-5,anthropic,claude-opus-5,closed,3.733,3.063,3.398
anthropic/claude-opus-4.8,anthropic,claude-opus-4.8,closed,3.461,3.268,3.365
human/human,human,human,none,3.588,3.008,3.298
openai/gpt-5.4-mini,openai,gpt-5.4-mini,closed,3.318,3.236,3.277
qwen/qwen3.7-flash,qwen,qwen3.7-flash,closed,3.448,3.011,3.229
anthropic/claude-haiku-4.5,anthropic,claude-haiku-4.5,closed,3.306,3.123,3.214
qwen/qwen3.8-max,qwen,qwen3.8-max,closed,3.541,2.861,3.201
openai/gpt-5.6-luna,openai,gpt-5.6-luna,closed,3.540,2.816,3.178
qwen/qwen3.8-2.4t-a95b,qwen,qwen3.8-2.4t-a95b,open,3.531,2.803,3.167
qwen/qwen3.8-27b,qwen,qwen3.8-27b,open,3.564,2.481,3.022
google/gemma-3-27b-it,google,gemma-3-27b-it,open,2.976,3.106,3.018
openai/gpt-5.4-nano,openai,gpt-5.4-nano,closed,2.404,2.255,2.329
