id,score,rationale,run_id
1101,1,B explicitly has not seen Martin for ages.,20260821T125948Z_8dbb5082
1102,7,Sending an application is something B is doing now.,20260821T125948Z_8dbb5082
1103,6,B says they train with Lukas at the gym.,20260821T125948Z_8dbb5082
1104,7,His grandfather recently died.,20260821T125948Z_8dbb5082
1105,6,A distance of about 1000 km indicates Paris is far.,20260821T125948Z_8dbb5082
1106,6,A six-hour drive is a long trip.,20260821T125948Z_8dbb5082
1107,2,A train delay means the journey is not proceeding as planned.,20260821T125948Z_8dbb5082
1108,1,"Some cereal remains, so it is not finished.",20260821T125948Z_8dbb5082
1109,1,"The essay is due in three months, not next week.",20260821T125948Z_8dbb5082
1110,7,The streets are always congested with cars.,20260821T125948Z_8dbb5082
1111,1,A vegetarian does not eat meat.,20260821T125948Z_8dbb5082
1112,7,Having the flu means John is sick.,20260821T125948Z_8dbb5082
1113,7,She runs for hours every day.,20260821T125948Z_8dbb5082
1114,1,Clara has just woken up.,20260821T125948Z_8dbb5082
1115,1,"The movie releases next week, not today.",20260821T125948Z_8dbb5082
1116,7,B has used a drill before.,20260821T125948Z_8dbb5082
1117,1,"The party is tonight, not tomorrow.",20260821T125948Z_8dbb5082
1118,7,Moving out tomorrow means B is leaving soon.,20260821T125948Z_8dbb5082
1119,6,Always falling behind strongly suggests he is a slacker.,20260821T125948Z_8dbb5082
1120,7,The region is famous for surfing.,20260821T125948Z_8dbb5082
1121,1,"The sea is quite rough, not calm.",20260821T125948Z_8dbb5082
1122,1,B works at an NGO rather than a corporate company.,20260821T125948Z_8dbb5082
1123,7,Authoring many books means he is a writer.,20260821T125948Z_8dbb5082
1124,1,B is still analyzing the data.,20260821T125948Z_8dbb5082
1125,2,Being endangered implies relatively few pandas remain.,20260821T125948Z_8dbb5082
1126,7,Enrolling at a gym is joining a fitness studio.,20260821T125948Z_8dbb5082
1127,1,The thesis is not complete.,20260821T125948Z_8dbb5082
1128,7,B says their hair was way too long.,20260821T125948Z_8dbb5082
1129,1,It was a business trip rather than a vacation.,20260821T125948Z_8dbb5082
1130,1,B needs a larger flat.,20260821T125948Z_8dbb5082
1131,7,A deadline tomorrow means she must hand it in soon.,20260821T125948Z_8dbb5082
1132,7,Four hours of sleep is a short night.,20260821T125948Z_8dbb5082
1133,1,The discounted offer had already expired.,20260821T125948Z_8dbb5082
1134,7,The cat was wounded.,20260821T125948Z_8dbb5082
1135,1,Mark is still missing.,20260821T125948Z_8dbb5082
1137,7,"B is Chinese, hence from Asia.",20260821T125948Z_8dbb5082
1138,4,"The line going dead could mean the call ended, but does not establish that B hung up.",20260821T125948Z_8dbb5082
1139,7,Having domestic staff means someone takes care of the house.,20260821T125948Z_8dbb5082
1140,1,The bar has just opened.,20260821T125948Z_8dbb5082
1141,7,A house full of books means he owns many books.,20260821T125948Z_8dbb5082
1143,7,Only a few dinner guests indicates a small gathering.,20260821T125948Z_8dbb5082
1144,1,"B has only one week off, not two.",20260821T125948Z_8dbb5082
1145,7,Going to have a baby indicates pregnancy.,20260821T125948Z_8dbb5082
1147,1,B still owes the bank money.,20260821T125948Z_8dbb5082
1148,1,"He had only water, not a cocktail.",20260821T125948Z_8dbb5082
1149,5,"An orchard is a type of food-growing garden, though not specifically a vegetable garden.",20260821T125948Z_8dbb5082
1150,1,"At 25, his son is not underage.",20260821T125948Z_8dbb5082
1151,1,Extremely expensive tuition means it is not affordable.,20260821T125948Z_8dbb5082
1152,7,She made a bank transfer moments ago.,20260821T125948Z_8dbb5082
1153,1,The children cannot swim yet.,20260821T125948Z_8dbb5082
1154,1,B is healthy again.,20260821T125948Z_8dbb5082
1155,7,People are not allowed to approach the area.,20260821T125948Z_8dbb5082
1156,7,B has watered the plants regularly.,20260821T125948Z_8dbb5082
1157,1,The artist was already dead by the 1980s.,20260821T125948Z_8dbb5082
1158,7,A thick ice layer indicates the lake is frozen.,20260821T125948Z_8dbb5082
1159,1,"B is in the advanced course, not beginners' class.",20260821T125948Z_8dbb5082
1160,7,B has seen a doctor.,20260821T125948Z_8dbb5082
1161,1,B went out with friends rather than staying home.,20260821T125948Z_8dbb5082
1162,7,They voted yesterday.,20260821T125948Z_8dbb5082
1163,7,Spotless means completely clean.,20260821T125948Z_8dbb5082
1164,1,A blank sheet means they did not answer the questions.,20260821T125948Z_8dbb5082
1165,1,She has just gone into the changing room.,20260821T125948Z_8dbb5082
1166,7,Being compensated means he got money back.,20260821T125948Z_8dbb5082
1167,1,No one has responded to the ad.,20260821T125948Z_8dbb5082
1168,1,He does not play any instrument.,20260821T125948Z_8dbb5082
1169,7,"He has spent several months in Japan, which is in Asia.",20260821T125948Z_8dbb5082
1170,7,"They are aiming for the mountain top, the summit.",20260821T125948Z_8dbb5082
1171,7,The customer received the package.,20260821T125948Z_8dbb5082
1173,2,Skipping the last four lessons means she did not attend the whole course.,20260821T125948Z_8dbb5082
1174,7,Very poor monitor resolution gives a bad image.,20260821T125948Z_8dbb5082
1175,7,She graduated from medical school.,20260821T125948Z_8dbb5082
1176,1,"It is private property, not public.",20260821T125948Z_8dbb5082
