id,score,rationale,run_id
1101,1,"Person B states they have not seen Martin for ages, clearly answering no to whether they have met him lately.",20260824T093740Z_5937923c
1102,7,"Person B is currently sending out an application, which means they are definitely doing something right now.",20260824T093740Z_5937923c
1103,6,"Person B trains with Lukas at the gym, strongly implying they usually exercise together.",20260824T093740Z_5937923c
1104,7,"Person B states that his grandfather passed away recently, confirming a death in the family.",20260824T093740Z_5937923c
1105,6,A distance of 1000 km means Paris is indeed very far away.,20260824T093740Z_5937923c
1106,6,A six-hour drive indicates that it does take a long time to get to Munich.,20260824T093740Z_5937923c
1107,2,"Person B mentions a train delay, meaning the journey is likely not going entirely as planned.",20260824T093740Z_5937923c
1108,2,"Person B says there is still some cereal left, implying they have not finished it.",20260824T093740Z_5937923c
1109,1,"Person B states it is not due for three months, meaning the deadline is definitely not next week.",20260824T093740Z_5937923c
1110,7,"Person B confirms the streets are always congested, meaning there is usually a lot of traffic.",20260824T093740Z_5937923c
1111,1,"Person B states she is vegetarian, meaning she definitely does not eat meat.",20260824T093740Z_5937923c
1112,7,Having the flu confirms that John is indeed sick today.,20260824T093740Z_5937923c
1113,7,Running for hours every day indicates that Sonya definitely trains daily.,20260824T093740Z_5937923c
1114,1,"Person B says she just woke up, meaning she is definitely no longer sleeping.",20260824T093740Z_5937923c
1115,1,"Person B says it comes out next week, meaning it will definitely not be released today.",20260824T093740Z_5937923c
1116,7,Using one before confirms that they have indeed worked with a drill.,20260824T093740Z_5937923c
1117,1,Celebrating tonight means the party does not take place tomorrow.,20260824T093740Z_5937923c
1118,7,Moving out tomorrow confirms that they are leaving their flat soon.,20260824T093740Z_5937923c
1119,6,Always falling behind strongly suggests he is indeed a slacker.,20260824T093740Z_5937923c
1120,7,Being famous for surfing confirms the area is popular for something.,20260824T093740Z_5937923c
1121,1,Stating the sea is quite rough means it is definitely not calm.,20260824T093740Z_5937923c
1122,1,Working at an NGO means they do not work for a corporate company.,20260824T093740Z_5937923c
1123,7,Authored many successful books confirms he is a writer.,20260824T093740Z_5937923c
1124,1,Still analyzing the data means they are definitely not finished.,20260824T093740Z_5937923c
1125,6,Being an endangered species strongly implies there are many fewer pandas left in the world.,20260824T093740Z_5937923c
1126,7,Enrolling at the gym confirms they have joined a fitness studio.,20260824T093740Z_5937923c
1127,1,Stating the thesis is not complete yet means it is not finished.,20260824T093740Z_5937923c
1128,7,Stating the hair was way too long confirms they used to have long hair.,20260824T093740Z_5937923c
1129,1,Stating it was a business trip means it was not a vacation.,20260824T093740Z_5937923c
1130,1,Stating a need for a larger flat means a one-room flat is not enough.,20260824T093740Z_5937923c
1131,7,A deadline tomorrow confirms she has to hand it in soon.,20260824T093740Z_5937923c
1132,7,Sleeping only four hours confirms they had a short night.,20260824T093740Z_5937923c
1133,1,An expired offer means the flight was no longer discounted.,20260824T093740Z_5937923c
1134,7,Getting wounded confirms the cat is hurt.,20260824T093740Z_5937923c
1135,1,Mark still missing means we are definitely not all here.,20260824T093740Z_5937923c
1137,7,Being Chinese confirms they come from Asia.,20260824T093740Z_5937923c
1138,7,A dead line confirms that someone hung up or the call disconnected.,20260824T093740Z_5937923c
1139,7,Having domestics confirms someone is taking care of their house.,20260824T093740Z_5937923c
1140,1,Just opening means the bar has not been there for long.,20260824T093740Z_5937923c
1141,7,A house full of history books confirms he owns many books.,20260824T093740Z_5937923c
1143,7,Having only a few guests over confirms a small gathering.,20260824T093740Z_5937923c
1144,1,Having only one week off means they do not have two weeks of holiday.,20260824T093740Z_5937923c
1145,7,Having a baby confirms pregnancy.,20260824T093740Z_5937923c
1147,1,Still owing money means debts have not been paid back.,20260824T093740Z_5937923c
1148,1,Having only water means he did not drink a cocktail.,20260824T093740Z_5937923c
1149,1,Owning an orchard means they do not have a vegetable garden.,20260824T093740Z_5937923c
1150,1,Being 25 years old means the son is definitely not underage.,20260824T093740Z_5937923c
1151,1,Extremely expensive tuition means Harvard is not affordable.,20260824T093740Z_5937923c
1152,7,Making a bank transfer moments ago confirms she has paid.,20260824T093740Z_5937923c
1153,1,Not being able to swim yet means they are not good at swimming.,20260824T093740Z_5937923c
1154,1,Being healthy again means they no longer have a cold.,20260824T093740Z_5937923c
1155,7,Not being allowed to get closer confirms it is forbidden to approach.,20260824T093740Z_5937923c
1156,7,Watering plants regularly confirms someone took care of them.,20260824T093740Z_5937923c
1157,1,Being already dead by then means the artist was not alive in the 80s.,20260824T093740Z_5937923c
1158,7,A thick ice layer confirms the lake is frozen.,20260824T093740Z_5937923c
1159,1,Being in the advanced course means they are not in the beginners' class.,20260824T093740Z_5937923c
1160,7,Seeing a doctor confirms they sought medical advice.,20260824T093740Z_5937923c
1161,1,Going out with friends means they did not stay home last night.,20260824T093740Z_5937923c
1162,7,Voting yesterday confirms there was a recent election.,20260824T093740Z_5937923c
1163,7,Being spotless confirms the car is completely clean.,20260824T093740Z_5937923c
1164,1,Submitting a blank sheet means they have not answered all questions.,20260824T093740Z_5937923c
1165,1,Being in the changing room means she is not out on the tennis field.,20260824T093740Z_5937923c
1166,7,Being compensated confirms he got the money back.,20260824T093740Z_5937923c
1167,1,No one responding means no one answered the ad.,20260824T093740Z_5937923c
1168,1,Not playing any instrument means he is not a musician.,20260824T093740Z_5937923c
1169,7,Being in Japan for several months confirms he has traveled in Asia.,20260824T093740Z_5937923c
1170,7,Aiming for the mountain top confirms the summit is the goal.,20260824T093740Z_5937923c
1171,7,Receiving the package confirms the customer got it.,20260824T093740Z_5937923c
1173,1,Skipping the last four lessons means she did not attend the whole course.,20260824T093740Z_5937923c
1174,7,Poor resolution confirms the screen has a bad image.,20260824T093740Z_5937923c
1175,7,Graduating from medical school confirms completion of studies.,20260824T093740Z_5937923c
1176,1,Being a private property means it is not a public building.,20260824T093740Z_5937923c
1201,2,Not seeing him for ages implies they may not be good friends anymore.,20260824T093740Z_5937923c
1202,7,Sending out an application confirms they are looking for a job.,20260824T093740Z_5937923c
1203,7,Training with him confirms they know Lukas.,20260824T093740Z_5937923c
1204,6,Grandfather passing away strongly implies property inheritance.,20260824T093740Z_5937923c
1205,6,1000 km away means it takes a long time to drive.,20260824T093740Z_5937923c
1206,6,A six-hour drive confirms Munich is far.,20260824T093740Z_5937923c
1207,2,Train delay implies they might not be home by noon.,20260824T093740Z_5937923c
1208,1,Cereal still being left means they likely haven't bought more.,20260824T093740Z_5937923c
