id,score,rationale
1101,0.0,The reply directly says they have not seen Martin for ages. That clearly answers the question about having met him lately with no.
1102,1.0,The speaker says they are sending out an application right now. That directly indicates they are doing something at the moment.
1103,0.9,"Saying 'I train with him at the gym' strongly implies they do exercise with Lukas. The word 'usually' is not stated explicitly, but the habitual phrasing makes yes very likely."
1104,1.0,The answer states that his grandfather passed away recently. That is a clear yes to there having been a death in his family.
1105,0.8,"Being about 1000 km away strongly suggests Paris is far from here. While 'far' is somewhat subjective, this distance supports a yes answer."
1106,1.0,A six hour drive clearly counts as taking a long time to get there. The answer strongly supports yes.
1107,0.2,"If the train has some delay, the journey is not going exactly as planned. That makes the answer lean clearly toward no."
1108,0.0,Saying there is still some left means they have not finished their cereal. That is a direct no.
1109,0.0,"If it is not due for three months, then the deadline is not next week. This is a clear no."
1110,1.0,The streets being always congested with cars directly indicates there is usually a lot of traffic. This is a strong yes.
1111,0.0,Being vegetarian means she does not eat meat. That is a definite no.
1112,1.0,Having the flu clearly means John is sick today. This is a direct yes.
1113,1.0,Running for hours every day directly supports that Sonya trains daily. This is a clear yes.
1114,0.0,"If she just woke up, she is no longer still sleeping. That makes the answer clearly no."
1115,0.0,"If it comes out next week, it is not being released today. This is a definite no."
1116,1.0,The speaker says they have used a drill before. That directly answers yes to having ever worked with one.
1117,0.0,Celebrating tonight means the party is not tomorrow. That is a clear no.
1118,0.9,"Moving out tomorrow strongly implies leaving the flat soon. 'Soon' is slightly vague, but tomorrow clearly fits."
1119,0.8,"Always falling behind suggests laziness or poor work habits, which supports calling him a slacker. It is somewhat interpretive, so not absolute."
1120,1.0,Being famous for surfing directly means the area is popular for something. This is a clear yes.
1121,0.0,"If the sea is quite rough, then it is not calm. That is a direct no."
1122,0.0,Working at an NGO means not working for a corporate company. This is clearly no.
1123,1.0,Having authored many successful books directly indicates he is a writer. This is a strong yes.
1124,0.0,Still analyzing the data means the work is not finished. That is a clear no.
1125,0.2,Calling pandas an endangered species suggests there are not many left. That points toward no rather than yes.
1126,1.0,Enrolling at the gym directly indicates joining a fitness studio. This is a clear yes.
1127,0.0,Saying the thesis is not complete yet directly means it has not been finished. Clear no.
1128,1.0,Saying their hair was way too long directly supports that they used to have long hair. This is a clear yes.
1129,1.0,"Calling it a business trip still confirms they did go to Japan. The purpose differs, but the yes/no question is about going there."
1130,0.0,"If they need a larger flat, then a one-room flat is not enough. This is clearly no."
1131,1.0,A deadline tomorrow means she has to hand in soon. That strongly supports yes.
1132,1.0,Sleeping only four hours clearly implies a short night. This is a direct yes.
1133,0.0,"If the offer had already expired, the flight was not still discounted. Clear no."
1134,1.0,Getting wounded means the cat is hurt. This is a direct yes.
1135,0.0,"If Mark is still missing, then not everyone is here. That is clearly no."
1137,1.0,Being Chinese means coming from Asia. This is a clear yes.
1138,0.7,"If the line went dead, the call ended, which suggests it was hung up or disconnected. It implies yes, though not necessarily by the speaker intentionally."
1139,1.0,Having domestics means someone is taking care of the house. This is a strong yes.
1140,0.0,"If they have just opened, the bar has not been there for long. Clear no."
1141,1.0,A house full of history books strongly indicates he owns many books. This is a clear yes.
1143,0.9,Having only a few guests over for dinner strongly implies a small gathering. This supports yes.
1144,0.0,Having only one week off means not having two weeks of holiday. Clear no.
1145,1.0,Saying 'I am going to have a baby' directly implies pregnancy. This is a clear yes.
1147,0.0,Still owing the bank money means the debts have not all been paid back. Clear no.
1148,0.0,Having only water means he did not drink a cocktail tonight. This is a direct no.
1149,0.2,"Owning an orchard means having fruit trees, not necessarily a vegetable garden. It leans no because the answer points to a different kind of garden."
1150,0.0,Being 25 years old means the son is not underage. This is clearly no.
1151,0.0,Extremely expensive tuition means Harvard is not affordable. This is a clear no.
1152,1.0,Making a bank transfer a few moments ago means she has paid already. This is a direct yes.
1153,0.0,"If they cannot swim yet, they are not good at swimming. Clear no."
1154,0.0,Being healthy again means no longer having a cold. This is clearly no.
1155,1.0,"If people are not allowed to get closer, then approaching the area is forbidden. Strong yes."
1156,1.0,Watering the plants regularly directly means someone took care of them. Clear yes.
1157,0.0,"If he was already dead by then, he was not still alive in the 80s. Clear no."
1158,1.0,A quite thick ice layer strongly indicates the lake is frozen. This is a clear yes.
1159,0.0,Being in the advanced course means not attending the beginners' class. Clear no.
1160,1.0,Having seen a doctor directly means medical advice was sought. Clear yes.
1161,0.0,Going out with friends means they did not stay home last night. Clear no.
1162,1.0,"If they voted yesterday, there was an election recently. Strong yes."
1163,1.0,Spotless directly means completely clean. This is a clear yes.
1164,0.0,Submitting a blank sheet means they did not answer all questions. Clear no.
1165,0.0,"If she has just got into the changing room, she is not out on the tennis field. Clear no."
1166,1.0,Being compensated means he got the money back in some form. This supports yes strongly.
1167,0.0,No one has responded means nobody answered the house sale ad. Clear no.
1168,0.0,Not playing any instrument means he is not a musician. Clear no.
1169,1.0,Being in Japan for several months clearly means he has travelled in Asia. Strong yes.
1170,1.0,Aiming for the mountain top directly means the summit is the goal. Clear yes.
