evaluator_group,evaluator,all,evaluator_type,direct,indirect
Google,google/gemini-3.7-flash,1.000,closed,1.000,1.000
Google,google/gemini-3.1-pro-preview,1.000,closed,1.000,1.000
Google,google/gemini-3.6-flash,1.000,closed,1.000,1.000
Anthropic,anthropic/claude-opus-5,0.999,closed,1.000,0.998
Anthropic,anthropic/claude-sonnet-5,0.999,closed,1.000,0.997
Google,google/gemini-2.5-pro,0.998,closed,1.000,0.994
OpenAI,openai/gpt-5.5,0.998,closed,1.000,0.993
Anthropic,anthropic/claude-sonnet-4.6,0.998,closed,1.000,0.992
OpenAI,openai/gpt-5.6-sol,0.997,closed,1.000,0.993
Anthropic,anthropic/claude-opus-4.8,0.995,closed,1.000,0.988
Qwen,qwen/qwen3.7-plus,0.994,closed,1.000,0.985
OpenAI,openai/gpt-5.4,0.993,closed,1.000,0.987
Qwen,qwen/qwen3.8-max,0.993,closed,1.000,0.978
OpenAI,openai/gpt-5.6-luna,0.993,closed,1.000,0.988
OpenAI,openai/gpt-5.6-terra,0.993,closed,1.000,0.985
Qwen,qwen/qwen3.7-max,0.989,closed,1.000,0.978
Google,google/gemini-3.5-flash-lite,0.978,closed,0.991,0.970
Anthropic,anthropic/claude-haiku-4.5,0.974,closed,0.973,0.972
OpenAI,openai/gpt-5.4-mini,0.966,closed,0.967,0.970
Google,google/gemini-3.1-flash-lite,0.960,closed,0.970,0.951
Qwen,qwen/qwen3.7-flash,0.940,closed,0.995,0.830
OpenAI,openai/gpt-5.4-nano,0.907,closed,0.975,0.853
