id,score,rationale,run_id
1101,1,"Person B's response ""I have not seen him for ages"" is a direct negation of having met Martin lately. This is a definitive no.",20260824T093740Z_5937923c
1102,7,"Person B's response ""I am sending out an application"" confirms that they are indeed ""doing something right now."" This is a definitive yes.",20260824T093740Z_5937923c
1103,7,"Person B's statement ""I train with him at the gym"" is a direct confirmation that they exercise with Lukas. This is a definitive yes.",20260824T093740Z_5937923c
1104,7,"Person B's response ""His grandfather passed away recently"" directly confirms that there was a death in the family. This is a definitive yes.",20260824T093740Z_5937923c
1105,7,"A distance of 1000 Km is objectively ""very far."" Person B's answer confirms the premise of Person A's question. This is a definitive yes.",20260824T093740Z_5937923c
1106,7,A six-hour drive is generally considered a long time. Person B's answer confirms the premise of Person A's question. This is a definitive yes.,20260824T093740Z_5937923c
1107,1,A train delay means the journey is not going as planned. This is a definitive no.,20260824T093740Z_5937923c
1108,1,"If there is still some cereal left, it means they have not finished it. This is a definitive no.",20260824T093740Z_5937923c
1109,1,"Person B's answer, ""It is not due for three months,"" directly contradicts the idea that the deadline is next week. This is a definitive no.",20260824T093740Z_5937923c
1110,7,"The phrase ""The streets are always congested with cars"" is a strong confirmation that there is usually a lot of traffic. This is a definitive yes.",20260824T093740Z_5937923c
1111,1,"A vegetarian, by definition, does not eat meat. This is a definitive no.",20260824T093740Z_5937923c
1112,7,Having the flu means that John is sick. This is a definitive yes.,20260824T093740Z_5937923c
1113,7,"Running for hours ""every day"" is a direct confirmation of training ""daily."" This is a definitive yes.",20260824T093740Z_5937923c
1114,1,"If Clara ""just woke up,"" she is no longer sleeping. This is a definitive no.",20260824T093740Z_5937923c
1115,1,"If the movie comes out ""next week,"" it is not being released ""today."" This is a definitive no.",20260824T093740Z_5937923c
1116,7,"Saying ""I have used one before"" is a direct confirmation of having worked with a drill. This is a definitive yes.",20260824T093740Z_5937923c
1117,1,"Celebrating ""tonight"" means the party is not taking place ""tomorrow."" This is a definitive no.",20260824T093740Z_5937923c
1118,7,"Moving out ""tomorrow"" qualifies as leaving the flat ""soon."" This is a definitive yes.",20260824T093740Z_5937923c
