id,score,rationale,run_id
1101,1,"Person B explicitly states they have not seen him for ages, which is a direct negation of having met him lately.",20260821T125948Z_8dbb5082
1102,7,"Person B says they are sending an application, which confirms they are currently doing something.",20260821T125948Z_8dbb5082
1103,7,"Person B confirms they train with Lukas at the gym, answering 'yes' to the question of whether they usually exercise with him.",20260821T125948Z_8dbb5082
1104,7,Person B confirms a death in the family by stating his grandfather passed away.,20260821T125948Z_8dbb5082
1105,5,"While 1000 km is a significant distance, the answer provides a specific distance rather than a simple yes/no, but it implies the distance is substantial.",20260821T125948Z_8dbb5082
1106,7,"A six-hour drive is generally considered a long time, answering 'yes' to the question.",20260821T125948Z_8dbb5082
1107,2,"Person B mentions a delay, which implies the journey is not going as planned.",20260821T125948Z_8dbb5082
1108,2,"Person B says there is still cereal left, implying they have not finished it.",20260821T125948Z_8dbb5082
1109,1,"Person B states it is not due for three months, which directly contradicts the suggestion that it is due next week.",20260821T125948Z_8dbb5082
1110,7,"Person B confirms the streets are always congested, which is a 'yes' to there being a lot of traffic.",20260821T125948Z_8dbb5082
1111,1,Being a vegetarian means she does not eat meat.,20260821T125948Z_8dbb5082
1112,7,Having the flu confirms that he is sick.,20260821T125948Z_8dbb5082
1113,7,Running for hours every day confirms she trains daily.,20260821T125948Z_8dbb5082
1114,1,"If she just woke up, she is no longer sleeping.",20260821T125948Z_8dbb5082
1115,1,Coming out next week means it is not being released today.,20260821T125948Z_8dbb5082
1116,7,"Person B confirms they have used one before, answering 'yes' to having worked with one.",20260821T125948Z_8dbb5082
1117,1,Celebrating tonight means the party is not tomorrow.,20260821T125948Z_8dbb5082
1118,7,Moving out tomorrow implies they are leaving the flat soon.,20260821T125948Z_8dbb5082
1119,7,Falling behind is a characteristic of a slacker.,20260821T125948Z_8dbb5082
1120,7,Being famous for surfing confirms the area is popular for something.,20260821T125948Z_8dbb5082
1121,1,A rough sea is the opposite of a calm sea.,20260821T125948Z_8dbb5082
1122,1,Working for an NGO is the opposite of working for a corporate company.,20260821T125948Z_8dbb5082
1123,7,Authoring many books confirms he is a writer.,20260821T125948Z_8dbb5082
1124,1,Still analyzing data means they are not finished working on it.,20260821T125948Z_8dbb5082
1125,7,Being an endangered species implies there are not many left.,20260821T125948Z_8dbb5082
1126,7,Enrolling at the gym confirms they have joined a fitness studio.,20260821T125948Z_8dbb5082
1127,1,Not being complete means they have not finished writing it.,20260821T125948Z_8dbb5082
1128,7,Having hair that was 'way too long' confirms they used to have long hair.,20260821T125948Z_8dbb5082
1129,1,A business trip is not a vacation.,20260821T125948Z_8dbb5082
1130,1,Needing a larger one implies the one-room flat is not enough.,20260821T125948Z_8dbb5082
1131,7,A deadline of tomorrow confirms she has to hand it in soon.,20260821T125948Z_8dbb5082
1132,7,Sleeping only four hours confirms they had a short night.,20260821T125948Z_8dbb5082
1133,1,The offer having expired means the flight was no longer discounted.,20260821T125948Z_8dbb5082
1134,7,Being wounded confirms the cat is hurt.,20260821T125948Z_8dbb5082
1135,1,Mark being missing means not everyone is here.,20260821T125948Z_8dbb5082
1137,7,Being Chinese confirms they come from Asia.,20260821T125948Z_8dbb5082
1138,4,"The line going dead is an explanation for why the call ended, but doesn't explicitly confirm if the person 'hung up' or if it was a technical failure. It's ambiguous.",20260821T125948Z_8dbb5082
1139,7,Having domestics confirms someone is taking care of the house.,20260821T125948Z_8dbb5082
1140,1,Just opening means it hasn't been there for long.,20260821T125948Z_8dbb5082
1141,7,A house full of history books confirms he owns many books.,20260821T125948Z_8dbb5082
1143,7,Having only a few guests confirms it is a small gathering.,20260821T125948Z_8dbb5082
1144,1,Having only one week off contradicts having two weeks of holiday.,20260821T125948Z_8dbb5082
1145,7,Going to have a baby confirms she is pregnant.,20260821T125948Z_8dbb5082
1147,1,Still owing money means they have not paid back the debts.,20260821T125948Z_8dbb5082
1148,1,Only having water means he did not drink a cocktail.,20260821T125948Z_8dbb5082
1149,1,Owning an orchard is different from having a vegetable garden.,20260821T125948Z_8dbb5082
1150,1,Being 25 years old means he is not underage.,20260821T125948Z_8dbb5082
1151,1,Extremely expensive tuition implies it is not affordable.,20260821T125948Z_8dbb5082
