id,score,rationale,run_id
1101,1,"Person B states they have not seen Martin for ages, which means 'no' to having met him lately.",20260824T093740Z_5937923c
1102,7,"Sending out an application indicates that Person B is actively doing something right now, meaning 'yes'.",20260824T093740Z_5937923c
1103,6,Training with Lukas at the gym strongly suggests a 'yes' to usually exercising with him.,20260824T093740Z_5937923c
1104,7,The grandfather passing away confirms 'yes' to there being a death in the family.,20260824T093740Z_5937923c
1105,6,A distance of 1000 Km strongly implies 'yes' to Paris being very far.,20260824T093740Z_5937923c
1106,6,"A six-hour drive strongly points to 'yes', it takes long to get to Munich.",20260824T093740Z_5937923c
1107,2,"A train delay implies that the journey is not going as planned, indicating 'no'.",20260824T093740Z_5937923c
1108,1,"Having cereal left means they have not finished it, yielding 'no'.",20260824T093740Z_5937923c
1109,1,"Not being due for three months means the deadline is not next week, giving 'no'.",20260824T093740Z_5937923c
1110,7,"Streets always being congested means 'yes', there is usually a lot of traffic.",20260824T093740Z_5937923c
1111,6,"Being vegetarian strongly implies 'yes' that Megan does not eat meat, answering the intent positively as a dietary fact.",20260824T093740Z_5937923c
1112,7,"Having the flu means 'yes', John is sick today.",20260824T093740Z_5937923c
1113,6,"Running for hours every day strongly supports 'yes', Sonya trains daily.",20260824T093740Z_5937923c
1114,1,"Just waking up means Clara is no longer sleeping, so 'no'.",20260824T093740Z_5937923c
1115,1,"Coming out next week means it is not released today, yielding 'no'.",20260824T093740Z_5937923c
1116,6,Having used a drill before strongly implies 'yes' to having worked with one.,20260824T093740Z_5937923c
1117,2,"Celebrating tonight implies the party is tonight, not tomorrow, giving 'no'.",20260824T093740Z_5937923c
1118,7,"Moving out tomorrow means 'yes', leaving the flat soon.",20260824T093740Z_5937923c
1119,6,"Always falling behind strongly suggests 'yes', he is a slacker.",20260824T093740Z_5937923c
1120,7,"Being famous for surfing means 'yes', the area is popular for something.",20260824T093740Z_5937923c
1121,2,"Being quite rough means the sea is not calm, pointing to 'no'.",20260824T093740Z_5937923c
1122,1,"Working at an NGO means 'no', it is not a corporate company.",20260824T093740Z_5937923c
1123,7,"Authored many books means 'yes', he is a writer.",20260824T093740Z_5937923c
1124,1,"Still analyzing it means 'no', not finished working on the data.",20260824T093740Z_5937923c
1125,6,"Being an endangered species strongly suggests 'yes', there are many (or rather, remaining) pandas in the world, answering affirmatively about their precarious status.",20260824T093740Z_5937923c
1126,7,"Enrolling at the gym means 'yes', joined a fitness studio.",20260824T093740Z_5937923c
1127,1,"Not complete yet means 'no', thesis is not finished.",20260824T093740Z_5937923c
1128,7,"Having hair that was way too long confirms 'yes', used to have long hair.",20260824T093740Z_5937923c
1129,1,"Being a business trip means 'no', didn't go for a vacation.",20260824T093740Z_5937923c
1130,1,"Needing a larger flat means 'no', a one-room flat is not enough.",20260824T093740Z_5937923c
1131,7,"Deadline tomorrow means 'yes', she has to hand in soon.",20260824T093740Z_5937923c
1132,7,"Sleeping only four hours confirms 'yes', had a short night.",20260824T093740Z_5937923c
1133,1,"Offer having expired means 'no', it wasn't discounted.",20260824T093740Z_5937923c
1134,7,"Getting wounded means 'yes', the cat is hurt.",20260824T093740Z_5937923c
1135,1,"Mark still missing means 'no', not everyone is here.",20260824T093740Z_5937923c
1137,7,"Being Chinese means 'yes', comes from Asia.",20260824T093740Z_5937923c
1138,7,"Line going dead strongly suggests 'yes', the call ended.",20260824T093740Z_5937923c
1139,7,"Having domestics means 'yes', someone is taking care of the house.",20260824T093740Z_5937923c
1140,1,"Just opened means 'no', bar hasn't been there for long.",20260824T093740Z_5937923c
1141,7,"House full of history books means 'yes', owns many books.",20260824T093740Z_5937923c
