id,score,rationale,run_id
1101,2,"The phrase 'I have not seen him for ages' indicates a lack of recent contact, strongly implying the answer to 'Have you met Martin lately?' is no.",20260824T093740Z_5937923c
1102,3,"The response describes an action (sending an application) that doesn't directly answer whether they are currently doing something else. It suggests they are busy, but not necessarily with what was asked.",20260824T093740Z_5937923c
1103,6,Saying 'I train with him at the gym' is a clear affirmation that they do exercise with Lukas. It's a direct and positive response.,20260824T093740Z_5937923c
1104,7,The statement 'His grandfather passed away recently' directly confirms that there was a death in his family.,20260824T093740Z_5937923c
1105,3,"Providing a distance (1000 Km) doesn't answer whether Paris is *far*. It provides information relevant to distance, but not a direct 'yes' or 'no' to the question of it being far.",20260824T093740Z_5937923c
1106,3,"A six-hour drive is a long time, but doesn't directly answer if it 'takes long' to get to Munich. It's related information, but not a direct affirmation.",20260824T093740Z_5937923c
1107,3,"A train delay indicates the journey isn't going as planned, but doesn't directly confirm or deny if it *was* planned to go well initially.",20260824T093740Z_5937923c
1108,3,"Saying 'There is still some left' implies they haven't finished it, but doesn't directly answer if they *have* finished it.",20260824T093740Z_5937923c
1109,2,"The response 'It is not due for three months' clearly indicates the deadline is *not* next week, making a 'no' answer very likely.",20260824T093740Z_5937923c
1110,6,The statement 'The streets are always congested with cars' strongly suggests there *is* usually a lot of traffic.,20260824T093740Z_5937923c
1111,7,Saying 'She is vegetarian' is a definitive answer to the question of whether Megan eats meat – she does not.,20260824T093740Z_5937923c
1112,7,The response 'He has the flu' directly confirms that John is sick.,20260824T093740Z_5937923c
1113,6,The phrase 'She runs for hours every day' strongly implies Sonya trains daily.,20260824T093740Z_5937923c
1114,3,"Saying 'She just woke up' implies she *was* sleeping, but doesn't directly answer if she *is still* sleeping.",20260824T093740Z_5937923c
1115,2,The response 'It comes out next week' clearly indicates the movie is *not* being released today.,20260824T093740Z_5937923c
1116,6,"Saying 'I have used one before' confirms they have experience with a drill, answering 'yes' to the question.",20260824T093740Z_5937923c
1117,2,"The response 'I am celebrating tonight' indicates the party is not tomorrow, making a 'no' answer very likely.",20260824T093740Z_5937923c
1118,6,Saying 'I am moving out tomorrow' implies they are leaving their flat soon.,20260824T093740Z_5937923c
1119,6,The phrase 'He was always falling behind' strongly suggests he *is* a slacker.,20260824T093740Z_5937923c
1120,6,The statement 'The region is famous for surfing' confirms that the area *is* popular for something – surfing.,20260824T093740Z_5937923c
1121,2,Saying 'It is quite rough' implies the sea is *not* calm.,20260824T093740Z_5937923c
1122,2,The response 'My job is at an NGO' indicates they do *not* work for a corporate company.,20260824T093740Z_5937923c
1123,7,The statement 'He has authored many successful books' directly confirms that he is a writer.,20260824T093740Z_5937923c
1124,3,"Saying 'I am still analyzing it' implies they haven't finished, but doesn't directly answer if they *have* finished.",20260824T093740Z_5937923c
1125,7,The statement 'They are an endangered species' implies there are not many pandas left in the world.,20260824T093740Z_5937923c
1126,6,Saying 'I have enrolled at the gym' confirms they have joined a fitness studio.,20260824T093740Z_5937923c
1127,2,The response 'My thesis is not complete yet' clearly indicates they have *not* finished writing their thesis.,20260824T093740Z_5937923c
1128,6,The phrase 'My hair was way too long' confirms they used to have long hair.,20260824T093740Z_5937923c
1129,2,The response 'It was a business trip' indicates they did *not* go to Japan for vacation.,20260824T093740Z_5937923c
1130,2,Saying 'I need a larger one' implies a one-room flat is *not* enough.,20260824T093740Z_5937923c
1131,6,The response 'The deadline is tomorrow' confirms she has to hand it in soon.,20260824T093740Z_5937923c
1132,2,Sleeping only four hours implies they *did* have a short night.,20260824T093740Z_5937923c
1133,2,The response 'The offer had already expired' indicates the flight was *not* still discounted.,20260824T093740Z_5937923c
1134,7,The statement 'It got wounded' directly confirms that the cat is hurt.,20260824T093740Z_5937923c
1135,2,Mark being missing implies not everyone is there.,20260824T093740Z_5937923c
1137,6,Saying 'I am Chinese' implies they come from Asia.,20260824T093740Z_5937923c
1138,2,The line going dead implies they did *not* hang up.,20260824T093740Z_5937923c
1139,6,Having 'domestics' implies someone is taking care of their house.,20260824T093740Z_5937923c
1140,2,The bar having 'just opened' implies it hasn't been there for long.,20260824T093740Z_5937923c
1141,7,The statement 'His house is full of history books' confirms he owns many books.,20260824T093740Z_5937923c
1143,5,"Having 'only few guests' suggests it's a small gathering, but doesn't definitively confirm it.",20260824T093740Z_5937923c
1144,2,Having 'only one week off' implies they do *not* have two weeks of holiday.,20260824T093740Z_5937923c
1145,7,Saying 'I am going to have a baby' confirms she is pregnant.,20260824T093740Z_5937923c
1147,2,Still owing money implies they have *not* paid back their debts.,20260824T093740Z_5937923c
1148,2,Only having water implies he did *not* drink a cocktail.,20260824T093740Z_5937923c
1149,2,Owning an orchard implies they do *not* have a vegetable garden.,20260824T093740Z_5937923c
1150,2,Being 25 years old implies he is *not* underage.,20260824T093740Z_5937923c
1151,2,The high tuition fee implies Harvard is *not* affordable.,20260824T093740Z_5937923c
1152,7,A bank transfer confirms she has paid them.,20260824T093740Z_5937923c
1153,2,Not being able to swim implies the kids are *not* good at swimming.,20260824T093740Z_5937923c
1154,7,Being healthy again implies they no longer have a cold.,20260824T093740Z_5937923c
1155,2,Not being allowed to get closer implies it *is* forbidden to approach the area.,20260824T093740Z_5937923c
1156,6,Watering the plants regularly implies someone took care of them.,20260824T093740Z_5937923c
1157,2,Being dead by then implies he was *not* still alive in the 80s.,20260824T093740Z_5937923c
1158,7,A thick ice layer confirms the lake is frozen.,20260824T093740Z_5937923c
1159,2,Being in the advanced course implies they are *not* in the beginners' class.,20260824T093740Z_5937923c
1160,7,Seeing a doctor confirms they sought medical advice.,20260824T093740Z_5937923c
1161,2,Going out with friends implies they did *not* stay home.,20260824T093740Z_5937923c
1162,7,Voting yesterday confirms there was an election recently.,20260824T093740Z_5937923c
1163,7,Being spotless confirms the car is completely clean.,20260824T093740Z_5937923c
1164,2,Submitting a blank sheet implies they did *not* answer all questions.,20260824T093740Z_5937923c
1165,3,"Going to the changing room implies she was on the tennis field, but doesn't confirm she *is still* there.",20260824T093740Z_5937923c
1166,7,Being compensated confirms he got the money back.,20260824T093740Z_5937923c
1167,2,No one responding implies no one answered the ad.,20260824T093740Z_5937923c
