id,score,rationale,run_id
1101,6,"Person A asks if Martin has been met lately, and Person B responds they have not seen him for ages. This directly indicates a negative answer to “Have you met Martin lately?”",20260821T125948Z_8dbb5082
1102,6,"Person A asks if Person B is doing something right now, and Person B says they are sending out an application. That is a clear affirmative about being occupied at the moment.",20260821T125948Z_8dbb5082
1103,6,"Person A asks whether they usually exercise with Lukas, and Person B says they train with him at the gym. This clearly supports a yes.",20260821T125948Z_8dbb5082
1104,6,"Person A asks about a death in his family, and Person B says his grandfather passed away recently. That is a direct yes.",20260821T125948Z_8dbb5082
1105,6,"Person A asks if Paris is far from here, and Person B replies it is about 1000 km away. Strong yes.",20260821T125948Z_8dbb5082
1106,6,"Person A asks whether getting to Munich takes long, and Person B says it is a six hour drive. This is an affirmative.",20260821T125948Z_8dbb5082
1107,5,"Person A asks if the journey is going as planned, and Person B says the train has some delay. That implies it is not going exactly as planned, but the wording is slightly softer (“some delay”), so it’s a somewhat likely yes/no? Interpreting as answering the question’s negation, this leans “no,” but “some delay” is still clearly off-plan.",20260821T125948Z_8dbb5082
1108,2,"Person A asks if they have finished their cereal, and Person B says there is still some left. That is a clear “no.”",20260821T125948Z_8dbb5082
1109,2,"Person A asks if the essay deadline is next week, and Person B says it is not due for three months. That strongly indicates “no.”",20260821T125948Z_8dbb5082
1110,6,"Person A asks if there is usually a lot of traffic, and Person B says the streets are always congested. Strong yes.",20260821T125948Z_8dbb5082
1111,1,"Person A asks if Megan eats meat, and Person B says she is vegetarian. That is definitely no.",20260821T125948Z_8dbb5082
1112,6,"Person A asks if John is sick today, and Person B says he has the flu. Clear yes.",20260821T125948Z_8dbb5082
1113,6,"Person A asks if Sonya trains daily, and Person B says she runs for hours every day. Strong yes.",20260821T125948Z_8dbb5082
1114,2,"Person A asks if Clara is still sleeping, and Person B says she just woke up. That indicates not still sleeping, i.e., no.",20260821T125948Z_8dbb5082
1115,2,"Person A asks if the movie will be released today, and Person B says it comes out next week. That is a clear no.",20260821T125948Z_8dbb5082
1116,5,"Person A asks if they have ever worked with a drill, and Person B says they have used one before. This is an affirmative, though slightly past-oriented (“before”) but still answers “ever.”",20260821T125948Z_8dbb5082
1117,2,"Person A asks if the birthday party takes place tomorrow, and Person B says they are celebrating tonight. That is a no.",20260821T125948Z_8dbb5082
1118,6,"Person A asks if they are leaving the flat soon, and Person B says they are moving out tomorrow. That supports yes.",20260821T125948Z_8dbb5082
1119,2,"Person A asks if he is a slacker, and Person B says he was always falling behind. That behavior supports “slacker,” so it’s likely yes; however it’s not explicitly stated, but meaning aligns with slacker. Score leans yes.",20260821T125948Z_8dbb5082
1120,6,"Person A asks if the area is popular for something, and Person B says the region is famous for surfing. Clear yes.",20260821T125948Z_8dbb5082
