evaluator,CONDITION,reference,SET,mean,sd,sem
anthropic/claude-haiku-4.5,direct,no,1,3.5238095238095237,0.7056622305844839,0.11761037176408064
anthropic/claude-haiku-4.5,direct,no,2,3.7987012987012987,0.4536749549507182,0.07897467272362783
anthropic/claude-haiku-4.5,direct,yes,1,2.888888888888889,0.3984095364447982,0.06640158940746636
anthropic/claude-haiku-4.5,direct,yes,2,3.0303030303030303,0.17407765595569782,0.030303030303030297
anthropic/claude-haiku-4.5,indirect,no,1,3.392857142857143,0.8607915538185562,0.14346525896975937
anthropic/claude-haiku-4.5,indirect,no,2,3.7987012987012987,0.6001314018141474,0.1044694676932138
anthropic/claude-haiku-4.5,indirect,yes,1,2.5992063492063493,0.6059177983529351,0.1009862997254892
anthropic/claude-haiku-4.5,indirect,yes,2,2.722943722943723,0.527544119853576,0.09183364379732223
anthropic/claude-opus-4.8,direct,no,1,3.6785714285714284,0.6389906399164819,0.1064984399860803
anthropic/claude-opus-4.8,direct,no,2,3.893939393939394,0.21138001080334742,0.036796536796536806
anthropic/claude-opus-4.8,direct,yes,1,3.2242063492063493,0.37763757664434405,0.06293959610739068
anthropic/claude-opus-4.8,direct,yes,2,3.0497835497835495,0.1851337496423818,0.03222764917603484
anthropic/claude-opus-4.8,indirect,no,1,3.617063492063492,0.5013546598755655,0.08355910997926091
anthropic/claude-opus-4.8,indirect,no,2,3.8398268398268396,0.2928954150897235,0.050986547298990194
anthropic/claude-opus-4.8,indirect,yes,1,2.75,0.4705619740571603,0.07842699567619338
anthropic/claude-opus-4.8,indirect,yes,2,2.880952380952381,0.42018075961221657,0.0731440817109792
anthropic/claude-opus-5,direct,no,1,3.6845238095238093,0.5846368886284798,0.09743948143807998
anthropic/claude-opus-5,direct,no,2,3.718614718614719,0.3715570665182586,0.06467978319327375
anthropic/claude-opus-5,direct,yes,1,3.7738095238095237,0.357550787438187,0.059591797906364506
anthropic/claude-opus-5,direct,yes,2,3.757575757575758,0.3462349394146848,0.06027176666327139
anthropic/claude-opus-5,indirect,no,1,3.1884920634920637,0.6338720791793881,0.10564534652989802
anthropic/claude-opus-5,indirect,no,2,3.261904761904762,0.44308269985586735,0.0771307977854314
anthropic/claude-opus-5,indirect,yes,1,2.863095238095238,0.4779008399532149,0.07965013999220248
anthropic/claude-opus-5,indirect,yes,2,2.946053946053946,0.2551562459564511,0.04441700119855452
anthropic/claude-sonnet-4.6,direct,no,1,3.767857142857143,0.6640223309322333,0.11067038848870554
anthropic/claude-sonnet-4.6,direct,no,2,3.898268398268398,0.463952594447824,0.08076378011604171
anthropic/claude-sonnet-4.6,direct,yes,1,3.875,0.33779209366454105,0.056298682277423504
anthropic/claude-sonnet-4.6,direct,yes,2,3.9870129870129873,0.07460470969529913,0.012987012987012997
anthropic/claude-sonnet-4.6,indirect,no,1,3.5235042735042734,0.6972520496748685,0.11620867494581143
anthropic/claude-sonnet-4.6,indirect,no,2,3.5497835497835495,0.805055147782395,0.14014211304102722
anthropic/claude-sonnet-4.6,indirect,yes,1,3.2115384615384617,0.8782860046714229,0.1463810007785705
anthropic/claude-sonnet-4.6,indirect,yes,2,3.623376623376623,0.5437705917027348,0.0946583099812549
anthropic/claude-sonnet-5,direct,no,1,3.75,0.5412408647828658,0.09020681079714431
anthropic/claude-sonnet-5,direct,no,2,3.9417249417249414,0.15626736948462616,0.027202657382246666
anthropic/claude-sonnet-5,direct,yes,1,3.6837606837606836,0.3776412882788939,0.06294021471314899
anthropic/claude-sonnet-5,direct,yes,2,3.6293706293706296,0.3952634436512387,0.06880653375578469
anthropic/claude-sonnet-5,indirect,no,1,3.3632478632478633,0.5982818767897373,0.09971364613162288
anthropic/claude-sonnet-5,indirect,no,2,3.473193473193473,0.38754710160442013,0.06746329101972212
anthropic/claude-sonnet-5,indirect,yes,1,2.651709401709402,0.6437123184940099,0.10728538641566832
anthropic/claude-sonnet-5,indirect,yes,2,2.7715617715617715,0.5862971913876204,0.10206124077016612
google/gemini-2.5-pro,direct,no,1,3.8908730158730163,0.45061865834766845,0.07510310972461141
google/gemini-2.5-pro,direct,no,2,3.9177489177489173,0.40252757389119753,0.07007105652051362
google/gemini-2.5-pro,direct,yes,1,3.9761904761904763,0.1428571428571428,0.023809523809523798
google/gemini-2.5-pro,direct,yes,2,3.9870129870129873,0.07460470969529913,0.012987012987012997
google/gemini-2.5-pro,indirect,no,1,3.3551587301587302,0.8344768636052482,0.13907947726754138
google/gemini-2.5-pro,indirect,no,2,3.8896103896103895,0.335548453101007,0.05841148817538371
google/gemini-2.5-pro,indirect,yes,1,3.2043650793650795,0.8498246736995265,0.14163744561658775
google/gemini-2.5-pro,indirect,yes,2,3.619047619047619,0.6620803124516346,0.11525338884599658
google/gemini-3.1-flash-lite,direct,no,1,3.9007936507936503,0.3512899086726121,0.05854831811210202
google/gemini-3.1-flash-lite,direct,no,2,3.974025974025974,0.14920941939059823,0.02597402597402599
google/gemini-3.1-flash-lite,direct,yes,1,3.8968253968253967,0.3607751795214441,0.06012919658690735
google/gemini-3.1-flash-lite,direct,yes,2,4.0,0.0,0.0
google/gemini-3.1-flash-lite,indirect,no,1,3.9285714285714284,0.24026224739202345,0.04004370789867058
google/gemini-3.1-flash-lite,indirect,no,2,3.974025974025974,0.14920941939059815,0.025974025974025976
google/gemini-3.1-flash-lite,indirect,yes,1,3.51984126984127,0.9617481518633499,0.16029135864389166
google/gemini-3.1-flash-lite,indirect,yes,2,3.974025974025974,0.14920941939059826,0.025974025974025993
google/gemini-3.1-pro-preview,direct,no,1,3.9206349206349205,0.26768512995343235,0.04461418832557206
google/gemini-3.1-pro-preview,direct,no,2,4.0,0.0,0.0
google/gemini-3.1-pro-preview,direct,yes,1,3.9166666666666665,0.28030595529069396,0.04671765921511566
google/gemini-3.1-pro-preview,direct,yes,2,4.0,0.0,0.0
google/gemini-3.1-pro-preview,indirect,no,1,3.5753968253968256,0.5997921030602389,0.09996535051003981
google/gemini-3.1-pro-preview,indirect,no,2,3.8225108225108224,0.36075018037513534,0.06279854578529875
google/gemini-3.1-pro-preview,indirect,yes,1,3.3333333333333335,0.7833917435783361,0.13056529059638936
google/gemini-3.1-pro-preview,indirect,yes,2,3.725108225108225,0.48646253163168585,0.08468225721671839
google/gemini-3.5-flash-lite,direct,no,1,3.8766788766788767,0.2695635800417628,0.044927263340293795
google/gemini-3.5-flash-lite,direct,no,2,3.7086247086247086,0.7169125473180546,0.12479845576235528
google/gemini-3.5-flash-lite,direct,yes,1,3.9200244200244203,0.18510365853934843,0.03085060975655807
google/gemini-3.5-flash-lite,direct,yes,2,4.0,0.0,0.0
google/gemini-3.5-flash-lite,indirect,no,1,3.8141025641025643,0.5218391949567113,0.08697319915945188
google/gemini-3.5-flash-lite,indirect,no,2,3.920745920745921,0.280324231445519,0.048798185117618464
google/gemini-3.5-flash-lite,indirect,yes,1,3.878205128205128,0.2641594590019822,0.04402657650033036
google/gemini-3.5-flash-lite,indirect,yes,2,3.664335664335664,0.6754951563806406,0.11758861343216948
google/gemini-3.6-flash,direct,no,1,3.8908730158730163,0.27557843280479355,0.04592973880079893
google/gemini-3.6-flash,direct,no,2,3.961038961038961,0.10727805323088814,0.018674712041923586
google/gemini-3.6-flash,direct,yes,1,3.904761904761905,0.2800458104965621,0.046674301749427015
google/gemini-3.6-flash,direct,yes,2,3.922077922077922,0.16498650644774893,0.02872046430674376
google/gemini-3.6-flash,indirect,no,1,3.4801587301587302,0.5866868757010485,0.09778114595017474
google/gemini-3.6-flash,indirect,no,2,3.4307359307359304,0.3191810553165314,0.055562289934967715
google/gemini-3.6-flash,indirect,yes,1,3.3395502645502644,0.5868705134900498,0.09781175224834163
google/gemini-3.6-flash,indirect,yes,2,3.16017316017316,0.4300681836034005,0.07486526130280464
google/gemini-3.7-flash,direct,no,1,3.908730158730159,0.29555063553730476,0.04925843925621746
google/gemini-3.7-flash,direct,no,2,3.980519480519481,0.08236136944133661,0.01433727413364912
google/gemini-3.7-flash,direct,yes,1,3.892857142857143,0.2984410417378716,0.0497401736229786
google/gemini-3.7-flash,direct,yes,2,3.8549783549783547,0.32216426148643057,0.056081599472256334
google/gemini-3.7-flash,indirect,no,1,3.535714285714286,0.5160683390910983,0.08601138984851638
google/gemini-3.7-flash,indirect,no,2,3.6818181818181817,0.3821974715191369,0.06653203995424595
google/gemini-3.7-flash,indirect,yes,1,3.0555555555555554,0.5788072361766651,0.09646787269611085
google/gemini-3.7-flash,indirect,yes,2,3.5216450216450217,0.327075812143456,0.05693659069773899
