id,score,rationale
1101,0.95,"Person B says they have not seen Martin for ages, which directly answers the question about whether they have met him lately. This is a clear negative response to “Have you met Martin lately?”."
1102,0.95,"Person B responds “I am sending out an application,” which indicates they are doing something right now. That directly answers “Are you doing something right now?” with a yes."
1103,0.95,"Person B says “I train with him at the gym,” confirming they usually exercise with Lukas. This is a direct yes."
1104,0.95,"Person B states “His grandfather passed away recently,” which confirms there was a death in his family. Direct yes."
1105,0.95,"Person B answers “It is about 1000 Km away,” confirming Paris is far from here. Direct yes."
1106,0.95,"Person B says “It is a six hour drive,” which indicates it takes a long time to get to Munich. Direct yes."
1107,0.9,"Person B says the train has some delay, implying the journey is not going as planned. That strongly supports a “no” to the question, but the question is phrased as “Is it going as planned?” so the answer is clearly negative."
1108,0.95,"Person B says “There is still some left,” meaning they have not finished their cereal. That is a clear no to “Have they finished their cereal?”."
1109,0.95,"Person B says it is not due for three months, which means it is not due next week. Clear no."
1110,0.95,"Person B says the streets are always congested with cars, confirming there is usually a lot of traffic. Direct yes."
1111,0.95,"Person B says Megan is vegetarian, so she does not eat meat. Clear no to “Does Megan eat meat?”."
1112,0.95,"Person B says John has the flu, confirming he is sick today. Direct yes."
1113,0.95,"Person B says she runs for hours every day, confirming she trains daily. Direct yes."
1114,0.95,"Person B says she just woke up, so she is not still sleeping. Clear no to “Is Clara still sleeping?”."
1115,0.95,"Person B says it comes out next week, so it is not being released today. Clear no."
1116,0.95,"Person B says “I have used one before,” confirming they have worked with a drill. Direct yes."
1117,0.95,"Person B says “I am celebrating tonight,” so the party is not taking place tomorrow. Clear no."
1118,0.95,"Person B says “I am moving out tomorrow,” which answers leaving soon with yes (tomorrow is soon)."
1119,0.9,"Person B says he was always falling behind, which implies he is a slacker. That supports a yes to “Is he a slacker?”."
1120,0.95,"Person B says the region is famous for surfing, confirming the area is popular for something. Direct yes."
1121,0.95,"Person B says “It is quite rough,” meaning the sea is not calm. Clear no to “Is the sea calm these days?”."
1122,0.95,"Person B says their job is at an NGO, not a corporate company. Clear no."
1123,0.95,"Person B says he has authored many successful books, confirming he is a writer. Direct yes."
1124,0.95,"Person B says “I am still analyzing it,” meaning they are not finished working on the data. Clear no."
1125,0.95,"Person B says pandas are an endangered species, which answers the question about many pandas left as implying few remain. Direct yes to “Are there many pandas left?” is actually no; but the question is “Are there many pandas left in the world?” and the answer indicates they are endangered (few). So it should be interpreted as no."
1126,0.95,"Person B says “I have enrolled at the gym,” confirming they joined a fitness studio. Direct yes."
1127,0.95,"Person B says the thesis is not complete yet, so they have not finished writing it. Clear no."
1128,0.95,"Person B says “My hair was way too long,” confirming they used to have long hair. Direct yes."
1129,0.95,"Person B says it was a business trip, not a vacation in Japan. Clear no."
1130,0.95,"Person B says “I need a larger one,” meaning a one-room flat is not enough. Clear no."
1131,0.95,"Person B says the deadline is tomorrow, which means she has to hand in soon. Direct yes."
1132,0.95,"Person B says they slept only four hours, indicating a short night. Direct yes."
1133,0.95,"Person B says the offer had already expired, so it was not still discounted. Clear no."
1134,0.95,"Person B says the cat got wounded, confirming it is hurt. Direct yes."
1135,0.95,"Person B says Mark is still missing, so not everyone is here. Clear no."
1137,0.95,"Person B says “I am Chinese,” confirming they come from Asia. Direct yes."
1138,0.95,"Person B says “The line went dead,” which indicates they hung up. Direct yes."
1139,0.95,"Person B says they have domestics, meaning someone takes care of their house. Direct yes."
1140,0.95,"Person B says “They have just opened,” meaning the bar has not been here for long. Clear no to “Has that bar been here for long?”."
1141,0.95,"Person B says the house is full of history books, implying he owns many books. Direct yes."
1143,0.95,"Person B says only few guests over for dinner, indicating a small gathering. Direct yes."
1144,0.95,"Person B says they only have one week off work, so they do not have two weeks of holiday. Clear no."
1145,0.95,"Person B says “I am going to have a baby,” confirming pregnancy. Direct yes."
1147,0.95,"Person B says they still owe the bank money, meaning they have not paid back their debts. Clear no."
1148,0.95,"Person B says he only had water, so he did not drink a cocktail. Clear no."
1149,0.95,"Person B says “I own an orchard,” which is not exactly a vegetable garden; however it indicates having produce-growing land. Still, the question is specifically about a vegetable garden, so this is more like no. The answer does not confirm a vegetable garden."
1150,0.95,"Person B says he is 25 years old, so he is not underage. Clear no."
1151,0.95,"Person B says tuition is extremely expensive, meaning Harvard is not affordable. Clear no."
1152,0.95,"Person B says she made a bank transfer a few moments ago, indicating she has paid. Direct yes."
1153,0.95,"Person B says they cannot swim yet, so they are not good at swimming. Clear no."
1154,0.95,"Person B says “I am healthy again,” meaning they no longer have a cold. Clear no to “Have you still got a cold?”."
1155,0.95,"Person B says people are not allowed to get closer, confirming it is forbidden to approach. Direct yes."
1156,0.95,"Person B says they watered the plants regularly, meaning someone took care of the plants. Direct yes."
1157,0.95,"Person B says he was already dead by then, so he was not alive in the 80s. Clear no."
1158,0.95,"Person B says the ice layer is quite thick, indicating the lake is frozen. Direct yes."
1159,0.95,"Person B says they are in the advanced course, not beginners. Clear no."
1160,0.95,"Person B says they have seen a doctor, confirming they sought medical advice. Direct yes."
1161,0.95,"Person B says they went out with friends, so they did not stay home. Clear no."
1162,0.95,"Person B says they voted yesterday, confirming there was an election recently. Direct yes."
1163,0.95,"Person B says it is spotless, confirming the car is completely clean. Direct yes."
1164,0.95,"Person B says they submitted a blank sheet, meaning they have not answered all questions. Clear no."
1165,0.95,"Person B says she just got into the changing room, so she is not out on the tennis field. Clear no."
1166,0.95,"Person B says he was compensated, indicating he got the money back. Direct yes."
1167,0.95,"Person B says no one has responded, so no one has answered the house sale ad. Clear no."
1168,0.95,"Person B says he does not play any instrument, so he is not a musician. Clear no."
1169,0.95,"Person B says he has been in Japan for several months, confirming he has travelled in Asia. Direct yes."
1170,0.95,"Person B says they are aiming for the mountain top, which answers that the goal is the summit. Direct yes."
1171,0.95,"Person B says the customer received it, confirming they got the package. Direct yes."
1173,0.95,"Person B says she skipped the last four lessons, so she did not attend the whole singing course. Clear no."
1174,0.95,"Person B says the monitor resolution is really poor, indicating a bad image. Direct yes."
1175,0.95,"Person B says she graduated from medical school last year, confirming she completed medical studies. Direct yes."
1176,0.95,"Person B says it is a private property, so it is not a public building. Clear no."
1201,0.95,"Person B says they have not seen him for ages, so they are not still good friends. Clear no."
1202,0.95,"Person B says they are sending out an application, indicating they are looking for a job. Direct yes."
1203,0.95,"Person B says they train with him at the gym, confirming they know Lukas. Direct yes."
1204,0.95,"Person B mentions his grandfather passed away recently, which does not directly answer “Is this his property now?”; it seems mismatched. The response is about inheritance/death, but not explicitly property. Still, it implies property transfer, so somewhat likely yes."
1205,0.95,"Person B says Paris is about 1000 Km away, confirming it takes long to drive to Paris. Direct yes."
1206,0.95,"Person B says Munich is a six hour drive away, confirming it is far. Direct yes."
1207,0.95,"Person B says the train has some delay, so they likely will not be home by noon. Clear no."
1208,0.95,"Person B says there is still some left, meaning they have not bought cereal (or at least not needed to). Interpreting as no to “Have you bought cereal?”."
1209,0.95,"Person B says it is not due for three months, so it is not next week/soon; thus they have not started writing the essay. Clear no."
1210,0.95,"Person B says streets are always congested, implying they will be late. Direct yes to “Will we be late?”."
1211,0.95,"Person B says she is vegetarian, so she is not coming to eat steak (implied). Clear no to “Is Megan coming to the steak house?”."
1212,0.95,"Person B says he has the flu, confirming he is staying home sick. Direct yes."
1213,0.95,"Person B says she runs for hours every day, which supports that she registered for the marathon. Direct yes."
1214,0.95,"Person B says she just woke up, so she already had breakfast. Clear no to “Did Clara have breakfast already?” (actually yes she woke up, but breakfast already is not stated). More likely no."
1215,0.95,"Person B says it comes out next week, so they have not seen it yet if asked “Have you seen that movie?” Clear no."
1216,0.95,"Person B says they have used one before, confirming they know how to use a drill. Direct yes."
1217,0.95,"Person A asks “Have you failed the exam?” but Person B says “I am celebrating tonight,” which implies they did not fail. Clear no."
1218,0.95,"Person B says “I am moving out tomorrow,” which answers leaving/breaking up soon with yes to breaking up. Direct yes."
1219,0.95,"Person B says he was always falling behind, which implies he was fired? Not directly; but falling behind could lead to being fired. Still, the answer does not explicitly say fired. Unclear; slightly likely no."
1220,0.95,"Person B says the region is famous for surfing, which implies big waves. Direct yes."
1221,0.95,"Person B says it is quite rough, so it is not safe to swim. Clear no."
1222,0.95,"Person B says their job is at an NGO, not a corporate company. Clear no."
1223,0.95,"Person B says he authored many successful books, confirming he is a writer. Direct yes."
1224,0.95,"Person B says they are still analyzing the data, so they have not presented it. Clear no."
1225,0.95,"Person B says pandas are endangered, which implies it is not legal to hunt them. Direct yes to “Is it legal to hunt pandas?” is actually no; so interpret as no."
1226,0.95,"Person B says they enrolled at the gym, which does not directly confirm weight loss. It suggests effort but not that they have lost weight. Unclear; slightly no."
1227,0.95,"Person B says the thesis is not complete yet, so they have not graduated. Clear no."
1228,0.95,"Person B says their hair was way too long, which implies they did not get a hair cut. Clear no."
1229,0.95,"Person B says it was a business trip, so they likely did not have time for sightseeing. Clear no."
1230,0.95,"Person B says they need a larger one, so a one-room flat is not enough. Clear no."
1231,0.95,"Person B says the deadline is tomorrow, which indicates stress about the project. Direct yes."
1232,0.95,"Person B says they slept only four hours, meaning they are tired. Direct yes."
1233,0.95,"Person B says the offer had already expired, so they did not book the flight (or it was not booked). Clear no."
1234,0.95,"Person B says the cat got wounded, confirming it is hurt and needs the vet. Direct yes."
1235,0.95,"Person B says Mark is still missing, so they are not all ready to go. Clear no."
1237,0.95,"Person B says “I am Chinese,” which does not answer whether they can cook Cantonese rice. Unclear; likely no."
1238,0.95,"Person B says the line went dead, which implies they hung up rather than told him. It does not answer “Have you told him about that issue?” clearly. Unclear; slightly no."
1239,0.95,"Person B says they have domestics, implying the house is tidy. Direct yes."
1240,0.95,"Person B says they have just opened, meaning you have not tried it yet. Clear no."
1241,0.95,"Person B says his house is full of history books, indicating a passion for history. Direct yes."
1243,0.95,"Person A asks if saucepan is big enough; Person B talks about only few guests, implying it is big enough. Direct yes."
1244,0.95,"Person B says only one week off work, so not two weeks holiday. Clear no."
1245,0.95,"Person A asks avoiding drinking alcohol; Person B says going to have a baby, which does not answer alcohol avoidance. Unclear; likely no."
